created_at,full_text,lang,user_name
Thu Dec 19 22:18:36 +0000 2019,"@ZacheryJoyce15 Congrats, Zachery! Make sure you register your new Fusion with Ford Owner once you pick it up: 
https://t.co/IyW5cJTpSl",en,Ford Motor Company
Thu Dec 19 22:09:47 +0000 2019,@avgFloridian Hi there – send a message to us with your VIN and approximate mileage. I’ll look into this for you. Thanks!,en,Ford Motor Company
Thu Dec 19 21:06:49 +0000 2019,@stamfordlaw Hi there -- send us a direct message at Ford Motor Company with your VIN and FordPass username. I'll look into this on my end. Thanks!,en,Ford Motor Company
Thu Dec 19 20:06:00 +0000 2019,"@LoveeelyKimmy_ We're glad to hear you had a great experience, Kimmy! What was your favorite part about test driving the Mustang?",en,Ford Motor Company
Thu Dec 19 20:04:24 +0000 2019,@liveslaughslove You can't go wrong with a Ford either way! Have you had a chance to check out the 2020 Mustang models yet?,en,Ford Motor Company
Thu Dec 19 17:13:09 +0000 2019,@BCOC13 Good afternoon -- send us a DM at Ford Motor Company with your VIN and FordPass username. I'd like to look into this for you. Thanks!,en,Ford Motor Company
Thu Dec 19 17:00:00 +0000 2019,"We understand the importance of community and how they shape human progress. This year, we teamed up with Global Water to launch a grant program called She-Moves, which supports community ventures benefiting women and children in India, South Africa and Nigeria. https://t.co/MDiHyc5xYB",en,Ford Motor Company
Thu Dec 19 16:35:23 +0000 2019,"@mandyldeboer Please send Ford Motor Company a DM with more details, including your VIN and approximate mileage. I would like to check into this for you.",en,Ford Motor Company
Thu Dec 19 15:25:49 +0000 2019,"@itsjoitomyworld Please send Ford Motor Company a DM with more details, including your VIN and approximate mileage. I would like to check into this for you.",en,Ford Motor Company
Thu Dec 19 15:05:43 +0000 2019,@naeX2fresh We like the way you think! Have you gone on our Ford Bronco site to get updates and buy some Bronco swag? https://t.co/IoSgU9e8ax,en,Ford Motor Company
Thu Dec 19 14:59:08 +0000 2019,@GeraldYak420 Good morning. Please send Ford Motor Company a DM with more information regarding this situation. I would like to look into a few things on my end for you.,en,Ford Motor Company
Thu Dec 19 14:54:27 +0000 2019,"@_ILUVTEQUILA_ Hi there. Could you please send us a DM with more information about your concern, including your VIN and current mileage? I can assist you from there. Thank you!",en,Ford Motor Company
Thu Dec 19 14:26:58 +0000 2019,"@rkelsesky We'd love to keep you in the Ford Family, Robert! Have you had the chance to take the Ford Edge or Ford Explorer for a test drive?",en,Ford Motor Company
Thu Dec 19 14:19:25 +0000 2019,@Bryce_Layne Good morning. Would you please send us a DM with your VIN and some more details on your situation? I would like to see what I can do to assist.,en,Ford Motor Company
Wed Dec 18 22:00:14 +0000 2019,"@Kbutta6_ Please send us a direct message with your full name, phone number, and zip code. We would be more than happy to help you find one at a dealer nearby.",en,Ford Motor Company
Wed Dec 18 21:30:23 +0000 2019,@Kbutta6_ We'd love to have you in the Ford Family. Have you had a chance to visit your Local Ford Dealer and check out the 2020 models yet?,en,Ford Motor Company
Wed Dec 18 21:14:16 +0000 2019,"@NeurosurgeryNP Please send Ford Motor Company a DM with more details, including your VIN and approximate mileage. I would like to check into this for you.",en,Ford Motor Company
Wed Dec 18 21:09:02 +0000 2019,@TheCip41 Hi there -- send us a DM at Ford Motor Company with your VIN and username. I'd like to look into any FordPass concerns you're having. Thanks!,en,Ford Motor Company
Wed Dec 18 18:54:59 +0000 2019,"@andre_rjr Congratulations on your new ride, Andre! Be sure to sign up on our Ford Owner site for tips and questions! https://t.co/IyW5cJTpSl",en,Ford Motor Company
Wed Dec 18 18:50:14 +0000 2019,"@Jaszbkilln_em We like the way you think, Jasmine! Have you gone on our Certified Pre-Owned site to find your perfect Ford Fusion? https://t.co/AIsfY3tR4E",en,Ford Motor Company
Wed Dec 18 17:29:46 +0000 2019,@kat_hass https://t.co/3jDaZX24A1,und,Ford Motor Company
Wed Dec 18 15:07:31 +0000 2019,@tsm29gt Good morning. Please send Ford Motor Company a DM with more information regarding this situation. I would like to look into a few things on my end for you.,en,Ford Motor Company
Wed Dec 18 14:35:56 +0000 2019,"@foreverhope96 Hi there. Could you please send us a DM with more information about your concern, including your VIN and current mileage? I can assist you from there. Thank you!",en,Ford Motor Company
Tue Dec 17 22:20:43 +0000 2019,@matthewb0721 Hi there — could you please send us a DM with your VIN and current mileage? I’d like to look into this for you.,en,Ford Motor Company
Tue Dec 17 21:43:42 +0000 2019,"@LunchWithALens Please send Ford Motor Company a DM with more details, including your VIN and approximate mileage. I would like to check into this for you.",en,Ford Motor Company
Tue Dec 17 20:38:28 +0000 2019,"@kellenkirk Good afternoon, I would like to assist you with this concern. Will you please send us a direct message with your VIN and some additional details so I can investigate this further?",en,Ford Motor Company
Tue Dec 17 19:36:15 +0000 2019,@jamdavidson111 Good afternoon. Please send Ford Motor Company a DM with more information about your situation. I will be happy to see how I may be able to assist you.,en,Ford Motor Company
Tue Dec 17 17:57:42 +0000 2019,@Papotuto74 We are so excited about the world premiere this Spring! Have you gone on our website for updates and some Ford Bronco swag? https://t.co/IoSgU9e8ax,en,Ford Motor Company
Tue Dec 17 17:12:18 +0000 2019,@bluenutz Good afternoon. Please send Ford Motor Company a DM with more information about this situation. I would like to look into a few things on my end for you.,en,Ford Motor Company
Tue Dec 17 17:03:51 +0000 2019,"@officiallycoble Hi there – Please send a message with your VIN, I'd like to assist with making sure you are getting the correct notifications regarding your vehicle.",en,Ford Motor Company
Tue Dec 17 17:02:35 +0000 2019,"We’re proud to announce an investment of over $1.45 billion in two southeast Michigan manufacturing facilities. This will add 3,000 new jobs to strengthen our leadership in #FordTrucks and SUVS and support our expansion into #EVs and #AVs. https://t.co/8l7G8GStUJ",en,Ford Motor Company
Tue Dec 17 16:33:42 +0000 2019,@ReealCali You can't go wrong with Ford either way! Have you gone onto our Ford Bronco website for updates and some Bronco swag? https://t.co/IoSgU9e8ax,en,Ford Motor Company
Tue Dec 17 15:36:53 +0000 2019,"@NeysaStylist Please send Ford Motor Company a DM with more details, including your VIN and approximate mileage. I would like to check into this for you.",en,Ford Motor Company
Tue Dec 17 14:11:58 +0000 2019,@Tea_Dizzle Glad to hear it! Feel free to reach back out if you have any other concerns.,en,Ford Motor Company
Mon Dec 16 23:50:12 +0000 2019,"@btbeilke Please send Ford Motor Company a DM with more details, including your VIN and approximate mileage. I would like to check into this for you.",en,Ford Motor Company
Mon Dec 16 21:07:05 +0000 2019,@HarveyOwen Hi there. Could you please send us a DM with more information about your concern including your VIN and current mileage? I can assist you from there. Thank you!,en,Ford Motor Company
Mon Dec 16 20:19:57 +0000 2019,@JMarquez67 Good afternoon – send Ford Motor Company a DM at with your VIN and FordPass username. I’d like to see how I can assist. Thank you!,en,Ford Motor Company
Mon Dec 16 20:04:15 +0000 2019,@JonNicholas83 Hi there. Could you please send us a DM with more information about your concern including your VIN and current mileage? I can assist you from there. Thank you!,en,Ford Motor Company
Mon Dec 16 19:42:59 +0000 2019,@OneandonlyAriel Have you had a chance to check out our pricing and incentives page? https://t.co/0KcKKgIDPK,en,Ford Motor Company
Mon Dec 16 19:42:38 +0000 2019,@CoreyPottebaum Good afternoon – send us a DM at Ford Motor Company with your VIN and FordPass username. I’d like to check into these concerns for you. Thanks!,en,Ford Motor Company
Mon Dec 16 19:37:33 +0000 2019,@jordanwags Hi there -- send a DM to Ford Motor Company with your VIN and FordPass username. I'll look into this for you. Thanks!,en,Ford Motor Company
Mon Dec 16 19:24:19 +0000 2019,"@glorytolaurie We like the way you think! You can reserve your very own #MustangMachE by clicking on the link below:
https://t.co/jYTUJmrfIW",en,Ford Motor Company
Mon Dec 16 19:08:03 +0000 2019,"@sjfigueroa We would love to help you out! Please send us a DM with your name, number, and zip code to get started!",en,Ford Motor Company
Mon Dec 16 19:02:03 +0000 2019,@OneandonlyAriel Have you had a chance to check out our Certified Pre-Owned vehicles? https://t.co/AIsfY3tR4E,en,Ford Motor Company
Mon Dec 16 18:13:33 +0000 2019,"@charvey75 Congratulations, Craig! If you haven't already, be sure to register your new Mustang with Ford Owner, and gain access to a wealth of tips and ownership advice:
https://t.co/IyW5cJTpSl",en,Ford Motor Company
Mon Dec 16 17:54:13 +0000 2019,"@ndfan001 Good afternoon, I would like to assist you with this concern. Will you please send us a direct message with your VIN and some additional details so I can investigate this further?",en,Ford Motor Company
