created_at,full_text,lang,user_name
Fri Dec 20 05:20:00 +0000 2019,"@samaharaj10 Hello, if you're still experiencing these inaccuracies please get in touch with our UK Support office at the following link: https://t.co/MHsgrJWAzL
-MR",en,Garmin
Thu Dec 19 23:37:26 +0000 2019,"@powerstroke5000 Good evening, Mark. I'd like to have our support office take a closer look at that. Please reach out to them at the following link so they can gather more information and further assist you:
https://t.co/ZiympcwCUd
~JH",en,Garmin
Thu Dec 19 23:35:12 +0000 2019,"@Scheck48 That's very odd, Brad. I'd like to have our support office take a closer look at this. Please reach out to them at the following link so they can further assist:
https://t.co/ZiympcwCUd
~JH",en,Garmin
Thu Dec 19 20:31:22 +0000 2019,"@DrSmothersPhD Hi Marcus! You can find the Forerunner 245 here: https://t.co/H1KSdR8tK5

If you have any additional questions, please let us know. Thanks! (KS)",en,Garmin
Thu Dec 19 20:28:51 +0000 2019,"@wil_hunter Hey, Wil! If you haven't already, first try updating the vívoactive 3's software using Garmin Express: https://t.co/W7AN8s1B0H  Next, I recommend setting a custom step length. Check out this link for more info on doing so: https://t.co/PcSAji0bC7  ^DK",en,Garmin
Thu Dec 19 19:57:00 +0000 2019,"@SimonMTier I'm so sorry to hear this, Simon. Try the steps at the following link to disconnect the two apps and reconnect them:
https://t.co/eMClJ5kOwz

If that doesn't help, please contact our support team at:
https://t.co/ZiympcwCUd
~JH",en,Garmin
Thu Dec 19 19:45:01 +0000 2019,"@dhlake1 This is very weird, David. I’d like to have our support team take a closer look at this. Please reach out to them at the following link so they can get more information and further assist you:
https://t.co/ZiympcwCUd
~JH",en,Garmin
Thu Dec 19 17:51:00 +0000 2019,"@PeteSpink The Explorer+ comes with preloaded DeLorme® TOPO maps; also includes built-in digital compass, barometric altimeter and accelerometer.

*MH https://t.co/Lkwjtrg6oL",en,Garmin
Thu Dec 19 17:48:34 +0000 2019,"@KAppelgren I'm very sorry for the trouble. These FAQ's should be helpful, but please use the link below to send us a Private Message if this issue persists:

• iOS 13: https://t.co/kNleIpmnKE
• Bluetooth Troubleshooting: https://t.co/NQw80odRuc

Kind regards,
(KS) https://t.co/Lkwjtrg6oL",en,Garmin
Thu Dec 19 17:39:39 +0000 2019,"@JohanDionisi That's a great question. Unfortunately, Garmin cannot comment on the use of Third-Party products. One thing that's important to note that the UT800 is connected to mounts different than our Edge devices. @KEdgeBike would be able to speak to this better than us.
~JH",en,Garmin
Thu Dec 19 17:18:30 +0000 2019,"@PeteSpink Hi!  That looks like the same device but different color.  Which device are you wanting to compare the inReach to?

*MH",en,Garmin
Thu Dec 19 16:39:38 +0000 2019,"@pathodoc Hi, Histo. The Venu is not compatible with the HRM-Tri. It is, however, compatible with the HRM-Dual: https://t.co/BM0wlkmjXE
~DG",en,Garmin
Thu Dec 19 16:33:43 +0000 2019,"@LyleHolt_AF 2/2 recommended. I suggest using our Ideas Portal to submit your suggestions directly to our engineers for consideration: https://t.co/kkaLEufm4n

If you have any additional questions, please let us know. Thank you so much and Happy Holidays! (KS) https://t.co/Lkwjtrg6oL",en,Garmin
Thu Dec 19 16:32:08 +0000 2019,"@LyleHolt_AF 1/2 Thank you so much for your feedback, Lyle. The FAQ that you linked to (https://t.co/ykVPmVZbAN) is public-facing and has an updated list of headphones Garmin recommends based on their Bluetooth performance. That said, we value your input and appreciate the UX changes you've https://t.co/Lkwjtrg6oL",en,Garmin
Thu Dec 19 16:28:38 +0000 2019,"@LLJo4han Hi, Laura. Unfortunately there wouldn't be a way to remotely track the device. However, we do have an article on our website that covers of few other things you can try: https://t.co/sHBD0egFJu
~DG",en,Garmin
Thu Dec 19 16:11:53 +0000 2019,"@JonKirby1974 I'm so sorry to hear this, please send me a private message with your email address and your Garmin's serial number. I'd like to follow up with our support office about this.
~JH https://t.co/Lkwjtrg6oL",en,Garmin
Thu Dec 19 16:06:46 +0000 2019,"@tharrison2390 Hi, Taylor.  We're sorry to hear about that.  Do the optical heart rate lights stay on or do they shut off?  Please send us a DM with your account email address and the serial number to your device.  Once we have this we'll be able to further assist.  

*MH https://t.co/Lkwjtrg6oL",en,Garmin
Thu Dec 19 15:15:01 +0000 2019,The question isn’t what to get — it’s which. Pick your favorite. https://t.co/sGIqHtfBDi,en,Garmin
Thu Dec 19 12:34:00 +0000 2019,"@hilliard_111 @DaveOnDahon Hi!  If you're experiencing this issue please send us a DM with your account email address and the serial number to your device.  We'd like to look into this for you.  

*MH https://t.co/Lkwjtrg6oL",en,Garmin
Thu Dec 19 01:15:55 +0000 2019,"@roderickbaker07 Hi Roderick, are you closing the app each time? -MR",en,Garmin
Wed Dec 18 20:23:01 +0000 2019,"@geordieromer I don't believe that the dealers (https://t.co/aOb7Jqnolx) would have the battery caps. That being said, please give product support a shout so they can go over available options for getting you a replacement (using this link: https://t.co/kPUg9fOofV ) ^DK",en,Garmin
Wed Dec 18 19:28:00 +0000 2019,"@amit_sarda Thanks for reaching out. I'm not seeing any open issues/cases quite like this, and as such would like to get you in touch with our product support team so it can be investigated more in-depth. Please visit the following link for their contact info: https://t.co/sUqMifh0WU
^DK",en,Garmin
Wed Dec 18 18:29:32 +0000 2019,"@TheAd3pt Hi, Jesse. The device detects barks based on vibrations; but other factors are causing similar vibrations. Does your dog wear any extra collars or tags that could be knocking against the device? 

If you can, please send us a DM with the serial number and we can investigate. ~DG https://t.co/Lkwjtrg6oL",en,Garmin
Wed Dec 18 15:00:02 +0000 2019,"That holiday hustle. 

📷: Garmin Ambassador carolkolofit https://t.co/ZMRrNOM0LW",en,Garmin
Tue Dec 17 22:41:00 +0000 2019,"@geordieromer Geordie, I'm so sorry for the troubles! So they can get to the bottom of this, please give our product support team a shout using the info listed here (under Contact Us for More Help): https://t.co/RuJhG3a8iF

^DK",en,Garmin
Tue Dec 17 19:24:00 +0000 2019,"@paul_pearce Hi!  That's definitely odd.  We'd like to look into this for you.  Please send us a DM with the serial number to your device.  We'll be able to further assist once we have this.  

*MH https://t.co/Lkwjtrg6oL",en,Garmin
Tue Dec 17 19:12:40 +0000 2019,"@ThatGirlyGal Hi!  Oops!  That shouldn't have happened, and I'd like to look further into this.  Please send us a DM with your account email address.  Have a great day!

*MH https://t.co/Lkwjtrg6oL",en,Garmin
Tue Dec 17 18:57:00 +0000 2019,"@ImSoProudofDrew Hi!  We haven't heard if this will be available on previous series since there needs to be a certain amount of internal storage.  We do apologize for any inconvenience.  

*MH",en,Garmin
Tue Dec 17 15:00:02 +0000 2019,"Which Garmin will you wrap this year? 

https://t.co/Alj2eOFRft https://t.co/JLWGMXLkVy",en,Garmin
Tue Dec 17 03:43:28 +0000 2019,"@weegfifer Thank you for checking that. We may need to look into repair options. Please DM me your mailing address, contact info (email and phone), and the device's serial number. 
-OA https://t.co/Lkwjtrg6oL",en,Garmin
Tue Dec 17 02:18:00 +0000 2019,"@meggayman I'm so sorry to hear about this, Meg. Please visit the following link on how to fix this:
https://t.co/TvK3L2wXDa
If you still run into issues, contact our support off at:
https://t.co/ZiympcwCUd
~JH",en,Garmin
Tue Dec 17 01:53:35 +0000 2019,"@xfiles90 I’m very sorry to hear about this. Unfortunately, we cannot speak on behalf of dealers and the process they have for pre-ordering items if they don’t have them in stock. Visit the following link for more details about our product availability:
https://t.co/hmSDKp5GGv
~JH",en,Garmin
Tue Dec 17 00:07:01 +0000 2019,"@GBrimmer1 We'd love the opportunity to investigate your situation. It looks like we haven't received a private message from you with the details we've requested. 
Please send us a DM with the following information: 
•Email Address
•Postal Address
•Phone #
•Serial #
Thanks!  -MR https://t.co/Lkwjtrg6oL",en,Garmin
Mon Dec 16 23:07:29 +0000 2019,"@HeldyCarvalho We don't have any reports regarding that, but we can definitely look into it.  Please DM us with the serial number to your device and the email address listed on your account.  

*MH https://t.co/Lkwjtrg6oL",en,Garmin
Mon Dec 16 22:56:29 +0000 2019,"@KtheTri Hi!  That definitely needs to be looked at.  Since you're in Hong Kong you'll want to reach out to their team (we are in the United States).  They will be able to provide you with options.  Here is their contact information: https://t.co/DOJJI4viqe

*MH",en,Garmin
Mon Dec 16 20:47:37 +0000 2019,"@DontForget2Move Oh no! I'm very sorry to hear about your Forerunner 235, but would love an opportunity to help! Please use the link below to send us the following:

• Serial #/Unit ID to your Forerunner 235
• Email address
• Detailed description of your situation

Kind regards,
(KS) https://t.co/Lkwjtrg6oL",en,Garmin
Mon Dec 16 20:18:35 +0000 2019,"@HeldyCarvalho Hi!  Thanks for reaching out.  We haven't had many issues with the heart rate.  What are you experiencing?  Feel free to send us a DM with the information.  

*MH https://t.co/Lkwjtrg6oL",en,Garmin
Mon Dec 16 19:29:30 +0000 2019,"@pieceandpam (2/2) Afterward, please sync with Garmin Connect, as this will download fresh GPS ephemeris data. If that doesn't fix it, please contact our support team at the following link:
https://t.co/MHsgrJWAzL
~JH",en,Garmin
Mon Dec 16 19:29:00 +0000 2019,"@pieceandpam (1/2) This issue is most likely tied to a corrupt GPS cache, please try the steps in this article: 
https://t.co/Am9jXU9nji 

However, in addition to the Activities folder, please delete the NewFiles and RemoteSW folders as well (as these contain GPS cache files).",en,Garmin
Mon Dec 16 17:50:31 +0000 2019,"@Outlier1952 Hi!  I'd recommend sending our design team a formal request, so they can review it for possible future implementation: https://t.co/WdZ2QCcm6A

Please let us know if we can further assist.  

*MH https://t.co/Lkwjtrg6oL",en,Garmin
Mon Dec 16 16:43:42 +0000 2019,"@bastienchanot I’m sorry to hear about this, Bastien. Please get in touch with our support office at the following link so they can get more information and further assist you:
https://t.co/7sHbG0aW7b
~JH",en,Garmin
Mon Dec 16 15:15:01 +0000 2019,Each day has its challenge. Get out there and see what you can conquer. #Forerunner4Runners https://t.co/tcg1Xz5DQz,en,Garmin
Mon Dec 16 12:37:42 +0000 2019,"@GSukhmani Ok great!  We're glad to hear that!

*MH",en,Garmin
Mon Dec 16 04:28:33 +0000 2019,"@PMArcand Hi There! I'd like to see what I can do to help you out! Please send us a DM with your address, phone number, email address and serial number. Thank you -MR https://t.co/Lkwjtrg6oL",en,Garmin
Mon Dec 16 02:59:32 +0000 2019,"@weegfifer I'm sorry to hear this. Would you check the software version on your watch? It can be found under Settings &gt; System &gt; About
-OA",en,Garmin
Sat Dec 14 22:11:00 +0000 2019,"@KenneJohnston Hi, Kenne!  Well that definitely doesn't look right. Does that happen on any app you try to add to your device, or just that particular one?  Feel free to send us a DM with your account email address and the serial number to your device.  

*MH https://t.co/Lkwjtrg6oL",en,Garmin
Sat Dec 14 20:44:00 +0000 2019,"@Thierry_Boch Hi!  We'd love to answer the question you have for us.  

*MH",en,Garmin
Sat Dec 14 15:44:00 +0000 2019,"@CaptainHaddoock Hi!  That's a great question.  There isn't a way to do that but sounds like a great idea for our Ideas Portal. Our team looks at these ideas for possible implementation.  Here's the link to the portal: https://t.co/kkaLEufm4n

*MH",en,Garmin
Sat Dec 14 00:23:00 +0000 2019,"@_bipul I'm sorry to hear about the trouble. Our social media team is based in North America, so I would recommend getting in touch with our India office for assistance. Contact info here: https://t.co/EILzTFhJEN
-OA",en,Garmin
Fri Dec 13 22:46:27 +0000 2019,"@SassyEwe I'm very sorry for the trouble and would be happy to look into this with you. If you would, please use the link below to send the following:

• Serial #/Unit ID to your device
• Email address
• Detailed description of the issue(s) you've experienced 

Kind regards,
(KS) https://t.co/Lkwjtrg6oL",en,Garmin
Fri Dec 13 22:38:57 +0000 2019,"@paul_magno I haven't heard anything about this, but you're welcome to use our Ideas Portal to suggest we do so: https://t.co/kkaLEufm4n

Feature requests and improvement suggestions sent through this portal are read by Garmin engineers for future consideration. (KS)",en,Garmin
Fri Dec 13 22:38:31 +0000 2019,"@rip_pyt I'm sorry to hear about the trouble. Please DM me your mailing address, contact info (email and phone), and the device's serial number. Thank you.
-OA https://t.co/Lkwjtrg6oL",en,Garmin
Fri Dec 13 22:23:00 +0000 2019,"@rwhillrunner (2/2) Please send me a private message with the following details so I can see what the best options are for you:
• Your email address
• Your postal address
• Your phone number
• Your Garmin’s serial number
~JH",en,Garmin
Fri Dec 13 22:22:36 +0000 2019,"@rwhillrunner I’m so sorry about the delayed response and the poor experience. I’ve read your Strava post and I’d love to work with you and a better outcome. 
(1/2)",en,Garmin
Fri Dec 13 21:14:38 +0000 2019,"@jdlivelaughlove Hi!  I'm so sorry to hear about the experience.  I'd like to see what we can do for you.  Please send us a DM with the email address used as well as the order number.  We look forward to assisting you.  

*MH https://t.co/Lkwjtrg6oL",en,Garmin
