created_at,full_text,lang,user_name
Wed Dec 18 18:00:00 +0000 2019,Clear your calendar! The final 6 episodes of @MadAboutYouTV are now available to binge #OnDemand. #SpectrumOriginals https://t.co/oDM2Bl2KOk,en,Spectrum
Sat Dec 14 17:00:01 +0000 2019,Give yourself something extra nice—shop the best #mobile devices of the #holiday season.,en,Spectrum
Tue Dec 10 17:00:00 +0000 2019,Leonardo DiCaprio. Brad Pitt. Margot Robbie. Enough said. #OnceUponATimeInHollywood is now available #OnDemand. https://t.co/yQPGE82Q88,en,Spectrum
Wed Dec 04 17:00:00 +0000 2019,"6. More. Episodes! The final batch of #MadAboutYouTV episodes will be available Wednesday, Dec. 18—binge them free #OnDemand. https://t.co/TUJrJeiVwj",en,Spectrum
Sat Nov 23 17:00:01 +0000 2019,"Blow socks out of the water. This #BlackFriday, give a #gift they’ll remember and use for years to come. https://t.co/InLA8bfmP0",en,Spectrum
Wed Nov 20 17:12:01 +0000 2019,All new #MadAboutYouTV episodes? It’s true and free #OnDemand! Which character are you excited to catch up with?,en,Spectrum
Mon Nov 18 18:00:00 +0000 2019,Race over to #OnDemand—#FastFurious Presents: @HobbsAndShaw starring @DwayneJohnson is now available! https://t.co/PZXZM7Z12Y,en,Spectrum
Thu Nov 14 18:04:09 +0000 2019,RT @people: Helen Hunt and Paul Reiser Had Regular Lunch Dates After Mad About You Ended 20 Years Ago https://t.co/WD3Pm9Hrqj,en,Spectrum
Tue Nov 12 17:00:00 +0000 2019,Finding the best #holiday #deals takes devotion—and #data! Get unlimited data from #SpectrumMobile and shop without second thought all season long. https://t.co/4L7usHKbep,en,Spectrum
Fri Nov 08 17:00:00 +0000 2019,"A new chapter begins… #SpectrumOriginals presents the return of #MadAboutYouTV. Watch it #OnDemand beginning Wednesday, Nov. 20th! https://t.co/Vx84SwVGV3",en,Spectrum
Thu Oct 31 17:00:00 +0000 2019,"Make the Monsters proud tonight. Here’s to a safe and Happy Halloween. 
#HappyishHalloween  #SpectrumMonsters https://t.co/32A1F2lWNn",en,Spectrum
Sat Oct 26 17:33:01 +0000 2019,"@strauby I do understand the frustration.  I was in a similar situation as my device was not initially compatible and then a few weeks later it was compatible, so I do recommend continuing to check back on the site.  Thanks. ^DS",en,Spectrum
Sat Oct 26 17:08:39 +0000 2019,"@strauby Thank you for the question.  Our apologies for the frustration that your Pixel 2 XL is not available as a BYOD at this time.   In some cases, compatibility is related to the network technology used.  We continue to expand our BYOD list of compatible de... https://t.co/jWKT6H6hjA",en,Spectrum
Sat Oct 26 16:47:35 +0000 2019,@strauby Hello and thank you for reaching out.  What questions can we answer for you regarding Spectrum Mobile? ^DS,en,Spectrum
Fri Oct 25 17:00:01 +0000 2019,"Scary movies…. Whether you love them or hate them, they are #OnDemand. Are you brave enough to host a #Halloween movie night? https://t.co/4vfZQeQfWT",en,Spectrum
Thu Oct 24 17:00:00 +0000 2019,"Even Monsters find Halloween shopping scary. 
#HappyishHalloween  #SpectrumMonsters https://t.co/fsuuLp12pd",en,Spectrum
Wed Oct 16 17:00:01 +0000 2019,"This Halloween, don’t be afraid to brush. 
#HappyishHalloween  #SpectrumMonsters https://t.co/EXzc4dd1El",en,Spectrum
Mon Oct 14 16:00:00 +0000 2019,"Switch to #SpectrumMobile—the smart choice. ⁣
$45 per line: ✔️⁣
Unlimited talk, text and data: ✔️ ⁣
Free calls to Mexico: ✔️ ⁣ https://t.co/NqadNYbh3U",en,Spectrum
Fri Oct 11 17:00:00 +0000 2019,"Not everybody loves Halloween. Hear it straight from the Monsters themselves. 
#HappyishHalloween  #SpectrumMonsters https://t.co/xkTyZaq4ie",en,Spectrum
Thu Oct 10 17:00:01 +0000 2019,Unlimited data. Unlimited text. Unlimited smack talk. 🏈 #NFL #Football #SpectrumMobile https://t.co/tRSIZimSMJ,en,Spectrum
Thu Oct 03 20:46:26 +0000 2019,Can the whispers be silenced? #TheWalkingDead premieres this Sunday on @AMC_TV at 9/8C—watch it on the #SpectrumTVApp. #TWD https://t.co/KuKbW89dGj,en,Spectrum
Fri Sep 27 17:00:00 +0000 2019,The champions fight for the title—watch @ErrolSpenceJR vs. @ShowtimeShawnP tomorrow at 9PM ET on #PPV! https://t.co/joiMV9mxn8,en,Spectrum
Sat Sep 21 00:00:00 +0000 2019,Uncontrollable power. Unimaginable choices. #DarkPhoenix is now available #OnDemand. https://t.co/dEC5r6LBRp https://t.co/qLkeDkbTNc,en,Spectrum
Fri Sep 20 22:59:41 +0000 2019,Be the best dressed when buying your new iPhone from Spectrum Mobile. #iPhonefabulous,en,Spectrum
Thu Sep 19 21:44:49 +0000 2019,"When you’re single, you stream what you want. Especially when you have unlimited data from #SpectrumMobile.👌#NationalSinglesWeek https://t.co/bJJljrvlle",en,Spectrum
Thu Sep 19 14:14:46 +0000 2019,Fashion Advice for pre-ordering your iPhone from Spectrum Mobile #iPhonefabulous,en,Spectrum
Fri Sep 13 17:15:43 +0000 2019,"When the #community comes together, everyone benefits. From home repairs to free giveaways our Community Impact Day in #LosAngeles was a hit. Take a look at a few of our favorite moments. #50kby2020 https://t.co/605vPLvljz",en,Spectrum
Fri Sep 06 18:00:00 +0000 2019,*Wags tail. Barks with excitement.* #TheSecretLifeofPets2 is now available #OnDemand! https://t.co/rq9s8PIoGx,en,Spectrum
Fri Sep 06 17:19:24 +0000 2019,@aram_nyc Thank you for bringing this to our attention Aram.  I have forwarded this to our local management team there to ensure that this is being addressed. ^DS,en,Spectrum
Tue Sep 03 16:33:18 +0000 2019,Ruh-roh—Scooby is turning 50! Celebrate by watching your favorite Scooby movies #OnDemand. Who’s your favorite #ScoobyDoo duo?,en,Spectrum
Wed Aug 28 21:05:19 +0000 2019,"Benjamin Franklin approves—join #SpectrumMobile and receive our best trade-in offer for your phone plus $100! 
              
Restrictions apply. For full details go to https://t.co/8KY2O1wgMW https://t.co/ZLyvtq6PBe",en,Spectrum
Wed Aug 28 02:34:02 +0000 2019,"@lieseleon @Ask_Spectrum Hello, I do apologize for the issues you are experiencing with our service and I will be happy to assist. Can you Follow/DM your account information including your full address and phone number?",en,Spectrum
Mon Aug 26 16:00:00 +0000 2019,Capturing a good photo of your 🐶 is hard. Sharing it is easy—show us your best shot for #InternationalDogDay! https://t.co/w1f2di0pyL,en,Spectrum
Thu Aug 22 21:09:58 +0000 2019,RT @SportsNetLA: TOMORROW we’re celebrating the grand opening of the @GetSpectrum store in Burbank with @buehlersdayoff &amp; the best fans in…,en,Spectrum
Mon Aug 19 21:51:01 +0000 2019,"RT @SportsNetLA: THIS Friday!
It’s your chance to meet @buehlersdayoff in Burbank. Can’t wait to see you all there! 🤝

Details: https://t.c…",en,Spectrum
