created_at,full_text,lang,user_name
Thu Dec 19 21:21:33 +0000 2019,"#ThankfulThursday Affiliates @hcanorthfl and @CapitalRegional 🏥teamed up to sponsor 51 children in need for the holidays. More than $10,000 worth of necessities and toys 🧸 will be donated to local organizations in need. #HCACares https://t.co/0aLMPmmVxj",en,HCA Healthcare
Thu Dec 19 15:18:47 +0000 2019,"DAY 7 of HCA Healthcare’s #12DaysofCaring: A heartwarming duet in Music City is going viral between HCA Healthcare nurse, Alex Collazo, and oncology patient, Penn Pennington.

#WATCH the duo’s viral rendition of the holiday classic, “O Holy Night"" here: https://t.co/2FVAx5Yowr",en,HCA Healthcare
Wed Dec 18 22:21:05 +0000 2019,"Not all heroes wear capes — some wear scrubs, lab coats and stethoscopes.

In our final edition of #WDYDW for the year, it is our pleasure to introduce you to Dr. Thomas Rauth, pediatric surgeon at affiliate The Children's Hospital at TriStar Centennial! https://t.co/1HOOYbu7vf https://t.co/rnJM0dW0KA",en,HCA Healthcare
Wed Dec 18 19:19:43 +0000 2019,"❄️DAY 6❄️ of HCA Healthcare’s 12 Days of Caring: @foxandfriends recently celebrated #NICU nurse Shannon Younginer! 

She crafted ""ugly"" sweaters for her tiny patients to spread cheer this holiday season. 

#Watch: https://t.co/9qe3jyyT3y. https://t.co/zbHgZC9Lwk",en,HCA Healthcare
Wed Dec 18 12:23:15 +0000 2019,"RT @CDC_NCEZID: You can’t see them, but germs are everywhere. Learn when and how you should wash your hands to stay healthy. https://t.co/w…",en,HCA Healthcare
Tue Dec 17 17:41:18 +0000 2019,"We work for giving it back and paying it forward. Caring for communities is part of our promise to improve more lives in more ways. Last year our colleagues donated 156,000 hours volunteering their time and $9.5M of their own money to strengthen their communities. 

#WeWorkFor https://t.co/otHncz1tDG",en,HCA Healthcare
Tue Dec 17 00:32:49 +0000 2019,"This is how we care on DAY 4 of HCA Healthcare's #12DaysOfCaring! #HCACares🧡

More than 200 volunteers from affiliate @HCAHouston helped inspect, sort and repackage donated food items at the @HoustonFoodBank. We love seeing colleagues give back! https://t.co/2I3cYooVDZ",en,HCA Healthcare
Mon Dec 16 18:46:37 +0000 2019,"HCA Healthcare’s Dr. Jonathan Perlin, speaks on our learning health care system in @nejmcatalyst, a new digital journal dedicated to identifying the most impactful ideas to accelerate health care delivery transformation. 

➡️https://t.co/Rl4pVk0AnO

#NEJMCatalyst #hcldr https://t.co/bA9ETUVN48",en,HCA Healthcare
Mon Dec 16 15:45:09 +0000 2019,"#MondayMotivation Your mental and emotional health are just as important as your physical health. 

This week, hear from our colleagues on how to practice self care during the holiday season: https://t.co/zw9x3oGEV3 #HealthierTomorrows #ImproveMoreLives https://t.co/9njOccpMEV",en,HCA Healthcare
Sun Dec 15 18:45:58 +0000 2019,"It’s DAY 3 of HCA Healthcare’s #12DaysofCaring!

Today we’re bringing you to Miami, Florida where affiliate @KendallRMC – home to the #1 burn hospital in South Florida – partnered with the Burn Foundation of America to care for our pediatric burn patients during the holidays. https://t.co/godKE81cWW",en,HCA Healthcare
