created_at,full_text,lang,user_name
Mon Dec 16 15:36:54 +0000 2019,"For the 21st year, we're spreading Holiday Cheer!⛄🎁

Learn more about the annual #HSCares initiative to help families have a fun &amp; festive holiday season: https://t.co/DHmBHSawDU https://t.co/J7J5667G67",en,Henry Schein
Tue Dec 10 15:53:11 +0000 2019,"""It takes a village to create change in a community, and everyone at this Company is willing to pitch in."" #IAMTEAMSCHEIN

Interested in joining Team Schein? Visit us for opportunities: https://t.co/pDGqBGBxzs https://t.co/w59S9li5dv",en,Henry Schein
Thu Dec 05 18:56:47 +0000 2019,"“Over 60 million Americans face unequal access to care, and by partnering with Henry Schein, we can bring together the stakeholders relevant to help provide true access to care for people with disabilities,” said Neil Romano, Chairman of the @NatCounDis",en,Henry Schein
Thu Dec 05 18:56:46 +0000 2019,Henry Schein and the National Council on Disability Ally to Improve Access to Care for Americans With Disabilities: https://t.co/yDc1Ru3eV9 https://t.co/KqCMm91KGJ,en,Henry Schein
Wed Dec 04 21:28:58 +0000 2019,Henry Schein was proud to support the relief efforts surrounding Hurricane Michael. https://t.co/Y6hPIyAMiy,en,Henry Schein
Tue Dec 03 19:59:03 +0000 2019,"Henry Schein Chairman and CEO Stanley M. Bergman Honored for Advancing Diversity and Inclusion in Dentistry: https://t.co/raFjwKGuNB 
@AmerDentalAssn #GNYDM https://t.co/TOIy7LMIQt",en,Henry Schein
Tue Nov 26 14:03:39 +0000 2019,"""You can tell how much the people here care about your professional development and desire to see you grow — I don’t know if I’d find that in many other places."" #IAMTEAMSCHEIN

Interested in joining Team Schein? Visit us for opportunities:
https://t.co/pDGqBGBxzs https://t.co/nBzeZ1MpJZ",en,Henry Schein
Tue Nov 26 00:24:00 +0000 2019,"""I learned the meaning of Thanksgiving in a gas station in Iowa.""​ - Kabinga Pande

This #TeamSchein Member's story captures the spirit of Thanksgiving, as shared by Stanley Bergman on @LinkedIn. https://t.co/ixdnp60NHV",en,Henry Schein
Fri Nov 22 17:00:22 +0000 2019,"We'll be presenting new products and solutions, educational offerings, and thought leadership discussions at the Greater New York Dental Meeting, Dec. 1-4, 2019. Visit us at booth #4225! 

Learn more: https://t.co/mLa69WHWKV #GNYDM https://t.co/tCMS15Qbao",en,Henry Schein
Fri Nov 15 20:07:23 +0000 2019,"🎉 Times Square was lit up in commemoration of Stanley Bergman's 30th anniversary as Chairman and CEO of Henry Schein, thanks to @Nasdaq! 🎉

For more on this milestone, check out Stan's latest LinkedIn Influencer entry here: ▶️ https://t.co/unrfLkjfaf ◀️ https://t.co/Bljr66dmLa",en,Henry Schein
Fri Nov 15 16:09:14 +0000 2019,"This year, #TeamSchein Members from around the world took part in the second annual We Care Global Challenge benefitting global nonprofits dedicated to the fight against cancer.

Learn more: https://t.co/mdogCvWZqf #HSCares https://t.co/Ri9j6fQNdF",en,Henry Schein
Tue Nov 12 13:55:02 +0000 2019,Henry Schein to Present at the Credit Suisse 2019 Healthcare Conference: https://t.co/3GLeSJLPFy https://t.co/OjH49GJw7K,en,Henry Schein
Thu Nov 07 17:00:02 +0000 2019,"Lesson #3 - Collaboration is a must.

Read five lessons from Stanley Bergman, Chairman and CEO of Henry Schein, as he reflects on his 30 years in the role. https://t.co/unrfLkjfaf",en,Henry Schein
Tue Nov 05 14:26:01 +0000 2019,"Henry Schein Reports Record Third Quarter 2019 Financial Results From Continuing Operations

Read more: https://t.co/82cXAASr71 https://t.co/QERjPBHv7v",en,Henry Schein
Mon Nov 04 15:27:34 +0000 2019,"@SMPxO Hi Stacey, please send more details (your practice name and location) to us in a private message, so that we can forward to the appropriate team. We would like to look into this further.",en,Henry Schein
Fri Nov 01 20:11:05 +0000 2019,"Give Kids A Smile 2020 is just around the corner!😁

Register your program before November 13 to be eligible for a donation of supply kits from Henry Schein: https://t.co/x1okfXBvaV https://t.co/ok4yV9tJ9p",en,Henry Schein
Fri Nov 01 17:02:02 +0000 2019,"Does the excitement of working for a startup, with all its risk, exceed the benefits of a profitable, stable, established company? 

Stanley Bergman shares his perspective on the subject in his latest @LinkedIn  Influencer article. https://t.co/nWfubmqlkv",en,Henry Schein
Thu Oct 31 20:29:01 +0000 2019,"The Henry Schein Disaster Relief Hotline is open to support customers affected by the #CaliforniaFires. 

Health care practitioners who may experience operational issues are encouraged to call 800-999-9729.

Learn more: https://t.co/eNDRW2a2s8 https://t.co/uL4zoVRimr",en,Henry Schein
Wed Oct 30 16:01:48 +0000 2019,"Dental equipment is constantly evolving, but the core of a service technician's career remains the same: Serve as a trusted adviser and partner to dentists.

Thomas Guarino reflects on 37 years as a service technician: https://t.co/rlydK5CJjh (@DentalDealerMag) https://t.co/rjClt8r4Jt",en,Henry Schein
Mon Oct 21 11:37:28 +0000 2019,Henry Schein To Be Dismissed From Summit County Opioid Litigation: https://t.co/h5NsTyAVFL https://t.co/tR8ElscGtT,en,Henry Schein
Wed Oct 16 16:52:05 +0000 2019,U.S. Federal Trade Commission Judge Dismisses Claims Against Henry Schein: https://t.co/2VINaYUjoQ https://t.co/9Ll3Q9BYVX,en,Henry Schein
Tue Oct 15 21:29:38 +0000 2019,"“On behalf of #TeamSchein, it is an honor to receive this recognition from NNOHA, a partner that has helped pave the way for access to care for underserved populations across the country,"" said Stanley Bergman, Chairman &amp; CEO, @HenrySchein",en,Henry Schein
Tue Oct 15 21:29:37 +0000 2019,"Henry Schein Chairman and CEO Stanley M. Bergman Receives the National Network for Oral Health Access President’s Award: https://t.co/LDffKJivcu 
@NNOHA https://t.co/PxAnhLdC9T",en,Henry Schein
Sat Oct 12 11:30:03 +0000 2019,"#SCWeek Spotlight: Henry Schein Supply Chain has unique expertise and support for onboarding and servicing both our small and large customers, including Dental Service Organizations and hospital systems.

📦 🚚 🏥 🤝 

@AHRMMtweets  #TeamSchein https://t.co/b322coBwHy",en,Henry Schein
Fri Oct 11 22:38:06 +0000 2019,"""Henry Schein's inclusive environment unleashes the power of our diversity. Each of us has the opportunity to encourage dialogue, to empower others to share insights, and to ensure that our fellow TSMs feel a sense of belonging.""
- Stanley Bergman, Chairman &amp; CEO
#WearTheRibbon https://t.co/AiEXDyS205",en,Henry Schein
Fri Oct 11 19:16:12 +0000 2019,"#SCWeek Spotlight: Thanks to our innovative technology &amp; dedicated team, our Supply Chain has industry-leading fill rates, accuracy and time in transit. Want to learn more? Get at inside look at our supply chain here: https://t.co/z5sDCeOC6p 
📦 🚛 🌎 🌐
@AHRMMtweets  #TeamSchein https://t.co/jwR7v3mgDh",en,Henry Schein
Thu Oct 10 21:16:02 +0000 2019,"#SCWeek Spotlight: Henry Schein Supply Chain has industry-leading cold chain solutions our customers can rely on.

📦 🚚 🌡️ ❄️

@AHRMMtweets  #TeamSchein https://t.co/CYh8w6K8yU",en,Henry Schein
Mon Oct 07 18:30:07 +0000 2019,"#SCWeek Spotlight: We partner with @UPS to be able to provide one-day shipping to 93% of our domestic customers without the use of air transportation. We achieve the same speed as air travel, but with far fewer emissions!
📦🚛💨🍃 

@AHRMMtweets #TeamSchein https://t.co/ktwk8skXHJ",en,Henry Schein
