created_at,full_text,lang,user_name
Fri Dec 20 10:53:44 +0000 2019,"@joellinton Hello Joel, oh no! This is not reflective of our Hilton hospitality. Please direct message us so we can make things right. -Giuseppe",en,Hilton Hotels
Fri Dec 20 10:31:30 +0000 2019,@vinod_murpani Hello Vinod. Feel free to follow and DM us your query in order for us to further advise. Thanks. -Ale,en,Hilton Hotels
Fri Dec 20 04:59:08 +0000 2019,"@ryan_ackland Ryan, we never meant to let you down. We'd like to have a conversation about this to help make things right. Please send us a DM below and we will be on the lookout for your message. -Cindi",en,Hilton Hotels
Fri Dec 20 04:52:17 +0000 2019,@sazzysays Hi there! We are happy to look into this for you and provide the information on breakfast-included stays.  Can you please send us a DM with the name of the hotel you are looking at and the dates you are looking to stay there?  Thanks and we look forward to your DM. -Jaye,en,Hilton Hotels
Fri Dec 20 04:41:42 +0000 2019,@FrankieBFinance We'd love to match his status! He can visit https://t.co/k34aFVhkGW to learn more and request a match! ~Denise,en,Hilton Hotels
Fri Dec 20 04:28:44 +0000 2019,"@youngbizmktg Oh no!  That is not the customer service experience we want for you. Please send us a private message with your details so we can help turn this around. Kind Regards, -Jaye",en,Hilton Hotels
Fri Dec 20 03:35:52 +0000 2019,"@scott8514 Great way to turn this into a positive! Be safe up there, Scott! Have a great evening. -Tasmari",en,Hilton Hotels
Fri Dec 20 03:13:45 +0000 2019,"@mjstanesic Mary, 

We're sorry to hear of your experience. It's important for us to understand if these calls are from Hilton or not. Can you send a DM to us with the numbers that appeared on your caller ID? Thank you. -Kira",en,Hilton Hotels
Fri Dec 20 03:09:45 +0000 2019,@travelin_always Oh no! This is not reflective of our Hilton hospitality. Please send us a DM with your stay details so we can help. Thank you. - Jewels,en,Hilton Hotels
Fri Dec 20 02:54:48 +0000 2019,@sulthan1 Oh no! This is not reflective of our Hilton hospitality. Please private message us so we can make things right. -Cindi,en,Hilton Hotels
Fri Dec 20 02:45:37 +0000 2019,@Kalbozey tagged in tweet,en,Hilton Hotels
Fri Dec 20 01:39:46 +0000 2019,@GJonShelton We'd love to match your status! Please submit your request at https://t.co/ZCmrEjPUF4.  -Cindi,en,Hilton Hotels
Fri Dec 20 01:21:38 +0000 2019,"@scott8514 Oh goodness! We're sorry to learn that you're stuck on the elevator, Scott. Please let us know if there is anything we can do to assist. -Tasmari",en,Hilton Hotels
Fri Dec 20 00:22:18 +0000 2019,@CraigHarrald Oh no! Please send us a DM to discuss the details further with what occurred during your family's transfer to the airport. Let's see how we can make this right. -Zon,en,Hilton Hotels
Thu Dec 19 20:45:09 +0000 2019,"@cwaier Thank you for the reply, Chris. We have sent a DM to follow up. -Alex",en,Hilton Hotels
Thu Dec 19 19:03:08 +0000 2019,@janbusted That is wonderful news.  We are always here if you need us!-Jen,en,Hilton Hotels
Thu Dec 19 18:06:05 +0000 2019,@CynCampbell We would like to help make things right. Please follow and DM so we can look into this. Thank you. -Alex,en,Hilton Hotels
Thu Dec 19 18:03:05 +0000 2019,"@cwaier Oh no, Chris! This is not reflective of our Hilton hospitality. Please follow and DM so we can make things right. Thank you. -Alex",en,Hilton Hotels
Thu Dec 19 17:30:26 +0000 2019,"@MattMartinGFT Hello! We are so sorry to hear that you are not feeling the stellar treatment you deserve as a Hilton Honors Diamond member! and want to get to the bottom of this! Please follow and DM us with your full name, Hilton Honors # &amp; email address. Thank you kindly -Julie",en,Hilton Hotels
Thu Dec 19 17:15:30 +0000 2019,"@janbusted Oh no! This is not reflective of our Hilton hospitality. Please send us a DM with your confirmation number, email address and contact phone number so we can look into this for you. Thank you - Fran",en,Hilton Hotels
Thu Dec 19 17:15:01 +0000 2019,"@janbusted JaniceB, we never meant to let you down. Please send us a DM with your confirmation number, email address and contact phone number so we can look into this for you. Thank you - Fran",en,Hilton Hotels
Thu Dec 19 16:34:31 +0000 2019,"@CynCampbell Thank you for the reply, Cynthia! Please follow and DM @HiltonHotels so we can help. -Alex",en,Hilton Hotels
Thu Dec 19 16:23:09 +0000 2019,@CynCampbell Oh no! This is not reflective of our Hilton hospitality. Please message us below so we can make things right.-Allie,en,Hilton Hotels
Thu Dec 19 13:51:23 +0000 2019,"@BigBallerChuck Chuckie, we never meant to let you down. We'd like to have a conversation about this to help make things right. Please send us a DM below and we will be on the lookout for your message.- Allie",en,Hilton Hotels
Thu Dec 19 06:45:49 +0000 2019,"@oliviacappel We're sorry to hear your friend is having billing issues with the hotel. We'd like to ask the hotel to reach out to her. Can you please send a DM with the confirmation number, email address, and the Hilton Honors number attached the the reservation? We await your reply. -Natalie",en,Hilton Hotels
Thu Dec 19 03:09:23 +0000 2019,"@eastbill Thank you for your loyalty, Bill! We hope that you start feeling better! Kind regards. - Jewels",en,Hilton Hotels
Thu Dec 19 01:07:19 +0000 2019,@megbiddle We will look into this ASAP.  Please send us your stay details over DM and we will get to the bottom of this for you.  -Michelle,en,Hilton Hotels
Thu Dec 19 00:56:00 +0000 2019,@lizonaplane Hey! We do like to know how things are going but we totally understand when it gets to be too much. Let's see what we can do about it. Can you send us a DM with your stay details so that we can locate your reservation? We're here to help. -Natalie,en,Hilton Hotels
Thu Dec 19 00:30:08 +0000 2019,@_AmyScanlon You need some help and that's what we're here for! Can you please send us DM with the details of your issue and your Hilton Honors info so we can locate your account? We look forward to hearing from you soon! -Natalie,en,Hilton Hotels
Wed Dec 18 23:42:11 +0000 2019,"@AmydixonPR We are sorry that you had a poor experience, but we would like to see how we can help make it right.  Please DM us details when you have a moment. -Michelle",en,Hilton Hotels
Wed Dec 18 23:07:19 +0000 2019,@BrambleNicola We'd like to further review and kindly ask that you DM your reservation details.-Kim,en,Hilton Hotels
Wed Dec 18 22:27:25 +0000 2019,@BrambleNicola Oh no! This is not reflective of our Hilton hospitality. Please message us below so we can make things right.-Kim,en,Hilton Hotels
Wed Dec 18 21:05:59 +0000 2019,"@DillardJ32 That's what we're here for, Justin. Where will you travel with us in 2020?",en,Hilton Hotels
Wed Dec 18 21:05:28 +0000 2019,@clifford_sam This is definitely not how we want your trip to start out. Please follow and DM your complete booking details so we can help make things right. Thanks! -Charlee,en,Hilton Hotels
Wed Dec 18 18:40:21 +0000 2019,"@BrettStolz Hello Brett, Thank you for the reply. We will be following up by DM in a few minutes. -Alex",en,Hilton Hotels
Wed Dec 18 18:29:27 +0000 2019,"@Christine9185 Hi Chrissy, this isn't how we want your trip to start out. Please send us a private message with your booking details so that we may make this right.-Amanda",en,Hilton Hotels
Wed Dec 18 18:27:51 +0000 2019,@BrettStolz Oh no. Brett! This is not reflective of our Hilton hospitality. Please follow and DM so we can make things right. Thank you. -Alex,en,Hilton Hotels
Wed Dec 18 18:00:38 +0000 2019,"@donna_centrella Hi there!  We are happy to assist you! Please send us a private message with your details so we can reach out to the hotel on your behalf. Thank you.-Jen
""",en,Hilton Hotels
Wed Dec 18 17:41:48 +0000 2019,@Sharon_Wales Hi Sharon! We would like to help as soon as we can. Please follow and DM so we can look into this. Thank you. -Alex,en,Hilton Hotels
Wed Dec 18 16:59:49 +0000 2019,@Bluehasia We're sorry you're still dealing with this. Please follow and DM your complete booking details so we may look into it. Thanks! -Charlee,en,Hilton Hotels
Wed Dec 18 16:59:27 +0000 2019,@Bluehasia We're sorry you're still dealing with this. Please follow and DM your complete booking details so we may look into it. Thanks! -Charlee,en,Hilton Hotels
Wed Dec 18 15:55:06 +0000 2019,@eastbill You are most welcomed! -Charlee,en,Hilton Hotels
Wed Dec 18 15:23:17 +0000 2019,@eastbill We are reaching out now by phone.  We suggest deleting this public Tweet with your phone number as we take your privacy and security seriously.  Thank you.-Jen,en,Hilton Hotels
Wed Dec 18 15:13:08 +0000 2019,@eastbill Oh no! This is not reflective of our Hilton hospitality. Please follow and DM so we can make things right. Thank you. -Alex,en,Hilton Hotels
Wed Dec 18 13:42:28 +0000 2019,@allenabbottg Hi Allen. This is not the experience you deserve. Please send us a DM with further details so we can help make things right. Thank you. -Emily,en,Hilton Hotels
Wed Dec 18 13:38:43 +0000 2019,@MartinC93414706 Thanks for reaching out about your account issue. We'll be happy to review your account. Please DM us so we may further assist. Thanks. -Pam,en,Hilton Hotels
Wed Dec 18 10:10:07 +0000 2019,@patonhollie Hi Hollie. This is certainly not reflective of our Hilton hospitality. Please kindly send us a DM with further details so we may look into this and make things right. Thanks. -Emily,en,Hilton Hotels
