created_at,full_text,lang,user_name
Thu Dec 19 20:25:01 +0000 2019,"#STDs aren't just a problem for younger people. According to the @CDCgov, the number of cases rose sharply among Americans age 55+ between 2014 and 2018. Read more from @EverydayHealth: https://t.co/PwjbXxmPiB.",en,Hologic
Thu Dec 19 19:32:06 +0000 2019,Our colleagues took a break from work this week by putting on their best holiday outfit and participating in our Ugly Holiday Sweater Contest and Bake-off! How are you getting into the #holidayspirit? https://t.co/BxNLElMLux,en,Hologic
Thu Dec 19 15:00:28 +0000 2019,Half of all gynecologist visits in the US are motivated by an inflammation of the vagina called vaginitis. Read about newly available diagnostic tests in recently published study https://t.co/i6xAC1qU5K,en,Hologic
Wed Dec 18 19:33:01 +0000 2019,"Congratulations to our Diagnostics Division, which recently topped the Best Service and Best System Performance categories for molecular #diagnostics in the annual @IMVResearch ServiceTrek rankings! https://t.co/wUbKuyiaNN",en,Hologic
Wed Dec 18 17:00:57 +0000 2019,What's the latest with the flu in your neighborhood? Check out the CDC's weekly flu season statistics. #fluseason2019_2020. https://t.co/95CXQjtnno https://t.co/w7YJYe1DF0,en,Hologic
Wed Dec 18 15:45:51 +0000 2019,"Congratulations to our Diagnostics Division, which recently topped the Best Service and Best System Performance categories for molecular #diagnostics in the annual @IMVResearch ServiceTrek rankings! https://t.co/wmIp81SPNz",en,Hologic
Wed Dec 18 15:00:29 +0000 2019,Consolidate your menu and get 365 days of flexibility. The Panther Fusion broad menu of assays keeps your system running all year long. #fluseason2019_2020. https://t.co/XCY9Xu5MO2 https://t.co/zedU4Jmc1a,en,Hologic
Tue Dec 17 19:00:29 +0000 2019,"At Hologic, we're proud to provide a lifetime of care for women through screening, detection, and treatment. Learn more about our #healthcare solutions: https://t.co/GexnUKCe0r. https://t.co/qGazlETqye",en,Hologic
Tue Dec 17 17:19:01 +0000 2019,"With cold weather comes snow and ice! This winter, check out some of the tips from @OsteoporosisNOF for preventing #osteoporosis fractures: https://t.co/Cl6JS9qkzF. https://t.co/UV6A1ExFWB",en,Hologic
Tue Dec 17 15:00:32 +0000 2019,"When those flu samples start pouring in, automating the lab process is the smart choice. The Panther Fusion system’s ability to load from 1 to 120 samples simultaneously gives you the strength to respond efficiently to the ebb and flow of the flu season. #fluseason2019_2020 https://t.co/pzNkha90RV",en,Hologic
Mon Dec 16 19:00:29 +0000 2019,"Discover the benefits of the intuitive Fluent® fluid management system, designed to address the challenges facing the OR team during #hysteroscopic procedures: https://t.co/duymmItOD6 https://t.co/Lwk76K7NhD",en,Hologic
Mon Dec 16 15:26:07 +0000 2019,"At #MassWomen last week, we saw firsthand the opportunities for growth and empowerment. As an organization, Hologic is committed to supporting women build stronger relationships in both their personal and professional lives. https://t.co/eYQ9HfaE2b",en,Hologic
Mon Dec 16 10:00:06 +0000 2019,The LOCalizer™ wire-free guidance system’s radiofrequency identification (RFID) tag can now be implanted more than 30 days prior to a breast-conserving surgery. Read more from @EuropHospital https://t.co/Wf17FFYRIB. https://t.co/ZFaIW00CZy,en,Hologic
Fri Dec 13 17:01:24 +0000 2019,What's the latest with the flu in your neighborhood? Check out the CDC's weekly flu season statistics. #fluseason2019_2020. https://t.co/95CXQjtnno https://t.co/WwbVmOmxYJ,en,Hologic
Fri Dec 13 15:41:01 +0000 2019,We’re proud to have colleagues who are motivated to come to work each day by the impact they have on #womenshealth around the world. Lisa shares #WhyHologic. https://t.co/nlEKnlbkpU,en,Hologic
Thu Dec 12 23:07:03 +0000 2019,Thank you #MassWomen for another great conference and to all who spent time with our team today.  #womenshealth #careers #whyhologic https://t.co/c0mhrmAw2z,en,Hologic
Thu Dec 12 19:35:09 +0000 2019,"At #MassWomen? Need an afternoon pick-me-up? Swing by our ""Girlfriend's Lounge"" for some java and a chat about prioritizing your health. https://t.co/gJNIdMhprV",en,Hologic
Thu Dec 12 19:17:51 +0000 2019,We are honored to be a sponsor of #MassWomen this year! This commitment supports our motivation to providing healthier futures for women and their families everywhere. Come say hi to our team at the Hologic main booth!  #womenshealth https://t.co/qL0MrbaILo,en,Hologic
Thu Dec 12 18:32:20 +0000 2019,Making a transition in your career can be scary. Our CIO Trish Torizzo shares her experience about how she embraced change with excitement. #MassWomen https://t.co/HAELSawg2L,en,Hologic
Thu Dec 12 18:15:04 +0000 2019,Are you at #MassWomen and looking to make a #career move? Visit the Hologic booth to learn more about the opportunities at Hologic! https://t.co/QauSXQTQM3,en,Hologic
Thu Dec 12 17:26:39 +0000 2019,"Our CEO Steve MacMillan, CFO Karleen Oberton, board of director members Sally Crawford and Amy Wendell and other members of our leadership team were at the #MassWomen opening reception last night showing their support for women empowerment and growth in the workplace and beyond! https://t.co/HeN7sZM53M",en,Hologic
Thu Dec 12 17:00:59 +0000 2019,What's the latest with the flu in your neighborhood? Check out the CDC's weekly flu season statistics. https://t.co/95CXQjtnno #fluseason2019_2020. https://t.co/wc17rdyaVB,en,Hologic
