created_at,full_text,lang,user_name
Thu Dec 19 17:00:43 +0000 2019,Want to make a meaningful difference to patients with cancer? Search our #oncology careers: https://t.co/lGULqA64Ii https://t.co/SOaf8Ll5Of,en,AbbVie
Wed Dec 18 21:30:05 +0000 2019,"In the scientific community, many ask: what more can be done in #RA? See how we’re addressing this question: https://t.co/sZ8mRLnlpq https://t.co/UvllMcHzeS",en,AbbVie
Wed Dec 18 17:00:26 +0000 2019,LATEST NEWS: Learn about our latest #rheumatology milestone: https://t.co/4hfjQ537Re https://t.co/JBWWxcne5k,en,AbbVie
Tue Dec 17 20:58:28 +0000 2019,@ClevelandRMH We’re honored to help provide a home away from home for children and their families when they need it most. #AbbVieGivesBack,en,AbbVie
Tue Dec 17 20:30:06 +0000 2019,"When you spend your day overseeing #compliance &amp; training documentation, what part of our culture is likely to resonate most? For Jason Cohan, our scientific compliance specialist, it’s acting with #integrity. See why: https://t.co/sF0rkJ47Dq #AbbVieLife https://t.co/bGejVvCNUB",en,AbbVie
Tue Dec 17 16:00:06 +0000 2019,See how researchers are helping make remission a reality for more people living with #RA: https://t.co/bwNPAvde9A https://t.co/2XMLDa37G4,en,AbbVie
Tue Dec 17 13:30:23 +0000 2019,Innovation is in our DNA. Watch this video to hear how our teams innovate for the greater good. Want to join us? https://t.co/HXhb7L6y3u #jobs #careers #talenttuesday https://t.co/sMHr7jA33c,en,AbbVie
Mon Dec 16 13:00:09 +0000 2019,Dr. Mei Khong believes that there’s no obstacle too great when working towards your true passion. Find out what obstacles she’s overcome to be a successful scientist. https://t.co/z152LLTYhO #ScientistsRock #MondayMotivation https://t.co/EXLr7sDLAt,en,AbbVie
Sat Dec 14 15:00:06 +0000 2019,What drives innovation in #rheumatology research? A vision to make remission a reality for more RA patients. Learn how: https://t.co/7vFZn1HWCg https://t.co/MLVm64jkwq,en,AbbVie
Fri Dec 13 21:00:12 +0000 2019,Dr. Mei Khong’s passion for visiting ancient sites like #ChichenItza has earned her the name “tomb raider.” Learn how her thrill of adventure drives her day-to-day work: https://t.co/wOM8PHTW1v #ScientistsRock https://t.co/8SMhkLv2bP,en,AbbVie
Fri Dec 13 19:50:37 +0000 2019,@nccusd Education is so important – we’re honored to partner with you to provide resources the students deserve.,en,AbbVie
Thu Dec 12 18:30:07 +0000 2019,New &amp; innovative technologies help us explore new solutions for people living with #autoimmune diseases. See how: https://t.co/P0yL58U5kB https://t.co/gd3d53Z4Pp,en,AbbVie
Tue Dec 10 23:00:06 +0000 2019,ICYMI: We announced long-term #CLL data from the MURANO trial. Read more: https://t.co/ybKEG7qeKH #ASH19 https://t.co/MCWzUHRGe6,en,AbbVie
Tue Dec 10 21:45:21 +0000 2019,The best and fastest way to deliver breakthrough medicines that treat #bloodcancer is through collaboration. Watch how our #oncology team works to improve patients’ lives. https://t.co/Z9qxGKZuVJ #ASH19 https://t.co/icCDYMq1D6,en,AbbVie
Tue Dec 10 20:00:24 +0000 2019,Chemotherapy-free combination regimens are becoming an important part of treating #bloodcancer today. Watch more on the evolution of this treatment option. #ASH19 https://t.co/LPEewjqaDV,en,AbbVie
Tue Dec 10 18:00:13 +0000 2019,Why are oncologists focused on resistant #clones in chronic lymphocytic #leukemia patients? Learn about the latest in #CLL research: https://t.co/jp3fTzc9wh #ASH19 https://t.co/rIG8MDLK7O,en,AbbVie
Tue Dec 10 16:00:08 +0000 2019,ICYMI: We presented combination data in previously untreated #CLL patients from the Phase 2 CAPTIVATE study. Read more: https://t.co/pFKDDsr3xy #ASH19 https://t.co/VgzJp3kE7Y,en,AbbVie
Tue Dec 10 14:30:05 +0000 2019,"For people living with #RA, remission could mean being able to return to everyday activities. See how research can help make this a reality: https://t.co/u0oaY2X2vv https://t.co/h79beAopdL",en,AbbVie
Tue Dec 10 13:30:21 +0000 2019,Ready to join a team of oncology problem solvers? Explore our #oncology careers: https://t.co/lGULqA64Ii #ASH19 https://t.co/hh3Ho9Bh5f,en,AbbVie
Mon Dec 09 23:32:50 +0000 2019,@UChicagoMed Congratulations Dr. Gajewski on the well deserved award.,en,AbbVie
