created_at,full_text,lang,user_name
Fri Dec 20 17:34:37 +0000 2019,"@londoncoolj We received your phone number and tried calling. It looks like we missed you, please let us know if we can try again later. -Kay",en,Regions Bank
Fri Dec 20 17:29:00 +0000 2019,@G59Blake Thanks for taking the time to speak with us today. Please feel free to DM us if we can help in the future. -Kay,en,Regions Bank
Fri Dec 20 17:25:27 +0000 2019,@golduniform Our apologies for any inconvenience this has caused. Thank you for taking the time to provide your feedback. We have forwarded your concerns to the appropriate channel. -Trish,en,Regions Bank
Fri Dec 20 17:16:31 +0000 2019,@G59Blake We have received your phone number and will be reaching out to you shortly. -Kay,en,Regions Bank
Fri Dec 20 17:11:31 +0000 2019,"@G59Blake We don't want you to feel this way. If there's something we can help with, please DM your phone number and we'll reach out to you. -Kay",en,Regions Bank
Fri Dec 20 17:10:33 +0000 2019,@Margies_List Our apologies for any frustration. We'd be glad to speak with you to learn more about your concerns and document them. Please DM your phone number and we can call you. -Kay,en,Regions Bank
Fri Dec 20 16:32:00 +0000 2019,"Hot name, cool place. Home to both a baseball legend and a notorious mobster, some interesting figures hail from @VisitHotSprings. See how this #Arkansas town attracts people for its beauty, history, and everything in between. #GoodTowns https://t.co/sd6TYjABrH",en,Regions Bank
Fri Dec 20 16:01:00 +0000 2019,@branball Our apologies for any frustration this has caused. Expedited CheckCards usually arrive within 1-3 business days. We do have select branch locations that are able to print CheckCards on site. Feel free to DM us to see if this service is available in your area. ^MLH,en,Regions Bank
Fri Dec 20 16:00:13 +0000 2019,"@csmitttyy_ We're sorry that you didn't receive a call back. We'll be glad to call you to formally document your concerns and see how we can help. If you'd like to speak with us, please send us a DM with your phone number. ^TF",en,Regions Bank
Fri Dec 20 15:42:00 +0000 2019,@KreeJackson Our apologies for any frustration. We'd be glad to speak with you to see how we can help. Please DM your phone number and we can call you. ^KG,en,Regions Bank
Fri Dec 20 15:39:29 +0000 2019,@JustinSeales Thanks for your response! Best of luck on your new business plan! ^KG,en,Regions Bank
Fri Dec 20 15:32:29 +0000 2019,@bmore_lucy We're sorry to hear about your customer service experience. We have forwarded your concerns to the appropriate channel and filed formal complaint on your behalf. ^MLH,en,Regions Bank
Fri Dec 20 15:32:00 +0000 2019,"@csmitttyy_ We don't want you to hate us. We'd be glad to address any questions or concerns that you may have. If you'd like to speak with a member of our team, please send us a DM with your phone number and we'll call you. ^TF",en,Regions Bank
Fri Dec 20 15:09:08 +0000 2019,@DJGreenVillain Our apologies for the wait. We'd be glad to speak with you. Please DM your phone number and we'll give you a call. ^KG,en,Regions Bank
Fri Dec 20 15:02:56 +0000 2019,"@meg_jass We're not aware of any issues at this time. If you'd like to further discuss the situation, please DM your phone number and we can call you. ^KG",en,Regions Bank
Fri Dec 20 14:56:25 +0000 2019,"@_trajana We're sorry to hear you feel this way. If there's a situation, we'd be glad to learn more to document your concerns. To further discuss, feel free to DM your phone number and we'll give you a call. ^MLH",en,Regions Bank
Fri Dec 20 14:51:00 +0000 2019,@londoncoolj We'd be glad to speak with you to document the situation. Please DM your phone number and we can call you. ^KG,en,Regions Bank
Fri Dec 20 13:29:01 +0000 2019,"Lee Blank, Regions Private Wealth Management Regional Executive, discusses factors to consider before lending money to family. Check out episode 3 of Regions Wealth Podcast, and subscribe via your favorite player for the latest episodes: 
https://t.co/4isX44u860 https://t.co/cicmDSew0a",en,Regions Bank
Thu Dec 19 22:53:24 +0000 2019,"@thecarolinamama We're sorry to hear about your extended hold time. We'd be glad to see how we can assist. To further discuss, feel free to DM your phone number and we'll give you a call. ^MLH",en,Regions Bank
Thu Dec 19 22:28:00 +0000 2019,"@bmore_lucy Our apologies for any frustration this has caused. We'd be glad to see how we can assist. To further discuss, feel free to send us a DM. ^MLH",en,Regions Bank
Thu Dec 19 22:02:29 +0000 2019,We’re honored to be selected as the Best Place to Work in Alabama! We have an amazing #LifeGreenTeam that makes it all possible! https://t.co/xTJbw5RyXk,en,Regions Bank
Thu Dec 19 22:02:00 +0000 2019,@BCAToday We appreciate the opportunity and selection of our organization! #Alabama is our home and we’re proud to represent our state!,en,Regions Bank
Thu Dec 19 19:06:26 +0000 2019,"@dbasolved We're very sorry for your extended wait time; however, we're glad to hear you were able to get this issue resolved. If we can help in the future, please don't hesitate to let us know. ^TF",en,Regions Bank
Thu Dec 19 18:43:00 +0000 2019,"@ScottElmoreWx We apologize for your wait time when visiting this location. We appreciate your feedback and have forwarded it to the appropriate channel for review. If you'd like to further discuss, please send us a DM with your phone number and we can call you. ^TF",en,Regions Bank
Thu Dec 19 18:25:00 +0000 2019,"@dbasolved We're sorry to hear you've experienced issues when trying to activate your CheckCard over the phone. We'd be happy to speak with you directly to assist you in activating your card. If you'd like to speak with us, please send us a DM with your phone number and we'll call. ^TF",en,Regions Bank
Thu Dec 19 18:13:00 +0000 2019,"@_kristybyrd We're sorry to hear you're having trouble reaching someone. If there's a situation we can help with, please send us a DM with your phone number and we'll call you. ^TF",en,Regions Bank
Thu Dec 19 17:42:53 +0000 2019,"@YoloSpinks Hi, there. We have received your DM, and will reach out shortly. ^MLH",en,Regions Bank
Thu Dec 19 16:59:59 +0000 2019,"@xxBreshawn If there's a situation, we'd be glad to learn more to document your concerns. To further discuss, feel free to send us a DM. ^MLH",en,Regions Bank
Thu Dec 19 16:24:36 +0000 2019,"@LMarganon We're sorry to hear about your customer service experience. We'd be glad to learn more to formally document your concerns. To further discuss, feel free to DM your phone number and we'll give you a call. ^MLH",en,Regions Bank
Thu Dec 19 15:18:00 +0000 2019,"@Todd_A_Durkin Make sure your seat belt is fastened at all times during the ride 🎢! If there's any assistance we can provide, feel free to send us a DM. ^MLH",en,Regions Bank
Thu Dec 19 15:12:00 +0000 2019,"@Pickleboogers We're sorry to hear of your extended hold time. We'd be happy to speak with you to see how we can help. If you'd like a call from a member of our team, please send us a DM with your phone number and we'll reach out. ^TF",en,Regions Bank
Thu Dec 19 14:59:54 +0000 2019,"@1sthousemoon We'd be glad to have you as a customer! To view the checking account options as well as the opportunity to open one in 10 minutes or less, visit https://t.co/byBSUyhV2a. ^MLH",en,Regions Bank
Thu Dec 19 14:59:00 +0000 2019,@mj86286482 We're sorry to hear this was your experience and would like to speak with you to document what happened. Feel free to DM your phone number and we'll reach out to you. ^KG,en,Regions Bank
Thu Dec 19 14:45:00 +0000 2019,"@davanoroyohaver Hi, there. If there's a situation we can help you with, please send us a DM with your phone number and we can call you. ^TF",en,Regions Bank
Wed Dec 18 21:15:59 +0000 2019,"@misstottie318 Thanks for reaching out to us. There isn't currently a known issue with the Regions Mobile Banking app. We'd be happy to speak with you to learn more. If you'd like to speak with us, please DM your phone number and we'll call you. ^TF",en,Regions Bank
Wed Dec 18 18:15:31 +0000 2019,"@GLMcK3 We're glad to help! If there's ever anything else we can help you with, please don't hesitate to let us know. ^TF",en,Regions Bank
Wed Dec 18 18:09:00 +0000 2019,Collaboration can mean many things and for #BloomingBirmingham it means organizations coming together to ROOT 🌻 for a great result! See how we all work together to make a difference in #BHAM! @ChildrensAL  @ProtectiveLife @LandscapeWrkshp https://t.co/HXQSdXjcfb,en,Regions Bank
Wed Dec 18 18:03:00 +0000 2019,@PeopleFund We’re glad we could join for such an important conversation. We appreciate the opportunity to participate!,en,Regions Bank
Wed Dec 18 17:14:28 +0000 2019,"@NoJusticeAl1 Thanks for bringing your concerns to our attention. We have forwarded this information to the appropriate group to review. If you’d like to chat further, DM your phone number and we can call. ^MH",en,Regions Bank
Wed Dec 18 17:04:56 +0000 2019,@BookemNash Wow! That's a lot of books! We're so proud to spread a little holiday cheer to the kids. We hope they enjoy them! ^TF,en,Regions Bank
Wed Dec 18 16:24:28 +0000 2019,"@GLMcK3 We don't want to lose you. We received your direct message with your phone number and tried calling but weren't able to reach you. If there's a better time to call you, please let us know. ^TF",en,Regions Bank
Wed Dec 18 16:24:00 +0000 2019,"@ChuckBaggett Hi. The deposit is made available on the morning of the date specified by the depositor. As soon as it is available, it will reflect in your balance via Online and Mobile Banking. If you have any other questions, feel free to DM your phone number and we'll give you a call. ^MLH",en,Regions Bank
Wed Dec 18 15:19:29 +0000 2019,"@NoJusticeAl1 Hi, there. It’s our goal to treat everyone fairly and consistently, so we don’t want this to be your impression of Regions. If there’s a situation we can address, DM your phone number and we’ll call to learn more about your concerns. ^MH",en,Regions Bank
Wed Dec 18 15:19:29 +0000 2019,"@GLMcK3 Hello. There's a $36 overdraft fee per transaction when charges post to your account without available funds. We'd be happy to review your Standard Overdraft Coverage election with you. If you'd like to discuss, please send us a DM with your phone number and we'll call. ^TF",en,Regions Bank
Wed Dec 18 15:16:29 +0000 2019,@yung_ndtatted We'd like to speak with you to document your concerns. Please DM your phone number and a member of our team will give you a call. ^KG,en,Regions Bank
Wed Dec 18 15:00:46 +0000 2019,"@50_Shades_Dark We're sorry to hear of your extended hold time. If there's a situation you'd like to discuss, we'd be happy to speak with you to learn more. If you'd like to speak with a member of our team, please send us a DM with your phone number and we'll call you. ^TF",en,Regions Bank
Wed Dec 18 14:54:00 +0000 2019,"@TENNESS15990988 Hi, there. If there's a situation we can help with, please DM your phone number and we'll give you a call. ^KG",en,Regions Bank
Wed Dec 18 14:51:55 +0000 2019,@RiverParishesCC It's our pleasure to support the RPCC Family!!,en,Regions Bank
Wed Dec 18 14:47:00 +0000 2019,@BhamCitySchools We're glad to host the Persuasive Points of View panel and we hope the students enjoyed it! Thanks for sharing! ^TF,en,Regions Bank
Wed Dec 18 14:43:39 +0000 2019,"@rawgee5 Hello! If there's a situation that we can address, we'd be happy to help. To speak with a member of our team, please send us a DM with your phone number and we'll reach out to you. ^TF",en,Regions Bank
Tue Dec 17 22:33:00 +0000 2019,"@skippyboy5555 We’re sorry to hear you’re having a tough time reaching someone. If our team can help with something, DM your phone number. We can give you a call. ^MH",en,Regions Bank
Tue Dec 17 22:04:57 +0000 2019,"@_NeverLackinnn We don’t want you to feel this way about Regions. If there’s a concern we can address with you, DM your phone number and a member of our team will give you a call. ^MH",en,Regions Bank
Tue Dec 17 21:37:27 +0000 2019,"@kaceybelle We're sorry for any frustration. If you'd like to further discuss the situation, please DM your phone number and we can call you. ^KG",en,Regions Bank
Tue Dec 17 21:00:01 +0000 2019,"It doesn’t have to be game day for you to represent your team. Show your loyalty with every swipe of your Collegiate Regions Visa® CheckCard from @askRegions.
https://t.co/iQAz5zmSLK https://t.co/ikkN2xzRsL",en,Regions Bank
Tue Dec 17 20:19:38 +0000 2019,@jattaax We don't want to see you go and would like to see how we can help. DM your phone number and we can call you. ^KG,en,Regions Bank
Tue Dec 17 20:00:45 +0000 2019,"@BlacFashionIcon We're sorry to hear you feel this way. We'd be glad to learn more to formally document your concerns. To further discuss, feel free to DM your phone number and we'll give you a call. ^MLH",en,Regions Bank
Tue Dec 17 19:39:33 +0000 2019,"@BombAndPretty We don't want you to feel this way. If there's something our team can help with, please DM your phone number and we can call you. ^KG",en,Regions Bank
Tue Dec 17 19:05:41 +0000 2019,@SkinByKae We're sorry to hear this happened and would be glad to speak with you to learn more. Feel free to DM your phone number and we can call you. ^KG,en,Regions Bank
Tue Dec 17 18:53:00 +0000 2019,"RT @AP_Top25: North Dakota State, Northern Arizona, Illinois State highlight The Associated Press FCS All-America Team presented by @askReg…",en,Regions Bank
Tue Dec 17 18:50:55 +0000 2019,"@PrettiCute2Me We’re sorry to hear about your experience when you tried calling. Our team isn’t aware of any issues with Online Banking at this time. If we can help, DM your phone number and a member of our team can call you. ^MH",en,Regions Bank
Tue Dec 17 18:05:52 +0000 2019,"@togojoe70 Hi, there. We’ll follow up with your DM. If you’d like to chat further, make sure to DM your phone number to us and we’ll be in touch. ^MH",en,Regions Bank
Tue Dec 17 18:00:41 +0000 2019,"Count your blessings, nickels, and dimes. There’s a lot to be thankful for, it’s holiday time! So no matter what you’re celebrating or where you’re from, this piggy sends warm wishes to everyone. #PiggyPoetry https://t.co/SbquXRaHCv",en,Regions Bank
Tue Dec 17 17:59:00 +0000 2019,@togojoe70 We’re here and would be glad to see how we can help! DM your phone number and we’ll be in touch. ^MH,en,Regions Bank
Tue Dec 17 17:55:56 +0000 2019,"@togojoe70 Hi, there. We can confirm we received and responded to your Facebook Message, too. We’d be glad to see if we can share more info about the complaint you filed. DM your phone number and we’ll be in touch. ^MH",en,Regions Bank
Tue Dec 17 17:11:17 +0000 2019,RT @AP_Top25: BREAKING: Ed Orgeron of LSU is The Associated Press Coach of the Year presented by @askRegions; Baylor's Matt Rhule finishes…,en,Regions Bank
Tue Dec 17 16:54:55 +0000 2019,"@OhDamnItsBianca We don't want this to be your impression of us. If there's a situation that a member of our team can help with, please send us a DM with your phone number and we'll reach out to you. ^TF",en,Regions Bank
Tue Dec 17 15:27:00 +0000 2019,"@Sneakernets We'd be glad to learn more to formally document your concerns. To further discuss, feel free to DM your phone number and we'll give you a call. ^MLH",en,Regions Bank
Tue Dec 17 15:00:19 +0000 2019,"@__Eriante Hello! Any transaction done before 8:00 pm would process the same night and post to your account the following morning. If a transaction is performed over a weekend or holiday, it would process the next business day. If you have any further questions, please let us know. ^TF",en,Regions Bank
Tue Dec 17 14:46:30 +0000 2019,"@B_Amazin85 We'd be glad to review your account to see how we can assist. To further discuss, feel free to DM your phone number and we'll give you a call. ^MLH",en,Regions Bank
Tue Dec 17 14:29:00 +0000 2019,@JWCarpenter1979 It's our pleasure to help @BhamCitySchools students! We love being a part of the #BHAM community!,en,Regions Bank
Mon Dec 16 21:53:00 +0000 2019,"@Its_Britnaee We're sorry to hear about your extended hold time. We'd be glad to see how we can assist and document your concerns. To further discuss, feel free to DM your phone number and we'll give you a call. ^MLH",en,Regions Bank
Mon Dec 16 21:08:39 +0000 2019,"@loverpizzuh That sounds like a sweet deal, but we're biased 😉. Our Refer-A-Friend program allows you to earn a $50 Visa Reward Card for you and up to 10 friends (up to $500). For information, please visit: https://t.co/URhCe3FTUY. If we can help with anything, please let us know. ^TF",en,Regions Bank
Mon Dec 16 20:27:50 +0000 2019,"Missy Epperson, Regions Private Wealth Management Regional Executive, explains the challenges of financial goal-setting while single. Listen and subscribe via your favorite #podcast player: https://t.co/C9jk1R3nIb https://t.co/j0kloVvVJV",en,Regions Bank
Mon Dec 16 18:00:01 +0000 2019,@UnitedWaySELA We’re glad we could help! Thanks for tweeting this story!,en,Regions Bank
Mon Dec 16 17:57:31 +0000 2019,@TreyH20 We’d be glad to review the status of your claim. DM your phone number and we’ll give you a call. ^MH,en,Regions Bank
Mon Dec 16 17:55:56 +0000 2019,"@Denisebby_xO We’re partial, but we say Regions is! Open an account with us in 10 minutes or less: https://t.co/nKuYvKGmSQ. If we can help, DM your phone number and we’ll call. ^MH",en,Regions Bank
Mon Dec 16 17:52:33 +0000 2019,"@knnnorom24 We certainly don't want you to feel this way about us. If there's a question or concern that we can help with, please send us a DM with your phone number and a member of our team can call you. ^TF",en,Regions Bank
Mon Dec 16 17:47:35 +0000 2019,"@RappaRichard Hi, there. We’d be glad to discuss your concerns about your loan. DM your phone number and we’ll call you. ^MH",en,Regions Bank
Mon Dec 16 17:27:00 +0000 2019,@MaryLeeReed Hey. We’re sorry to hear you’ve had difficulty reaching someone. We’d be glad to review your concerns about the texts you received. DM your phone number and a member of our team will give you a call. ^MH,en,Regions Bank
Mon Dec 16 17:14:21 +0000 2019,"RT @AP_Top25: BREAKING: LSU, Ohio State dominate Associated Press All-America teams presented by @askRegions.

Read more and see the teams:…",en,Regions Bank
Mon Dec 16 16:39:27 +0000 2019,@cparishjr Thank you for taking the time to provide your feedback. Our apologies for any inconvenience this has caused. We have forwarded your concerns to the appropriate channel. ^MLH,en,Regions Bank
Mon Dec 16 16:18:34 +0000 2019,"@Shadowayne We're sorry to hear of the issues you've experienced with your paycheck. We'd be happy to take a look into this for you. If you'd like to further discuss, please send us a DM with your phone number and we'll reach out to you. ^TF",en,Regions Bank
Mon Dec 16 15:57:00 +0000 2019,"@Itslilstanley We don't want you to feel this way about us. If there's a situation, we'd be glad to learn more regarding your concerns. To further discuss, feel free to DM your phone number and we'll give you a call. ^MLH",en,Regions Bank
Mon Dec 16 15:48:32 +0000 2019,"@ripbananapoo We'd be glad to review your account with you to see how we can assist. To further discuss, feel free to DM your phone number and we'll give you a call. ^MLH",en,Regions Bank
Mon Dec 16 15:47:00 +0000 2019,"@BryantPowers11 We don't want to make your holiday stressful. Deposit holds can be placed for a variety of reasons. We'd be glad to speak with you directly to formally document your concerns. If you'd like a call from a member of our team, please send us a DM with your phone number. ^TF",en,Regions Bank
Mon Dec 16 15:11:28 +0000 2019,"@Diana_Xo_love We don't want to lose you. If there's a situation our team can help with, please send us a DM with your phone number and we'll reach out to you. ^TF",en,Regions Bank
Mon Dec 16 14:32:30 +0000 2019,"@adboyland We don't want you to feel this way about us. We'd like to speak with you to learn more about this situation so that it can be documented. If you'd like a call from a member of our team, please send us a DM with your phone number. ^TF",en,Regions Bank
Sun Dec 15 18:00:01 +0000 2019,"This season, it’s the thought that counts—and giving the Regions Visa® Gift Card shows you’ve thought of everything. Get the Gift Card that keeps on giving. https://t.co/tWEhoUqs7Z https://t.co/jMHHBSDied",en,Regions Bank
Sat Dec 14 17:42:00 +0000 2019,"@itsME_dreka We dont' want you to feel this way about us. If there's a situation, we'd be glad to learn more to document your concerns. To further discuss, feel free to DM your phone number and we'll give you a call. ^MLH",en,Regions Bank
Fri Dec 13 21:24:30 +0000 2019,@__TheeORIGINAL We're sorry to hear you feel this way. We'd be glad to discuss any concerns you may have. Feel free to DM your phone number and we'll give you a call. ^MLH,en,Regions Bank
Fri Dec 13 18:40:00 +0000 2019,"@KeeClaybrooks Than anything? Ouch. We don’t want you to feel this way about Regions. If there’s something we can help with, DM your phone number. A member of our team can call you. ^MH",en,Regions Bank
Fri Dec 13 18:19:27 +0000 2019,"@Thereal_quelw Good question. Cards typically take 5-7 business days to arrive after they’ve been ordered. If it’s been longer or if our team can assist, DM your phone number. We can give you a call. ^MH",en,Regions Bank
Fri Dec 13 18:10:32 +0000 2019,"@DeuceThePoet Oh, geez. We’re sorry to hear about this. DM your phone number to us and we’ll call to learn more about what happened during your visit. ^MH",en,Regions Bank
Fri Dec 13 17:29:25 +0000 2019,"@rockets1212 Hello, there. If there's something we can help with, we'd be glad to speak with you to learn more. Please send us a DM with your phone number and we'll give you a call. ^TF",en,Regions Bank
Fri Dec 13 17:14:27 +0000 2019,"@bmrickman Hi, there. We've received your DM and will be reaching out shortly regarding your concerns. ^MLH",en,Regions Bank
Fri Dec 13 17:06:24 +0000 2019,"RT @RegionsNews: .@RegionsNews is proud to join @ChildrensAL, @ProtectiveLife, Landscape Workshop &amp; St. Clair Co. Master #Gardeners to anno…",en,Regions Bank
Fri Dec 13 15:51:40 +0000 2019,@ChildrensAL We’re glad members of the #LifeGreenTeam could help prep these planting beds!,en,Regions Bank
