created_at,full_text,lang,user_name
Thu Dec 19 20:00:26 +0000 2019,"This startup is creating better, more affordable prosthetics for amputees in rural India. Take a look: https://t.co/rRDdiIwlaa https://t.co/L4VYvvUTlK",en,Autodesk
Thu Dec 19 16:00:41 +0000 2019,.@perkinswill is bridging the gap between our digital world and the analog materiality of architecture with MRAAD: https://t.co/ctkgOFZa3d https://t.co/r0zzz06ImH,en,Autodesk
Wed Dec 18 20:00:01 +0000 2019,This complex is on the fast track to become the new heart of Bogotá. Take a look: https://t.co/w49u5O6TOj,en,Autodesk
Wed Dec 18 16:00:01 +0000 2019,Smart-building technology is often an afterthought—but what if it’s integrated from the beginning?https://t.co/e72k8rRrF4,en,Autodesk
Tue Dec 17 20:00:17 +0000 2019,".@d_rev_org is using advanced technology to develop a device that could save the lives of children born prematurely in developing countries. Senior Design Engineer Robin Parrish sits down with ""Intersect"" about their work: https://t.co/boASnwXUn8 https://t.co/WhbyL8YETq",en,Autodesk
Tue Dec 17 19:02:54 +0000 2019,"Our CFO Scott Herren has committed to help our organization achieve net zero emissions – allocating funds, embedding into decision making and reporting on performance. Read the full statement from @PrincesA4S and list of signatories here 👉https://t.co/P6JCHk2Nwt",en,Autodesk
Tue Dec 17 16:00:01 +0000 2019,"If you listen to today's climate debate, there's a lot of noise in the extremes. Autodesk CEO @andrew_anagnost is cutting through the noise and offering real solutions: https://t.co/aFcco08jz1",en,Autodesk
Tue Dec 17 13:01:33 +0000 2019,"RT @autodesku: The Museum of the Future is...

🤩
A

MARVEL

OF

ARCHITECTURE
✨⭐️💫

#AUME2019 https://t.co/wsUhJPshZL",en,Autodesk
Tue Dec 17 12:43:24 +0000 2019,"GHD transforms master planning with new digital processes. 🛣️

At AU Middle East 2019, we experienced their more collaborative workflow. #AUME2019 https://t.co/LSN0FFQC2g",en,Autodesk
Tue Dec 17 06:49:18 +0000 2019,"🚧""Nearly 20% of every construction project is rework."" 🚧

At AU Middle East 2019 in Dubai, Scaled Robotics showed how they are 💻digitizing construction sites to reduce rework.
#AUME2019 https://t.co/Srd7yiFI6Y",en,Autodesk
