created_at,full_text,lang,user_name
Wed Dec 18 20:14:48 +0000 2019,@zsalvador520 We’re so glad to have you in the Zone!,en,AutoZone
Wed Dec 18 17:13:33 +0000 2019,"@itsallabout_T We’re happy that you’re happy. If you ever need anything else, we’re here for you.",en,AutoZone
Wed Dec 18 16:21:36 +0000 2019,@kiranwitt You did it! Now that’s what we like to see. Nice work!,en,AutoZone
Tue Dec 17 21:00:52 +0000 2019,"@Rowsred You might not be able to see us right now, but trust us, we’re beaming with pride!",en,AutoZone
Tue Dec 17 18:23:00 +0000 2019,@RealSteveMattor Thanks for the kind words. And thanks for choosing AutoZone!,en,AutoZone
Tue Dec 17 18:22:32 +0000 2019,@marylandgirlie A job well done is a beautiful thing. Congrats!,en,AutoZone
Mon Dec 16 22:48:38 +0000 2019,"@WhoaNani We’re happy that you’re happy. If you ever need anything else, we’re here for you.",en,AutoZone
Mon Dec 16 21:15:47 +0000 2019,"@harmeet_HD Hey, our free AutoZone Fix Finder service can help you move from 😡 to 😄!",en,AutoZone
Mon Dec 16 21:15:21 +0000 2019,"@RKrivitsky We're ready to help with our free AutoZone Fix Finder service! Yep, it’s free! Pretty cool actually.",en,AutoZone
Mon Dec 16 21:14:53 +0000 2019,@ughkarl That’s something no one likes to hear. Come on in and we’ll help you out with our free Fix Finder service.,en,AutoZone
Mon Dec 16 21:14:30 +0000 2019,@J_adoreDiDi Nice to meet you. Your check engine light doesn't stand a chance with our free Fix Finder service. Stop by and we’d be happy to help!,en,AutoZone
Mon Dec 16 18:25:52 +0000 2019,@TravelPro007 We’ll do our best to keep making you proud!,en,AutoZone
Mon Dec 16 18:19:49 +0000 2019,@SarahMcavey @talaylaler Thanks for the kind words. And thanks for choosing AutoZone!,en,AutoZone
Mon Dec 16 18:19:39 +0000 2019,"@talaylaler We’re happy that you’re happy. If you ever need anything else, we’re here for you.",en,AutoZone
Sat Dec 14 16:33:00 +0000 2019,"@aplinckTX Hello means we’re doing our job right. Thanks for sharing. Please provide us with your contact info, and we will gladly assist you by sending this to regional management from your area. Thanks. -Daniella",en,AutoZone
Wed Dec 11 20:31:27 +0000 2019,@MomsThoughts Hello. Means we’re doing our job right. Happy driving. Thanks for sharing. -Nubia,en,AutoZone
Wed Dec 11 18:57:00 +0000 2019,@MomsThoughts Hello. This is certainly not the experience you should have. Please send us a PM with your store and best contact information (email or phone #) and we will gladly assist you. Thanks. Jesse.,en,AutoZone
Tue Dec 10 23:53:53 +0000 2019,"@BAWSE_144 We apologize for any lack of satisfaction you received from items purchased at the AutoZone store. Would you please be so kind as to provide us the specific store num. or indicate us which store you are referring to? Also, if you can provide us with the part number. -Daniella",en,AutoZone
Tue Dec 10 20:46:32 +0000 2019,@BrittanyPaw Now this is something we never get tired of hearing. Thanks for the shout out!,en,AutoZone
Mon Dec 09 21:33:00 +0000 2019,"@puppiepurrince We’re happy that you’re happy. If you ever need anything else, we’re here for you.",en,AutoZone
Mon Dec 09 14:49:12 +0000 2019,"@Xxmistic_flowxx Hello.We appreciate your interest in AutoZone. AutoZone will test your car's parts for free. We can test your car's battery, alternator, starter and voltage regulator while they're still on your car. Thanks- Vianey",en,AutoZone
Mon Dec 09 00:14:57 +0000 2019,@debbiedeb69 Hi Debbie. Thanks for sharing! It means we’re doing our job right. Happy driving! - Claudia,en,AutoZone
Mon Dec 09 00:02:00 +0000 2019,"@_Tybria Hi. I'm sorry to hear this. Could you please send me a DM with more details, the store, and your contact info. Thanks - Claudia",en,AutoZone
Sun Dec 08 21:00:35 +0000 2019,"@MikeBurnsCBUS Hi Mike. Unfortunately, we do not carry those horns. However, you can check the parts we carry in the link below. Thanks - Claudia.

Link: https://t.co/wJOjS7t1Ya",en,AutoZone
Sun Dec 08 20:56:30 +0000 2019,@ConcreteRosex3 Thanks for sharing! It means we’re doing our job right. Happy driving! - Claudia,en,AutoZone
Sun Dec 08 01:28:00 +0000 2019,"@Zombiegirl46 Hello, we're sorry to hear this. Please send a DM and provide us the order# and the email address used on the order? Thanks - Daniella",en,AutoZone
Fri Dec 06 20:05:45 +0000 2019,"@GeorgeMcGuire15 We're ready to help with our free AutoZone Fix Finder service! Yep, it’s free! Pretty cool actually.",en,AutoZone
Fri Dec 06 20:05:38 +0000 2019,@Mariah_Creek That’s something no one likes to see. Come on in and we’ll help you out with our free Fix Finder service.,en,AutoZone
Fri Dec 06 20:05:09 +0000 2019,"@damagedprincess Hey, our free AutoZone Fix Finder service can help you move from 😡 to 😄!",en,AutoZone
Fri Dec 06 20:04:54 +0000 2019,@kylefletcher08 Nice to meet you. Your check engine light doesn't stand a chance with our free Fix Finder service. Stop by and we’d be happy to help!,en,AutoZone
Fri Dec 06 20:04:28 +0000 2019,"@TuttlePatriarch You might not be able to see us right now, but trust us, we’re beaming with pride!",en,AutoZone
Fri Dec 06 20:00:48 +0000 2019,"@TheMirandaCox We’re glad to hear it. If you have any other issues, we’re always around.",en,AutoZone
Fri Dec 06 19:59:33 +0000 2019,"@TuttlePatriarch We’re happy that you’re happy. If you ever need anything else, we’re here for you.",en,AutoZone
Fri Dec 06 01:53:00 +0000 2019,"@NPG2018 Hello. Unfortunately, we do not carry this item. We apologize for the inconvenience. We kindly recommend you to contact your local dealership. Thanks - Claudia.",en,AutoZone
Fri Dec 06 00:11:00 +0000 2019,@ToiStory Hello . This is certainly not the experience you should have. Please send us a PM with your store and contact info and we will gladly assist you. Thanks. -Claudia.,en,AutoZone
Thu Dec 05 17:29:33 +0000 2019,@tammyntheriault You did it! Now that’s what we like to see. Nice work!,en,AutoZone
Wed Dec 04 19:28:34 +0000 2019,@LisaVegasLMT Hello Lisa. Means we’re doing our job right. Happy driving. Thanks for sharing. Jesse.,en,AutoZone
Wed Dec 04 18:12:37 +0000 2019,"@scooties123 You might not be able to see us right now, but trust us, we’re beaming with pride!",en,AutoZone
Tue Dec 03 16:29:00 +0000 2019,"@franklinwaddles Hello, this is certainly not the experience you should have. Please send us a PM and provide us with your store, and contact info, and we will gladly assist you. Thanks. –Karely https://t.co/3sMT0J8Lnp",en,AutoZone
Tue Dec 03 16:28:35 +0000 2019,"@dazzmula Hello, this is certainly not the experience you should have. Please send us a PM and provide us with your contact info, and we will gladly assist you. Thanks. —Karely https://t.co/3sMT0J8Lnp",en,AutoZone
Tue Dec 03 01:08:29 +0000 2019,@HungryFishyMan Hello. This is certainly not the experience you should have. Please send us a DM with your store and contact info and we will gladly assist you. Thanks. -Nubia.,en,AutoZone
Mon Dec 02 21:00:11 +0000 2019,@PamDinwiddie Hello Pam. Thank you for taking the time to send this positive feedback! We appreciate your comments. Means we’re doing our job right. Happy driving. 🙂 Thanks for sharing. -Alex.,en,AutoZone
Mon Dec 02 18:42:00 +0000 2019,"@aubreyrispoli Hey, our free AutoZone Fix Finder service can help you move from 😡 to 😄!",en,AutoZone
Mon Dec 02 18:41:36 +0000 2019,"@LaraNogueras We're ready to help with our free AutoZone Fix Finder service! Yep, it’s free! Pretty cool actually.",en,AutoZone
Mon Dec 02 18:41:35 +0000 2019,@JerMunji Nice to meet you. Your check engine light doesn't stand a chance with our free Fix Finder service. Stop by and we’d be happy to help!,en,AutoZone
