created_at,full_text,lang,user_name
Thu Dec 19 21:57:49 +0000 2019,Learn how our global innovation network is helping to drive tech to customers faster. #wearebakerhughes https://t.co/HeXskR6IU7,en,Baker Hughes
Wed Dec 18 19:49:40 +0000 2019,Our Turbomachinery Process Solutions team in Italy last week decorating the Dynamo Camp Onlus to bring festive cheer to the local community. #wearebakerhughes #values #care https://t.co/cgdVzV51YZ,en,Baker Hughes
Mon Dec 16 19:34:18 +0000 2019,"The subsea industry is experiencing huge advancements, largely due to the need for infrastructure and equipment. Read the recent piece from Energy Northern to see how we are responding to these challenges. https://t.co/mfYBq55D3o #EngageSubsea #SubseaConnectInAction #MontroseCoE https://t.co/dIXsbPQHeh",en,Baker Hughes
Fri Dec 13 21:29:28 +0000 2019,"Thank you to Malcolm Fawcett, Director of Climate Change – ConocoPhillips, for sharing his perspective on the energy transition as part of our Energy Forward Speaker Series.

To learn more about our company's views on the energy transition, click here: https://t.co/KVW0W6AFfW https://t.co/adthtpDgcZ",en,Baker Hughes
Fri Dec 13 18:02:29 +0000 2019,"U.S. #RigCount is unchanged from last week at 799, with #oil rigs up 4 to 667, #natgas rigs down 4 to 129. https://t.co/6pvcrxJXoQ #OOTT #ONGT https://t.co/UyVc5l9k84",en,Baker Hughes
Fri Dec 13 16:56:42 +0000 2019,"600 customers, 12 months, 6 regions. Over the last year, #subseaconnectinaction has delivered in many different ways, in many different geographies, all proof-points that our customers not only welcome but are embracing our vision, ready to support and partner when needed. https://t.co/X3Dl2eAYkk",en,Baker Hughes
Fri Dec 13 13:22:28 +0000 2019,"Congratulations! Baker Hughes named ‘Energy Company of the Year’ and received ‘LNG Award of Excellence’  during the @PlattsOil Global Energy Awards during the ceremony in NYC last night. Well done everyone. 

 #PlattsGEA #wearebakerhughes https://t.co/l3jjUU9phs",en,Baker Hughes
Thu Dec 12 18:56:50 +0000 2019,Today we hosted a delegation of companies + leaders preparing for @23WPC2020 at our Additive Manufacturing site in Houston. 3D printing is an exciting tech helping to drive energy forward. #wearebakerhughes #23WPC2020 https://t.co/U7PNfXe3sS,en,Baker Hughes
Thu Dec 12 17:59:16 +0000 2019,"We are excited to be a part of @PlattsOil Global Energy Awards in New York! Good luck to all finalists, as together we prepare to celebrate the people and companies that made a difference in 2019. Follow #wearebakerhughes and #PlattsGEA to find out who wins. https://t.co/u71IRMrCgy",en,Baker Hughes
Wed Dec 11 21:51:42 +0000 2019,"Read our announcement to power all our Texas facilities with 100% Texas-produced renewable energy. This will reduce our company's global carbon footprint by 12% - the equivalent of removing 27,000 cars from Texas roads.  https://t.co/JhBrP8i8AX #wearebakerhughes https://t.co/IjI06RbgpS",en,Baker Hughes
