created_at,full_text,lang,user_name
Thu Dec 19 21:36:11 +0000 2019,"“We're saddened by the loss of our longtime leader and friend Bob Parkinson. Bob was deeply committed to our mission to Save and Sustain Lives &amp; passionate about our role as a corporate citizen."" - José (Joe) E. Almeida, Baxter Chairman, President and CEO. https://t.co/imSbmR4V1r https://t.co/UOE0zN2bzM",en,Baxter International
Thu Dec 05 14:14:03 +0000 2019,"Did you know Baxter donates products to hospitals, clinics and doctors around the world who need them most? Learn about how #BaxterGivesBack through one of our partners, @Americares. https://t.co/zV1Juchrh3 https://t.co/jXyUfMtCom",en,Baxter International
Wed Dec 04 15:30:41 +0000 2019,So happy to support @ChicagoRedCross and celebrate #GivingTuesday on-air at @cbschicago! https://t.co/j5zdQKJxNa,en,Baxter International
Tue Dec 03 14:22:58 +0000 2019,"On this #GivingTuesday, find out how we work with @Americares to help those around the world who need it most. https://t.co/zV1Juchrh3 #BaxterGivesBack https://t.co/5ONFtES5Y1",en,Baxter International
Mon Dec 02 21:45:40 +0000 2019,We’re honored to be named one of America’s Most Responsible Companies by @Newsweek: https://t.co/hJ5O6o91k5,en,Baxter International
Mon Dec 02 13:02:04 +0000 2019,We have agreed to acquire Seprafilm Adhesion Barrier from Sanofi. Seprafilm is expected to be a strong complement to our leading Advanced Surgery portfolio: https://t.co/C1Jhq5aO2e https://t.co/Pk8PdqAxBl,en,Baxter International
Fri Nov 15 14:19:52 +0000 2019,"""If CKD can be proactively managed, why aren't more of us familiar with the risk factors and proactive management options that exist to help avoid what can feel like a sudden and drastic diagnosis?"" Read about #CKD management from our own Dr. Mary Gellens: https://t.co/jp9RfrO3d1 https://t.co/p3bVXR847A",en,Baxter International
Thu Nov 14 17:45:00 +0000 2019,"Congrats to David Roman, our vice president of strategy and financial planning &amp; analysis, for being named one of @CrainsChicago's 40 Under 40 list. David shares how he’s crafted his leadership style: https://t.co/Xc8MkarOOx #ccb40s https://t.co/qOs6e5KiYh",en,Baxter International
Tue Nov 12 19:42:09 +0000 2019,"Proud to be included on the #JUST100 2020 by @justcapital_  and @Forbes. From patients and clinicians to employees and the communities where we live and work, serving all of our stakeholders is an imperative. https://t.co/Ysbo6HKGvP https://t.co/to6Q2Fc3EH",en,Baxter International
Mon Nov 11 13:51:47 +0000 2019,Meet a veteran and Baxter employee whose call to serve shows no signs of slowing down. https://t.co/5eCj5WXGk8 #VeteransDay #PeopleOfBaxter https://t.co/fSu2paWX9I,en,Baxter International
Fri Nov 08 18:25:54 +0000 2019,More from @ASN #KidneyWk: PrisMax Is our next-generation platform for continuous renal replacement therapy (CRRT) and therapeutic plasma exchange (TPE) that just launched in the US. Visit Baxter booth 1527 for demos. https://t.co/1k55e4TWku #CRRT #kidneycare https://t.co/GduADcFtvY,en,Baxter International
Fri Nov 08 16:23:17 +0000 2019,Learn more about effect of HDx on markers of cardiovascular health at #KidneyWk during abstract presentation PO497 (https://t.co/0FdNvGZjak) given today in the exhibit hall between 10-Noon.,en,Baxter International
Fri Nov 08 15:38:39 +0000 2019,"Increasing focus on quality of life drives us to look at the latest patient-reported outcomes for HDx (expanded hemodialysis) therapy by Theranova during #KidneyWk, abstract PO493 (https://t.co/O0kw1ekipp) presented today in the exhibit hall between 10-Noon. https://t.co/tEkjvrh4YN",en,Baxter International
Fri Nov 08 14:22:34 +0000 2019,We're presenting our U.S. clinical trial on HDx (expanded dialysis) therapy by Theranova during #KidneyWk from 10-Noon in the exhibit hall: Abstract PO488 (https://t.co/oUP1UCPvJK) on dialyzer efficacy &amp; safety outcomes. Theranova is not yet approved for commercial sale in the US https://t.co/22kXOnc5Kk,en,Baxter International
Thu Nov 07 17:09:00 +0000 2019,CKD&amp;Me is in pilot with several U.S. nephrology practices; supplementing patient pre-dialysis education. Experience a demo at Baxter booth 1527. https://t.co/Uv23pQtojM #KidneyWk @Ayogo https://t.co/jmxzvTKnXv,en,Baxter International
