created_at,full_text,lang,user_name
Thu Dec 19 19:01:37 +0000 2019,"WATCH: Jack Bonneau, started a lemonade stand when he was 8 yrs old. Four years later, he's using his profits to save money for #college and helping other kids learn about financial literacy. @60SecDocs #FinancialWellbeing
https://t.co/kfxJBBSJ22 https://t.co/3CvNDBy7ec",en,BlackRock
Thu Dec 19 16:58:01 +0000 2019,What can investors do to help their nest egg deliver for the long run? https://t.co/i2AoSUO5sm https://t.co/dBaWBCV1sl,en,BlackRock
Thu Dec 19 16:09:33 +0000 2019,"Millennial spending habits differ from older generations, from favoring tech-enabled platforms to gravitating towards experiences. On our recent #podcast, we uncover how millennials prefer to spend their money. LISTEN: https://t.co/uNfof3A5Ne https://t.co/3cD9Ev8WRL",en,BlackRock
Wed Dec 18 16:30:40 +0000 2019,"The US consumer has often been an indicator for economic growth. Elga Bartsch, Head of Macro Research for the BlackRock Investment Institute, and Tom Parker, CIO of Systematic Fixed Income, share why the US consumer has kept today’s economy growing. LISTEN https://t.co/iC7siCFCQw https://t.co/jAp4pi57yQ",en,BlackRock
Wed Dec 18 15:05:08 +0000 2019,We see global economic growth edging up in 2020 – and believe this growth may be led by the manufacturing sector. See our #macro dashboard for more: https://t.co/iW0bpIkal3 https://t.co/6iOvsPp7KO,en,BlackRock
Tue Dec 17 17:05:43 +0000 2019,"We’ve had multiple once-in-500-year weather events in the last couple of years. On our recent #podcast, Brian Deese and Teresa O’Flynn talk about the physical and societal limits facing sustainability. LISTEN: https://t.co/VrsrqPdeNr https://t.co/ISEzOwvxHE",en,BlackRock
Mon Dec 16 19:52:07 +0000 2019,"As factor-based strategies grow in popularity, industry watchers wonder: is factor investing getting too popular? Learn more about #factors and how to incorporate them into your portfolios from our Head of Factor Investing Strategies Andrew Ang: https://t.co/603RzauRxJ https://t.co/FsaRo31bQK",en,BlackRock
Mon Dec 16 16:36:23 +0000 2019,"PODCAST: This year, millennials surpassed baby boomers as the largest living adult generation in the U.S. On our recent episode of The Bid #podcast, we discuss how millennials drive megatrends. LISTEN: https://t.co/tL9av7A120 https://t.co/nY8deLXrH2",en,BlackRock
Mon Dec 16 15:33:13 +0000 2019,How are we viewing 2020? Read our weekly commentary to see our top investment calls for the coming 12 months: https://t.co/UWnaVBbPVT https://t.co/Ndn130GSGj,en,BlackRock
Fri Dec 13 19:26:14 +0000 2019,"PODCAST: Philipp Hildebrand, Vice Chairman of BlackRock, outlines the four limits we see facing markets in 2020 and beyond: inequality, globalization, monetary policy and sustainability. LISTEN: https://t.co/pUdiFw8SnI https://t.co/QYvPBgcYhz",en,BlackRock
Fri Dec 13 15:23:30 +0000 2019,The UK election outcome means Prime Minister Boris Johnson can push ahead with Brexit but faces a difficult end-2020 deadline to negotiate a trade deal with the EU. We expect an extension. See our BlackRock Bulletin: https://t.co/uOZxk6kJby https://t.co/9sjrhbVDIK,en,BlackRock
Fri Dec 13 15:20:13 +0000 2019,We believe the incentives for the U.S. and China to hit pause on their trade conflict are strong in 2020. See our #geopolitical risk dashboard: https://t.co/8sr2o1AbfP https://t.co/mL81IpMgGE,en,BlackRock
Thu Dec 12 21:50:02 +0000 2019,"Geopolitics is top of mind as we head into 2020. How can we build geopolitical risk into portfolios? Tom Donilon, Chairman of the BlackRock Investment Institute and former U.S. National Security Advisor, suggests two ways in our recent #podcast. LISTEN: https://t.co/b7oevs1bgq https://t.co/RyQNwPHeEc",en,BlackRock
Thu Dec 12 18:58:36 +0000 2019,"WATCH: Carl Jensen, a former software engineer, dreamed of an early #retirement, which motivated him to construct a plan to retire at the age of 43. He now spends his days as a stay-at-home dad, giving his wife the chance to pursue her dream job. @60SecDocs #FinancialWellbeing https://t.co/SK5GGISi1j",en,BlackRock
Thu Dec 12 15:22:13 +0000 2019,We see an inflection point in global economic growth as easier financial conditions start filtering through. See our #macro dashboard: https://t.co/LFJm5dQkIG https://t.co/8Nlz1lOywd,en,BlackRock
Wed Dec 11 21:59:09 +0000 2019,"RT @UJAfedNY: ""In a world where we've had an all-female space walk, women leaders in gov't, academia, &amp; private sector, your motto should b…",en,BlackRock
Wed Dec 11 15:20:01 +0000 2019,We see a big shift in the #macro environment in the year ahead as the dovish monetary policy pivot of 2019 fades as a market driver. Read our weekly commentary: https://t.co/zvyYKVdbko https://t.co/es0hpg6LmG,en,BlackRock
Tue Dec 10 21:20:01 +0000 2019,"Congratulations to Barbara Novick, BlackRock Vice Chairman and co-founder, who received the @UJAfedNY Gustave L. Levy Award last night. We are so thankful for Barbara's continuous leadership and her support of women across the firm. https://t.co/ZTavUVnYrx",en,BlackRock
Mon Dec 09 19:17:30 +0000 2019,"Growth should edge higher in #2020, limiting recession risks. This is a favorable backdrop for risk assets. See our 2020 Global Outlook: https://t.co/6jgcN8Swgr https://t.co/e4QkaT9qnw",en,BlackRock
Fri Dec 06 20:38:29 +0000 2019,RT @martinsmall_: We closed out the @BlackRock USWA sales workshop w an evening of ping pong &amp; tasty treats at Church Hall &amp; Spin in the Na…,en,BlackRock
Wed Dec 04 20:01:02 +0000 2019,Last night we celebrated our first year in #Atlanta at the 1st Annual Friends of BlackRock Holiday Party. We thank all of our community partners for helping us in our journey building our Atlanta iHub. Stay tuned to see where we are heading in 2020. #WeAreBlackRock https://t.co/1aWIlfBAJL,en,BlackRock
Wed Dec 04 15:28:01 +0000 2019,"We identified the #protectionist push as a key market driver this year, but we did not foresee the massive move down in global yields. Read our weekly commentary: https://t.co/d9D4ItrA5M https://t.co/3x4UnvC73B",en,BlackRock
