created_at,full_text,lang,user_name
Mon Dec 16 19:15:59 +0000 2019,"In one year, our R&amp;D team has made great strides in #cancerresearch from our new Cambridge hub. Now, we're looking to the future and we couldn't be more excited to continue our work for #patients.  https://t.co/lnowLo7N3b https://t.co/js7XvzWa2Y",en,Bristol-Myers Squibb
Fri Dec 13 17:52:02 +0000 2019,Our employees have spoken! We were just named a top ranked biopharma company on Glassdoor Best Places to Work 2020. Find out why: https://t.co/MfKnEbtCMZ #GlassdoorBPTW https://t.co/XgqabOMF7i,en,Bristol-Myers Squibb
Wed Dec 11 17:41:29 +0000 2019,"Thank you to all who supported the 2019 Coast 2 Coast 4 Cancer ride! After cycling across the country, our riders exceeded their fundraising goal and presented @TheVFoundation  with $1.5M at the @espn  #JimmyV Men’s Classic! https://t.co/lEhtpStcJ1",en,Bristol-Myers Squibb
Tue Dec 10 16:57:08 +0000 2019,We were proud to join @RobinRoberts last night to support @TheVFoundation. https://t.co/N53EL5NqRE,en,Bristol-Myers Squibb
Tue Dec 10 12:33:27 +0000 2019,#MEDIA: Announcing #latebreaking pivotal data for our investigational maintenance therapy for frontline acute myeloid #leukemia at #ASH19 https://t.co/cRTtfTXso8 https://t.co/luxTsK9uYh,en,Bristol-Myers Squibb
Tue Dec 10 00:11:30 +0000 2019,#MEDIA: Announcing updated Phase 1 results for #celltherapy in patients with #multiplemyeloma at #ASH19 https://t.co/3fTCo2tiVI https://t.co/TKwZ63wExp,en,Bristol-Myers Squibb
Mon Dec 09 21:56:17 +0000 2019,RT @BioPharmaDive: The BioPharma Dive Awards for 2019 https://t.co/fIPLVqc9qb,en,Bristol-Myers Squibb
Mon Dec 09 21:53:36 +0000 2019,#MEDIA: Announcing results in treatment of anemia for patients with rare blood diseases at #ASH19 https://t.co/JIAozvbS8h https://t.co/G05LKfY8gU,en,Bristol-Myers Squibb
Sun Dec 08 21:32:27 +0000 2019,#MEDIA: Announcing data for our investigational #celltherapy in multiple disease areas and sites of care at #ASH19: https://t.co/7yuF5t087T https://t.co/U2zp115PlC,en,Bristol-Myers Squibb
Sat Dec 07 21:04:26 +0000 2019,#MEDIA: We’re presenting results from new #RealWorldData analyses on #VTE patients with active cancer at #ASH19 https://t.co/pZfGrJBF40 https://t.co/aHoOQMe8rr,en,Bristol-Myers Squibb
Sat Dec 07 19:06:01 +0000 2019,#MEDIA: Announcing pivotal #celltherapy data in patients with relapsed/refractory large B-cell #lymphomas at #ASH19 https://t.co/sUZcVJP0B5 https://t.co/RsWp5zElhx,en,Bristol-Myers Squibb
Fri Dec 06 17:00:47 +0000 2019,"Kristen Hege, our SVP, Hematology/Oncology and Cell Therapy, Early Clinical Development joined #AtlanticInnovators and spoke about collaboration in the San Francisco life sciences community. Watch here. https://t.co/VAxnlYHyRa",en,Bristol-Myers Squibb
Fri Dec 06 15:00:00 +0000 2019,"Just in time for the American Society of Hematology Annual Meeting, Episode 3 of our Survivorship Today series launches today! In this episode, Donna speaks with @SterlingKBrown about her perspective on life with #multiplemyeloma. #ASH19",en,Bristol-Myers Squibb
Thu Dec 05 18:35:43 +0000 2019,"Our #AtlanticInnovators series helped establish local connections that can lead to collaboration, which is essential for fostering innovation and driving science forward. https://t.co/nfyV8vzSHQ",en,Bristol-Myers Squibb
Wed Dec 04 15:00:01 +0000 2019,"Mike Quigley, VP, Thematic Research Center Tumor Microenvironment Modulation, discussed our work at Redwood City closing out our final #AtlanticInnovators event.",en,Bristol-Myers Squibb
Wed Dec 04 11:33:38 +0000 2019,"RT @jocemiller: With @bmsnews’ acquisition of @Celgene, we’re delivering more fully on addressing patient needs and innovating for better o…",en,Bristol-Myers Squibb
Wed Dec 04 11:33:04 +0000 2019,RT @AtlanticLIVE: Mike Quigley shares why it's important for @BMSNews to be in the Bay Area: We need and feel like we have to be at the cen…,en,Bristol-Myers Squibb
Mon Dec 02 16:00:00 +0000 2019,Our #AtlanticInnovators series is about fostering innovation in local communities. Tomorrow our journey concludes in San Francisco. Learn more.,en,Bristol-Myers Squibb
Thu Nov 28 14:00:08 +0000 2019,Thank you to our incredible employees who place #patients at the center of everything we do. Working together for patients this and every season. #HappyThanksgiving https://t.co/cQiIJHOyUl,en,Bristol-Myers Squibb
Wed Nov 27 19:16:00 +0000 2019,"At BMS, we’re dedicated to furthering research and improving outcomes for #LungCancer patients across the globe.",en,Bristol-Myers Squibb
Tue Nov 26 20:56:53 +0000 2019,@wdrilling Thanks for letting us know. We will send you a direct message. Please ensure you follow us. https://t.co/F7i7rF2pqT,en,Bristol-Myers Squibb
Tue Nov 26 19:00:00 +0000 2019,A #LungCancer patient’s prognosis largely depends on the time of detection and can vary across sub-types.,en,Bristol-Myers Squibb
Tue Nov 26 18:25:07 +0000 2019,RT @GO2Foundation: It’s not too late to make a difference this #LungCancerAwarenessMonth. Join the fight as a #LCAMchampion today! #lcsm &gt;&gt;…,en,Bristol-Myers Squibb
Tue Nov 26 14:30:02 +0000 2019,"We are thrilled to be recognized as @NGLCC's Corporation of the Year. Farryn Melton, our chief procurement officer, accepted the award for our commitment to ensuring fairness and equal opportunity for LGBT suppliers, customers and colleagues. #LGBTbiz #NGLCC19 https://t.co/PmZq0cXCSS",en,Bristol-Myers Squibb
Tue Nov 26 00:05:01 +0000 2019,Our Chairman and CEO Giovanni Caforio appeared earlier today on @MadMoneyOnCNBC with @jimcramer to discuss the mission of the combined company. https://t.co/za6U1UuniV https://t.co/RyCFS0JrEN,en,Bristol-Myers Squibb
Mon Nov 25 23:08:48 +0000 2019,RT @AtlanticLIVE: SPONSORED: This year we traveled around the country with @BMSNews to discuss the importance of fostering innovation in lo…,en,Bristol-Myers Squibb
Mon Nov 25 20:17:06 +0000 2019,RT @MadMoneyOnCNBC: **EXCLUSIVE** Tonight @JimCramer sits down with the CEO of @bmsnews to learn more about what’s in store for investors h…,en,Bristol-Myers Squibb
Fri Nov 22 01:03:01 +0000 2019,"At the 2019 #STATSummit, CEO Giovanni Caforio (left) discussed with @matthewherper of STAT how the new company will continue to drive scientific innovation to help patients prevail over serious diseases. https://t.co/51xTldjyAj",en,Bristol-Myers Squibb
Thu Nov 21 17:03:17 +0000 2019,"At today’s 2019 #STATSummit, our Chairman and CEO Giovanni Caforio will discuss how we will continue to drive innovation to help even more patients prevail over serious diseases. https://t.co/gFcK9AoRoe",en,Bristol-Myers Squibb
Thu Nov 21 15:00:34 +0000 2019,#MEDIA: Two companies coming together with one vision for the future: to transform patients’ lives through science. Read more here https://t.co/GeTzqZEda4 https://t.co/r0vlItaIUo,en,Bristol-Myers Squibb
Wed Nov 20 21:18:01 +0000 2019,"#MEDIA: Excited to officially combine with @Celgene to become a leading biopharma company that aims to discover, develop and deliver innovative medicines for patients fighting serious diseases. Read more https://t.co/x1VAVFebPM https://t.co/32CLDKhxOj",en,Bristol-Myers Squibb
Mon Nov 18 14:00:09 +0000 2019,"People with atrial fibrillation are five times more likely to have a stroke than those without. During #GlobalAFAwareWeek, learn more about #Afib. https://t.co/pJfsAaPKP7",en,Bristol-Myers Squibb
Sun Nov 17 18:00:01 +0000 2019,We’re committed to discovering more about #AFib screening in appropriate patients. Join us at an #AHA19 symposium where we’re discussing emerging research in diagnosis. https://t.co/eZkytmOAg8,en,Bristol-Myers Squibb
Fri Nov 15 22:05:30 +0000 2019,"Just received FTC approval of our pending merger with @Celgene. Looking forward to officially becoming one company on Nov. 20. Together, we will aim to transform the lives of patients through science. https://t.co/ZlzEbNLCx9 https://t.co/1lCPtRlXvN",en,Bristol-Myers Squibb
Fri Nov 15 21:00:23 +0000 2019,Cancer survivor Justin Birckbichler shared his thoughts on how we can work together to ensure the best quality of life for cancer survivors. Hear more. #PeopleVCancer https://t.co/j4ONEbgeto,en,Bristol-Myers Squibb
Fri Nov 15 19:11:52 +0000 2019,RT @WomenInGovt: Wrapping up our morning session with a fabulous keynote by Nicole Dinello of @bmsnews talking about Women and Leadership i…,en,Bristol-Myers Squibb
Fri Nov 15 15:00:28 +0000 2019,"Our Chief Medical Officer, Samit Hirawat, shares his perspective on the benefits of including the patient voice early on in the drug development process. #PeopleVCancer https://t.co/ser52VyKB7",en,Bristol-Myers Squibb
Fri Nov 15 14:30:01 +0000 2019,"With @pfizer, we’re conducting important clinical research on #AFib screening. Learn more about the GUARD-AF study. https://t.co/XWjw6v9eiH https://t.co/zlJq5faFZT",en,Bristol-Myers Squibb
Thu Nov 14 17:00:28 +0000 2019,"We know that many people living with cancer feel unprepared for life after treatment. Hear Adam Lenkowsky, general manager and head, U.S. Commercial, speak about our commitment to our Survivorship Today program. #PeopleVCancer https://t.co/yezO9aGdtB",en,Bristol-Myers Squibb
