created_at,full_text,lang,user_name
Mon Dec 16 15:02:38 +0000 2019,"For 50 years, our industry-leading experts have strategically empowered hospital pharmacies. If you missed us at #ASHP19, you can still learn how we can support your health system goals: https://t.co/LdZTxjIPRJ",en,Cardinal Health
Mon Dec 16 14:29:52 +0000 2019,@Sunovion congrats!,en,Cardinal Health
Mon Dec 16 14:29:31 +0000 2019,"@DevrayKirkland thank you for being a great example of service, Devray!",en,Cardinal Health
Fri Dec 13 14:00:24 +0000 2019,.@PM360online selected Benefit Source from Sonexus™ Access and Patient Support as a 2019 Innovator. See how it helps automate benefits investigation and prior authorization for accelerated care delivery here: https://t.co/QhQ4oFCNhg. https://t.co/T4QPH2Yprx,en,Cardinal Health
Tue Dec 10 14:50:05 +0000 2019,Get insights on personal data and three other key trends impacting the role of pharmacists: https://t.co/7DtXkEQs20,en,Cardinal Health
Mon Dec 09 18:00:38 +0000 2019,Our new Cardinal Health™ Flu Care Order Management portal is here! The Flu Care portal allows healthcare providers to conveniently order and manage their flu vaccines online. Sign in to secure your flu vaccine supply today: https://t.co/GLlovXyhBl #fluvaccines - https://t.co/3wkkE2WXOW,en,Cardinal Health
Fri Dec 06 14:00:49 +0000 2019,New research by Cardinal Health Specialty Solutions explores oncologists' views on the value of #pharma interactions and how #rwe is being used to inform decision making. #ASH2019 https://t.co/UKn2FQy7E5 https://t.co/5N9QyhBuzT,en,Cardinal Health
Thu Dec 05 20:02:02 +0000 2019,"From Joint Commission Standards to antibiotic stewardship updates, we’re proud to offer these #ASHP19 presentations and CE credit opportunities from our clinicians and experts: https://t.co/gFqo7n8umj https://t.co/Cb5yoZKW2Z",en,Cardinal Health
Wed Dec 04 17:37:19 +0000 2019,Congrats to the award winners from our Cardinal Health family! https://t.co/lP4BK8ykeg,en,Cardinal Health
Tue Dec 03 19:02:03 +0000 2019,"Engage with our Cardinal Health #hospitalpharmacy experts at #ASHP19. Until then, learn about the drivers shaping hospital pharmacy practice today in this article: https://t.co/8PYRGqY6JX https://t.co/7GU1vb3hLs",en,Cardinal Health
Tue Dec 03 15:09:11 +0000 2019,"We're celebrating our employees this #GivingTuesday who volunteered more than 17,000 hours, supporting 1,500 organizations during our Fiscal Year 2019! https://t.co/n7Pla3DUO2",en,Cardinal Health
Mon Dec 02 18:02:08 +0000 2019,Cardinal Health proudly distributes flu vaccines to pharmacies and healthcare providers nationwide. Learn more about our comprehensive portfolio of flu vaccines that help keep patients and staff healthy. https://t.co/1JoeThOn1t #fightflu https://t.co/lE6qSNBcZe,en,Cardinal Health
Thu Nov 28 14:10:17 +0000 2019,We give thanks for our employees who selflessly work to fulfill our mission of delivering products and solutions to improve the lives of people every day – and for our customers who give us the privilege of helping them fulfill their missions. https://t.co/bb6Rm7cohW,en,Cardinal Health
Tue Nov 26 14:01:04 +0000 2019,What should hospital executives be asking of their pharmacy leaders to better achieve mission and growth strategies? Learn more in this article and be sure to talk with our industry-leading pharmacy experts at #ASHP19 Dec. 9-11: https://t.co/XFwKX4UI4V,en,Cardinal Health
Mon Nov 25 22:03:33 +0000 2019,@ColumbusRotary thanks for sharing! And thanks to Devray for sharing these important insights.,en,Cardinal Health
