created_at,full_text,lang,user_name
Thu Dec 19 15:45:08 +0000 2019,The annual Christmas Party at the #Dallas @ResourceCtr was a huge success. Celanese employees decorated for the holidays and served lunch to hundreds of local residents. #improvingtheworld #my2019impact #volunteer #PRIDE https://t.co/J2X7Q4T77j,en,Celanese
Wed Dec 18 19:15:08 +0000 2019,"Celanese partnered with @First3Years and CPS to remodel visitation rooms, creating a happy place for children to play and visit. #improvingtheworld #my2019impact #volunteer https://t.co/1sQCkswqvA",en,Celanese
Tue Dec 17 17:15:10 +0000 2019,"Employees from our Budapest office continued their tradition of providing Christmas cheer for local underserved children with their annual #AngelTree, where they donated over 150 gifts. #improvingtheworld #my2019impact #volunteer https://t.co/8gP6GHR7f2",en,Celanese
Mon Dec 16 15:02:04 +0000 2019,"Employees from our Beijing office visited @BethelChina, an organization that provides care and #education to #visuallyimpaired children. Thanks to the #volunteers for #givingback and showing our passion for #inclusion at Celanese. #improvingtheworld #my2019impact https://t.co/W50PkXpf6L",en,Celanese
Fri Dec 13 14:30:22 +0000 2019,"Employees from our Evansville facility are committed to #serving their #community. Volunteers sorted and counted over 13,000 food items and 1,200 toys @SAEvansville to help those in need. #improvingtheworld #my2019impact #volunteer https://t.co/U7KN2lGA4S",en,Celanese
Thu Dec 12 17:30:24 +0000 2019,Congratulations to our Cangrejera site for achieving two million hours with zero significant injuries! Keep up the great work. #KeepSAFE #stewardship https://t.co/NwJZwnXAv8,en,Celanese
Wed Dec 11 15:30:30 +0000 2019,"Employees and families from our Florence site enjoyed a traditional Thanksgiving feast, a lively game of corn hole and a tour of the facility to demonstrate our commitment to #safety at Celanese. #KeepSAFE #stewardship #companyculture https://t.co/1pjfhdmSS5",en,Celanese
Tue Dec 10 19:30:18 +0000 2019,"Employees from our facility in Indonesia demonstrated our commitment to #families and #safeplaces as they volunteered at a local orphanage. The children enjoyed singing, dancing and reading stories, as well as a healthy meal provided by Celanese. #improvingtheworld #my2019impact https://t.co/dc4wscEy6u",en,Celanese
Mon Dec 09 18:56:13 +0000 2019,#Volunteerism is in our DNA at Celanese. Check out Daniel Monikes' blog on how he uses his #SupplyChain skills to help others learn and grow. https://t.co/qqyOsn7RVY #improvingtheworld #my2019impact #volunteer https://t.co/iBTM6egSax,en,Celanese
Mon Dec 09 16:30:28 +0000 2019,"Celanese leaders and industry peers from China gathered to witness the signing ceremony of the ""Commitment to Green Chemical Parks"" and shared best practices for achieving #sustainability in the #chemical industry. #stewardship #improvingtheworld #gogreen https://t.co/oPwI0XCGXp",en,Celanese
Fri Dec 06 19:30:23 +0000 2019,"Employees from Ferrara, Italy celebrated the 80th anniversary of the Petrochemical Plant, which includes Celanese Donegani with an exhibition at Castello Estense. To learn more about Celanese history, visit https://t.co/1MhcvN0Sui. https://t.co/urKRrObxrE",en,Celanese
Wed Dec 04 19:01:41 +0000 2019,"Employees from our Shanghai office attended the AICM 2019 Closing Ceremony, where representatives shared in the panel discussion about best practices for promoting #CircularEconomy throughout the entire value chain. #environment #sustainability #stewardship https://t.co/5u13nVzIys",en,Celanese
Mon Dec 02 15:02:35 +0000 2019,Our Asia Emulsions Team volunteered in the local community to visit with elderly residents and prepare a flower art project. Thank you to all who gave of your time and talents to brighten the day. #improvingtheworld #my2019impact #volunteer https://t.co/2ZUXm3cGQe,en,Celanese
Fri Nov 29 18:01:49 +0000 2019,Employees from our Budapest office prepared sandwiches for underserved members of their community. #improvingtheworld #my2019impact #volunteer https://t.co/PRJ4CVlljL,en,Celanese
Thu Nov 28 14:05:07 +0000 2019,Happy Thanksgiving from Celanese! https://t.co/fqxVgi7RQx,en,Celanese
Wed Nov 27 16:13:05 +0000 2019,RT @MASTERProvision: Huge thank you to @celanese for surprising us with a generous donation of Thanksgiving food drive items! Look at how b…,en,Celanese
Wed Nov 27 16:12:40 +0000 2019,"RT @SVPDallas: Yesterday, @DallasBizNews shared an article on the recent work of @celanese in our Partner &amp; Prosper Program. From October t…",en,Celanese
Wed Nov 27 16:12:24 +0000 2019,RT @HopesDoorInc: Beth Robinson (Director of Development) participated in the Celanese Foundation’s Community Awareness Panel. Thank you @c…,en,Celanese
Tue Nov 26 19:30:22 +0000 2019,Congratulations to our Frankfurt site for achieving one year with zero significant injuries. Keep up the great work. #KeepSAFE #stewardship https://t.co/IczinGAAFy,en,Celanese
Mon Nov 25 19:35:55 +0000 2019,Congratulations to our Suzano site for achieving nine years with zero significant injuries and Triple Crown! Keep up the great work. #KeepSAFE #stewardship https://t.co/E9O4bSh0Td,en,Celanese
Tue Nov 19 17:01:39 +0000 2019,"Employees from our Spondon site volunteered to raise funds for the local Royal British Legion. With their help, the local branch raised over £34,000 last year. #improvingtheworld #veterans #my2019impact #volunteer https://t.co/92Hb6RKHyK",en,Celanese
Wed Nov 13 17:45:06 +0000 2019,"Employees from our Dallas Latino ERG, LIDER, spent the day reading to students at Otis Brown Elementary, in an effort to inspire students to develop a love of #reading. #improvingtheworld #Volunteer #my2019impact https://t.co/Niq3d56SbU",en,Celanese
Tue Nov 12 19:15:10 +0000 2019,Employees at our Cangrejera site were awarded for their commitment #safety by the Local Mutual Aid Committee (@ClamVeracruz) three years in a row. Thanks to the brigade for their dedication to safety and #communityservice. https://t.co/NkQ1vWl6w3,en,Celanese
Mon Nov 11 16:45:05 +0000 2019,In honor of all who have served and continue to serve to preserve and protect our freedom. #VeteransDay https://t.co/ttrGKy0bhd,en,Celanese
Mon Nov 11 15:40:07 +0000 2019,Our Budapest team supported the Foundation for Children with Leukemia with a wonderful day of Halloween preparations by creating more than 50 cartoon hero masks. #improvingtheworld #my2019impact #volunteer https://t.co/7nGFLhfylJ,en,Celanese
Fri Nov 08 14:30:26 +0000 2019,"Celanese is full #STEAM ahead for #NationalSteamDay, a day that inspires kids to explore and pursue their interests in #Science, #Technology, #Engineering, #Art and #Math. https://t.co/GfsheuGji3",en,Celanese
Thu Nov 07 15:15:10 +0000 2019,Congratulations to our Geleen site for achieving ten years with zero significant injuries. Keep up the great work! #KeepSAFE #stewardship https://t.co/6p7UVWet2M,en,Celanese
Wed Nov 06 19:15:10 +0000 2019,"We are excited to partner with Ability Connection, as they bridge the gap for people with disabilities to enjoy the same quality of life as their non-disabled peers. #disability #inclusion #improvingtheworld #my2019impact #equality #diversity https://t.co/AZ8S7ORpQg",en,Celanese
Tue Nov 05 20:10:06 +0000 2019,Our Women's Impact Network in Florence raised funds for #BreastCancerAwarenessMonth by hosting a Pink Pancake breakfast. #improvingtheworld #my2019impact #awareness #advocacy https://t.co/aSrNPGKJDl,en,Celanese
Tue Nov 05 17:15:11 +0000 2019,"Employees from our Singapore site celebrated the #inclusive spirit of Celanese by observing the many events in October, including #Halloween, #Oktoberfest and a Joyous #Diwali. Thank you for your inclusive spirit and celebration of #diversity at Celanese. https://t.co/JvTCcHDUWA",en,Celanese
Mon Nov 04 14:45:06 +0000 2019,"Employees from our Shanghai site visited Yangjing Elder's Home to deliver food and entertain the residents with songs, poetry and even acrobatics. Thank you to all who volunteered to give of your time and talents. #improvingtheworld #my2019impact #volunteer https://t.co/wmgEamwYD8",en,Celanese
Fri Nov 01 16:01:47 +0000 2019,"The Veterans ERG at our Bishop, TX facility presented a donation from the Celanese Foundation to @QuiltsofHonor. #veterans #volunteer #my2019impact #improvingtheworld #military https://t.co/G8nFaCMuuV",en,Celanese
Thu Oct 31 14:20:08 +0000 2019,Employees from our Cangrejera site celebrated Breast Cancer Awareness Month with an informative session on self-examination and free mammograms for women over 40. #breastcancerawareness #womenshealth #wellness #wellbeing https://t.co/wstQ7yy4pm,en,Celanese
Wed Oct 30 18:20:05 +0000 2019,"Employees from our Cangrejera site participated in a #reforestation activity with elementary aged children to teach them the importance of ""sowing life."" Thanks to all who volunteered their time and talents. #improvingtheworld #my2019impact #volunteer https://t.co/Mj1kltnINM",en,Celanese
Tue Oct 29 16:05:08 +0000 2019,Congratulations to our Talent Acquisition team on their Candidate Experience Award presented by @TalentBoardHR celebrating our commitment to improving candidate experience! #joinus #recruiting #talentacquisition #TheCandEs #HR https://t.co/hQS4OzxCtl,en,Celanese
Mon Oct 28 16:31:04 +0000 2019,Congratulations to our Kaiserslautern site for achieving six years with zero significant injuries and Triple Crown. Keep up the great work! #KeepSAFE #stewardship https://t.co/tNTFxW8Lkd,en,Celanese
Fri Oct 25 14:15:08 +0000 2019,Employees from our Shanghai site attended the 9th Annual More Than Aware luncheon and auction organized to empower women to be proactive in the prevention and recovery of breast cancer. #improvingtheworld #my2019impact #breastcancerawareness https://t.co/2Uv31hI3kW,en,Celanese
Thu Oct 24 16:15:10 +0000 2019,Employees from our Dallas IT team volunteered @momentous to help prepare for their Changing the Odds conference. #improvingtheworld #my2019impact #volunteer #changingtheodds https://t.co/nzxlUPDOtp,en,Celanese
Wed Oct 23 13:45:04 +0000 2019,Advancements in the “Circular Economy” are creating opportunities for business value while at the same time achieving sustainability goals. Celanese bio-based materials maximize the value of natural resources. Read the news release: https://t.co/XqhVgiAziB,en,Celanese
