created_at,full_text,lang,user_name
Thu Dec 19 16:47:26 +0000 2019,"RT @COP_Alaska: Doyon 26 (or as we like to call it, The Beast) is currently being reassembled at Deadhorse and will be the largest mobile l…",en,ConocoPhillips
Wed Dec 18 21:35:31 +0000 2019,More than 70 girls from three Houston high schools visited #ConocoPhillips’ corporate headquarters for the first-ever #GirlsTalkTech Fest — an inspiring day of hands-on activities and interactions with employees and company leadership: https://t.co/ZDNjjrZAmS https://t.co/NraZB5sEKK,en,ConocoPhillips
Tue Dec 17 15:12:30 +0000 2019,"This weekend more than 2,000 #ConocoPhillips employees and our family members gathered for our 51st annual holiday concert. Our thanks to the @HouSymphony for this gorgeous celebration of the season! https://t.co/ec7pCLsxrc",en,ConocoPhillips
Mon Dec 16 15:38:17 +0000 2019,"On December 12, ConocoPhillips Canada volunteers spread Christmas cheer to @SonshineCalgary by dropping off 129 boxes of gifts and essentials for the holiday season. Visit our website to learn more about our SPIRIT of Christmas program. 

https://t.co/llU4l7Aaz0 https://t.co/QFHzokSr5g",en,ConocoPhillips
Sat Dec 14 16:14:08 +0000 2019,"Last call, @astros fans! Want free tickets? Nominate a Houston-area #math teacher for #ConocoPhillips Math Teacher of the Month. If they win, you win too. Nominations close at 11:59 CST, so nominate now! https://t.co/OFoRQN74Vg https://t.co/SL9BHaDUPB",en,ConocoPhillips
Fri Dec 13 18:16:09 +0000 2019,RT @COSIA_ca: 'Tis the season! Want to take your holiday gifts to the next level? 🎁 Check out these products made of CO2 from the @nrgenerg…,en,ConocoPhillips
Thu Dec 12 13:58:10 +0000 2019,"Want to see your #math teacher honored at an @astros game? Nominate a teacher for #ConocoPhillips Math Teacher of the Month before midnight THIS SATURDAY. If your teacher wins, you win tickets! https://t.co/6QSRPdIA2E https://t.co/a3OWLY5csi",en,ConocoPhillips
Wed Dec 11 22:15:09 +0000 2019,"It's the last week to enter to win a family trip to @MinuteMaidParks! Nominate a Houston-area math teacher for the 2020 #ConocoPhillips #Math Teacher of the Month Award. If you submit one of six winning entries, you’ll win four tickets to an @astros game. https://t.co/OFoRQN74Vg https://t.co/iBRP11gyUY",en,ConocoPhillips
Wed Dec 11 14:58:00 +0000 2019,"Congratulations to Jason Jweda, whose technical expertise and extensive knowledge-sharing and collaboration skills were honored with a 2019 #ConocoPhillips SPIRIT of Performance Award for Outstanding Early Career Technologist: https://t.co/YlaJ7dEstw #Geochemistry #EagleFord https://t.co/uEy07RpZP2",en,ConocoPhillips
Thu Dec 05 13:36:02 +0000 2019,Students from the @TexasScience Inventors Program toured #ConocoPhillips' #EagleFord operations to see production firsthand. Together we're using #datascience to solve real-life business challenges. Learn about the donation that made the program possible: https://t.co/FDkUebNTUI https://t.co/g8guOmOqJj,en,ConocoPhillips
