created_at,full_text,lang,user_name
Thu Dec 19 21:01:19 +0000 2019,@genewitch We're checking with our team and will get back to you ASAP.,en,Eaton
Thu Dec 19 20:51:17 +0000 2019,We’re proud to support our #veterans. Learn more about our career and support resources for military families:  https://t.co/jyW5RJ38nF https://t.co/TnHC3XCBkE,en,Eaton
Thu Dec 19 15:01:35 +0000 2019,We're proud to announce our partnership with global manufacturing services company Jabil to support the fast growing #EV market by providing our customers with world-class quality and improved speed of production. Learn more about our partnership: https://t.co/rnKv52mkO9 https://t.co/hf7vxN4oYK,en,Eaton
Thu Dec 19 12:01:06 +0000 2019,We're excited to share that the @ENERGY Solar Energy Technologies Office has awarded us funds to advance #CleanEnergy #SolarPower and #EnergyStorage! Read more: https://t.co/5X50aSVGhR https://t.co/v1eV7uGYVI,en,Eaton
Wed Dec 18 18:01:50 +0000 2019,"You’ll find our technology in solar, wind, hydropower and energy storage installations, helping boost cleaner and more dependable power on the grid. Learn more: https://t.co/GOlC1vReSr #Sustainability https://t.co/utYIxAD5tB",en,Eaton
Wed Dec 18 17:19:47 +0000 2019,"RT @Metsahovi: When you run #RadioTelescopes, servers, atomic clocks, etc. 24/7/365 in the middle of nowhere, you want your #electricity un…",en,Eaton
Wed Dec 18 14:02:56 +0000 2019,"As the year comes to an end and a new decade begins, we bring you this wish for inspiration and hope in 2020. Season's greetings and Happy New Year! #WhatMatters https://t.co/IMEGoih7hy",en,Eaton
Tue Dec 17 20:31:06 +0000 2019,"@thundley4 While that's good to hear for us, we're sorry you're still having problems!",en,Eaton
Tue Dec 17 14:02:01 +0000 2019,Our CMA advanced mobile valve's hose burst detection feature can quickly detect a ruptured hose and automatically stop hydraulic oil flow. Learn more here: https://t.co/USleMGabZE #Hydraulics https://t.co/Adi5HRFXZV,en,Eaton
Mon Dec 16 17:32:00 +0000 2019,"@thundley4 If you'd share information about the product family, we can help guide you to the right team to connect with to help!",en,Eaton
Fri Dec 13 15:01:37 +0000 2019,"""The security of a network system is only as strong as its weakest link"". Read about the challenges of deploying secure #IoT devices in the absence of a common #cybersecurity standard: https://t.co/MKOYiZFvU6 https://t.co/WGnOqGJJvv",en,Eaton
Thu Dec 12 20:42:10 +0000 2019,@Cobalto5 I'm sorry you're having trouble contacting us. Here is the number for our power quality team in Mexico - +(52) 55 8503-5450 who should be able to help you with support for your 5PX.,en,Eaton
Thu Dec 12 11:10:06 +0000 2019,Our India Innovation Center team is supporting talented #womenengineers with the recent Women in Innovation (WiN) competition. Learn more: https://t.co/Gvyxwb4eIC https://t.co/xafxfjSbhZ,en,Eaton
Wed Dec 11 15:02:55 +0000 2019,"Doing business right matters, so we ask our suppliers to meet our high standards for workplace and business practices. See how we promote a sustainable supply chain: https://t.co/GHwWP4Q26U #Sustainability #SupplyChain https://t.co/GRYjn9Er1i",en,Eaton
Mon Dec 09 15:01:42 +0000 2019,Our new family of Synflex Optimum products was recently featured in @dieselprogress. These hoses and fittings are durably designed for individual or full system use. Check out the article here: https://t.co/5czSGHuBtF #Hydraulics,en,Eaton
Sat Dec 07 14:01:13 +0000 2019,We’re cruising through International Civil Aviation Day feeling proud our aerospace technologies help make air travel possible and play a part in the impact air transportation &amp; international flight have on social &amp; economic development. #globalaviation https://t.co/Z8g55ojLuT,en,Eaton
Fri Dec 06 17:05:11 +0000 2019,Meet the unique needs of your #oilandgas customers with our new EC556 #blowoutpreventer hoses and custom assembly by our partners. https://t.co/K11gzyAGfN https://t.co/rMRh8Gcd2v,en,Eaton
Thu Dec 05 20:01:43 +0000 2019,We’ve committed to reduce our absolute GHG emissions by 20% (from a 2015 baseline) by 2025. To get there we'll improve efficiencies of our sites and manufacturing processes and use more renewable energy. Learn more: https://t.co/EvtdS78jMQ  #Sustainability https://t.co/l4IaNt95eY,en,Eaton
Thu Dec 05 13:41:27 +0000 2019,RT @IndustryWeek: Eaton is training the power industry of the future https://t.co/O68oEHxmC1 @eatoncorp https://t.co/EOu0quz42f,en,Eaton
Wed Dec 04 17:02:29 +0000 2019,"Our EverCool products are setting a new standard for performance, flexibility and durability in the mobile A/C industry. Check out the complete portfolio of products here: https://t.co/etmLDu4wyQ #Hydraulics https://t.co/2StoVAaJJ8",en,Eaton
Tue Dec 03 18:26:44 +0000 2019,"@BeckDaniel313 We're working hard to make the experience on our site (including the speed) the best it can be, and we know we have room to improve. It's a priority for us because we know it matters to you. If you need support, please reach out and we're happy to help.",en,Eaton
Tue Dec 03 15:02:44 +0000 2019,"#GivingTuesday reminds all of us to give back. Caring about the communities where we live, and work has been part of our culture for over 100 years. https://t.co/3FwDctA6ai https://t.co/EUuMYBsv54",en,Eaton
Tue Dec 03 14:02:24 +0000 2019,Join us in building a greener future and see how we’re thinking differently about the positive impact we can have on the #environment: https://t.co/loxrYCXrd0 #Careers #LifeatEaton https://t.co/5hDPiY7STj,en,Eaton
Mon Dec 02 21:49:28 +0000 2019,"Congratulations to the 2019 @CrainsCleveland #CRAINSCSuite award recipients, including @UdayYad1, president and chief operating officer for our electrical business! https://t.co/DkGtSiENsa",en,Eaton
Sun Dec 01 17:10:04 +0000 2019,Help #oilandgas customers work more safely and reliably with our robust new range of EC556 #blowoutpreventer hoses: https://t.co/j3qsWEJwZ1 https://t.co/uG6BmeWnlo,en,Eaton
Fri Nov 29 20:01:28 +0000 2019,"Our #eMobility Advanced Technology Manager, Dan Ouwenga, recently spoke at Wards Intelligence about strategies for extending #EV range. Learn more about eMobility: https://t.co/Ma4Zv0xyWP https://t.co/DKq6actjX4",en,Eaton
Wed Nov 27 14:02:37 +0000 2019,"Our CMA advanced mobile valve helped Bulmor Industries make its latest four-way sideloader forklift fast, nimble and efficient. Read more in @HPpenton: https://t.co/pgl0FUBzSg #Hydraulics https://t.co/UyhgF1e2FX",en,Eaton
Tue Nov 26 22:33:53 +0000 2019,@SnowRavens We have followed up with our business team to get a local contact number for you. Will advise as soon as we hear back.,en,Eaton
Tue Nov 26 18:28:09 +0000 2019,"@mx439 If you follow us, we can DM you or you can email us at socialmedia@eaton.com.",en,Eaton
Tue Nov 26 18:26:39 +0000 2019,@SnowRavens We have followed up with our contact form for our Filtration business in Nigeria. You can also find local contacts on our website here: https://t.co/hyEQlOoU1T.,en,Eaton
Tue Nov 26 17:01:01 +0000 2019,Power systems blend electrical and mechanical power in electric vehicles. Watch this overview to learn more about our #eMobility power systems products. https://t.co/GxC6de4Ojn https://t.co/avYJlg08lC,en,Eaton
Tue Nov 26 15:00:15 +0000 2019,"In a recent article, #cybersecurity expert Max Wandera offers a solution to the challenges companies face when validating the security of connected devices. Read it here: https://t.co/Dn5ivqocf1 https://t.co/rGZy0qK4ik",en,Eaton
Mon Nov 25 15:02:39 +0000 2019,"In 2018, our product recovery center diverted 454 metric tons—about the weight of 900 grand pianos—of electronic waste from landfill through reuse and recycling. See what else we’re doing: https://t.co/dMLoEtlIIQ #Sustainability https://t.co/vNXtI78Y8j",en,Eaton
Fri Nov 22 20:53:48 +0000 2019,@SnowRavens Here is a contact form for our Filtration business in Nigeria: https://t.co/QgBpl3pXwE,en,Eaton
Fri Nov 22 18:01:59 +0000 2019,"As the #digital revolution rages on, discover how we're introducing technologies to help #automotive and #vehicle OEMs prepare for the future of mobility. View the infographic: https://t.co/Hkw1uoSZm7 #Manufacturing #WhatMatters https://t.co/kCbbIKBzcc",en,Eaton
Fri Nov 22 16:38:54 +0000 2019,"@SnowRavens Hi, what products are you looking for? That will help us determine where to direct you! Thanks!",en,Eaton
Thu Nov 21 14:02:14 +0000 2019,We're working tirelessly to meet the needs of vehicle OEMs both today and tomorrow. See how: https://t.co/I5U5APSyl2 #Automotive #Manufacturing #WhatMatters https://t.co/xwLso8Bkai,en,Eaton
Wed Nov 20 19:01:42 +0000 2019,"As #BlackFriday and #CyberMonday quickly approach, we're working hard to help power the journey from your computer to your front door. See how: https://t.co/geXAZD7NzS #WhatMatters https://t.co/iTrpoW9Qb4",en,Eaton
Wed Nov 20 17:06:18 +0000 2019,@detrever Você pode entrar em contato com nossa equipe de suporte local para obter ajuda em serviceups_pqdbr@eaton.com. Obrigado.,pt,Eaton
Wed Nov 20 15:00:43 +0000 2019,Learn how evolving technologies are helping commercial vehicles become more efficient. Watch the interview with Eaton's Vehicle Group CTO Karl Sievertsen: https://t.co/ciCr5Ne6Rc #WhatMatters https://t.co/JrmqqIXf2b,en,Eaton
Wed Nov 20 13:24:42 +0000 2019,"@detrever Olá, forneça o tipo de nobreak que você possui.",pt,Eaton
Tue Nov 19 19:24:00 +0000 2019,@eljefe83 @lopta We are still working on our site and definitely appreciate feedback. We're aiming to make the experience as easy as possible.,en,Eaton
Tue Nov 19 19:21:30 +0000 2019,RT @MCritical: Dan Carnovale — the guest star on Episode 3 of The Thought Cloud #podcast— is pictured at a November 2019 Power Up program a…,en,Eaton
Tue Nov 19 16:01:50 +0000 2019,"According to a recent study, unplanned downtime is costing companies up to $260,000 per hour! Learn how we're helping OEMs minimize downtime and deliver their best to their customers: https://t.co/4DHEd7lAg2 #Manufacturing #WhatMatters https://t.co/UZNtRy77M9",en,Eaton
Mon Nov 18 19:01:22 +0000 2019,"For OEMs around the world, see how we help you reach new levels of success: https://t.co/jaZrZmJZC8 #Manufacturing #WhatMatters https://t.co/MprbafKjIZ",en,Eaton
Mon Nov 18 16:02:14 +0000 2019,"#ICYMI In a new article, #cybersecurity expert Max Wandera breaks down the challenges industries face when assessing the security of #IIoT devices. Read it here: https://t.co/uDxy7GuWLB https://t.co/vczN7XtG6T",en,Eaton
Fri Nov 15 19:01:47 +0000 2019,"Our eMobility SVP, Scott Adams, was recently interviewed by Auto Beat Daily. Check out the interview to learn more about #eMobility and the future of vehicle electrification: https://t.co/KC7iNkHJv2 https://t.co/YWoVcq0znn",en,Eaton
Fri Nov 15 16:02:21 +0000 2019,Our products are shipped in 80% recycled corrugated cardboard. And we recycle 100% of corrugated cardboard we get at our sites. See what else we’re doing to reduce waste: https://t.co/QxvZgdHcID #BeRecycled https://t.co/fiUl3H5Ohi,en,Eaton
Fri Nov 15 14:30:29 +0000 2019,"At home. At work. Or at play. We're engineering safer products to keep customers and employees out of harm's way. See how: https://t.co/zzEXwkGeIX 
#WhatMatters #Safety https://t.co/O0vNOdKQZk",en,Eaton
Fri Nov 15 13:47:01 +0000 2019,"@PASSATEMPOGALO1 Para se conectar à nossa equipe no Brasil, entre em contato conosco em pecasouvidor@eaton.com.",pt,Eaton
Fri Nov 15 11:01:06 +0000 2019,"Don’t miss #PIPOC 2019, November 19 – 21, in Kuala Lumpur, Malaysia. Stop by our booth (58-59, 66-67) in hall 5 to learn about our capabilities for the processing industry. Learn more: https://t.co/ygEWoLG6H0 https://t.co/5S2BzPxTcv",en,Eaton
