created_at,full_text,lang,user_name
Thu Dec 19 22:00:06 +0000 2019,"It's the last weekend of #Holidazzle #Minneapolis! Stay warm whether, at the skating rink warming house, Fulton Beer Garden or Craft Market tent - the heat is on courtesy of CenterPoint Energy. https://t.co/DXrgUrNLWy",en,CenterPoint Energy
Thu Dec 19 19:19:36 +0000 2019,Our employees continue to share their holiday spirit 🎄- this time at our #Minneapolis office through their donations to @salarmynorth. #CNPCares https://t.co/zvW6YHlOr6,en,CenterPoint Energy
Thu Dec 19 18:25:44 +0000 2019,"This greeting is straight out of our Gas Supply team wishing you good food, family and fun this holiday season! ☃️ Check back each day for more greetings from #teamCenterPoint! 🎄 https://t.co/SbXxCyKXwa",en,CenterPoint Energy
Thu Dec 19 17:52:01 +0000 2019,"@PLemke7 I see that your gas has been turned back on but if you’d like to send us your account details via DM, I can find out more details on the disconnection. Please be aware that our service technicians sometimes shut off gas due to maintenance or an emergency without notice",en,CenterPoint Energy
Thu Dec 19 16:00:16 +0000 2019,"There’s a happy feeling nothing in the world can buy! 🎵 Before you pass around the coffee &amp; the pumpkin pie 🥧 remember to limit opening #natgas oven door.🎄Temps can drop by as much as 50 F, wasting energy. More tips: https://t.co/r6mzaJJshU  #TwelveDaysOfTips #EETip 7 https://t.co/TfU91MnoHn",en,CenterPoint Energy
Thu Dec 19 15:36:53 +0000 2019,"RT @dctc: 1987 graduate of Dakota County Technical College, Ann Harris, finds a home at CenterPoint Energy for nearly three decades. #DCTCg…",en,CenterPoint Energy
Wed Dec 18 23:29:24 +0000 2019,"Have yourself a furry little Christmas!🐶🐱Our employees didn't forget about the animals this season. They collected 3,800 pounds of dog and cat food for @InterfaithMin aniMeals on Wheels program which provides pet food for their homebound clients. #CNPCares https://t.co/vTDkE40pup",en,CenterPoint Energy
Wed Dec 18 22:33:18 +0000 2019,"The friendly voices at the contact center in Evansville, Ind., wish our customers ❤️, light and laughter this holiday season and in the New Year. Check back each day for more greetings from your CenterPoint team!  #HappyHolidays 🎄 https://t.co/TaBiMqGZKw",en,CenterPoint Energy
Wed Dec 18 18:00:13 +0000 2019,Jingle bell 🔔 time is a swell time to maximize your home’s air circulation &amp; heat production! Keep heat and cold air return registers free of dust and do not block. More #energyefficiency tips: https://t.co/r6mzaJJshU #TwelveDaysOfTips #EETip 6 🎄 https://t.co/BiVSpQiAtn,en,CenterPoint Energy
Wed Dec 18 16:00:17 +0000 2019,Never use a #naturalgas range for space heating - it can cause dangerous levels of CO to build up in a home or building. Call us if you notice a pilot flame suddenly burning much higher than normal; it might be a surge in gas pressure. #Safetytips: https://t.co/eO6qdinhMa https://t.co/itgVCGHBSu,en,CenterPoint Energy
Tue Dec 17 22:40:14 +0000 2019,Guess who keeps the path clear for Santa’s sleigh in our service areas? 🎅That would be the surveying &amp; right of way team in our Land &amp; Field Services Department!  #HappyHolidays 🎄 https://t.co/UzG3QzL7xD,en,CenterPoint Energy
Tue Dec 17 20:30:08 +0000 2019,Remember to call 811 before every dig - big or small. #call811 #SafetyFirst https://t.co/pW178wzrtX https://t.co/Bhq0hLtbi2,en,CenterPoint Energy
Tue Dec 17 18:03:52 +0000 2019,"Thanks for the shout-out! Learn more about our #Houston-area electric energy efficiency programs at 
https://t.co/2vE2mEUy60. https://t.co/8Cul94aGJE",en,CenterPoint Energy
Tue Dec 17 16:00:17 +0000 2019,"Fa la la la la, la la la 🎵 Here’s a useful laundry tip: Clean clothes dryer screen before each load; a clogged dryer lint screen increases drying time, uses more energy &amp; can be fire hazard. More #energyefficiency tips: https://t.co/r6mzaJJshU  #TwelveDaysOfTips #EETip 5 🎄 https://t.co/BsCA9GRpT2",en,CenterPoint Energy
Mon Dec 16 22:15:17 +0000 2019,"Delivering natural gas safely and reliably to our customers in the Southeast Texas region, our Beaumont office sends you good tidings and cheer this holiday season. 🎅🎄 Check back for more holiday videos from our employees around the nation! https://t.co/CFyDuqk4eT",en,CenterPoint Energy
Mon Dec 16 20:30:13 +0000 2019,"'Tis the season to be jolly, 😁 but laundry does pile up. Try this #energyefficiency tip when washing clothes: Switch the temperature setting from hot to warm to cut your energy use in half, &amp; always wash with a full load. More tips: https://t.co/r6mzaJJshU #EETip 4 🎄 https://t.co/fR6b1L8gzl",en,CenterPoint Energy
Mon Dec 16 20:18:56 +0000 2019,@travis1100 Sorry to hear this - I understand how frustrating it can be to have to wait for a repair to take place. I’d like to look into this for you – please DM me your service address and I’ll reach out to you directly.,en,CenterPoint Energy
Mon Dec 16 19:51:52 +0000 2019,RT @SaulsToday: We have THE happiest and spirited bell ringers! DYK Salvation Army relies on money raised in red kettles to serve more than…,en,CenterPoint Energy
Mon Dec 16 19:29:06 +0000 2019,Our employees are spreading holiday cheer this season throughout their communities - check out this joyful event @HesterHouse1943 from this past weekend. #CNPCares https://t.co/0S7JSugBLA,en,CenterPoint Energy
Mon Dec 16 19:01:02 +0000 2019,RT @HargroveAna: Supporting the #ArthritisFoundation at The Woodlands Jingle Bell Run. @energyinsights https://t.co/lzuhZxinCv,en,CenterPoint Energy
Mon Dec 16 19:00:43 +0000 2019,"We're staying busy this holiday season, delivering gifts to local communities we serve through our community partner @SalArmyHouston. #CNPCares https://t.co/UMiJjVDboo",en,CenterPoint Energy
Mon Dec 16 17:03:50 +0000 2019,"In partnership with Scannell Properties, we are in the process of constructing Post House, a mixed-use building incorporating modern, integrated electric &amp; natural gas energy resources. Learn how it will help us improve how we monitor &amp; deliver energy: https://t.co/imw4ovVHPt https://t.co/rQbFRZCD3M",en,CenterPoint Energy
