created_at,full_text,lang,user_name
Thu Dec 19 19:03:02 +0000 2019,"@realworldpoker We are truly sorry to hear about this experience! In order to review this, we will need to speak over the phone. You can give us a call at 1-800-387-2331, or send us a private message and a good time to call and we can reach out to you directly! https://t.co/ssHY0QFPi1",en,E*TRADE
Thu Dec 19 13:56:14 +0000 2019,#ActiveTrader: Social media bellwether presses resistance amid bullish analyst call,en,E*TRADE
Wed Dec 18 15:59:53 +0000 2019,"@SkeletonCapital We are always happy to help! If you ever have any additional questions or concerns, please let us know. Thank you and have a great rest of your day!",en,E*TRADE
Wed Dec 18 15:33:14 +0000 2019,"@BRAden021 Everyone loves the E*TRADE baby, but he's currently in that awkward teenage phase... For now, our pups are living it up! https://t.co/UJDt0uUVXB",en,E*TRADE
Wed Dec 18 14:16:28 +0000 2019,#ActiveTrader: Sentiment gauge signals potential inflection point in retracing stock,en,E*TRADE
Tue Dec 17 19:56:08 +0000 2019,@TheDubbleVee We're sorry to hear this! Please give us a call at 1-800-387-2331 so we can further investigate and help get this resolved. Thank you!,en,E*TRADE
Tue Dec 17 14:13:42 +0000 2019,#ActiveTrader: Big options positions highlight potential action in recently discounted stock,en,E*TRADE
Tue Dec 17 14:09:32 +0000 2019,"@AndreTI We are sorry to hear you are having trouble accessing your funds! We are happy to take a look at how we can help. Give us a call 24/7 at 1-800-387-2331 (Domestic) or 1-678-624-6210 (International), or you can login and chat with us: https://t.co/mCsQotUH4g",en,E*TRADE
Tue Dec 17 14:04:05 +0000 2019,@kkernttb We apologize for any issues you may be encountering. Please reach out to us at your earliest convenience and we will be more than happy to assist with your account. We are available 24/7 at 1-800-387-2331 or if logged in you can start a Live Chat here: https://t.co/mCsQotUH4g,en,E*TRADE
Tue Dec 17 13:38:38 +0000 2019,"The week is still young, but these 3 stocks have broken to the upside.",en,E*TRADE
Mon Dec 16 20:38:41 +0000 2019,Catch up on the market and what’s on deck for the street for the rest of the week #ETRADEdashboard,en,E*TRADE
Mon Dec 16 15:54:49 +0000 2019,"@jarichmond We'd be glad to review your account, and find a solution for you. Please give us a call at 1-800-387-2331, or Chat with us here https://t.co/mCsQotUH4g: Thanks.",en,E*TRADE
Mon Dec 16 15:44:30 +0000 2019,"@Wolfes_the_Thug We might know a thing or two! Give us a call at 1-800-387-2331 (Domestic) or 1-678-624-6210 (International), or chat with us: https://t.co/mCsQotUH4g

We have representatives available 24/7 to assist with any questions or concerns you have!",en,E*TRADE
Mon Dec 16 15:29:09 +0000 2019,"@amitgaglani1 You may be referring to the Options contract fee which is $0.65. Give us a call at 1-800-387-2331, and we'd be glad to go over details. Check out our commission structure here: https://t.co/OLQgSfgmlm",en,E*TRADE
Mon Dec 16 15:10:16 +0000 2019,"@amitgaglani1 Hello Amit. We'd be glad to review your account, and make sure that you are getting real time quotes. Please call us at 1-800-387-2331, or Chat with us using this link: https://t.co/mCsQotUH4g",en,E*TRADE
Mon Dec 16 14:40:39 +0000 2019,@AGuinn_ The safety of your information is our top priority! We'd be happy to discuss additional ways to keep your account safe! You can read more information at https://t.co/OI475j6usS. We also have representatives available 24/7 at 1-800-387-2331 or through chat: https://t.co/mCsQotUH4g,en,E*TRADE
Mon Dec 16 14:33:22 +0000 2019,"@GabrielGuiillen We are truly sorry to hear about this experience. You should not be experiencing any slowness related to the open of the market! If the problem persists, please contact us 24/7 at 1-800-387-2331 or 1-678-624-6210 (International) so we can help resolve the issue with you.",en,E*TRADE
Mon Dec 16 14:29:17 +0000 2019,#ActiveTrader: What did the stock market think of the trade deal announcement?,en,E*TRADE
Mon Dec 16 14:28:50 +0000 2019,@cctradinglikeMJ We understand your concern and would be more than happy to review your account to confirm any details. We have representatives available to assist 24/7 at 1-800-387-2331 or through our Live Chat: https://t.co/mCsQotUH4g. Thank you!,en,E*TRADE
Mon Dec 16 13:14:09 +0000 2019,"@wazbo007 Our Live Chat service should be up and running here: https://t.co/mCsQotUH4g. We would be happy to take a look and see what may be causing the error. Alternatively, you can give us a call 24/7 at 1-800-387-2331 (Domestic) or 1-678-624-6210 (International). Thank you!",en,E*TRADE
Fri Dec 13 20:45:07 +0000 2019,"@azmikejan We're sorry it's been giving you trouble. The online distribution tool should be working. If you are still having issues, please feel free to contact us via live chat or call 800-387-2331 (available 24/7), and we can process the distribution for you. Thank you!",en,E*TRADE
Fri Dec 13 19:57:14 +0000 2019,"@BiliNye_iF We would be happy to discuss this matter and look into it further with you over the phone. At your earliest convenience, please call 800-387-2331 (available 24/7), and one of our professionals would be glad to assist you.",en,E*TRADE
Fri Dec 13 18:34:54 +0000 2019,"@SeanathonOAK We understand your concern and would be more than happy to review the order with you over the phone. Please feel free to call 800-387-2331 (available 24/7), and one of our professionals will assist you. Thank you",en,E*TRADE
