created_at,full_text,lang,user_name
Tue Dec 17 16:27:33 +0000 2019,"Curious what the energy future has in store? Tap to pause for a peek into the year 2040, straight from our Energy Outlook. https://t.co/GcCuWwtFbz https://t.co/5emMlN51yl",en,ExxonMobil
Fri Dec 13 20:21:19 +0000 2019,Chips and guacamole make the ideal snack. Find out which two energy sources are just as compatible. https://t.co/V9z7E8lssP,en,ExxonMobil
Tue Dec 10 18:29:49 +0000 2019,“Today’s ruling affirms the position ExxonMobil has held throughout the New York Attorney General’s baseless investigation.” Read our full statement in response to the verdict from the Supreme Court of the State of New York: https://t.co/7N1SWj8Tu9,en,ExxonMobil
Fri Dec 06 16:37:53 +0000 2019,"Red, blue, pink – the color of grease doesn’t change its performance. Dyes are added simply to help distinguish one product from another. Learn more surprising facts here. https://t.co/Qc6gRxkXzl https://t.co/oL73OS6gdV",en,ExxonMobil
Thu Dec 05 15:51:37 +0000 2019,Natural gas and renewable energy work great on their own but better together. Kind of like a peanut butter and jelly sandwich. Watch how. https://t.co/U3RpPlTGlk,en,ExxonMobil
Wed Nov 27 14:17:25 +0000 2019,"Our network of 20,000 scientists and engineers around the globe is hard at work to create consumer products that are lighter, stronger and more efficient. https://t.co/5X5zbYbYOr",en,ExxonMobil
Mon Nov 25 17:50:06 +0000 2019,"Welcome to the University of Texas, where we’re collaborating with the next generation of energy pioneers. https://t.co/pZbgqL8R7u",en,ExxonMobil
Fri Nov 22 17:18:12 +0000 2019,What can cookies &amp; milk teach us about the future of energy? Plenty. Watch the video to find out more. https://t.co/XA5gkoeWYb,en,ExxonMobil
Wed Nov 20 16:58:37 +0000 2019,"At the University of Texas, a new generation of energy researchers is working to develop scalable CCS solutions – from underground reservoir storage to trapping CO2 in ice. Meet our fellows. https://t.co/iror1AfzTk",en,ExxonMobil
Tue Nov 12 15:12:19 +0000 2019,"By 2040 there will be more than 9 billion people on the planet. Watch to see how the energy demands of a growing world population evolve. To learn more about our views on energy, check out the Energy Outlook. https://t.co/GcCuWwtFbz https://t.co/GYLmdg5ZFd",en,ExxonMobil
Mon Nov 11 18:21:24 +0000 2019,"We’re thankful for the contributions of our veterans. Today we spotlight our Veteran Advocacy and Support Team, an employee group that provides mentoring, coaching and networking opportunities to active and returning veterans. #VeteransDay https://t.co/7rkM6HnQNS",en,ExxonMobil
Fri Nov 08 21:49:25 +0000 2019,"It's been an inspiring week at #WE19! Congratulations to all our hard-working award winners, speakers and attendees. #ExxonMobilWomen https://t.co/Oc0zwDBQTi",en,ExxonMobil
Fri Nov 08 15:13:53 +0000 2019,"A big congrats to these three women who are all award winners at this year’s #WE19 conference. These engineers live, learn and lead by innovating and mentoring the next generation. #ExxonMobilWomen https://t.co/Z34h0XpQuG",en,ExxonMobil
Thu Nov 07 16:00:30 +0000 2019,"In honor of #WE19 we’re celebrating all our brilliant female engineers who break new ground all day, every day. #ExxonMobilWomen https://t.co/qWJn8UZgDd",en,ExxonMobil
Wed Nov 06 21:15:05 +0000 2019,"We’ve signed a two-year agreement with @FuelCell_Energy to research how to bring carbon capture to scale. By more efficiently catching carbon, this innovative technology could lead to meaningful reductions around the globe. Learn more: https://t.co/CLpIGXGaDh https://t.co/MsK7MOT2b1",en,ExxonMobil
Mon Nov 04 17:00:23 +0000 2019,With our partners at @clariant and @Genomatica we’re researching ways to give agricultural waste a second life by turning its cellulosic sugars into biofuel. Learn more about how it works: https://t.co/UzUFWnfMUL https://t.co/Nd6DWr98zK,en,ExxonMobil
Fri Nov 01 15:29:23 +0000 2019,"“We are making excellent progress on our long-term growth strategy.” — Darren W. Woods, chairman and CEO. Read the full third quarter 2019 earnings report here: https://t.co/Ny6QlSo9sN https://t.co/wQsmSO0Njb",en,ExxonMobil
Thu Oct 31 19:04:31 +0000 2019,"This #EnergyAwarenessMonth, see how we’re developing energy that meets the world’s needs. https://t.co/lvU1fni31N",en,ExxonMobil
Fri Oct 25 15:38:17 +0000 2019,"Double, double toil and troubleshoot as we work to develop algae biofuel to scale. We’re celebrating #NationalChemistryWeek from our labs all over the world! https://t.co/6GoYnpg4UG",en,ExxonMobil
Mon Oct 21 15:32:32 +0000 2019,"We’ve renewed our status as a Founding Member of @mitenergy low-carbon energy research and education. This collaboration supports research to develop breakthrough innovations in carbon capture, solar and other low-emission solutions. https://t.co/EMUzn13itY https://t.co/Z7KQkNRHsN",en,ExxonMobil
Fri Oct 18 15:45:35 +0000 2019,Think it’s more efficient to leave your car running when you make a quick stop? Think again. https://t.co/AfI5dUkGhU,en,ExxonMobil
Mon Oct 14 13:29:39 +0000 2019,Read what our Vice President of R&amp;D Vijay Swarup has to say about how we’re working on low-emission tech with the Indian Institutes of Technology locations in Bombay and Madras. https://t.co/s5DcJrQDMr https://t.co/bM0gCciFUO,en,ExxonMobil
Fri Oct 11 15:00:54 +0000 2019,It’s demo time at the School of ExxonMobil. We learned all about helium’s many uses and tested its lifting power with one of our experts and a curious second grader. https://t.co/KvvaEPaArR,en,ExxonMobil
Wed Oct 09 18:36:09 +0000 2019,"Congrats to M. Stanley Whittingham and his colleagues on winning the @NobelPrize in chemistry for their pioneering work on the lithium ion battery. He led ExxonMobil’s battery research in the early 1970s, ultimately making today’s high-tech world possible. https://t.co/4uTX6PV90j",en,ExxonMobil
Tue Oct 08 16:15:11 +0000 2019,"Up, up and away! School of ExxonMobil is back in session, and this time we’re learning all about helium and its many uses. Watch our full lesson here: https://t.co/jqfyHdLdEs https://t.co/fxtmZ3L6ci",en,ExxonMobil
Thu Oct 03 15:02:10 +0000 2019,See how our engineers use 3D printing to design complex prototypes that deliver energy more efficiently: https://t.co/znWAyNIp2x,en,ExxonMobil
Mon Sep 30 17:12:51 +0000 2019,"From uncovering new ways to protect the environment, to helping local businesses get involved, see how our operations in Guyana are helping to create opportunities. https://t.co/O4czVEUL93",en,ExxonMobil
Fri Sep 27 15:00:12 +0000 2019,"From production to combustion, here are a few reasons algae biofuel could be such a promising energy resource. https://t.co/cjtFJygZh8",en,ExxonMobil
