created_at,full_text,lang,user_name
Fri Dec 20 03:41:24 +0000 2019,@AmyPeikoff Beautiful photo! Thank you for sharing. -JG,en,Facebook
Wed Dec 18 22:52:26 +0000 2019,"@NabajitRoy10 Hi Nabajit. We understand your frustration, and recommend reaching out to our Help Center for assistance with your disabled account: https://t.co/04TC8CEok9 . -AS",en,Facebook
Wed Dec 18 22:51:15 +0000 2019,@xiamderekj Hi Derek. Thank you for letting us know you're experiencing this issue with your Page. You can reach out to the Facebook Business Page for help claiming it here: https://t.co/vwWG41pTfi. -JG,en,Facebook
Wed Dec 18 22:50:39 +0000 2019,@Paaul94 Hi there. Please reach out to the Facebook Business Page regarding the reviews on your Page: https://t.co/HkenXa6Lv7. -KY,en,Facebook
Wed Dec 18 22:02:00 +0000 2019,@TheSlyStallone @chrisrock You rocked the cat out of the bag. Can’t wait to see you and @chrisrock in 46 days 😬😅 https://t.co/vA5fPswvIk,en,Facebook
Wed Dec 18 02:42:46 +0000 2019,💙 https://t.co/kny5Ml5ifL,und,Facebook
Tue Dec 17 22:21:49 +0000 2019,"@melvinmaya We appreciate the suggestion, Melvin! To share this and other feedback, visit our Help Center: https://t.co/3EKpwb1lyf. -JG",en,Facebook
Mon Dec 16 23:57:03 +0000 2019,"@curtisDS1 Hi Curtis. To learn more about changing the privacy settings on your account, please visit our Help Center: https://t.co/fCaJZElGLR. -AS",en,Facebook
Mon Dec 16 23:53:07 +0000 2019,@WeWatchedAMovie Hi there. Please reach out to the Facebook Business Page regarding the issue you're experiencing with your Page: https://t.co/0nxXE6AAjX. -KY,en,Facebook
Mon Dec 16 23:52:30 +0000 2019,@amankrkhp Hi Aman. Please reach out to the Facebook Business Page regarding the issues you're experiencing with your Page: https://t.co/MGsQF4MosO. -KY,en,Facebook
Mon Dec 16 23:46:26 +0000 2019,@BSLLucknow Hi there. You can reach out to the Facebook Business Page regarding your issue with admin access: https://t.co/ulOQfH7P82. -RM,en,Facebook
Mon Dec 16 03:16:03 +0000 2019,@BrindleBoy1 Hi there. If you're having trouble receiving a code to verify your account you can request a new code. Learn how here: https://t.co/oyVVFkmsTD. -RM,en,Facebook
Mon Dec 16 03:10:33 +0000 2019,"@SIYA Hi Siya. We're sorry to hear that. If your account was taken over by someone else, please secure it here: https://t.co/XuJzFKKo6o. -RM",en,Facebook
Mon Dec 16 03:10:09 +0000 2019,@Abdelrhmanarfaa Hi there. We're sorry to hear you're experiencing an issue. Please follow this link for help with a disabled account: https://t.co/F5CuYxuKC7. -RM,en,Facebook
Mon Dec 16 03:08:36 +0000 2019,@Mr_Rage55 Hi there. If you're having trouble receiving a code to verify your account you can request a new code. Learn how here: https://t.co/rXlxucesz6. -RM,en,Facebook
Mon Dec 16 03:08:15 +0000 2019,@Duke82_shatter Hi Duke. The best place to seek help with your disabled account is via this link: https://t.co/g6cC3xzj1O. -RM,en,Facebook
Mon Dec 16 03:04:55 +0000 2019,@swamplillys Hi there. We're sorry to hear you're experiencing an issue. If you're having trouble receiving a code to verify your account you can request a new code. Learn how here: https://t.co/uXwZ3yNbRr -RM,en,Facebook
Mon Dec 16 03:04:25 +0000 2019,"@felleprat Hi Felicia. We're sorry to hear that. If your account was taken over by someone else, please secure it here: https://t.co/3wv7LpYFAy. -RM",en,Facebook
Sun Dec 15 00:15:04 +0000 2019,@TheCATOliver Hi Oliver. The best place to seek help with your account is through the Help Center: https://t.co/yeCbVioojN. You can also post your question within the Help Community for additional support: https://t.co/ABAGvbbR8i. -RM,en,Facebook
Sun Dec 15 00:08:50 +0000 2019,@realabduladam Hi Abdulrazak. The best place to seek help with your account is through the Help Center: https://t.co/aiZrTiFQ6Y. You can also post your question within the Help Community for additional support: https://t.co/ciXHgYxvI2. -RM,en,Facebook
Sun Dec 15 00:06:34 +0000 2019,@apoliq Hi there. Sorry you're experiencing an issue accessing your account. Please visit our Help Center for troubleshooting tips: https://t.co/HWGs9kz8IN -RM,en,Facebook
Sun Dec 15 00:02:50 +0000 2019,@sumitku01813564 Hi Sumit. Sorry you're experiencing an issue logging in. Please visit our Help Center for troubleshooting tips: https://t.co/rDxB5ucXQZ -RM,en,Facebook
Sun Dec 15 00:01:31 +0000 2019,@IgnoredAlready Hi there. We're sorry you're experiencing an issue. Please follow this link for help with a disabled account: https://t.co/hgj8sDpSeT -RM,en,Facebook
Sat Dec 14 22:04:40 +0000 2019,"@sanity_justin We're sorry to hear that, Justin. If you think your account has been hacked or taken over, please visit our Help Center to secure it: https://t.co/UxToyLERxO. -AS",en,Facebook
Fri Dec 13 20:23:28 +0000 2019,"@fizimdnoor Hi Mohd. We're sorry to hear that. If your account was taken over by someone else, please secure it here: https://t.co/4lXSo0xIfk. -AS",en,Facebook
Fri Dec 13 20:22:43 +0000 2019,"@VinothS52555358 Hi Vinoth. We're so sorry to hear you're experiencing that. If someone is impersonating you on Facebook, please use this form to report it: https://t.co/hFaJYXk15G. -AS",en,Facebook
Fri Dec 13 20:20:03 +0000 2019,@JhonBarbosa1983 Hi there. It looks like you are receiving malicious messages from someone who may be trying to access your account. We recommend taking steps to prevent this and securing your account here: https://t.co/BvMwwONPDB. -AS,en,Facebook
Fri Dec 13 18:54:07 +0000 2019,"@hensonhair We're sorry to hear that, Courtney. For assistance with a disabled account, please visit: https://t.co/5A9BRikhS2. -AS",en,Facebook
Thu Dec 12 21:45:08 +0000 2019,@MandellJCC_CT Hi there. We encourage you to visit our Facebook Business Page for help with this issue. You can reach out to them here: https://t.co/Y8cPyjUoju. -AS,en,Facebook
Thu Dec 12 21:44:44 +0000 2019,@OriginalLaClair Hi Christina. The best place to seek help with the Facebook app is through the Help Center: https://t.co/mfui9W76ZC.  -AS,en,Facebook
Thu Dec 12 21:41:55 +0000 2019,"@ugpoliticsagain Hi Betty. For assistance in changing the name of your Facebook Page, please visit the Facebook Business Page: https://t.co/kk32sr2vmq. -AS",en,Facebook
Thu Dec 12 21:36:59 +0000 2019,"@kwpaulski Hi Paul. We're so sorry to hear about this. If someone created a Facebook account that's pretending to be someone you know, please use this form to file a report: https://t.co/ReMQremd2B. -AS",en,Facebook
Thu Dec 12 21:34:20 +0000 2019,"@Katmelan777 Hi Kat. We're sorry to hear you're experiencing this. That type of behavior goes against the Facebook Community Standards, and we encourage you to report it. To learn more about reporting abusive content, please visit: https://t.co/QgiUPGYpz8. -AS",en,Facebook
Wed Dec 11 21:17:01 +0000 2019,@NeytiriOmally Hi there. We're sorry to hear you're experiencing issues with your business account. Please visit the Facebook Business Page for assistance: https://t.co/NjCTavfVd0. -AS,en,Facebook
Wed Dec 11 21:16:31 +0000 2019,"@mdsafrieazyz Hi there. We're sorry to hear your account has been disabled. For more information, please visit our Help Center here: https://t.co/SWAHPajYSA. -KY",en,Facebook
Wed Dec 11 21:15:59 +0000 2019,@TasiusaniW Hi Tasiu. Sorry to hear you're experiencing an issue logging in. Please visit our Help Center for troubleshooting tips: https://t.co/SK4qYM2WpR. -AS,en,Facebook
Wed Dec 11 21:14:00 +0000 2019,@EstelleAlais Hi Estelle. We're sorry to hear that. Please visit our Help Center if you think your account has been disabled: https://t.co/2FGJFcJeIK. -AS,en,Facebook
Wed Dec 11 19:30:44 +0000 2019,"How our AR/VR teams are changing the way people work, play, and connect across distances",en,Facebook
Wed Dec 11 02:19:34 +0000 2019,@Karmaatemycat Hi Jefferey. You can reach out to the Facebook Business Page regarding what you're experiencing with this Page: https://t.co/BDKX6Ha2L9 -RM,en,Facebook
Mon Dec 09 22:20:45 +0000 2019,@FranklinnnMJ Hi Frank. We recommend reaching out to the Facebook Business Page regarding what you're experiencing with your ads manager account: https://t.co/kuIyZpASxa. -AS,en,Facebook
Mon Dec 09 22:18:34 +0000 2019,@Am_r4 If you're having trouble receiving a code to verify your account you can request a new code. Learn how here: https://t.co/fIhbnpY3jh. -RM,en,Facebook
