created_at,full_text,lang,user_name
Thu Dec 19 21:30:07 +0000 2019,Understand how interest is calculated can potentially help you lower your student loan debt. https://t.co/vFJIFsp6CW,en,First Republic
Thu Dec 19 17:30:06 +0000 2019,Here are five money-smart tips to help law school graduates pay down debt and start building wealth. https://t.co/QmIls5N54r,en,First Republic
Wed Dec 18 20:00:17 +0000 2019,Purchasing a property and renting it out is one way to invest in real estate and generate a steady stream of passive income. https://t.co/cmVpYoh629,en,First Republic
Wed Dec 18 17:00:21 +0000 2019,"Regardless of which stage of life you're in, a successful retirement is achievable with proper preparation. https://t.co/H4YsPxufeg",en,First Republic
Tue Dec 17 20:00:13 +0000 2019,"See how companies are cultivating ""intrapreneurship"" and empowering employees to create and innovate. https://t.co/M6Ypek3JfM",en,First Republic
Tue Dec 17 19:43:24 +0000 2019,@boehayward Thanks for reaching out. We are not currently experiencing issues. Pleas send us a DM if you would like us to connect you with someone from our online banking team.,en,First Republic
Tue Dec 17 16:58:50 +0000 2019,U.S. equities rallied to new record highs last week after reports of the U.S. and China agreeing to a “phase one” trade agreement lifted investor sentiment. Full Recap: https://t.co/QQsuBP8q2k https://t.co/q1aKCCNCxW,en,First Republic
Mon Dec 16 23:00:09 +0000 2019,"See how companies are cultivating ""intrapreneurship"" and empowering employees to create and innovate. https://t.co/JJtnYMg26O",en,First Republic
Mon Dec 16 20:00:12 +0000 2019,"With year-end quickly approaching, now is a sensible time to finalize your financial and tax planning for the 2019 tax year. https://t.co/zxabol339s",en,First Republic
Mon Dec 16 16:30:11 +0000 2019,"For many millennial homeowners, space isn’t about square footage — it’s about breathing room. https://t.co/Fj88Da48Ji",en,First Republic
Fri Dec 13 22:30:05 +0000 2019,Are you ready for your first home? Here are six tips to help you start off on the right foot. https://t.co/l7P13czNSo,en,First Republic
Fri Dec 13 20:00:08 +0000 2019,"Before you accept a job offer, take a moment to evaluate the compensation package holistically. https://t.co/GPeqnsANBE",en,First Republic
Fri Dec 13 17:00:23 +0000 2019,These strategies can help your business mitigate currency volatility risks and turn them into opportunities. https://t.co/4ceXYSkD6X,en,First Republic
Thu Dec 12 22:30:07 +0000 2019,Here are a few considerations to keep in mind when gifting money. https://t.co/PViaMSVhiR https://t.co/B7J3E2fsdw,en,First Republic
Thu Dec 12 19:00:28 +0000 2019,Reinforcing your online security can be easy with these five simple but effective steps. https://t.co/oGYrWYspT3,en,First Republic
Thu Dec 12 16:00:10 +0000 2019,"Refinancing can help you pay off student loans quicker, so you can focus on future financial goals — like buying a home, traveling and starting a family. https://t.co/sXhupR8IN5",en,First Republic
Wed Dec 11 23:00:07 +0000 2019,These three tax-efficient giving strategies can help you manage your charitable donations. https://t.co/iUryOR5cUp,en,First Republic
Wed Dec 11 19:30:06 +0000 2019,Is career advancement on your mind? Learn how to effectively leverage your accomplishments. https://t.co/hLv3xtDPNR,en,First Republic
Wed Dec 11 15:54:43 +0000 2019,"@nbogaty Nick, thank you for the feedback. We are terribly sorry to hear that this has been a negative experience for you. A member of our team should be reaching out to you to discuss this in further detail. It's a privilege to continue to serve you.",en,First Republic
Wed Dec 11 15:00:15 +0000 2019,San Francisco is the first U.S. city to provide a park or public space for every resident within a 10-minute walk from their home. https://t.co/3lGXMr2UCe,en,First Republic
Tue Dec 10 22:30:06 +0000 2019,Choosing the right type of mortgage may lower the overall cost of your new home. https://t.co/zbzIjJhuYu,en,First Republic
Tue Dec 10 19:30:07 +0000 2019,"Learn how you can call forth a boost in confidence, even if you're not feeling it. https://t.co/2QavP7Tktv",en,First Republic
Tue Dec 10 17:00:19 +0000 2019,"U.S. labor market picked up steam in November, while manufacturing continued to struggle. Full Recap: https://t.co/hMq8as2m7t https://t.co/w2GpMg5ahl",en,First Republic
Mon Dec 09 23:00:09 +0000 2019,Learn about the importance of succession planning in a family business from this father-and-son team. https://t.co/VhaOg6N05W,en,First Republic
Mon Dec 09 19:30:08 +0000 2019,These four small lifestyle changes can help you grow your savings over time. https://t.co/2ejqafHgxf,en,First Republic
Mon Dec 09 18:31:26 +0000 2019,"@kateflaim Thank you for the shout-out, Kate! It's a privilege to continue to serve you.",en,First Republic
Mon Dec 09 15:15:06 +0000 2019,Life after an IPO can open many doors — but which questions should employees ask before a post-exit windfall? https://t.co/N822VTtImn,en,First Republic
Mon Dec 09 14:55:48 +0000 2019,@ada_ziv It's a privilege to serve you.,en,First Republic
Mon Dec 09 14:09:42 +0000 2019,"@rakeshlobster Rakesh, we are terribly sorry to hear this. Can you please send us a DM so that we may better assist?",en,First Republic
Fri Dec 06 22:30:06 +0000 2019,Learn which documents you need to gather ahead of time for a seamless mortgage application. https://t.co/iiycJu8Abm,en,First Republic
Fri Dec 06 19:30:12 +0000 2019,A succession plan is vital for the longevity for any nonprofit. Learn how you can start building one today. https://t.co/doLSHGRzZu,en,First Republic
Fri Dec 06 17:00:20 +0000 2019,"As a business owner, focusing on a specialization can help you pave the way to success. https://t.co/86OdxeAqfA",en,First Republic
Thu Dec 05 23:00:07 +0000 2019,Here are four what-if scenarios all business owners should be prepared to address. https://t.co/827gyQ4M2w,en,First Republic
Thu Dec 05 21:33:32 +0000 2019,@ny4children It was truly a privilege to continue to partner with such a wonderful cause.,en,First Republic
Thu Dec 05 20:30:49 +0000 2019,First Republic is committed to giving back to our communities. Volunteering is one of the many ways we demonstrate that commitment. Happy #InternationalVolunteersDay. #IVD2019 https://t.co/zyce13o1HH,en,First Republic
Thu Dec 05 19:30:08 +0000 2019,Having a financial plan can help you stay on track and reach your goals. Learn how you can get started today. https://t.co/7SUxrvCDSf,en,First Republic
Thu Dec 05 14:43:24 +0000 2019,@DaveYeske It's a privilege to serve you this holiday season.,en,First Republic
Wed Dec 04 23:30:05 +0000 2019,Is a fixer-upper home worth the initial savings? Here are some key factors to consider. #Homebuying https://t.co/NDufes1L5O,en,First Republic
Wed Dec 04 20:00:11 +0000 2019,Learn why openly discussing your estate plan with the people involved can make a world of difference. https://t.co/2UJmBuYa8q,en,First Republic
Wed Dec 04 17:00:19 +0000 2019,"Conventional wisdom on retirement planning may not apply to everyone. Here's why you should challenge some of these ""rules."" https://t.co/PzknYyescp",en,First Republic
Tue Dec 03 20:50:53 +0000 2019,@shiraabel It is truly a privilege to continue to serve you.,en,First Republic
Tue Dec 03 17:00:19 +0000 2019,There are many ways to incorporate philanthropy in your estate plan. https://t.co/BVYMtsIJrs,en,First Republic
Tue Dec 03 15:59:52 +0000 2019,"@shiraabel Shira, we appreciate this feedback. We will be sure to share it with our online banking team.",en,First Republic
Mon Dec 02 23:00:06 +0000 2019,Bolster your digital defenses against cybercriminals with these proven strategies. https://t.co/CSvOGvalxV,en,First Republic
Mon Dec 02 19:30:05 +0000 2019,Five important steps to take when selling your company through the mergers and acquisitions process. https://t.co/U03wwiLrwP,en,First Republic
Mon Dec 02 16:30:11 +0000 2019,Refinancing often carries both short- and long-term benefits for any type of student loan debt repayment. https://t.co/0ABYWsE9Zi,en,First Republic
Fri Nov 29 20:00:13 +0000 2019,"When it comes to managing shared finances, millennial couples should consider these three options. https://t.co/CIXGNXGVOF",en,First Republic
Thu Nov 28 17:30:24 +0000 2019,This #Thanksgiving we would like to recognize how thankful we are for our extraordinary clients and communities. It’s a privilege to serve you. https://t.co/csNKz21yNu,en,First Republic
Wed Nov 27 18:00:22 +0000 2019,Separating wealth from entitlement can help children develop a better understanding of money. https://t.co/f9ezRQriLD,en,First Republic
