created_at,full_text,lang,user_name
Thu Dec 19 18:00:20 +0000 2019,"Take a look at surface grinding wheel safety and learn how to protect yourself, and your staff, when using these tools. https://t.co/l5puAbtgYN https://t.co/ka2HrLstEJ",en,Grainger
Mon Dec 16 18:00:20 +0000 2019,There are different electrical heaters for each environment. We break down the best options for each situation. https://t.co/MNCWpNowUW https://t.co/PjHnQzKnQ0,en,Grainger
Fri Dec 13 18:46:07 +0000 2019,"@r_tw_ HI, please give our Customer Service Team a call so that we can work with you on this. #1-800-472-4643. They're available 24/7 Thx ^AY",en,Grainger
Thu Dec 12 18:00:15 +0000 2019,"With the flu season already here, it's important to get flu shots early, create a plan and disinfect often. https://t.co/GGUMZwcDUk https://t.co/9X7S3NntjG",en,Grainger
Tue Dec 10 18:00:15 +0000 2019,An FDA inspector will likely visit your facility. How will you know if you’re prepared for an audit? https://t.co/UbvsnQtUZc https://t.co/zD2A8FnJ8p,en,Grainger
Tue Dec 10 17:54:41 +0000 2019,"@wasilewski1017 Hi , we will need more details in order to help.  Please email us @ social@grainger.com with the item number, your father's name, and any additional info that may help us locate the order. Thx ^AY",en,Grainger
Mon Dec 09 19:45:50 +0000 2019,"@wasilewski1017 Hi, we're glad to help u. Pls email us the order # and concerns @ social@grainger.com. Thx ^AY",en,Grainger
Thu Dec 05 14:30:08 +0000 2019,OSHA recently released the top 10 OSHA violations for 2019. See what violation landed at number one for the ninth consecutive year. https://t.co/9S9f4PRCC0 https://t.co/2PdwIKFldS,en,Grainger
Tue Dec 03 13:30:07 +0000 2019,These handwashing steps can help keep germs out of your department and potentially cut down on sick days. https://t.co/GI1WxnYP2s https://t.co/lif2iCoOmH,en,Grainger
Wed Nov 27 15:00:15 +0000 2019,What's new in FSMA? Make sure your organization is staying compliant. https://t.co/F1cD5yVFm3 https://t.co/LJM7TnJ6uT,en,Grainger
Mon Nov 25 15:00:21 +0000 2019,Flu season is upon us. Learn how facility managers can take a few steps to help limit the spread of common communicable diseases. https://t.co/16CiYdUunf https://t.co/to10qwRc3S,en,Grainger
Thu Nov 21 13:00:08 +0000 2019,See how USP &lt;800&gt; may help minimize workers’ exposure to hazardous drugs. https://t.co/bo099LmsSG https://t.co/MFKVliP9SR,en,Grainger
Tue Nov 19 14:30:52 +0000 2019,Take a look at four challenges facing hospitals with aging infrastructures. https://t.co/dzkKdFe9r7 https://t.co/S28jhYjGhC,en,Grainger
Fri Nov 15 16:23:47 +0000 2019,@DawnPossible We're sorry for any issues you might be having with our site. Pls give us a call so we can help. 1-800-472-4643. Our https://t.co/wCxcjzaC6f team is avail. 24/7 and have had their coffee for the day! ^AY,en,Grainger
Thu Nov 14 14:00:16 +0000 2019,"Without regular testing, we don't know how safe our drinking water is. https://t.co/kDAh9oiHVw https://t.co/iL0KJMAoGV",en,Grainger
Mon Nov 11 18:14:27 +0000 2019,"On this Veterans Day, we profile this U.S. Marine Corps veteran and Purple Heart recipient recalls the battle of Okinawa in 1945, as well as the heroism and sacrifice of those who served alongside him. https://t.co/wy7Pi7Uejk https://t.co/pOinqqlJEv",en,Grainger
Thu Nov 07 18:00:11 +0000 2019,Here are four tips to help fire chiefs manage inventory so they can get back to fighting fires. https://t.co/q7C2jSYNZz https://t.co/SO6FPJ8Unz,en,Grainger
Tue Nov 05 18:30:09 +0000 2019,Take a look at five things to consider when developing an exterior building maintenance plan for aging properties. https://t.co/N7jn0I3OEM https://t.co/PYXffVX0jB,en,Grainger
Fri Nov 01 17:00:14 +0000 2019,"Managers of aging buildings not only have to make their restrooms comfortable, but they also need to make sure to follow regulations. https://t.co/dPzytYNoqx https://t.co/fVjfhPPJZE",en,Grainger
Tue Oct 29 18:47:29 +0000 2019,This Halloween attraction supports—and scares—the community. https://t.co/HOnvMxHxhH https://t.co/Bpuna09rJ8,en,Grainger
Tue Oct 29 17:39:52 +0000 2019,@danfly09 Thank you for bringing this to our attention.  Glad you could get a laugh out of it!  I have submitted the Feedback to our marketing team.  We'll let the right group know to fix it.  ^MJF,en,Grainger
