created_at,full_text,lang,user_name
Thu Dec 19 22:30:05 +0000 2019,"Hey Milwaukee, tonight the @Bucks take on the @Lakers and we’re revving up for a hometown win. 

Who’s tuning in to watch it all go down? #FearTheDeer #HarleyDavidson #LiveWire https://t.co/8FiKJJeJFE",en,Harley-Davidson
Thu Dec 19 19:18:02 +0000 2019,@Inureyezicntsee 😎🤘,und,Harley-Davidson
Thu Dec 19 18:00:00 +0000 2019,Stuff their stockings full of #HarleyDavidson. Stock up on last-minute H-D gifts below or visit you local H-D dealer while there’s still time.,en,Harley-Davidson
Thu Dec 19 15:50:16 +0000 2019,@EdRaket65 We hope not either! #RideOn 🤘,en,Harley-Davidson
Thu Dec 19 15:37:13 +0000 2019,"@garethcornell Hell yeah, congrats on the new ride! We hope the weather starts cooperating for you soon, brother. 🤘",en,Harley-Davidson
Wed Dec 18 19:32:15 +0000 2019,"@kyee17 Hi Kirsten - We are sorry this is taking longer than expected, but please know that our team is working to resolve the issue as quickly as they can. We appreciate your patience.",en,Harley-Davidson
Wed Dec 18 18:42:38 +0000 2019,"@MrsJonesMilan You're welcome, Timmi! Thank you for being a part of our H-D family! 🤘🖤",en,Harley-Davidson
Wed Dec 18 17:27:52 +0000 2019,"@heyhandyman00 Hi Shawn. You should receive an email with your order confirmation. Check your spam folder, as it may go there instead of your inbox folder. If you haven’t gotten an email in either folder, please reach out to us at 1-(800)-258-2464, 8 am - 7 pm, CST. Thank you for your patience.",en,Harley-Davidson
Wed Dec 18 17:00:15 +0000 2019,Take the open road wherever you go with these #HarleyDavidson wallpapers—winter edition. #WallpaperWednesday https://t.co/oFVKzfzxNT,en,Harley-Davidson
Wed Dec 18 16:03:57 +0000 2019,"@shady_1904 We're digging the Harley holiday spirit. 🤘 Merry Christmas to you and your family, Albert!",en,Harley-Davidson
Tue Dec 17 21:02:15 +0000 2019,@MirandaRay525 Thank you!,en,Harley-Davidson
Tue Dec 17 20:55:08 +0000 2019,"@MirandaRay525 Hi Miranda - We are sorry this is taking longer than expected, but please know that our team is working to resolve the issue as quickly as they can. Our representatives want to give the best possible experience when speaking with our customers. We appreciate your patience.",en,Harley-Davidson
Tue Dec 17 20:40:24 +0000 2019,"@angela_marieC Hi Angela - We are sorry this is taking longer than expected, but please know that our team is working to resolve the issue as quickly as they can.  Our representatives want to give the best possible experience when speaking with our customers. We appreciate your patience.",en,Harley-Davidson
Tue Dec 17 20:38:23 +0000 2019,"@CPBailey74 We'd like to learn more about what happened to see how we may help, Christopher. When you have a moment, please give us a call at  1-800-258-2464. Thank you.",en,Harley-Davidson
Tue Dec 17 18:55:23 +0000 2019,@mpsdllc Thanks. We'll pass it on to the rest of our team.,en,Harley-Davidson
Tue Dec 17 18:53:18 +0000 2019,"@M1Dolo That's definitely not what we'd hoped to hear. If you haven't already, please reach our team directly so we can gather more details about your experience and try to help. We can be reached at 1-800-258-2464 (Monday through Friday; 8am-7pm CST).",en,Harley-Davidson
Tue Dec 17 18:30:00 +0000 2019,Do you know what beats #LA gridlock? A 2-wheeled rolling detox through the open desert straight to beautiful #PalmSprings. Check out @Ninja_Natalie and her crew’s trip and book your own escape with @EagleRider today. #HarleyDavidson #EagleRider,en,Harley-Davidson
Tue Dec 17 17:01:15 +0000 2019,@Adamchildchad This is a rad shot. Can we share this photo? Reply #HellYeaHarley if you approve. Thanks!,en,Harley-Davidson
