label,created_at,full_text,lang,user_name
AI/ML,Thu Dec 19 20:00:10 +0000 2019,"Intelligent automation can relieve employees from repetitive, mundane tasks and free their creativity and productivity. Here's how: https://t.co/hEE5H1UjEO #AppliedIntelligence https://t.co/D9QKQf5A6R",en,Accenture
IRRELEVANT,Thu Dec 19 14:47:40 +0000 2019,"RT @JulieSweet: Off to a great start with strong financial results for Q1 of FY20, continuing our momentum from FY19. I want to thank every…",en,Accenture
IRRELEVANT,Wed Dec 18 20:00:01 +0000 2019,"Capitalism is having a midlife crisis. Our #FjordTrends 2020 report shares why we predict a redefining of growth metrics, purpose and more: https://t.co/qeqAXZuVli #IntoTheNew https://t.co/wvkXZGLb9b",en,Accenture
DT,Wed Dec 18 13:10:01 +0000 2019,RT @AccentureACTIVE: Are your digital advertising techniques scaring your customers away? Our 2019 Consumer Pulse Survey revealed that near…,en,Accenture
AI/ML,Tue Dec 17 20:00:25 +0000 2019,Does your company innovate piecemeal—or at scale? Our new report shows why it matters a lot: https://t.co/RCB01vyrWm #IntoTheNew https://t.co/TAZMSkjgvf,en,Accenture
IRRELEVANT,Tue Dec 17 14:56:57 +0000 2019,"RT @Forbes: Julie Sweet, CEO of global services company Accenture, ranked No. 16 on the #PowerWomen list this year https://t.co/0PhXtGyhnI…",en,Accenture
IRRELEVANT,Tue Dec 17 10:16:55 +0000 2019,"RT @AccentureACTIVE: Find out how being better connected provides a deeper, more personalized level of service for your #B2B customers: htt…",en,Accenture
IRRELEVANT,Mon Dec 16 14:03:00 +0000 2019,"@efileno 🙂📑 Thanks for sharing, happy reading! #FjordTrends",en,Accenture
AI/ML,Mon Dec 16 14:00:08 +0000 2019,"Don't limit your expertise to just one technology—work here, and get the chance to explore more: https://t.co/OFe9GHHcb6 #ChooseAllTech https://t.co/bZeNjx9n0S",en,Accenture
IRRELEVANT,Fri Dec 13 20:30:34 +0000 2019,"Does your Twitter feed have you feeling anxious? Get inspired. 

Our new #FjordTrends 2020 report spotlights emerging shifts in society, tech and design—and how to spark positive action: https://t.co/9BgNx0B10c #IntoTheNew https://t.co/orOumgMlLk",en,Accenture
AI/ML,Thu Dec 12 22:00:17 +0000 2019,You already know that AI can benefit your business—our new report looks at how to scale it for maximum value: https://t.co/dPSvdzPHrH https://t.co/UiJcLBX5cE,en,Accenture
IRRELEVANT,Thu Dec 12 19:45:01 +0000 2019,Congratulations to our own @JulieSweet for being recognized as one of @Forbes’ World’s 100 Most Powerful Women. https://t.co/TbxCSzMbaQ #PowerWomen https://t.co/CUNWgCfekI,en,Accenture
DT,Thu Dec 12 14:00:17 +0000 2019,Increase ROI on technology investments with these 3 takeaways from our #FutureSystems report: https://t.co/Eqzk7iITvr #IntoTheNew https://t.co/bKbvbirj2n,en,Accenture
DT,Wed Dec 11 21:39:49 +0000 2019,"RT @dexigner: Fjord has released its 2020 Trends Report, highlighting seven emerging trends expected to shape the business of experience.…",en,Accenture
DT,Wed Dec 11 20:00:02 +0000 2019,🚀 Sky's the limit. Help inspire the next generation of technology talent by participating in an #HourOfCode: https://t.co/UIfourp3PQ https://t.co/z3CkMzv4NT,en,Accenture
IRRELEVANT,Wed Dec 11 14:00:01 +0000 2019,The CFO role is dramatically changing—and so are their team's responsibilities and skills. See how: https://t.co/V56vhiH4vR #CFOReimagined https://t.co/dXAxphz6b3,en,Accenture
IOT,Tue Dec 10 20:00:00 +0000 2019,Making our cities smarter with 5G and #IoT means we need to up our #cybersecurity game. Our @jbharvey explains how: https://t.co/eTKaFnAjYg 🎧,en,Accenture
