created_at,full_text,lang,user_name
Thu Dec 19 22:22:35 +0000 2019,"Blow the mind of your fav tech head this holiday season. Check out the new AT&amp;T Power Drum, it can charge both your Apple Watch and iPhone at the same time, even on the go. #LastMinuteGifts ⌚️📱⚡️ https://t.co/B1OXd2elNT",en,AT&T
Thu Dec 19 21:37:31 +0000 2019,"@chemrt Hi Robert, we'd like to look into this for you. Could you please send us a DM with your name, the email address these were sent to, and a screenshot of the email? https://t.co/7m6RT3Hk4n",en,AT&T
Thu Dec 19 21:00:09 +0000 2019,@ESLAsphalt We are SO ready!! 🏁,en,AT&T
Thu Dec 19 20:58:29 +0000 2019,@EdgarTalavera87 @NigelOrtegaAtt https://t.co/JxQKYgEEbA,und,AT&T
Thu Dec 19 20:57:22 +0000 2019,"@Vonnie_MSS @TationnaMaria Go Tationna, go! https://t.co/bNaMHoJGy9",en,AT&T
Thu Dec 19 20:54:18 +0000 2019,"@Wikedhawdcore Nicely done, Chris and team! https://t.co/O67S7Y29o1",en,AT&T
Thu Dec 19 20:53:07 +0000 2019,@AshMcG_ATT https://t.co/uWyOOqy51g,und,AT&T
Thu Dec 19 20:52:14 +0000 2019,@MarsinoCher Go team! 🔥 https://t.co/SGCqj7Qnrn,en,AT&T
Thu Dec 19 20:50:08 +0000 2019,"@mr_echavez555 @NeinaPrice @IamJosephL Woohoo! 🎉 Thanks for sharing, Enrique. https://t.co/UzrgzB5Lbi",en,AT&T
Thu Dec 19 20:47:39 +0000 2019,@TeamFontleroy https://t.co/BWiQDq7whK,und,AT&T
Thu Dec 19 20:46:34 +0000 2019,@NeinaPrice https://t.co/gjarR43OUx,und,AT&T
Thu Dec 19 20:45:26 +0000 2019,@TNokes3 Lookin' good team! 👌🙂,en,AT&T
Thu Dec 19 20:44:23 +0000 2019,@TNokes3 We love it! https://t.co/MTKjusk36v,en,AT&T
Thu Dec 19 20:42:09 +0000 2019,"@VicAlarcon510 This looks like snow much fun, Victor. ❄️😁 https://t.co/Gdy7CMqOAN",en,AT&T
Thu Dec 19 20:40:15 +0000 2019,@JeremyDonuts https://t.co/5uJLOwAla5,und,AT&T
Thu Dec 19 20:38:27 +0000 2019,@Mitch_Biermann 🙌 https://t.co/Xh6xXI9D22,und,AT&T
Thu Dec 19 20:36:51 +0000 2019,@TylerCoburn8 https://t.co/fLWuMYQXQZ,und,AT&T
Thu Dec 19 20:32:22 +0000 2019,"@Guy_VV Well done, Guy and team! 👏 https://t.co/aIdF4KNavq",en,AT&T
Thu Dec 19 20:30:30 +0000 2019,@EricaLamS2 💙💙💙,und,AT&T
Thu Dec 19 20:28:54 +0000 2019,@VicAlarcon510 https://t.co/2CeXzqELiu,und,AT&T
Thu Dec 19 20:27:41 +0000 2019,"@ArceAnissa That gift makes a lot of cents, Anissa. 😂 #LifeAtATT https://t.co/WEzK9jdiw8",en,AT&T
Thu Dec 19 20:22:29 +0000 2019,"@rozmarioworld OK, icy what you did there. 😉☃️",en,AT&T
Thu Dec 19 20:11:40 +0000 2019,"@msivettedavis This is amazing, Ivette. https://t.co/VlphsYHzjw",en,AT&T
Thu Dec 19 20:08:58 +0000 2019,"@normaldoyle Thank YOU, Norma for caring about your community. We appreciate you. 💙",en,AT&T
Thu Dec 19 20:07:10 +0000 2019,@Vincent_JGLM Our #ATTFam is the best! BRB... we're bawling our eyes out right now. 💙😭,en,AT&T
Thu Dec 19 20:05:16 +0000 2019,@connormg611 Thanks for joining the #ATTFamily Michael! 💙 🤗,en,AT&T
Thu Dec 19 20:04:15 +0000 2019,@Glamour1Doll https://t.co/wLnpSJYHXT,und,AT&T
