created_at,full_text,lang,user_name
Thu Dec 19 18:33:19 +0000 2019,"@snoleezey801 Hi there, thanks for your note and we're sorry to hear this. If you'd like, please send us a DM with more details so we can assist.",en,Abbott
Wed Dec 18 23:24:19 +0000 2019,"Roadside drug testing tools are needed to help keep roads and communities safe and our #SoToxa roadside drug testing device is being recognized by @PopSci as a 2019 ""Best of What's New"" tech innovation: https://t.co/hhulJNfAPK https://t.co/HyI2HrG4jg",en,Abbott
Wed Dec 18 17:31:57 +0000 2019,RT @Shape_Magazine: A new study sheds light on how cold and flu viruses interact. https://t.co/hDimbudKsW,en,Abbott
Wed Dec 18 14:12:04 +0000 2019,"With flu season in full force, here’s how you can help protect yourself: https://t.co/OptAfW9qoR #fluprevention https://t.co/G01YMnVFzb",en,Abbott
Tue Dec 17 16:45:12 +0000 2019,RT @TDOnline: Police can deter drugged driving with roadside tests | Opinion https://t.co/slTXLWLBo8,en,Abbott
Tue Dec 17 16:24:04 +0000 2019,"What happens when nutrition is prioritized before, during and after a hospital stay? 

Our own, Hakim Bouzamondo explains in @FierceHealth: https://t.co/N59KJ4ccoa",en,Abbott
Tue Dec 17 16:04:15 +0000 2019,Nutrition is the missing ingredient in home healthcare. https://t.co/divZNqhSyo,en,Abbott
Tue Dec 17 16:02:41 +0000 2019,"@remingtontonar Hi Remington, thanks for your note and we're sorry to see this. Please send us a DM so we can assist you further.",en,Abbott
Mon Dec 16 22:46:10 +0000 2019,"Creating the future of health is no small task. 

Here’s how it starts: https://t.co/pynMeFod5C https://t.co/VxeSYVYkPx",en,Abbott
Mon Dec 16 22:46:10 +0000 2019,"Creating the future of health is no small task. 

Here’s how it starts: https://t.co/wYfKOh7Aad https://t.co/7WidHjdDo7",en,Abbott
Mon Dec 16 16:07:09 +0000 2019,"1+ million babies are born with serious heart defects each year. 90% are living in countries without access to the specialized care they need to survive. 

Our #LittleHeroes initiative aims to give them the chance to grow up and reach their full potential: https://t.co/0BdzDFuC1s https://t.co/c1gzY5BDPi",en,Abbott
Mon Dec 16 15:41:04 +0000 2019,"ICYMI: We’re increasing our quarterly dividend 12.5%.
 
This is the 384th consecutive quarterly dividend paid since 1924: https://t.co/LRmadTOQDD #DividendAristocrat https://t.co/VDanztjROA",en,Abbott
Mon Dec 16 14:52:07 +0000 2019,"@ung1817 Hi Manish, please ensure you're calling during our regular business hours Monday through Friday from 830am - 5pm so a team member is there to assist.",en,Abbott
Mon Dec 16 14:50:48 +0000 2019,"@EmmyDjihad Hi Ntihemuka, thanks for asking! Click the link in our post to read about the foods that support immunity.",en,Abbott
Mon Dec 16 14:12:03 +0000 2019,"According to the CDC, #Chronicpain is one of the most common reasons adults seek medical care. 

Here’s how, with our #ProclaimXR neurostimulator device: https://t.co/HQMVEDigsx
 
Important safety info: https://t.co/vXlpYbREOu",en,Abbott
Sun Dec 15 19:27:03 +0000 2019,"Impaired driving can lead to tragic consequences, read why one man is so passionate about stopping drug-impaired drivers and keeping roads safe. #EndImpairedDriving https://t.co/GxPuO5yyNm",en,Abbott
Sun Dec 15 17:08:04 +0000 2019,Ask the expert – which foods support immunity? https://t.co/t8rkhpNCta https://t.co/TWpwKYdUAO,en,Abbott
Fri Dec 13 21:24:03 +0000 2019,Dividend Aristocrat – A company that has increased dividends annually for at least 25 consecutive years: https://t.co/0ZLAqNao0t https://t.co/Juw3bsPEgJ,en,Abbott
Fri Dec 13 19:26:47 +0000 2019,This @USATODAY article is a great reminder about the dangers of driving impaired. Roadside drug testing tools can help keep roadways safe. #EndImpairedDriving https://t.co/rpRcKk44vT,en,Abbott
Fri Dec 13 19:03:04 +0000 2019,We’ve declared our 384th consecutive quarterly dividend paid since 1924: https://t.co/KDf1dXlyA2 #DividendAristocrat https://t.co/hcBCaXedu6,en,Abbott
Fri Dec 13 17:16:50 +0000 2019,We’re increasing our dividend payout for the 48th consecutive year: https://t.co/p50FziVj8x #DividendAristocrat https://t.co/eL69Y5fhBE,en,Abbott
Fri Dec 13 16:18:46 +0000 2019,We’re raising our quarterly dividend payout to 36 cents per share – a 12.5% increase: https://t.co/PON4eMT0kn #DividendAristocrat https://t.co/57HT7XS1ff,en,Abbott
Thu Dec 12 22:56:04 +0000 2019,"With flu season in full force, here’s how you can help protect yourself: https://t.co/wGIvnaINnp #fluprevention https://t.co/mdFMpq0v5i",en,Abbott
Thu Dec 12 18:54:04 +0000 2019,"According to the CDC, #Chronicpain is one of the most common reasons adults seek medical care. 

Here’s how, with our #ProclaimXR neurostimulator device: https://t.co/aAtISD3hUR
 
Important safety info: https://t.co/6btnUuPjAr",en,Abbott
Thu Dec 12 14:52:04 +0000 2019,"@metalmatchmaker Hi, thanks so much for sharing and we’re so happy to hear about your experience.",en,Abbott
Wed Dec 11 19:37:47 +0000 2019,"@kathleenusa2018 Hi Sadie, thanks for your note. We've responded to your initial tweet to assist with your questions regarding Similac.",en,Abbott
Wed Dec 11 18:16:58 +0000 2019,See how we’re supporting organizations treating children with congenital heart disease in countries without access to specialized care: https://t.co/Ul10iIu2fX https://t.co/LKhLAnvAe3,en,Abbott
Wed Dec 11 18:07:51 +0000 2019,"@kathleenusa2018 Hi Kathleen, thanks for your note. If you'd like, please send us a private message with your full name, mailing address, email and telephone number and we will be happy to see what we can do to help. Thanks, and we hope to hear back from you soon!",en,Abbott
Wed Dec 11 16:08:20 +0000 2019,"What does innovation look like in the future? 

This is what we’re doing today to get there: https://t.co/cxaRq1n1de https://t.co/Hcvx7fOxpI",en,Abbott
Wed Dec 11 15:44:04 +0000 2019,"@julieegrau Hi Julie, thank you for your question and patience. Some cognitive changes have been reported after receiving a DBS device. Talk with your doctor if you have concerns or questions about DBS.",en,Abbott
Wed Dec 11 14:12:09 +0000 2019,"#SoToxa, our life-changing law enforcement solution used to detect and deter drug-impaired driving, was recognized as a 2019 ""Best of What's New"" tech innovation from @PopSci: https://t.co/IGu5AvvSSy https://t.co/8aBwceJZlA",en,Abbott
Mon Dec 09 20:18:20 +0000 2019,"Roadside drug testing tools are needed to help keep roads and communities safe and our #SoToxa roadside drug testing device is being recognized by @PopSci as a 2019 ""Best of What's New"" tech innovation: https://t.co/poN1II9rJP https://t.co/aFCdeUm3zR",en,Abbott
Mon Dec 09 19:19:28 +0000 2019,"@patinoernesto Hi Ernesto, thanks for your question. We can only speak to our test being able to detect this new strain, which is why we’re making this new subtype available to the research community to evaluate its impact on diagnostic testing, treatments and potential vaccines.",en,Abbott
Mon Dec 09 18:44:12 +0000 2019,"@rjustinfreeman Hi Justin, we’re sorry to hear this. You’ve reached our Twitter page for residents of the US. We’ve passed your concern to our Canadian affiliates, and hope you’ll reach out to them directly here: https://t.co/V0LE9ftD8H",en,Abbott
