created_at,full_text,lang,user_name
Thu Dec 19 19:00:20 +0000 2019,"If your wiper blades are spreading more grime than cleaning it off, it's probably time to invest in some new ones 😬😬😬🌧 https://t.co/h80fY1kg4l https://t.co/xRKrYS4jq2",en,Advance Auto Parts
Thu Dec 19 16:28:19 +0000 2019,Who else is hoping for car parts under the tree? 🎁 https://t.co/CeJOvt0kvX,en,Advance Auto Parts
Thu Dec 19 16:00:13 +0000 2019,Step 1️⃣ in doing your own car maintenance: learning what maintenance needs to be done and when 🤓 https://t.co/EgA3GGEAwJ,en,Advance Auto Parts
Thu Dec 19 15:19:57 +0000 2019,Best. Present. Ever. 🎁 https://t.co/8lZjHu3GI8,en,Advance Auto Parts
Thu Dec 19 14:00:27 +0000 2019,"This month's #SalutetoService goes out to our Chief Cyber Security Officer, Deb! She is an Army veteran who has found success for herself and her team, by maintaining a positive attitude and focus on the expected outcome. Thank you for your service and all that you do, Deb! https://t.co/SKBrDYe9eq",en,Advance Auto Parts
Wed Dec 18 21:30:13 +0000 2019,"Order online, pickup in store. It's easy to get that brake job going 🚗➡️https://t.co/dmu8aKqaL5 https://t.co/Ly1HJcJzif",en,Advance Auto Parts
Wed Dec 18 20:00:55 +0000 2019,"The holidays are great and all, but can we fast forward to the new year? We're so pumped about the new @Meguiars lineup coming to stores 🔜 in 2020 😁 https://t.co/h926kMxtzs",en,Advance Auto Parts
Wed Dec 18 17:53:59 +0000 2019,"@untamedmelodies Thank you for contacting Advance Auto Parts. We would be happy to escalate any feedback that you have for our team members. Please provide their name, store location, and details and we will make sure they are recognized.",en,Advance Auto Parts
Wed Dec 18 16:35:53 +0000 2019,@maryamtrolling Thank you for contacting Advance Auto Parts. We appreciate your feedback and will escalate to the store’s management team so they can recognize the team member for providing exceptional customer service.,en,Advance Auto Parts
Wed Dec 18 15:31:20 +0000 2019,RT @peakauto: FTW: Can you name what this is called? #CheckYourCoolant this winter! https://t.co/F0tOxjtB4y,en,Advance Auto Parts
Wed Dec 18 15:15:08 +0000 2019,If you're like us and like ✨twinkly lights ✨ we've got 5 road trips to help you see some of the best holiday lights: https://t.co/SI8lRA6Mda https://t.co/Fp6L9yTgZJ,en,Advance Auto Parts
Tue Dec 17 22:30:12 +0000 2019,"Change your oil, then take a movie break. Get 2️⃣ movie tickets with the purchase of 5 quarts of Castrol EDGE 🎟Or purchase 5 quarts of Castrol GTX High Mileage and receive 1️⃣ ticket. Must purchase by 1/1/2020. Full offer details 👉 https://t.co/UQ2lRAjmgU https://t.co/nn49Gaa4oe",en,Advance Auto Parts
Tue Dec 17 19:00:10 +0000 2019,Don’t get left in the dark. Shop headlights online and pickup in store ➡️ https://t.co/yHjQ6TqiqS https://t.co/lMRzxJBRog,en,Advance Auto Parts
Tue Dec 17 16:00:10 +0000 2019,👀 Look out! Are your brakes at the end of their life? Here are the signs ➡️  https://t.co/nRMOx6JBcx,en,Advance Auto Parts
Mon Dec 16 21:30:09 +0000 2019,"♻️♻️♻️♻️♻️♻️♻️♻️♻️♻️ ♻️
♻️ You    ♻️♻️♻️♻️♻️♻️♻️♻️
♻️♻️ can   ♻️ ♻️♻️♻️♻️♻️♻️
♻️♻️♻️ recycle   ♻️♻️♻️♻️♻️
♻️♻️♻️♻️ used  ♻️♻️♻️♻️♻️
♻️♻️♻️♻️♻️ motor ♻️♻️♻️♻️
♻️♻️♻️♻️♻️♻️ oil  ♻️♻️♻️♻️
♻️♻️♻️♻️ ♻️ ♻️♻️♻️♻️♻️♻️",en,Advance Auto Parts
