created_at,full_text,lang,user_name
Thu Dec 12 19:00:13 +0000 2019,"#MEDIA: listen to our new #podcast episode, featuring Dr Wagner at Institut. Dr Wagner to discover how his company maintains food #integrity across complex food supply chains, in collaboration with @Agilent https://t.co/bpXuiVcE9S https://t.co/ZEL2CeQic1",en,Agilent Technologies
Thu Dec 12 14:05:15 +0000 2019,The @WHO is calling for more research into the impact of #microplastics on human health. Take a look at what @Agilent is doing to help better understand microplastics in our latest infographic. https://t.co/DnGUQOlIjb #WHO #media https://t.co/p3wGrlAI9o,en,Agilent Technologies
Fri Dec 06 22:00:13 +0000 2019,Agilent recently received certification as a Best Workplace™ for women in Greater China by the Great Places to Work Institute®. https://t.co/dIi22u8HjG https://t.co/1793zcHbnN,en,Agilent Technologies
Fri Dec 06 18:43:32 +0000 2019,Agilent Ranked Among Top Four Best Workplaces in Greater China And Receives Certification as a Best Workplace for Women in Greater China https://t.co/lHrq68cQVV,en,Agilent Technologies
Fri Dec 06 17:00:38 +0000 2019,The Agilent team in China celebrates being named a Best Workplace™ in Greater China by the Great Places to Work Institute® last night in Shanghai. https://t.co/Y0QGbnaoFj https://t.co/TBaqmfzRfk,en,Agilent Technologies
Thu Dec 05 20:00:21 +0000 2019,"#DidYouKnow that the average person consumes up to 52,000 #microplastic particles a year? Take a look at @Agilent’s latest infographic to learn more about the potential risks of #microplastics and how research is crucial to finding a solution.
https://t.co/REe4ODbiOJ https://t.co/E18w0GMwTG",en,Agilent Technologies
Wed Dec 04 14:00:15 +0000 2019,"The #Agilent #Integrity podcast episode is now live on iTunes: https://t.co/QbwnUYiHjO. In this episode we explore the value of integrity &amp; its various manifestations, with perspectives from Agilent’s Human Resources, Institut. Dr Wagner and Really Real Resources. #innovation https://t.co/1UXK8j003E",en,Agilent Technologies
Tue Nov 26 16:28:27 +0000 2019,"To better regulate #plasticpollution, we must understand the total impact of #microplastics. Our latest infographic takes a look at the standards and regulations of microplastics around the world and how @Agilent is contributing to a solution #news https://t.co/handFNhZpS https://t.co/p65FgKpMkJ",en,Agilent Technologies
Tue Nov 26 15:21:02 +0000 2019,Agilent Receives Multiple Life Science Industry Awards for Innovation https://t.co/vkEnw8uweW,en,Agilent Technologies
Mon Nov 25 21:19:33 +0000 2019,Agilent Technologies Reports Fourth-Quarter and Fiscal Year 2019 Financial Results https://t.co/B96etoQJ51,en,Agilent Technologies
Fri Nov 22 14:08:02 +0000 2019,Agilent Companion Diagnostic Expands CE-IVD mark in Europe to include Head and Neck Squamous Cell Carcinoma (HNSCC) https://t.co/nr540hjDGo,en,Agilent Technologies
Thu Nov 21 14:02:32 +0000 2019,Agilent Announces Applications Open for LabCentral Golden Ticket https://t.co/XSALnJJxTI,en,Agilent Technologies
Wed Nov 20 23:00:32 +0000 2019,Agilent Technologies Increases Cash Dividend to 18 Cents Per Share https://t.co/GsNPxXZl52,en,Agilent Technologies
Tue Nov 19 13:54:32 +0000 2019,Agilent Announces New ICP-OES Systems with Innovative Instrument Intelligence https://t.co/7VEhPK5p5o,en,Agilent Technologies
Fri Nov 15 18:28:42 +0000 2019,"Forbes announced that Agilent Technologies is ranked #24 on the “Just 100” list for 2020. These organizations are driving transformative change across industries and leaving lasting impact on the world, according to Forbes. See the full list to learn more https://t.co/xBea6OzCK3",en,Agilent Technologies
Tue Nov 12 16:00:09 +0000 2019,"Our foundation supports @IntelligenceDoc - a life-changing #disabilityrights documentary by @_danhabib, seeking to shatter stereotypes &amp; ensure a life of possibility for 3 uniquely talented individuals. Don’t miss it: https://t.co/6vzg43Nb7d https://t.co/BbqVkIFmwe",en,Agilent Technologies
Fri Nov 08 20:28:22 +0000 2019,"Congratulations to Agilent’s very own Darlene Solomon, Senior Vice President and CTO, named one of the top 25 women leaders in biotech! Read more about her extraordinary accomplishments and the other top 25 Women Leaders here: https://t.co/TL8CXmhr4h https://t.co/2UhWumpS97",en,Agilent Technologies
Thu Nov 07 19:00:21 +0000 2019,"The Agilent team in Singapore celebrates being named a top 10 Best Workplace by the Great Place to Work Institute on November 6. https://t.co/qzil2onm52

#SGBestGPTW #GPTW4ALL https://t.co/qqdy565Bqh",en,Agilent Technologies
Thu Nov 07 00:00:10 +0000 2019,"Agilent is pleased and honored to be named one of the top 10 Best Workplaces in Singapore this year! https://t.co/GEtwphBoub

#SGBestGPTW #GPTW4ALL https://t.co/GFAW87JAaz",en,Agilent Technologies
Wed Nov 06 17:43:33 +0000 2019,Agilent Named One of Top 10 Best Workplaces in Singapore https://t.co/ZIdjE9UKqR,en,Agilent Technologies
Wed Nov 06 17:00:07 +0000 2019,Honored to support such a groundbreaking film: @_danhabib’s @IntelligenceDoc aims to challenge what we think we know about ‘intelligence’ &amp; isolating labels like #intellectualdisabilites. Learn more: https://t.co/wie3PT8kYI https://t.co/UqVZNvUGLD,en,Agilent Technologies
Mon Nov 04 17:41:03 +0000 2019,Agilent Technologies to Host Conference Call to Review Fourth Quarter Fiscal Year 2019 Financial Results; Announces Schedule for Upcoming Webcasts https://t.co/PvZ3XVnIOX,en,Agilent Technologies
Wed Oct 30 16:00:38 +0000 2019,We’re proud to support @IntelligenceDoc  - coming to TV &amp; streaming video! Shatter stereotypes of #intellectualdisabilities &amp; help us work towards a more inclusive tomorrow. Learn more today: https://t.co/5E9OuRFXas https://t.co/W4ywBcEerU,en,Agilent Technologies
