created_at,full_text,lang,user_name
Wed Dec 18 17:10:07 +0000 2019,"Every year during the holiday season, Alliance Data associates in Columbus, Ohio come together at the company’s Holiday Give Back event to help eliminate student hunger over winter break: https://t.co/lRcOXRowpG https://t.co/tSrR8uJzPv",en,Alliance Data
Thu Dec 05 15:14:11 +0000 2019,Alliance Data recognizes @UN International Volunteer Day by celebrating our associates' volunteer efforts throughout the year and encouraging a continued focus on sustainability and service. Learn more about Alliance Data's approach to #IVD2019: https://t.co/gcbaxqTrOw,en,Alliance Data
Wed Dec 04 14:21:55 +0000 2019,"The ROX Institute is a wonderful example of our belief that the power of data generates immense value not only in our business, but also in transforming our communities for the better. Learn more about @BeingAGirlROX and Alliance Data's lead gift: https://t.co/1efJDSauaR https://t.co/7no6CQNfZ2",en,Alliance Data
Wed Nov 27 16:22:46 +0000 2019,"Jennie Dodovski, VP of Customer Experience and Product, shares in @FastCompany how she grew both her career and her family at Alliance Data by having four sons and five promotions since 2007: https://t.co/n1htaObFLF https://t.co/bVao0n8vUL",en,Alliance Data
Mon Nov 11 21:12:53 +0000 2019,"Alliance Data is proud to support service members today and every day. In honor of Veterans Day, we gathered for our annual flag raising ceremony. Thank you to the brave individuals who protect our country: https://t.co/5kTdWiUxLy #SupportOurVeterans #VeteransDay https://t.co/XlRbgYrogQ",en,Alliance Data
Wed Nov 06 17:13:02 +0000 2019,We proudly recognize National Corporate Compliance and Ethics Week every year as a way to reaffirm our commitment to prioritizing ethical practices in our everyday operations: https://t.co/Ei0PFddj9n,en,Alliance Data
Fri Oct 25 12:49:06 +0000 2019,Our Q3 2019 earnings results are now available: https://t.co/BFeve3j15E https://t.co/ohojVBXNWn,en,Alliance Data
Thu Oct 17 14:51:53 +0000 2019,"Every October, Alliance Data recognizes National Cybersecurity Awareness Month as an opportunity to remind our associates of cybersecurity best practices and reflect on our own security framework, protocols and governance: https://t.co/fZyXWzZJl9 #CybersecurityMonth",en,Alliance Data
Thu Oct 10 17:42:37 +0000 2019,"In honor of #WorldMentalHealthDay, we are celebrating Alliance Data's commitment to improving the emotional and behavioral well-being of our associates and community partners. Learn more about how Alliance Data is improving mental health resources: https://t.co/gssb20kCzZ https://t.co/l8V5k4zpkl",en,Alliance Data
Thu Oct 10 15:02:01 +0000 2019,"Alliance Data is committed to operating with integrity, transparency &amp; purpose in our business. This earned us a spot on the @FTSERussell #FTSE4Good Index Series for a 2nd year in a row. Learn more about our performance &amp; how we operate sustainably: https://t.co/jeR1pVgdcD https://t.co/oJHNT4XQAF",en,Alliance Data
Mon Oct 07 15:02:04 +0000 2019,"Responsible ESG practices are the foundation of our business and how we operate, as evidenced by our inclusion in the @FTSERussell #FTSE4Good Index Series for a 2nd consecutive year. Learn more about our ESG-related performance: https://t.co/k4iABiUKyV https://t.co/yX50R8kStu",en,Alliance Data
Fri Oct 04 13:13:14 +0000 2019,"We are proud to be included in the #FTSE4Good Index Series by @FTSERussell for a 2nd year in a row! Learn more about our Environmental, Social and Governance performance: https://t.co/FrnhPucJQl",en,Alliance Data
Thu Oct 03 21:45:05 +0000 2019,"Alliance Data is committed to supporting the United Nations' Sustainable Development Goals (SDGs). Learn more about how we've linked our sustainability strategy to the SDGs of Quality Education, Gender Equality and Decent Work and Economic Growth: https://t.co/6YA0DTJEw8 https://t.co/wRhKSDfhtb",en,Alliance Data
Mon Sep 30 15:12:59 +0000 2019,"In recognition of #HungerActionMonth, we are thrilled to acknowledge a few Alliance Data associates who are passionate about ending hunger and have taken on leadership roles in their community food banks: https://t.co/Df9Cx4xZ8k https://t.co/3aQCBf696F",en,Alliance Data
Thu Sep 26 20:33:00 +0000 2019,"We are proud to have been named one of the 2019 Best Workplaces for Women by @GPTW_US &amp; @FortuneMagazine, which reflects our strong culture of promoting and supporting women: https://t.co/CcpVpoInuq https://t.co/2tr0g1BC8v",en,Alliance Data
Tue Aug 13 18:33:58 +0000 2019,"RT @JA_USA: How are teens using #FinTech to manage their money? Our new survey, done in conjunction with @AllianceData, sheds some light! h…",en,Alliance Data
Wed Jul 24 14:41:01 +0000 2019,"""In today’s shifting business environment, we must continue to invest in practices that meet or exceed stakeholder expectations, effectively manage risk &amp; enable us to focus on long-term growth &amp; sustainability."" - Joseph Motes, EVP, CAO, GC &amp; Secretary https://t.co/6U2jT7chCC",en,Alliance Data
Tue Jul 23 19:41:17 +0000 2019,"We've tracked and reported on our environmental, social and governance (ESG) performance for years. This year, we developed a stand-alone ESG scorecard to highlight our success. Learn more and download the scorecard here: https://t.co/q2etiCVwmy",en,Alliance Data
Fri Jul 19 20:32:25 +0000 2019,"A part of being a socially responsible company is caring for the environment in which we live. We've implemented new programs for planting trees, restoring water resources and lowering emissions. Learn more about our environmental activities here: https://t.co/GEzZxF3g74 https://t.co/KHdPm6m6wP",en,Alliance Data
Thu Jul 18 12:48:03 +0000 2019,$ADS CEO Melisa Miller: We look forward to walking this community through a deeper dive with greater specificity on what the next best generation of Alliance Data Systems will bring to the industry. Please stay tuned for more. #2Q2019 #ADSearnings https://t.co/o3avwcqXDx,en,Alliance Data
Thu Jul 18 12:47:36 +0000 2019,"$ADS CEO Melisa Miller: Our approach of blending data, marketing &amp; payments together ensures that we build more successful programs than anyone in our space. #2Q2019 #ADSearnings https://t.co/o3avwcqXDx",en,Alliance Data
Thu Jul 18 12:47:27 +0000 2019,$ADS CEO Melisa Miller: Our purpose is clear - We help our brands know more about the consumer so they can sell more.  #2Q2019 #ADSearnings https://t.co/o3avwcqXDx,en,Alliance Data
Thu Jul 18 12:46:54 +0000 2019,$ADS CEO Melisa Miller: We are seeking healthy verticals &amp; brands with a multi-channel approach to serving consumers. #2Q2019 #ADSearnings https://t.co/o3avwcqXDx,en,Alliance Data
Thu Jul 18 12:46:42 +0000 2019,"$ADS CEO Melisa Miller: We have successfully expanded into beauty (Ulta and Sephora), home goods (Pottery Barn) and e-tail (Wayfair).  #2Q2019 #ADSearnings https://t.co/o3avwcqXDx",en,Alliance Data
Thu Jul 18 12:46:42 +0000 2019,$ADS CEO Melisa Miller: We have successfully extended into winning categories to meet the emerging demands of consumers and brands #2Q2019 #ADSearnings https://t.co/o3avwcqXDx,en,Alliance Data
Thu Jul 18 12:46:23 +0000 2019,$ADS CEO Melisa Miller: Specialty apparel will continue to be important to our portfolio #2Q2019 #ADSearnings https://t.co/o3avwcqXDx,en,Alliance Data
