created_at,full_text,lang,user_name
Thu Dec 19 21:02:47 +0000 2019,"@thereallayla1 We're truly sorry to hear about your home, Layla. If you need any further assistance from us, please feel free to reach out to us on social media! ^SW https://t.co/vYIVrwsUyL",en,Allstate
Thu Dec 19 20:44:18 +0000 2019,@Twilightseven We'd be happy to connect you with the appropriate team to review these concerns. Please feel free to DM us with your information. Thank you. ^AZ https://t.co/vYIVrwsUyL,en,Allstate
Thu Dec 19 20:42:29 +0000 2019,@somnliloquy We're sorry to hear that. Please feel free to DM us with your information. We'd be happy to connect you with the appropriate team. Thank you. ^AZ https://t.co/vYIVrwsUyL,en,Allstate
Thu Dec 19 19:02:10 +0000 2019,"@TomOverton15 Thanks for reaching out! If you have an agent you would like, they can put through an agent change on your behalf. Feel free to DM us with your policy number and phone number, we can connect you with our Executive Team. Thank you. https://t.co/vYIVrwsUyL",en,Allstate
Thu Dec 19 18:04:44 +0000 2019,@klinkshammer We apologize for the inconvenience! Please contact MobileAppSupport@Allstate.com for assistance. Thanks! ^BB,en,Allstate
Thu Dec 19 16:47:06 +0000 2019,"@berthar43615343 Sorry to hear this, Bertha. If you would you like us to look into your concern on your behalf please DM us with your full name, phone number, and Roadside Membership ID or policy number. Thank you. ^SW https://t.co/vYIVrwsUyL",en,Allstate
Thu Dec 19 15:40:42 +0000 2019,"@tee_ashley Would you like to discuss your premium with our Executive Office? If so, please feel free to DM us with your policy number and phone number. Thank you. ^AZ",en,Allstate
Thu Dec 19 15:28:38 +0000 2019,"@WolfPacxx Would you like to speak with someone regarding a claim? Please DM us your full name, claim# &amp; phone# so we can look into this. ^BB https://t.co/vYIVrwsUyL",en,Allstate
Thu Dec 19 15:00:09 +0000 2019,"@who_whitney This feedback isn’t used currently to calculate rewards, but is used to provide awareness into unsafe driving behavior and encourage safer driving habits.",en,Allstate
Thu Dec 19 14:15:48 +0000 2019,"@JWTroemner Sorry to hear you are receiving unwanted mail. Please send us your full address, so we can get it added to our Do Not Contact list. ^AZ https://t.co/vYIVrwsUyL",en,Allstate
Wed Dec 18 19:58:47 +0000 2019,@kR1ptic09 Crashes are the worst. Rest assured the Allstate team is looking into this and working diligently on a fix for all Android users. Contact MobileAppSupport@allstate.com if the problem continues.,en,Allstate
Wed Dec 18 19:49:31 +0000 2019,"@AndreaGaffney2 Hi Andrea, Thank you for reaching out. We'd be happy to escalate your concern to our Executive Office. Please DM us your full name, phone number, and policy number. ^SW https://t.co/vYIVrwsUyL",en,Allstate
Wed Dec 18 19:39:28 +0000 2019,"@LeeDissin Lee, Crashes are the worst. Rest assured the Allstate team is looking into this and working diligently on a fix for all Android users. Contact MobileAppSupport@allstate.com if the problem continues. ^SW",en,Allstate
Wed Dec 18 19:37:28 +0000 2019,@StoneKamino Crashes are the worst. Rest assured the Allstate team is looking into this and working diligently on a fix for all Android users. Contact MobileAppSupport@allstate.com if the problem continues.,en,Allstate
Wed Dec 18 19:30:48 +0000 2019,@ChefWillieC Thanks for making us aware of the issue. We are looking into what could be causing this and will provide a bug fix soon! Contact MobileAppSupport@allstate.com if the problem continues. ^AZ,en,Allstate
Wed Dec 18 18:00:01 +0000 2019,"@NicoleTC55 We'd like to connect you with the right team, DM us your full name, claim &amp; phone number. Thank you. ^MD",en,Allstate
