created_at,full_text,lang,user_name
Thu Dec 19 21:47:30 +0000 2019,@JRD_2125 We’re sorry to hear that. Is there something our social customer care team @AskAmex can try to help with? ^E,en,American Express
Thu Dec 19 20:59:46 +0000 2019,"@GhaisasPritish @Rkaps111 hi, bringing in @AskAmex to see if they can look into this. ^A",en,American Express
Thu Dec 19 20:59:14 +0000 2019,"@KCLinnHammons you're welcome, we've got your back! ^A",en,American Express
Thu Dec 19 20:58:41 +0000 2019,"@drmzio hi, looping in our customer care team @AskAmex. ^A",en,American Express
Thu Dec 19 19:45:50 +0000 2019,RT @businessinsider: How American Express is helping one local business grow @AmericanExpress #ad https://t.co/YE5lIk2EAs,en,American Express
Thu Dec 19 18:16:28 +0000 2019,We’re excited to share Global Dining Collection Chef @DominiqueCrenn 's Wake Up World Chef Series starts 2/4. The series features collabs with guest chefs and focuses on sustainability. #AmexPlatinum Card Members will have early access to tix. Terms Apply. https://t.co/ikyifQKkZE https://t.co/Xa4be2YtOf,en,American Express
Thu Dec 19 17:44:28 +0000 2019,@n3rd1ty @BankofAmerica we've got your back! Thanks for sharing your story with us. ^A,en,American Express
Thu Dec 19 17:42:32 +0000 2019,"@ashuverma1911 hi, connecting you to our customer care team @AskAmex. ^A",en,American Express
Thu Dec 19 17:41:53 +0000 2019,"@jossyboi @timmcclimon hi, is there something @AskAmex can try to assist you with? ^A",en,American Express
Thu Dec 19 17:41:24 +0000 2019,@Rkaps111 sorry to hear this. Looping in @AskAmex to see if they can look into this. ^A,en,American Express
Thu Dec 19 15:00:00 +0000 2019,Now arriving: 25% more TrueBlue points when you transfer #MembershipRewards pts to TrueBlue and fly @JetBlue. Terms Apply.  https://t.co/uIDsmQW5DH,en,American Express
Thu Dec 19 12:00:01 +0000 2019,Dreading your commute? Focus on the bright side with meditations brought to you by Calm and #AmexGreen,en,American Express
Thu Dec 19 00:34:31 +0000 2019,"@GhaisasPritish hi, looping in @AskAmex to see if they can look into this. ^A",en,American Express
Wed Dec 18 22:28:48 +0000 2019,"@Shuluverr hi, connecting you to our customer care team @AskAmex. ^A",en,American Express
Wed Dec 18 22:28:00 +0000 2019,@asapmikk we're always happy to help bring a smile to your day! ^A,en,American Express
Wed Dec 18 17:37:00 +0000 2019,@singhyuvraj We’re happy to hear this. ^E,en,American Express
Wed Dec 18 17:36:30 +0000 2019,@aranya175 Connecting you with @AmexIndia to help look into this. ^E,en,American Express
Wed Dec 18 15:57:10 +0000 2019,@ToddKane please visit https://t.co/YpuSiNvCuO for all the details. ^E,en,American Express
Wed Dec 18 15:37:23 +0000 2019,Calm’on it’s time to meditate! #AmexGreen,en,American Express
Wed Dec 18 14:58:29 +0000 2019,@brewknowledge Connecting you with @AmexIndia to try to help. ^E,en,American Express
Wed Dec 18 14:57:00 +0000 2019,@radbcc Connecting you with @AskAmex to help check on this. ^E,en,American Express
Wed Dec 18 02:39:54 +0000 2019,@WEIDONG28580469 Connecting you with @AskAmex to try to help. ^E,en,American Express
Wed Dec 18 00:36:30 +0000 2019,@carolinehooton Connecting you with @AskAmexUK to see if they can help. ^E,en,American Express
Tue Dec 17 17:37:14 +0000 2019,"@dhourr hi, adding @AskAmex to assist with your question. ^A",en,American Express
Tue Dec 17 15:00:02 +0000 2019,Check out the latest entry in our ongoing series on “Advanced Kotlin” on the AXP Technology blog. #AmexTech #Kotlin https://t.co/0IoBd5jf3z https://t.co/5wQzHow4OY,en,American Express
Tue Dec 17 14:31:00 +0000 2019,@DarrylStrayhorn hi looping in @AskAmex to see if they can look into this. ^A,en,American Express
Tue Dec 17 14:29:00 +0000 2019,"@yash_pauranik hi, bringing in @AmexIndia to see if they can look into this. ^A",en,American Express
Tue Dec 17 14:28:29 +0000 2019,"@kyleellingsen hi, connecting you to @AskAmex for assistance. ^A",en,American Express
Tue Dec 17 02:10:00 +0000 2019,"@a_kidzpsychapn hi, connecting you to @AskAmex for assistance. ^A",en,American Express
Mon Dec 16 23:57:50 +0000 2019,"@mrvegastraveler hi, looping in @AskAmex. ^A",en,American Express
Mon Dec 16 22:00:59 +0000 2019,"Money expert, #AmexAmbassador @NicoleLapin uses Pay It Plan It® to stay in control of holiday spending. Eligible Card Members can use the Plan It feature to pay for purchases of $100 or more over a set period of time with a fixed monthly fee. Terms apply. https://t.co/w0jMZMZUxc https://t.co/edOFetYmsZ",en,American Express
Mon Dec 16 21:51:46 +0000 2019,@Soulminder sorry to hear this. Looping in @AskAmex to see if they can help. ^A,en,American Express
Mon Dec 16 21:50:57 +0000 2019,"@ErinGoKirk hi, looping in @AskAmex to assist. ^A",en,American Express
Mon Dec 16 21:00:01 +0000 2019,In this week’s #CSR Now! @TimMcClimon encourages us to consider sustainable tourism to help reduce the impact of our travel. https://t.co/zzev6G4cjX https://t.co/QHGWKiXQGy,en,American Express
Mon Dec 16 20:42:39 +0000 2019,@MarriottBonvoy @FebruaryJames @Joeonna @THEREALSWIZZZ Head to our Instagram stories for a look behind the scenes with #AmexAmbassador and #mbonvoyamex Card Member @deshaunabarber. We're proud to continue to back women in the arts with our partners @marriottbonvoy and @deancollection.,en,American Express
