created_at,full_text,lang,user_name
Wed Dec 18 15:42:27 +0000 2019,@babyru1798 We want to help. Email help@anthem.com with details so we can research your issue. Pls include your best contact info and member ID# so we can have the right person get back to you.,en,"Anthem, Inc."
Wed Dec 18 15:17:24 +0000 2019,Can health benefits companies be innovators? @AnthemInc CEO Gail Boudreaux answers definitively and shares why we are well-positioned to lead innovation that will redefine #healthcare. https://t.co/snV2mLrrQY https://t.co/nhPfaCZM8e,en,"Anthem, Inc."
Tue Dec 17 22:31:00 +0000 2019,"Addressing #SDoH requires a multifaceted approach and the development of actionable frameworks for how communities can work together. We’re proud to introduce the Anthem Social Determinants of Health Action Framework, a new collaboration with @HealthCharities.",en,"Anthem, Inc."
Mon Dec 16 21:30:00 +0000 2019,Learn how a new grant from the @AnthemFDN will support @HealthCharities in collaborating with local community partners in Indianapolis to identify critical social determinants of health priorities and apply a new Anthem #SDoH Action Framework.,en,"Anthem, Inc."
Fri Dec 13 19:30:00 +0000 2019,"The Anthem Social Determinants of Health Action Framework takes a collaborative, community-based approach to address the social drivers of health. Learn how @HealthCharities is going to use the framework in Indianapolis, IN and apply learnings on a national scale.",en,"Anthem, Inc."
Fri Dec 13 18:46:45 +0000 2019,"We’re leveraging digital and exponential technologies, such as #blockchain, to give consumers more access to their health data so they can make it available to providers and care givers as appropriate. https://t.co/glvPcryCon https://t.co/hGv0y9wDYe",en,"Anthem, Inc."
Fri Dec 13 18:00:54 +0000 2019,"Congrats to our President &amp; CEO Gail Boudreaux, who has been named #11 on @Forbes’ “World’s 100 Most Powerful Women” list! The honor highlights “the smartest &amp; toughest female business leaders, entrepreneurs, investors, philanthropists &amp; CEOs in the world today.” #PowerWomen https://t.co/UiHxucCOiS",en,"Anthem, Inc."
Thu Dec 12 22:09:37 +0000 2019,"Collaboration is key to our work to address the social, economic and other root causes of health. Learn how we’re teaming up with @HealthCharities to launch a new Action Framework to address social determinants of health, improve #healthequity and create stronger communities.",en,"Anthem, Inc."
Thu Dec 12 16:00:22 +0000 2019,"We’re honored that our President &amp; CEO Gail Boudreaux has been named #11 on @Forbes’ 2019 World’s 100 Most Powerful Women list. Gail’s leadership inspires us to expect more from ourselves each day, and deliver more for our consumers and communities. #PowerWomen https://t.co/VYCXXke1LJ",en,"Anthem, Inc."
Tue Dec 10 20:10:14 +0000 2019,Proud to be named a 5 star organization by @HACRORG in the areas of procurement and employment for our work to advance Hispanic inclusion. https://t.co/CWxnPMhIG3,en,"Anthem, Inc."
Tue Dec 10 18:29:16 +0000 2019,We’re proud to support the great work of the @IMPDnews in our home city of #Indianapolis with a donation to the Jake Laird Memorial Fund that will help the Downtown District Bike Patrol Unit. https://t.co/17DK5hWtld,en,"Anthem, Inc."
Mon Dec 09 21:31:55 +0000 2019,Congratulations to @CareMoreHealth and Aspire Health president Sachin Jain @sacjai for being awarded @Rock_Health’s Most Tech Savvy Doctor in this year’s Top 50 Digital Health Award! Read more: https://t.co/2MBTTDFRM0  #Top50DH https://t.co/RNJMjFwTlY,en,"Anthem, Inc."
Mon Dec 09 19:00:01 +0000 2019,High-quality outcomes for new mothers and newborns are driven by implementing evidence-based best practices. We created the Quality-In-Sights® Hospital Incentive Program (Q-HIP®) to reward hospitals that adopt measures developed by @ACCinTouch @CMSGov @NatQualityForum and others.,en,"Anthem, Inc."
Fri Dec 06 14:00:01 +0000 2019,Innovation is driving our work to improve maternal and infant health outcomes and meet the evolving needs of our members. Learn how our Quality-In-Sights® Hospital Incentive Program (Q-HIP®) is taking a measured approach to achieve quality improvements in the hospital setting.,en,"Anthem, Inc."
Thu Dec 05 22:11:11 +0000 2019,RT @lydiaramsey125: Anthem CEO Gail Boudreaux: “We don’t believe we need to own primary care” - thinks it can partner better #ForbesHealth,en,"Anthem, Inc."
Thu Dec 05 21:32:16 +0000 2019,"RT @KaizenHealth1: There's been a lot of meaningful insight from @Humana's Bruce Broussard, @AnthemInc's Felicia F. Norwood, and Solera Hea…",en,"Anthem, Inc."
Thu Dec 05 19:40:46 +0000 2019,@FrankFurman So sorry to hear about this. We'd like to help. Pls email help@anthem.com with details and your memberID# and we'll have the right people contact you.,en,"Anthem, Inc."
Thu Dec 05 18:17:23 +0000 2019,We're proud to be recognized by @HACRORG  for strengthening Hispanic inclusion. It's an honor to be recognized with the 2019 HACR Award and receive 5 stars for our work in the areas of employment and procurement.  https://t.co/KyuVpANp5D,en,"Anthem, Inc."
Thu Dec 05 18:00:01 +0000 2019,We’re working with partners across the healthcare system to drive innovation in women’s healthcare and improve #maternalhealth outcomes for the members we serve. Learn how our Quality-In-Sights® Hospital Incentive Program (Q-HIP®) is improving outcomes in the hospital setting.,en,"Anthem, Inc."
Wed Dec 04 21:50:21 +0000 2019,"@PrincessLucyFur @AnthemBCBS We want to help. Pls email help@anthem.com, ASAP and we’ll make sure the right person gets back to you.",en,"Anthem, Inc."
Wed Dec 04 14:12:11 +0000 2019,"We are proud to share that our #GivingTuesday results are in. The generosity our associates showed is incredible. They raised over $585,000 through the $2 for $1 match with @AnthemFDN. Thank you to our associates for helping us kick off the season of giving.  #AnthemCares https://t.co/bRIGt20VF2",en,"Anthem, Inc."
Tue Dec 03 21:41:41 +0000 2019,"RT @AnthemFDN: #GivingTuesday update #3: @AnthemInc associates have given more than $466,863.64 in donations today through our 2:1 match!…",en,"Anthem, Inc."
Tue Dec 03 19:40:36 +0000 2019,"RT @AnthemFDN: #GivingTuesday update: @AnthemInc associates have now given more than $316,073.51 in donations today supported by our 2:1 ma…",en,"Anthem, Inc."
Tue Dec 03 16:57:12 +0000 2019,"RT @AnthemFDN: @AnthemInc associates just surpassed the $220,000 giving line with our 2:1 match! Their donations will be going to local AND…",en,"Anthem, Inc."
Tue Dec 03 14:42:59 +0000 2019,"Today at 10AM ET hear how we’re working to reduced opioid use, decreased the stigma of addiction (#SUD ), remove barriers to medication assisted therapy (#MAT ) and use tech to ID and educate overprescribers. Join our webinar with @FierceHealth https://t.co/rkzbo5WXYG https://t.co/kz3GOp6fgD",en,"Anthem, Inc."
Tue Dec 03 11:50:06 +0000 2019,"As one of the early members of #RE100, we’re thrilled to see how the initiative has grown around the world. Together we are speeding up the clean energy transition! Read the new #RE100 report to learn more https://t.co/8YT85W2z8J @ClimateGroup @CDP #COP25",en,"Anthem, Inc."
Mon Dec 02 22:07:12 +0000 2019,"@amanda11788 Sorry to hear that. We want to help. Pls email help@anthem.com, and we’ll make sure the right person gets back to you.",en,"Anthem, Inc."
Sat Nov 30 21:02:00 +0000 2019,"By anticipating, preventing &amp; treating the burden of a serious illness, we help patients focus on living life as fully as possible. Learn how Aspire Health is leading efforts to create a standard for #palliativecare and leverage the power of data &amp; technology to improve outcomes.",en,"Anthem, Inc."
Fri Nov 29 16:00:00 +0000 2019,Aspire Health is one community-based palliative care program that is using electronic medical records (EMR) technology to reduce gaps in quality and provide more effective clinical care to the patients it serves. Read more about National #Hospice and #PalliativeCare Month.,en,"Anthem, Inc."
Thu Nov 28 11:10:08 +0000 2019,"Have a happy, healthy #Thanksgiving! https://t.co/mAyXWQDwZQ",en,"Anthem, Inc."
Wed Nov 27 18:32:21 +0000 2019,@garyhumphrey11 Thank you. Our team is working hard to make health insurance easier to understand and use.,en,"Anthem, Inc."
Wed Nov 27 15:39:13 +0000 2019,"A serious illness can be one of the most difficult challenges a patient and their loved ones will ever face. We’re committed to delivering holistic, person-centered #palliativecare that improves quality of life for both patients and their families. #HospiceMonth",en,"Anthem, Inc."
Tue Nov 26 02:46:17 +0000 2019,@susieterry @AnthemBCBS @USPS So sorry to hear that! Could you please email details to help@anthem.com so we can protect your privacy and research this issue. Thank you.,en,"Anthem, Inc."
