created_at,full_text,lang,user_name
Wed Dec 18 16:13:11 +0000 2019,RT @unionsettlement: Thank you to volunteers from @AvalonBay for helping wrap gifts for children and families of #EastHarlem in need this h…,en,AvalonBay
Tue Dec 17 22:53:24 +0000 2019,"RT @DavidNocenti: Huge thanks to our wonderful volunteers from @AvalonBay, @Blackstone, @Citi, @Facebook and #RXRRealty for helping to wrap…",en,AvalonBay
Tue Dec 17 18:36:03 +0000 2019,Have you seen the stunning courtyard our residents at Avalon Boonton can enjoy? Check out https://t.co/lgyL6j8FRO for more photos and information. https://t.co/aPOkpaRJyN,en,AvalonBay
Mon Dec 16 17:10:06 +0000 2019,We're hiring great Information Technology professionals to join our team! https://t.co/mlyZ15EwHD https://t.co/40qix1Fl1z,en,AvalonBay
Sat Dec 14 20:54:02 +0000 2019,We're hiring for our summer internship program. Join our team for the summer! https://t.co/jewVK1UQMF https://t.co/FA0nkjXWJ8,en,AvalonBay
Sat Dec 14 20:52:02 +0000 2019,We're hiring great Information Technology professionals to join our team! https://t.co/mlyZ15EwHD https://t.co/VqmKJFxeub,en,AvalonBay
Sat Dec 14 01:29:02 +0000 2019,"@Newsweek partnered with @StatistaCharts to publish it’s first ranking of America’s Most Responsible Companies. AvalonBay is proud to be on the list, placing #193 out of 300, which were selected from the top 2,000 public companies by revenue with headquarters in the U.S. https://t.co/THaSDMcyoc",en,AvalonBay
Fri Dec 13 17:11:03 +0000 2019,"From coast to coast, we are hiring entry-level to experienced maintenance technicians to join our team! https://t.co/HgWqh9vR5I https://t.co/OutlKNjAKi",en,AvalonBay
Thu Dec 12 22:33:02 +0000 2019,We're hiring for our summer internship program. Join our team for the summer! https://t.co/JsaLiU1uU5 https://t.co/tCcONf43K5,en,AvalonBay
Thu Dec 12 22:30:15 +0000 2019,RT @NewGroundInc: Thank you for helping to rebuild our #communities @AvalonBay We can’t thank your team enough for #volunteering their time…,en,AvalonBay
Thu Dec 12 14:55:50 +0000 2019,RT @NJCDC: Yesterday @AvalonBay employees came to our headquarters to wrap gifts that we'll give to #Paterson children later this month! We…,en,AvalonBay
Wed Dec 11 18:04:02 +0000 2019,"In 2018, we completed construction of seven communities, representing 1,915 homes. Thanks to our sustainability standards for new construction, these communities will save 17.8M gallons of water per year compared to minimum code requirements. 💧 Read more: https://t.co/OEzCN0sSVj https://t.co/xHDJvfvyxY",en,AvalonBay
Wed Dec 11 16:09:05 +0000 2019,We're hiring for our summer internship program. Join our team for the summer! https://t.co/jewVK1UQMF https://t.co/GcWdLPk3S2,en,AvalonBay
Wed Dec 11 14:56:44 +0000 2019,RT @PineStreetInn: Thank you @AvalonBay for your impactful work assisting with our kitchen operations! It takes a great team to help prep f…,en,AvalonBay
Wed Dec 11 00:31:03 +0000 2019,"Did you know? In 2015 we joined the Boston Mayor’s Carbon Cup and are currently members of the Green Ribbon Commission, committing 1M square feet of our Boston properties to a 35% reduction in energy use intensity by 2020. https://t.co/IuJAGyF2Cm",en,AvalonBay
Sat Dec 07 21:22:03 +0000 2019,"We’re proud to partner with @Zipcar to give residents easy access to cars, 24/7! Residents can join for only $35 and receive $35 in free driving. https://t.co/FLUzFYxIB9 https://t.co/ZHwAZRh4YS",en,AvalonBay
Thu Dec 05 18:50:04 +0000 2019,"AvalonBay is proud to take part in Nareit’s upcoming ESG (Environmental, Social and Governance) JumpStart Workshop, where our Vice President of Corporate Responsibility, Mark Delisi, will be leading a session on ESG reporting. https://t.co/2HlevmFU8w",en,AvalonBay
Wed Dec 04 21:59:43 +0000 2019,@Lamboverricegm1 Thank you for taking the time to reach out to us. Please DM us and a member of our team can reach out to you directly. https://t.co/yJ8qx1R428,en,AvalonBay
Wed Dec 04 21:52:55 +0000 2019,RT @REITs_Nareit: Learn how to choose the right reporting frameworks and how to start disclosing ESG performance and policies at Nareit's E…,en,AvalonBay
Tue Dec 03 16:42:02 +0000 2019,"From coast to coast, we are hiring entry-level to experienced maintenance technicians to join our team! https://t.co/HgWqh9vR5I https://t.co/Ho4uf0Zz09",en,AvalonBay
Mon Dec 02 16:52:02 +0000 2019,"“Real estate companies stuck in the past will lose, plain and simple. That’s why I’m glad to work for a company that recognizes the strategic business value of tech and innovation.” Karen Hollinger, our SVP of Strategic Initiatives. Read more: https://t.co/xsTwzwee0M",en,AvalonBay
Mon Dec 02 16:31:51 +0000 2019,"@nategardner Our apologies for the delayed response! Were you able to submit your payment? If not, please feel free to DM us additional details and we'll see how we can help! https://t.co/yJ8qx1R428",en,AvalonBay
Mon Dec 02 15:52:44 +0000 2019,"RT @NMHCInnovation: @AvalonBay's Karen Hollinger, Chair of @ApartmentWire's Innovation Committee, sheds insight on ""The State of Innovation…",en,AvalonBay
Sat Nov 30 20:49:01 +0000 2019,"“Real estate companies stuck in the past will lose, plain and simple. That’s why I’m glad to work for a company that recognizes the strategic business value of tech and innovation.” Karen Hollinger, our SVP of Strategic Initiatives. Read more: https://t.co/xsTwzwee0M",en,AvalonBay
Fri Nov 29 16:09:06 +0000 2019,"In 2018, we completed construction of seven communities, representing 1,915 homes. Thanks to our sustainability standards for new construction, these communities will save 17.8M gallons of water per year compared to minimum code requirements. 💧 Read more: https://t.co/OEzCN0sSVj https://t.co/rx3swho4eO",en,AvalonBay
