created_at,full_text,lang,user_name
Thu Dec 19 16:40:38 +0000 2019,"We were lucky enough to have 4 @PremierLeague legends drop in to see us in Miami for @NBCSports PL Mornings Live. Here's @D6MERIT, Nigel Reo-Coker, Peter Ward and @Gerry_Taggart sharing their favorite shirt numbers during their careers. #ADsport #MyPLMorning @ChuBoi @PLinUSA https://t.co/rZxfv1NRtd",en,Avery Dennison
Wed Dec 18 19:00:19 +0000 2019,"Say ""hello"" to our new Reflective Solutions Digital Center expansion in Vinhedo, São Paulo, Brazil. Here's what our technical experts can offer customers: https://t.co/XalQ0ZB6RP https://t.co/SEHwZmVnpM",en,Avery Dennison
Wed Dec 18 11:43:22 +0000 2019,Can you guess who was the most requested player jersey in Miami this past weekend at @NBCSports @PremierLeague Mornings Live?  One name: @MarcusRashford. #ADSport #MyPLMorning @ChuBoi @PLinUSA https://t.co/7GYU5pr8Lc,en,Avery Dennison
Tue Dec 17 19:22:32 +0000 2019,@BenTrammell6 CCL Industries now owns Avery Office Products.,en,Avery Dennison
Tue Dec 17 18:55:50 +0000 2019,"@BenTrammell6 Hi Ben,
Unfortunately, this product is no longer related to Avery Dennison. We encourage you to reach out to either Avery Office Products (https://t.co/o2Atwgi7kD) or parent company, CCL industries (https://t.co/AuNjkRu9bO) for further help on your inquiry.",en,Avery Dennison
Tue Dec 17 18:34:27 +0000 2019,"We designed a very special, limited edition @PremierLeague Miami themed shirt for @NBCSports Premier League Mornings Live this past weekend, and WOW, it went down a huge hit! Hear from some of the fans who were lucky enough to win one. #ADSport #MyPLMorning @ChuBoi @PLinUSA https://t.co/fDlgzm3QIz",en,Avery Dennison
Tue Dec 17 15:05:05 +0000 2019,#ICYMI We showcased our latest label and packaging solutions and innovations at this year's @Labelexpo Asia. Here's your recap! https://t.co/nt5vitUdaU,en,Avery Dennison
Mon Dec 16 17:30:07 +0000 2019,"Thanks to Avery Dennison OmniCube® #reflective sheeting, Turkey’s new Istanbul Airport is now bigger and brighter. Full story: https://t.co/Mls1jaoKHa https://t.co/AP3QEVh0Ti",en,Avery Dennison
Mon Dec 16 16:48:45 +0000 2019,"RT @PLinUSA: When in South Beach, you have to look your Miami-best. 

@AveryDennison with those custom threads 🔥 https://t.co/WyFEUoONFO",en,Avery Dennison
Mon Dec 16 16:37:08 +0000 2019,RT @tomametenoch: Segundo día de acciones en la playa y mis amigos de @AveryDennison ya se pusieron guapos de nuevo y me dieron otro jersey…,es,Avery Dennison
