created_at,full_text,lang,user_name
Thu Dec 19 22:00:15 +0000 2019,"@YoYoYoYo02 We take your feedback very seriously. Can you tell me the branch location? Please know we're very sorry for falling short of expectations today. If there's anything else we can do to help you, please let us know. Thanks! ~EB",en,BB&T
Thu Dec 19 21:56:08 +0000 2019,"@babygirladree Hi Adriana - I'm sorry to hear you feel this way. If there's anything we can do for you, please let us know or email us (askbbt@bbandt.com) with your name, contact information and your questions/concerns. Thx! ~EB",en,BB&T
Thu Dec 19 21:53:51 +0000 2019,"@rbellido Unfortunately, there isn't a direct phone line...but, good news! You can send us an email (askbbt@bbandt.com) with your name, city/state, phone number and any questions or account related concerns and we'll follow up with you directly! ~EB",en,BB&T
Thu Dec 19 21:51:29 +0000 2019,"@tequilaH2Olime Yikes, that's not good! We'd be happy to assist you. Can you email the following to us (askbbt@bbandt.com): your name, city/state, phone number and a brief description of the issue you're experiencing? ~EB",en,BB&T
Thu Dec 19 21:49:35 +0000 2019,"@rosehoman8 Hi there! If you're looking for help accessing your accounts online, please call 888-228-6654. Specialist are available to assist from 6 a.m. to 12 midnight, ET, seven days a week. For all other inquiries, you can reach us at 800-BANK-BBT (800-226-5228). Thanks! ~EB",en,BB&T
Thu Dec 19 21:42:38 +0000 2019,"@JuliaGr15134481 Hi Julia! We'd like to assist you. Can you email us at askbbt@bbandt.com with your name, city/state, phone number and a brief description of the issues you mentioned above? We'll reach out to you directly. Thanks! ~EB",en,BB&T
Thu Dec 19 21:31:44 +0000 2019,@klsilvia Thank you so much for letting us know. I'll be sure to pass this information onto our Fraud and Investigations team. Have a great afternoon! ~EB,en,BB&T
Thu Dec 19 14:52:27 +0000 2019,"@JuliaGr15134481 We'd love to look into this for you. Plz e-mail us at askbbt@bbandt.com with ur name as it appears on ur account, the city/state associate with ur account, details on ur issue and a good telephone number. Thx, CL",en,BB&T
Thu Dec 19 14:44:29 +0000 2019,@NiiPaul14 Congratulations on earning your certificate! Keep up the good work!,en,BB&T
Wed Dec 18 22:06:22 +0000 2019,"@megthestray I'm sorry you're having trouble. We recommend calling our Online Banking team at 888-228-6654 so one of our specialists can assist you. They're available from 6 a.m. to 12 midnight, ET, seven days a week. ~EB",en,BB&T
Wed Dec 18 21:21:30 +0000 2019,"@Youngblaxx_ You're welcome! I see your email, but I also need your name, city/state and phone number (as it appears on your account) to help you. Can you shoot that over as well?",en,BB&T
Wed Dec 18 21:19:40 +0000 2019,"@nick_erdo I'm sorry we don't provide this service right now. I'll be sure to pass your feedback along to the appropriate team. If there is anything else I can do to assist you, please let me know. Thanks! ~EB",en,BB&T
Wed Dec 18 21:12:33 +0000 2019,"@Youngblaxx_ We'd be happy to assist you! Can you email us at askbbt@bbandt.com your name, city and state and a good phone number? Thx! ~EB",en,BB&T
Wed Dec 18 20:52:34 +0000 2019,@dadesmond We value your feedback and take it very seriously. Can you share a specific location within WV? ~EB,en,BB&T
Wed Dec 18 20:51:30 +0000 2019,"@excusem3flo Yes, your BB&amp;T Debit or ATM Card can be used right now at any SunTrust ATM to make cash withdrawals, with no fees! For all other transactions, continue to bank as you normally would. Let me know if you have any additional questions. Thanks! ~EB",en,BB&T
Wed Dec 18 19:58:17 +0000 2019,@dadesmond We're always here to help! You can call us at 800-BANK-BBT (800-226-5228) or send us an email at askbbt@bbandt.com. Please let us know if there's anything we can do for you. Thanks! ~EB,en,BB&T
Wed Dec 18 19:01:10 +0000 2019,Cybercriminals get really busy during the holidays...so keep your accounts safe https://t.co/Y1OrnJU4Bb https://t.co/jHESzBoF0i,en,BB&T
Wed Dec 18 18:38:02 +0000 2019,"@illyeaglez You can email us! Just send us your name, city/state, phone number and the account related questions you have to askbbt@bbandt.com. We'll reach out to you directly. Thanks! ~EB",en,BB&T
Wed Dec 18 17:05:38 +0000 2019,"@STFUashleeee We be happy to assist you via email. All we need is your name, city/state and phone number as it appears on your account. You can DM me the information or email it to askbbt@bbandt.com. Thanks ~EB",en,BB&T
Wed Dec 18 17:01:02 +0000 2019,"@annniecorrrin Yikes, that's not good! We can look into this and follow up with you directly. Can you email me at askbbt@bbandt.com your name, city/state and a good phone number? Thanks! ~EB",en,BB&T
Wed Dec 18 14:50:17 +0000 2019,"@CourtneyL89 Humm, that sounds frustrating. I'd like to look into this for you. Can you send me your name, city/state and phone number as it's listed on your account to askbbt@bbandt.com? We'll follow up with you. Thanks! ~EB",en,BB&T
Wed Dec 18 14:47:46 +0000 2019,@STFUashleeee Let me know if there's anything we can do to help you today. ~EB,en,BB&T
Wed Dec 18 14:41:35 +0000 2019,@BigStepperZ I'm really sorry to hear your thinking of closing your accounts with us. Is there a particular ATM you're having issues with? Please let me know if there is anything else I can do to help you today. Thanks! ~EB,en,BB&T
Wed Dec 18 14:40:23 +0000 2019,"@FiberArtscmoore Absolutely! You can email us directly at askbbt@bbandt.com with your name, city/state, phone number and the questions you have on your business account. We'll happily assist you. Thanks! ~EB",en,BB&T
Wed Dec 18 14:37:58 +0000 2019,"@aaronjmartin1 This sounds pretty frustrating! Can you email us at askbbt@bbandt.com with your name, city/state and phone number as it appears on your account? I'd like to take a look into this for you. Thanks! ~EB",en,BB&T
Wed Dec 18 14:36:56 +0000 2019,@scottffitch Nope! You can use the BB&amp;T ones you just ordered. No changes needed. ~EB,en,BB&T
Wed Dec 18 14:29:17 +0000 2019,"@jimmy_slc We'd be happy to look into this for you. Please email us at askbbt@bbandt.com with your mom's name &amp; phone number, as well as the name, city &amp; state listed on your father's account. We'll reach out to you directly w/more info. I'm very sorry for your family's loss. ~EB",en,BB&T
Wed Dec 18 14:24:45 +0000 2019,"@Squeen117 We'd be happy to take a look at your account and follow up with you. Can you email at askbbt@bbandt.com wtih your name, city/state and phone number? Thanks! ~EB",en,BB&T
Tue Dec 17 19:11:08 +0000 2019,"@MatthewTessnear This is awesome to hear! While it's too early to know what may or may not change with regards to BB&amp;T Deals, we promise you’ll be informed well in advance of any changes to your accounts. For now though, it's business as usual! Thx, EB",en,BB&T
Tue Dec 17 16:54:12 +0000 2019,"@brian_eads Happy to help! Can you DM us or email us at askbbt@bbandt.com with the following: your name, city/state, phone number and a brief description of issue or question? We'll follow up with you directly. Thanks, ~EB",en,BB&T
Tue Dec 17 14:26:54 +0000 2019,@___kai16 It sounds like you've had a frustrating experience with us. How can we help you today? ~EB,en,BB&T
Tue Dec 17 14:24:46 +0000 2019,"@dhevangelista65 We're very sorry to hear of your displeasure. If there's anything we can do to help you today, please email us at askbbt@bbandt.com with your name, city/state, details on your issue &amp; phone number. ~EB",en,BB&T
Tue Dec 17 14:22:30 +0000 2019,"@DjDMZ1 We're so sorry you're having to deal with this! It sounds like you've already been in touch with our Centralized Fraud team, but if not, you can always reach them at 1-866-802-4955. Let us know if there's anything else we can do to help. ~EB",en,BB&T
Tue Dec 17 14:19:13 +0000 2019,"@Amish_one We understand it's a big change, but we love our new name! If there is anything we can do to assist you today, let us know. We'd be happy to help. ~EB",en,BB&T
Tue Dec 17 14:15:46 +0000 2019,"@gage_noakes Absolutely, we'd be happy to help! Can you DM or email me the following (askbbt@bbandt.com): your name, city/state and a phone number? We'll reach out and help you troubleshoot. Thanks! Emily",en,BB&T
Tue Dec 17 14:13:50 +0000 2019,"@thestrategicorg We're always accessible here! Please let us know if you need further assistance, we'd be happy to help you. Thanks, EB",en,BB&T
Mon Dec 16 19:18:29 +0000 2019,@kevin_byrd1 We're so sorry this happened. We recommend contacting SunTrust for a review of ur acct &amp; also to request a refund. ~CB,en,BB&T
Mon Dec 16 19:00:35 +0000 2019,"Here are some of our holiday campaign ideas that didn't make the final cut:
– Auld lang sign up for a savings account
– Invest ye merry gentlemen (and women)
– If yule log onto the BB&amp;T site, you can do online banking

Oh well, there's always next year",en,BB&T
Mon Dec 16 17:45:19 +0000 2019,"@aangelfxck Oh no, we're sorry to hear this! We're happy to help. Please email us @ askbbt@bbandt.com w/ ur name, city/state, details on ur issue &amp; phone number. ~CB",en,BB&T
Mon Dec 16 15:54:19 +0000 2019,"@TigerKHAAAAN We can look into this for u. Please email us @ askbbt@bbandt.com w/ ur name, city/state, details on ur issue &amp; phone number. ~CB",en,BB&T
Mon Dec 16 15:53:35 +0000 2019,@nicolaxo8 Sorry to hear you feel this way. If there is anything we can help you with please let us know. ~CB,en,BB&T
Mon Dec 16 15:52:37 +0000 2019,@madisonkelleyp You may press options 1 &amp; 1 and enter in the requested information. Ur call will be placed on hold for the available agent. If we can help plz let us know. ~CB,en,BB&T
