created_at,full_text,lang,user_name
Thu Dec 19 21:49:14 +0000 2019,@VRNinjoe Score!,en,Best Buy
Thu Dec 19 21:40:36 +0000 2019,@contractorspov Keep us updated! We want to see how this turns out.,en,Best Buy
Thu Dec 19 21:38:04 +0000 2019,@beachitgirl Thanks for sharing your kind words. We're glad that we were able to brighten up your lunch hour.,en,Best Buy
Thu Dec 19 21:36:22 +0000 2019,@MoultonHawk We think of it an interpretive emoji recreation of events as seen by a child.,en,Best Buy
Thu Dec 19 21:28:24 +0000 2019,@keleisn0pe We just heard the same thing from Mrs. Clause.,en,Best Buy
Thu Dec 19 20:35:56 +0000 2019,@GlendaaGomez Don't walk..run!🏃🏃,en,Best Buy
Thu Dec 19 20:25:38 +0000 2019,"@Ms_camillaa Our helpful advice, listen to your ❤.",en,Best Buy
Thu Dec 19 20:23:17 +0000 2019,@buenabrooke You're welcome. Keep on shining like the star you are.,en,Best Buy
Thu Dec 19 20:02:31 +0000 2019,@CrazyCraftyJo We can feel your excitement from over here.,en,Best Buy
Thu Dec 19 19:23:36 +0000 2019,@buenabrooke We feel both merrier and brighter after seeing this. Thanks for sharing your joy with us!,en,Best Buy
Thu Dec 19 19:03:14 +0000 2019,@mskellyleilani We get it. It's important that your TV matches your new kitchen goodies (even if it's going in a different room). 😋,en,Best Buy
Thu Dec 19 18:59:45 +0000 2019,@HappyKittyShop5 So. Shiny. ✨,en,Best Buy
Thu Dec 19 18:45:49 +0000 2019,"@grim18sl This is the most beautiful-est, most wonderful-est Christmas ever. 👍",en,Best Buy
Thu Dec 19 18:43:42 +0000 2019,@jiminibabie Lil' aegyo babies. ✨,tl,Best Buy
Thu Dec 19 18:22:48 +0000 2019,"@joviallout Somewhere in the middle, you can survive.",en,Best Buy
Thu Dec 19 18:11:02 +0000 2019,"@KaaRose You bet. Take a look at our website to learn more about recycling appliances, https://t.co/lSvyZ4uqs2, and having new ones delivered and/or installed, https://t.co/cYysqAsn7P.",en,Best Buy
Thu Dec 19 18:06:05 +0000 2019,@grim18sl There's no greater gift than friendship.,en,Best Buy
Thu Dec 19 18:00:31 +0000 2019,St Jude needs you. Join us in donating to their lifesaving mission: Finding cures. Saving children. Donate to @stjude now. https://t.co/VUOaIDVG4t https://t.co/D8NsJB8b2x,en,Best Buy
Thu Dec 19 17:56:52 +0000 2019,@AAlvarado965 Is that your final answer? 👀,en,Best Buy
Thu Dec 19 17:55:53 +0000 2019,@derekmac0 We believe.,en,Best Buy
Thu Dec 19 17:54:42 +0000 2019,@MandyMiracle1 It doesn't matter where they're goin'. What matters is deciding to get on.,en,Best Buy
Thu Dec 19 17:28:58 +0000 2019,@AndrewBiar They can keep the hair. We'll take the tech.,en,Best Buy
Thu Dec 19 16:51:11 +0000 2019,"@KGBStrikesBack It’s been Rug and now, you’re out.",en,Best Buy
Thu Dec 19 16:22:01 +0000 2019,@ericalee87 Thank you so much for sharing. We'll be sure to give your gratitude to the store.,en,Best Buy
Thu Dec 19 15:58:24 +0000 2019,@thesombergamer @adultswim @adultswimgames @LimitedRunGames Have a quacking good time.,en,Best Buy
Thu Dec 19 15:49:04 +0000 2019,@Sheapnaab Few things can beat getting paired up with the perfect tech.,en,Best Buy
Thu Dec 19 15:37:55 +0000 2019,"@thecaseplaceLA Happy holidays to you, too! ❄️",en,Best Buy
