created_at,full_text,lang,user_name
Thu Dec 19 17:30:18 +0000 2019,"Looking to optimize your office space and workplace benefit packages? Find out two critical things to keep in mind. https://t.co/lpdE0coqY0

#AgileRE https://t.co/5a6l9qSTYJ",en,CBRE
Wed Dec 18 14:50:13 +0000 2019,"RT @CBREIndustrial: CBRE's @Egan2David: Returns of online purchases are a costly dilemma that retailers, shippers &amp; customers must tackle:…",en,CBRE
Tue Dec 17 14:15:06 +0000 2019,"CBRE Host, our hospitality-based product and service offering, has been named to @CIOonline's #FutureEdge50. This award is given to organizations whose work uses new technologies to innovate &amp; advance the future of business. Congratulations @cbrehost! https://t.co/AVyd0JL69d https://t.co/LVW6RE4oHR",en,CBRE
Tue Dec 17 13:08:12 +0000 2019,RT @cbrecapitalmkts: #CapitalWatch - Prime property yields are going nowhere in a hurry @NeilBlake123 https://t.co/n0dv7DssXH @CBRE_EMEA #C…,en,CBRE
Wed Dec 11 19:59:14 +0000 2019,RT @CBRERetail: CBRE's @SpencerGLevy speaks with @CNBC's @DianaOlick about Gen Z's role in boosting mall traffic &amp; redevelopment efforts. h…,en,CBRE
Wed Dec 11 18:18:19 +0000 2019,"RT @cbrecapitalmkts: Commercial real estate has seen an explosion of investment in software, AI, machine learning and virtual reality. How…",en,CBRE
Wed Dec 11 13:39:28 +0000 2019,RT @cbrecapitalmkts: #CapitalWatch - The U.S. economy is in its longest economic expansion on record....how long can it last? @RichardJBark…,en,CBRE
Mon Dec 09 22:15:11 +0000 2019,"How can the blurring of coworking and retail benefit employees, retailers, and shopping center landlords? Find out on our Agile Real Estate Knowledge Hub. #ICSCNYDM #AgileRE https://t.co/eHU3etWMsY @ICSC @CBREnyc https://t.co/bhPZroZbGK",en,CBRE
Mon Dec 09 13:48:03 +0000 2019,"Need a new office? Make a calculated decision with CBRE’s innovative CALC tool. Learn more via IWG's World of Work blog. https://t.co/BpQvN3HhIz

#AgileRE",en,CBRE
Thu Dec 05 20:29:57 +0000 2019,"RT @cbrecapitalmkts: #CapitalWatch - Trade tensions &amp; slowing manufacturing have weighed on global growth this year, but office-using emplo…",en,CBRE
Thu Dec 05 15:45:23 +0000 2019,RT @cbrecapitalmkts: #CapitalWatch - Specialty sectors have been particularly enticing to commercial real estate investors over the past si…,en,CBRE
Wed Dec 04 18:01:01 +0000 2019,Multiple factors are driving increased interest from institutional investors in the US Medical Office Building sector. Read about it today in CBRE’s new report: https://t.co/Pr8ZKepi0G https://t.co/VkHw76vPhY,en,CBRE
Tue Dec 03 21:15:05 +0000 2019,"US medical office buildings have kept transaction volumes high and vacancy low. @IanAndersonCBRE spoke with @GlobeStcom to discuss the trend: https://t.co/f0qH91wjXL

Want to learn more? Meet with a CBRE professional at @GlobeStcom’s #healthcare conference in Arizona this week!",en,CBRE
Tue Dec 03 16:00:11 +0000 2019,"RT @cbrecapitalmkts: The industrial and logistics sector is quickly moving into a new phase of globalization, offering SWFs and pension fun…",en,CBRE
Mon Dec 02 17:30:17 +0000 2019,"What’s in store for the flexible office space market in 2020? Find out in our new report. https://t.co/2yYbRmIgJz

#AgileRE https://t.co/vwBPzPC8tF",en,CBRE
Thu Nov 28 18:13:44 +0000 2019,Happy #Thanksgiving from CBRE. Wishing you and your loved ones a happy and safe holiday. https://t.co/ARCgNAM6vq,en,CBRE
Wed Nov 27 21:30:11 +0000 2019,"The future of any business can be unpredictable, so we must accept that there is much uncertainty about the future and take a statistician’s approach to solve for that uncertainty. https://t.co/JjIKKWCnqC
#AgileRE https://t.co/8WhI53JWbU",en,CBRE
Tue Nov 26 15:01:24 +0000 2019,"Bob Sulentic, CEO of CBRE, sat down with the @latimes to discuss a range of real estate trends including foreign capital flows, e-commerce and the staying power of retail, co-working, and launching @HanaSpaces. Read the full interview: https://t.co/0ztSwe5VRq",en,CBRE
Mon Nov 25 17:04:08 +0000 2019,RT @CBRERetail: Listen as CBRE's @MJMartindale speaks on the leading @retailpodcast about restaurant trends and CBRE's new Holiday Retail T…,en,CBRE
Mon Nov 25 14:01:16 +0000 2019,"RT @cbrecapitalmkts: #CapitalWatch - 2020 could be a pivotal year for the U.S. commercial real estate industry, with geopolitical, economic…",en,CBRE
Thu Nov 21 20:40:03 +0000 2019,"Get a breakdown of the CBRE 2020 Real Estate Market Outlook report from @nreionline: https://t.co/Gzf9a5CItu
#Outlook2020",en,CBRE
Thu Nov 21 13:55:05 +0000 2019,"CBRE has been named to the Investor’s Business Daily (@IBDinvestors) list of Top 50 Best Environmental, Social &amp; Governance (ESG) Companies. CBRE is #23 and the only commercial real estate services firm on the list. https://t.co/iyHD2iFDxY https://t.co/XOK55WMkZd",en,CBRE
Wed Nov 20 21:40:10 +0000 2019,"The U.S. economy will continue its long expansion in 2020, supporting the solid fundamentals of the commercial real estate market, according to CBRE’s forecast in its 2020 Real Estate Market Outlook report. Full report: https://t.co/DT1EyZSHXh 
@SpencerGLevy @RichardJBarkham https://t.co/fvR7hjFZTg",en,CBRE
Wed Nov 20 15:00:07 +0000 2019,CBRE CEO Bob Sulentic discussed the state of the commercial real estate market on @BloombergTV's “Money Undercover” program https://t.co/k6hwWxWcT5 https://t.co/gtipstrdL5,en,CBRE
Wed Nov 20 13:20:54 +0000 2019,"RT @cbrecapitalmkts: #CapitalWatch - U.S. growth may be slowing, but the country’s relatively high-yielding (compared to bonds) commercial…",en,CBRE
