created_at,full_text,lang,user_name
Thu Dec 19 22:58:37 +0000 2019,RT @survivorcbs: Get ready! Find out what happens when the best of the best go head-to-head on Survivor Season 40 premiering February 2020.…,en,CBS
Thu Dec 19 22:25:01 +0000 2019,"RT @FBICBS: #FBIFam, do you agree with the #FBIMostWanted team's most wanted choices? https://t.co/QHYCSzsy29",en,CBS
Thu Dec 19 19:00:00 +0000 2019,A little pre-holiday greeting from #CarolsSecondAct to you. https://t.co/HEzeVzguDf,en,CBS
Thu Dec 19 17:50:12 +0000 2019,RT @SEALTeamCBS: Dita the Plinko Princess! Check out the cast of #SEALTeam on the @PriceIsRight's Holiday Extravaganza Sunday at 8/7c on @C…,en,CBS
Thu Dec 19 17:31:54 +0000 2019,@vladduthiersCBS Now do Babalu! https://t.co/WCydOfPYw8,en,CBS
Thu Dec 19 17:21:28 +0000 2019,"We have a present you can open early. The #ILoveLucy Christmas Special, featuring two episodes of the classic series (""The Christmas Episode"" and ""Paris at Last""), airs TOMORROW at 8/7c on CBS and @CBSAllAccess. https://t.co/iqCWtFT953",en,CBS
Thu Dec 19 15:44:41 +0000 2019,"RT @idinamenzel: This weekend I’ll be hosting “A Home for the Holidays” with performances by @KELLYROWLAND, @adamlambert, and @NeYoCompound…",en,CBS
Thu Dec 19 05:02:55 +0000 2019,RT @BandB_CBS: The best gift to give someone for Christmas? A guest role on #BoldandBeautiful! 😉 Thanks for joining us Monica Ruiz! https:/…,en,CBS
Thu Dec 19 04:43:03 +0000 2019,@melissamccarthy https://t.co/inWrTNMAIW,und,CBS
Thu Dec 19 00:00:00 +0000 2019,"Don’t just break the glass ceiling. Shatter it. Edie Falco stars in #Tommy, premiering Thursday, February 6th at 10/9c on CBS. https://t.co/YvptbfUGgc",en,CBS
Wed Dec 18 20:49:47 +0000 2019,"'Tis the season for family. Watch the 21st annual A Home for the Holidays hosted by @idinamenzel, featuring performances by @KELLYROWLAND, @adamlambert, and @NeYoCompound, this Sunday, December 22 at 9/8c on CBS and @CBSAllAccess. #Home4Holidays https://t.co/mW6L1MT6TT",en,CBS
Wed Dec 18 20:23:30 +0000 2019,RT @AllRiseCBS: Who needs mistletoe? #Lemily is officially official! ❤️ #AllRise https://t.co/BzmqvIlqGX,en,CBS
Wed Dec 18 19:44:07 +0000 2019,RT @KELLYROWLAND: Don't miss my performance on the 21st Annual #Home4Holidays celebrating foster care adoption this Sunday at 9/8c on @CBS…,en,CBS
Wed Dec 18 18:02:17 +0000 2019,"Let CBS and Lucy be your passport to classic comedy when the #ILoveLucy Christmas Special, featuring two episodes of the classic series (""The Christmas Episode"" and ""Paris at Last""), airs this Friday at 8/7c on CBS and @CBSAllAccess. https://t.co/7AaIDHu5C9",en,CBS
Wed Dec 18 02:02:40 +0000 2019,RT @FBICBS: It's go time! Who's watching the #FBICBS Fall finale with us? #FBIFam https://t.co/qVCW7hsLmO,en,CBS
Wed Dec 18 00:40:05 +0000 2019,Celebrate the magic of family and the holiday season with @KELLYROWLAND in #Home4Holidays hosted by @idinamenzel on Sunday at 9/8c on CBS and @CBSAllAccess. https://t.co/YjetuLSVtG,en,CBS
Tue Dec 17 22:16:24 +0000 2019,"There's no place like Courtroom 802. Watch ""Lola the Good"" fight for justice on @AllRiseCBS, Mondays at 9/8c on CBS. #AllRise https://t.co/WnzxknDCAM",en,CBS
Tue Dec 17 21:18:35 +0000 2019,@FBICBS Pride and the @NCISNewOrleans team are on a collision course with the dangerous Eddie Barrett. See how it plays out in the #NCISNOLA Fall finale tonight at 10/9c. https://t.co/vHaFJHAqnM,en,CBS
Tue Dec 17 21:13:33 +0000 2019,A serial killer is on the loose and the @FBICBS team is on the case. Don't miss the heart-pounding #FBICBS Fall finale tonight at 9/8c. https://t.co/u24tqHUjdE,en,CBS
Tue Dec 17 21:11:27 +0000 2019,A must-watch night of TV; starting with Ziva's epic return to #NCIS at 8/7c on CBS. https://t.co/wFYfXhTEJm,en,CBS
Tue Dec 17 19:27:15 +0000 2019,Need a Ziva refresher before her return to @NCIS_CBS tonight? Relive some key moments from Ziva's long-standing history with #NCIS. https://t.co/hMAIMMps1x,en,CBS
Tue Dec 17 18:47:12 +0000 2019,"""Escar-go"" crazy with Lucy this holiday season. The #ILoveLucy Christmas Special featuring two episodes of the classic series (""The Christmas Episode"" and ""Paris at Last"") airs this Friday at 8/7c on CBS and @CBSAllAccess. https://t.co/xJNnzAZe5W",en,CBS
Tue Dec 17 03:01:55 +0000 2019,RT @AllRiseCBS: See you all in 2020! What did everyone think of tonight's festive #AllRise? https://t.co/0QbQzsilpB,en,CBS
Tue Dec 17 02:16:08 +0000 2019,@1986Webber Merry Christmas to you as well!,en,CBS
Tue Dec 17 02:10:51 +0000 2019,@GirlThriving #BobHeartsAbishola https://t.co/1KlGiVDn4l,und,CBS
Tue Dec 17 02:06:59 +0000 2019,@mrsssmac We'll see you soon! #BobHeartsAbishola https://t.co/xfYhl81W8T,en,CBS
Tue Dec 17 02:05:43 +0000 2019,@ISLANDMISS_1 #BobHeartsAbishola https://t.co/4DZgQPCXC5,und,CBS
Tue Dec 17 02:02:29 +0000 2019,"RT @AllRiseCBS: Woof - it's a three coffee kinda day, huh Lola? ☕️☕️☕️ Caffeinate up, #AllRise starts NOW! https://t.co/6QNMdWNbAj",en,CBS
Tue Dec 17 02:01:28 +0000 2019,Bob is speechless like us all after THAT moment. We’ll see you January 6th for a new #BobHeartsAbishola ❤️. https://t.co/J2OWJdkGLZ https://t.co/hrSVJEDv3o,en,CBS
Tue Dec 17 01:59:20 +0000 2019,@JustCurious37 We're all about the laughs. Thanks for watching! #BobHeartsAbishola https://t.co/0MDjcwK5RE,en,CBS
Tue Dec 17 01:56:59 +0000 2019,@Angelpeach06 ♥️♥️♥️ #BobHeartsAbishola https://t.co/HR4BNqvn2e,und,CBS
Tue Dec 17 01:55:56 +0000 2019,@moreorless36 Abishola tried to tell her... #BobHeartsAbishola https://t.co/FwyfRZbRGo,en,CBS
Tue Dec 17 01:53:12 +0000 2019,@AnneLaBarbera So does Uncle Tunde. #BobHeartsAbishola https://t.co/n1BV8in6jy,en,CBS
Tue Dec 17 01:51:05 +0000 2019,@oahuwriter Happy Holidays!,en,CBS
Tue Dec 17 01:50:26 +0000 2019,"Mind your business, dude! #BobHeartsAbishola ❤️ https://t.co/pEOexL3r3L",en,CBS
Tue Dec 17 01:48:30 +0000 2019,@JessLj1 🤔🤔#BobHeartsAbishola,und,CBS
Tue Dec 17 01:44:11 +0000 2019,@Mr_Unapologetic #BobHeartsAbishola https://t.co/nl93Bu70a7,und,CBS
Tue Dec 17 01:42:09 +0000 2019,"@tparkey830 And we ♥️ hearing that, thanks for watching! #BobHeartsAbishola",en,CBS
Tue Dec 17 01:41:41 +0000 2019,All is fair in love and lies? #BobHeartsAbishola ❤️ https://t.co/qTUvggDQSQ,en,CBS
Tue Dec 17 01:39:24 +0000 2019,@philvaz Gotta love a good reference! #BobHeartsAbishola,en,CBS
Tue Dec 17 01:37:19 +0000 2019,@ISLANDMISS_1 ♥️😄 #BobHeartsAbishola https://t.co/n7nXFkdM94,und,CBS
