created_at,full_text,lang,user_name
Thu Dec 19 19:25:00 +0000 2019,RT @BizTechMagazine: 2020 will be here before you know it. Here are the #nonprofit tech trends we’re watching for next year. https://t.co/7…,en,CDW Corporation
Thu Dec 19 19:22:07 +0000 2019,RT @EdTech_HigherEd: The same #esports gaming technologies popular on #HIgherED campuses are at the heart of a new partnership between @ELE…,en,CDW Corporation
Thu Dec 19 19:00:09 +0000 2019,"Ready to tackle some #tech upgrades at your #K12 school? Dig into smart classroom technologies that are proven to enhance student learning and create better educational opportunities. #edtech
https://t.co/LcSYmqWrSJ",en,CDW Corporation
Thu Dec 19 15:00:14 +0000 2019,"SDN offers a sea change in how networking is done. That starts with asking the right #networking questions.
https://t.co/NMtHybJL6k",en,CDW Corporation
Thu Dec 19 14:00:09 +0000 2019,"Will worldwide access to the internet for every person on Earth anywhere, anytime happen by this time next year? It will take 30+ more launches to find out. @Forbes
https://t.co/QpzMa76o55",en,CDW Corporation
Thu Dec 19 13:00:08 +0000 2019,"#Videoconferencing technology can be a blessing or a curse. So how do you achieve true modern #collaboration utopia?
https://t.co/NGlYNcI38H",en,CDW Corporation
Thu Dec 19 12:30:09 +0000 2019,Help! We need gift ideas for the techies on our list! 🎁📜 What are you asking for this year? https://t.co/D2W6zzj4uv,en,CDW Corporation
Thu Dec 19 02:00:04 +0000 2019,"Looking for a #tablet this #holidayseason? Find the perfect one for your needs with our handy guide:
https://t.co/DEpL2bMKOX",en,CDW Corporation
Wed Dec 18 21:30:06 +0000 2019,"Rogue IT spenders are tough on your budget—and your blood pressure. With CDW’s free workflow tool, you won the budget and you make the rules. No more surprise purchases. Find out more: https://t.co/v6F3Dc7u4h https://t.co/W2gjshmj1W",en,CDW Corporation
Wed Dec 18 16:00:08 +0000 2019,"Snag that last holiday gift with our limited time #tech Deal of the Week! 🎁🎅🏾🎄
https://t.co/dLyyn9x1sT https://t.co/PoZDch8g24",en,CDW Corporation
Wed Dec 18 14:00:09 +0000 2019,"With holiday shopping in full swing, now might be a good time for #retailers to consider how to keep customers coming back. @BizTechMagazine looks at how #dataanalytics can help smaller retailers. #retailtech #holidayseason
https://t.co/lgT0eSG557",en,CDW Corporation
Wed Dec 18 03:00:04 +0000 2019,"What can managed services offer you? The chance to focus on growth, not maintenance. Find out if tapping our #tech specialists via Managed Services might be a good fit for your org:
https://t.co/dF4XcsGyqg",en,CDW Corporation
Wed Dec 18 02:00:04 +0000 2019,"How do you identify potential development opportunities for affordable housing in your city? @univmiami has developed a tool you might be interested in.
https://t.co/Fr1FdScBRI",en,CDW Corporation
Tue Dec 17 18:00:30 +0000 2019,"Preparing for tomorrow starts with today. Need consistent infrastructure and ops? We get IT. @VMware #Cloud Foundation + CDW delivers a single architecture wherever your app is living.
https://t.co/T9AD79QbrO https://t.co/qktC54Dm4b",en,CDW Corporation
Tue Dec 17 17:58:30 +0000 2019,"RT @CDWCareers: We are thrilled to be named one of the Best Places to Work in 2020 by @Glassdoor and our coworkers! 🥳🎊

Looking to join an…",en,CDW Corporation
Tue Dec 17 14:30:06 +0000 2019,CDW’s free workflow tool makes IT purchasing so easy your team could do it in their sleep. We just don’t think they should have to. https://t.co/X0IROQOXNk https://t.co/YmOoWiQ6XE,en,CDW Corporation
Tue Dec 17 14:00:09 +0000 2019,"Things are about to get ugly for beauty brands. The industry has seen a downward trend in sales as #GenZ proves not to be as interested in makeup products as expected. 📉💄🙅‍♀️
https://t.co/6bkXsWkQ2G",en,CDW Corporation
Mon Dec 16 22:45:08 +0000 2019,"Last week CDW's #BRG, BeU, assembled a few of our top execs to share what they think is the ""Blueprint of a Great Leader."" Their advice: Goal setting, accountability and radical candor will improve your career outlook. #LifeatCDW #BlackExcellenceUnlimited https://t.co/UClovJnnmN https://t.co/UlqzSO2ZyH",en,CDW Corporation
Mon Dec 16 17:00:10 +0000 2019,"#Smartspeakers can do a lot to improve the quality of life for senior care residents—if they're secure, that is.
https://t.co/7bHoloXneu",en,CDW Corporation
Mon Dec 16 16:00:10 +0000 2019,"TFW you save big on the tech you need! 🥳🤗😎 Our latest deal is here:
https://t.co/7GbNvasr5N https://t.co/jJOq8e0QKg",en,CDW Corporation
Mon Dec 16 14:29:52 +0000 2019,RT @BizTechMagazine: 2020 is just around the corner. What trends should #smallbusinesses be watching? https://t.co/i1dsuOiPsC,en,CDW Corporation
Mon Dec 16 14:26:28 +0000 2019,RT @CDWCareers: CDW's Tamara Fletcher shares what #inclusion means to her and how she's helping create an environment where all coworkers c…,en,CDW Corporation
Mon Dec 16 13:45:20 +0000 2019,All we want for Christmas is a Holodeck. https://t.co/B5ONXIhSgl,en,CDW Corporation
Mon Dec 16 11:00:08 +0000 2019,"When tech saves lives but puts privacy in jeopardy, what do you do? That's the current debate surrounding the use of #drones by police officers. Where do you stand?
https://t.co/zKtJOmDCxe",en,CDW Corporation
Sat Dec 14 22:00:04 +0000 2019,"What if #publicsafety agencies could have comprehensive, real-time insights into critical fleet and in-field #firstresponder activities? Now, thanks to #IoT, they can. @StateTech
https://t.co/Ndld6tyTKK",en,CDW Corporation
Sat Dec 14 20:00:06 +0000 2019,"“Tech entrepreneurs are the new superstar athletes.” These are the #startups that pro athletic organizations are looking to invest in via @FortuneMagazine.
https://t.co/RSOK0tcGdV",en,CDW Corporation
Sat Dec 14 18:00:06 +0000 2019,"Want to improve the #patientexperience? Design-thinking is the key. @Forbes highlights how @abbvie's approach to patient experience builds empathy. #ptexp
https://t.co/RnwR4fIUCp",en,CDW Corporation
Fri Dec 13 18:30:04 +0000 2019,A new PC? Portable gaming system? Music you can take on the go? What holiday gift you received helped to spark your interest in IT?,en,CDW Corporation
Fri Dec 13 17:02:15 +0000 2019,Will doctors one day be replaced by robots? Take the poll and follow the link to find the answer. https://t.co/1DLmKTin01,en,CDW Corporation
Fri Dec 13 16:00:08 +0000 2019,"When it comes to #VeteransDay, we can't say thank you enough. Take a look back at how we honored our service men and women.
https://t.co/VhHgOwOdYh",en,CDW Corporation
Fri Dec 13 15:53:40 +0000 2019,RT @EdTech_K12: What activities are you doing in your #K12 classrooms this week to inspire students to take interest in #computerscience? #…,en,CDW Corporation
Fri Dec 13 14:00:07 +0000 2019,"#Smartspeakers are moving out of the consumer realm to positively impact a number of industries, including healthcare. #HealthIT #seniorcare @CDW_Healthcare
https://t.co/2OYcAy6Pkw",en,CDW Corporation
Fri Dec 13 13:00:05 +0000 2019,Our #FollowFriday this week is dedicated to #AI thought leaders! Follow @jtoy @gideonro @mjcavaretta @MFordFuture @pmddomingos @JustinHerman @TeachTheMachine @mmitchell_ai. Have others we should add to our list? Reply with your suggestions! #FF,en,CDW Corporation
