created_at,full_text,lang,user_name
Thu Dec 19 19:40:10 +0000 2019,"@SummerNettles We strive to provide a seamless and transparent experience and would be eager to connect further. To research this for you, can you please send us a DM with additional details to include when your vehicle was last serviced with us and what work was needed at the time of repair?",en,CarMax
Thu Dec 19 16:48:05 +0000 2019,"We hope your holidays are jingly, bright, and traffic-free. https://t.co/XcKdH57Jm1",en,CarMax
Wed Dec 18 20:28:31 +0000 2019,"@GerriaGreen01 Hi, Gerria. We appreciate your purchase with us and certainly recognize the frustrations related to service concerns. We'd be eager to connect further about this experience and invite you to DM us more about it, so we can get involved.",en,CarMax
Wed Dec 18 19:59:00 +0000 2019,@Corey_M_Adamz We're grateful to have earned your business but are disappointed to learn about the experiences following. Please feel free to DM or call us (at 1-800-519-1511) with more details on how we could assist.,en,CarMax
Wed Dec 18 19:46:28 +0000 2019,@princessaudreyz Thank you for staying in contact with us and for your incredibly kind words for Taylor! We'll ensure your kudos are passed along to her and look forward to continuing to assist.,en,CarMax
Wed Dec 18 16:02:00 +0000 2019,"@LViajantez Thanks for your loyalty over the years, E.L. We always want to have your back as our customer, and we're eager to learn more about this to see how we can help. Please send us a DM with your contact information and additional details and we'll meet you there.",en,CarMax
Wed Dec 18 15:59:55 +0000 2019,"@princessaudreyz Thanks for keeping us in the loop, Audrey. Please let us know if we can help with any additional questions.",en,CarMax
Wed Dec 18 15:59:00 +0000 2019,"@rjohnson1911 Thanks for reaching out, Rufus. We take a lot of pride in the quality of our vehicles and always want to help support our customers when issues come up. We're eager to help with this. Please send us a DM with your contact information so we can connect.",en,CarMax
Wed Dec 18 15:46:00 +0000 2019,@TomShady300 There’s one less thing to worry about each night! We hope you’re enjoying the ride and the freedom that a new car brings to you. Thanks for being our customer!,en,CarMax
Wed Dec 18 14:58:00 +0000 2019,"@kannarook We're happy to know you were able to receive the help you needed and are curious to know if you ended up being able to test drive a QX50 with us? Or, are you still on the hunt?",en,CarMax
Wed Dec 18 14:33:00 +0000 2019,"@kannarook We always want to make car-shopping as easy and hassle-free as possible and would love to know more about this experience (along with seeing how we could assist). Please feel free to DM us, and we'd be happy to meet you there.",en,CarMax
Wed Dec 18 00:14:27 +0000 2019,"@virtual_CISO New Orleans, that's exciting! We hope you have a fantastic trip, and a great holiday!",en,CarMax
Tue Dec 17 16:35:36 +0000 2019,"@Joe38950716 Thanks for letting us know, Joe. We're eager to see how we can assist.  We've received your DM, and responded to you there.",en,CarMax
