created_at,full_text,lang,user_name
Thu Nov 21 16:31:29 +0000 2019,"Now that Celgene and Bristol-Myers Squibb are officially one company, the @Celgene handle will be retired soon. Be sure to follow @BMSNews to continue to receive the latest content and updates about our work to aim to improve the lives of many patients worldwide. https://t.co/3zZpTkzXQ0",en,Celgene Corporation
Wed Nov 20 21:19:39 +0000 2019,"This is an important day as we become one company w/ Bristol-Myers Squibb creating a leading biopharma company ideally positioned to discover, develop &amp; deliver innovative medicines for patients fighting serious diseases. Follow @BMSNews for future updates.https://t.co/9nrbZSZvtl https://t.co/jGvAHNHGra",en,Celgene Corporation
Tue Nov 19 23:55:00 +0000 2019,"#Celgene is thrilled to announce the winners of this year’s ImpactMS competition: @acceleratedcure, @MSassociation &amp; @eumsplatform
These patient organizations are providing innovative solutions to identify and support care partner needs. https://t.co/cunne9VLkK #MS https://t.co/cDLT1A8wFE",en,Celgene Corporation
Fri Nov 15 13:06:18 +0000 2019,#NEWS: #Celgene announces #CHMP positive opinion for a chemotherapy-free combination regimen for adult patients with previously treated Follicular Lymphoma. Read the news: https://t.co/F14xekQs54 #lymsm https://t.co/nJ3o3RBkdc,en,Celgene Corporation
Fri Nov 08 18:59:19 +0000 2019,"RT @YvonnedeSousa: #Ad My podcast episode with @RealTalkMS_Jon, &amp; @Celgene is live &amp; available for you to listen to! Excited to share my pe…",en,Celgene Corporation
Fri Nov 08 17:41:43 +0000 2019,"#NEWS: FDA approves a new medicine, that represents a new class of therapy, for the treatment of anemia in adult patients with beta thalassemia. Read the news: https://t.co/DOwJaigKcF #thalassemia #Celgene https://t.co/pkSGMMPVqi",en,Celgene Corporation
Fri Nov 08 15:29:31 +0000 2019,@tdconn @tdconn Thank you for the feedback. Please contact our medical information group at 1-888-771-0141 for more information on this matter.,en,Celgene Corporation
Wed Nov 06 14:33:34 +0000 2019,Learn about the data we’re sharing at #ASH19.,en,Celgene Corporation
Wed Nov 06 14:10:00 +0000 2019,"“We look forward to ASH as an opportunity to highlight our commitment and leadership in the research and development of novel therapies for the treatment of blood cancers.” – Alise Reicin, M.D., President, Global Clinical Development. https://t.co/ags8U7FZYq #ASH19 https://t.co/Hhzopc5Z70",en,Celgene Corporation
Thu Oct 31 14:18:37 +0000 2019,"@CgrAlk @CgrAlk, Thank you for your questions. The product is only approved in the US, read the news here: https://t.co/OfCkZLZ3Xt. Please speak with your doctor about your questions.",en,Celgene Corporation
Wed Oct 30 11:16:07 +0000 2019,RT @PsoriasisIFPA: The #GlobalPsoriasisAtlas has officially been launched! We're proud to finally share the result of our collaboration wit…,en,Celgene Corporation
Wed Oct 30 11:15:58 +0000 2019,RT @PSOCoalition: #Psoriasis is an inflammatory disease affecting the whole body. Learn more on psoriasis co-morbidities on https://t.co/Ph…,en,Celgene Corporation
Fri Oct 25 12:44:45 +0000 2019,RT @PsoriasisIFPA: We are many and we are stronger when we connect together! #psoriasis #psoriaticarthritis #letsgetconnected #worldpsorias…,en,Celgene Corporation
Fri Oct 25 12:44:19 +0000 2019,"RT @PsoriasisIFPA: Each of our members and partners have unique skills. Together, we can change the lives of millions of people living with…",en,Celgene Corporation
Fri Oct 04 22:21:20 +0000 2019,"@TuftsB We are deeply saddened about the passing of Bob. His energy and spirit has been an inspiration to all of us at Celgene, reminding us to remain relentless in our quest for a cure. Our thoughts go out to his family.",en,Celgene Corporation
Fri Oct 04 13:49:06 +0000 2019,RT @BioNJ_Org: Good morning from @Celgene in Summit! #BioNJ excited to host the Fourth Annual Patient Advocacy Summit. #PatientsCantWait ht…,en,Celgene Corporation
