created_at,full_text,lang,user_name
Fri Dec 20 00:00:14 +0000 2019,Ethernet is a critical component of any adaptive network. Get the data on how ethernet fuels digital business and how you can use it to gain an edge on competition: https://t.co/FkrJeUNgh2 https://t.co/LRWZY02YBH,en,CenturyLink
Thu Dec 19 17:58:01 +0000 2019,".@BabcockWilcox Enterprises, a leader in energy and environmental technologies, selected @CenturyLink to help drive growth and control costs across their global operations. Read more: https://t.co/0eRq9Kzs0i #DigitalBusiness https://t.co/EfusqYE15W",en,CenturyLink
Wed Dec 18 14:02:19 +0000 2019,Discover how @CenturyLink’s global network is expanding to help enterprise businesses like @zoom_us fuel innovation and new technological breakthroughs. https://t.co/hKFmdUOKLB #DigitalBusiness https://t.co/AkWszwLFd5,en,CenturyLink
Tue Dec 17 20:00:18 +0000 2019,"A full 84% of #CIOs at top-performing organizations now oversee business units in addition to traditional IT, particularly those involving innovation and #digitaltransformation. 40% are leading their organization’s digital transformations.

https://t.co/7CEbw8iOpl https://t.co/IQUbEumQ5H",en,CenturyLink
Tue Dec 17 19:18:15 +0000 2019,"@AlleyeZonBriX Good morning. We're following up with you today to assist with any questions or concerns that you may have still.

- Claus",en,CenturyLink
Tue Dec 17 01:00:14 +0000 2019,"Here's how to deploy #SDWAN in 8 steps: https://t.co/N3YKFlEZTA
 
Which steps have you already completed? https://t.co/VMT1CBrFpR",en,CenturyLink
Mon Dec 16 20:46:01 +0000 2019,"“With @CenturyLink Network Storage, you can now put storage inside the network. You can […] have the network not just become the data center, but your network can reach all of your centers of data.” -@DaveShac

Read more here: https://t.co/iBbfj1XtMi https://t.co/C6YdUuoEMq",en,CenturyLink
Mon Dec 16 19:06:19 +0000 2019,"@AlleyeZonBriX Good morning. If you have any questions, please DM us and we will be happy to work with you there.

- Claus",en,CenturyLink
Mon Dec 16 18:00:15 +0000 2019,"What do the @packers and @CenturyLink’s Dynamic Connections have in common? CenturyLink CMO Shaun Andrews, @ShaunonTech, explains. https://t.co/VPwUQIgmza https://t.co/4QC58OkB6r",en,CenturyLink
Fri Dec 13 21:00:09 +0000 2019,"Find out how your business can do more with an adaptive network and instant applications, and see the stats that back them up: https://t.co/kJVsvG88Lr https://t.co/J3TcmLzQ74",en,CenturyLink
