created_at,full_text,lang,user_name
Thu Dec 19 15:46:23 +0000 2019,"Childhood vaccinations are a key component of preventive care, but changing recommendations for certain immunization schedules can pose a challenge. 

Discover how the Cerner Immunization Forecaster helped @BostonChildrens cut costs by more than 80%. https://t.co/wpYgilycoo",en,Cerner
Wed Dec 18 16:29:11 +0000 2019,"People today are able to take charge of their own health and care more than ever before. 

On today’s podcast, health economist Jane Sarasohn-Kahn (@healthythinker) explains how technology is making traction in the consumerization of health care. https://t.co/xqRWWZJ70s",en,Cerner
Tue Dec 17 23:01:16 +0000 2019,"14% of hospital discharges stem from conditions that could have been prevented with adequate primary care resources.

Download @eHealthDC's case study to see how @RoperStFrancis's innovative outreach strategies are helping at-risk, underserved populations. https://t.co/HA6B96Hd8D",en,Cerner
Tue Dec 17 17:16:08 +0000 2019,"As we continue to modernize EHRs for @DeptVetAffairs and @DeptofDefense, learn how our work with the VA is using specialized training – the VA Innovative Technology Advancement Lab – to improve health care for U.S. Veterans. https://t.co/s2ZTjpou42",en,Cerner
Mon Dec 16 22:33:11 +0000 2019,"RT @BrentShaferCEO: “Embracing openness ─ in platforms, technology and culture ─ is a key component for getting where we need to go.” 

Gre…",en,Cerner
Mon Dec 16 17:14:34 +0000 2019,"From using AI to enhance the clinician experience to improving care delivery through the cloud, this past year has brought about significant changes to the way health care is delivered.

Here’s a look back at some of our top blogs from 2019. https://t.co/DjWAOaxiId",en,Cerner
Fri Dec 13 22:56:28 +0000 2019,"As the year comes to a close and we reflect on what we've accomplished in 2019, revisit John Peterzalek's January blog, where he discusses the continuing and emerging concepts that shaped this past year in health care. https://t.co/oc70wHGND1",en,Cerner
Fri Dec 13 17:50:47 +0000 2019,RT @CernerEng: Getting in the #HolidaySpirit this morning with a concert organized by several musically talented associates. Everyone is si…,en,Cerner
Thu Dec 12 16:31:15 +0000 2019,"While pediatricians are working to keep children vaccinated, it is challenging to remain up to date with recommended immunizations.

Learn how Cerner's Immunization Forecaster helped @BostonChildrens reduce overtime and improve vaccine administration. https://t.co/SaIhUDJcdX",en,Cerner
Wed Dec 11 18:10:44 +0000 2019,"Our mission to create a seamless world where everyone thrives can’t be reached if we aren’t truly inclusive. 

Learn how we’re making a critical step in our journey towards empowering the next generation of health care IT leaders in the workplace. https://t.co/KRUwhsY0bK",en,Cerner
Tue Dec 10 17:56:43 +0000 2019,The @STEMKC Hour of Code events connect middle school girls with Cerner associates to showcase career paths in tech while offering a chance to demystify code and demonstrate that anybody can learn the basics. #GirlsInTechKC #CSforAll #CSEdWeekKC,en,Cerner
Tue Dec 10 17:56:43 +0000 2019,"This week, 420+ Kansas City metro area girls will celebrate Computer Science Education Week with 
@STEMKC. 

We are proud to have hosted two of these events and to support the initiative to encourage girls to explore opportunities in tech. #GirlsInTechKC #CSforAll #CSEdWeekKC https://t.co/aQfGahK1kQ",en,Cerner
Tue Dec 10 16:37:31 +0000 2019,"1 out of 5 U.S. adults experience mental illness each year, and 1 in 8 ER visits stem from mental health and substance abuse disorders. 

Learn how we can ease the burden of behavioral health hospital admissions by defining the essential clinical dataset. https://t.co/IKYQhSlWpI",en,Cerner
