created_at,full_text,lang,user_name
Thu Dec 19 17:30:16 +0000 2019,"Senior Claims rep Tommy Le says, ""I escaped Vietnam on a boat. The reason I love what I do is where I came from. The most important thing in life is helping other people out. When people have their lives turned upside down, my job is to be there for them."" https://t.co/B7orssL56x",en,Chubb
Thu Dec 19 15:18:27 +0000 2019,"RT @ChubbNA: We're proud to announce that the Chubb Building is the first in Bermuda to be certified LEED® Platinum, the highest level of r…",en,Chubb
Thu Dec 19 14:30:15 +0000 2019,"For eight years from 1955 to 1962, #BingCrosby hosted a global “Sing With Bing” radio broadcast each holiday for one of our predecessor insurance companies. Channeling the narrative of the times, one CBS executive said “we’ll hit every mobile listener outside of Sputnik.” #TBT https://t.co/04F539RSvf",en,Chubb
Wed Dec 18 20:20:03 +0000 2019,"RT @ChubbNA: Traveling during the holiday season? Before you leave home, do this one thing: https://t.co/zEjpga9c4Y #TravelTuesday https://…",en,Chubb
Wed Dec 18 18:00:29 +0000 2019,"On December 5th, the 22nd edition of the Chubb Golf Grand Prix was held at Pilar Golf Club in Argentina. We had 70 participants including 50 brokers and producers. It was a chance to reconnect and discuss how to better serve our clients in the year ahead. @Chubb_Seguros https://t.co/A3V9xqY3ge",en,Chubb
Wed Dec 18 15:00:10 +0000 2019,"Mike Eksteen, Chubb’s Vice President of Digital in Asia Pacific, was recognized in the top 20 of the CIO50 2019 ASEAN list.  CIO50 recognizes the top 50 senior technology executives driving innovation and influencing rapid change. #ChubbDigital #CIO50
https://t.co/s5O2G0AT6g https://t.co/UYR23OWyPf",en,Chubb
Tue Dec 17 18:17:10 +0000 2019,"In Monterrey, Mexico, our team members participated in a reforestation project at a local school and adjacent park planting more than 50 trees. #ChubbEnvironment #ChubbPurpose #Environment #Reforestation https://t.co/E9c9EzW4bJ",en,Chubb
Tue Dec 17 16:24:37 +0000 2019,"Chubb supports passage of the new U.S.-Mexico-Canada Agreement (USMCA). USMCA includes protections for the free flow of data, providing greater certainty as we transition to a digital economy. Congress should vote yes on #USMCANow @USMCACoalition https://t.co/BRGfDWJe21",en,Chubb
Tue Dec 17 15:58:57 +0000 2019,"RT @ChubbNA: The CCIC program, sponsored by Chubb and @CarnegieMellon @HeinzCollege, provides Chubb brokers &amp; agents with an understanding…",en,Chubb
Tue Dec 17 14:30:11 +0000 2019,"Ride-sharing is growing rapidly in Latin America, bringing with it a new category of hybrid risk that combines personal auto and commercial exposure. #TNCs #Ridesharing #EmergingRisk #ChubbInsights 
https://t.co/z6yCCulf0x https://t.co/DEP3mK5IDg",en,Chubb
Mon Dec 16 21:13:48 +0000 2019,"RT @ChubbEurope: This Christmas Chubb’s London office supported the @KidsOut Giving Tree Initiative.

Colleagues have donated 300 toys and…",en,Chubb
Mon Dec 16 17:00:09 +0000 2019,"Last month, we celebrated our Quarter Century Club new inductees. We profiled a few inductees including Dana Rose, a Washington D.C. based VP, Claims Business Consultant Manager. https://t.co/mpnAdGAvMx",en,Chubb
Mon Dec 16 14:00:30 +0000 2019,A 71-year-old company faces its toughest test yet: the most severe tornado to hit Iowa in three years. See firsthand the devastation and how Chubb immediately responded. Watch the full story of resilience and recovery at https://t.co/OUBXv4FnM3,en,Chubb
