created_at,full_text,lang,user_name
Fri Dec 20 00:08:00 +0000 2019,"What do we see in the future in 2020 for #Security, #Collaboration, #EN, and more?! 🔮 Read about our predictions here: https://t.co/80E38rznVF",en,Cisco
Thu Dec 19 21:08:01 +0000 2019,"Cisco VP and Security CTO Bret Hartman discusses #security predictions, warnings, and tips for 2020 in this podcast. Listen: https://t.co/10Gy5i1RDn https://t.co/eLt86o6ULx",en,Cisco
Thu Dec 19 18:08:00 +0000 2019,Our fourth annual Global Problem Solver Challenge aims to recognize tech startups working to positively impact the world. Apply here: https://t.co/1dixsreC8i @CiscoCSR,en,Cisco
Thu Dec 19 15:08:00 +0000 2019,"Cisco's committed to a culture where all people feel welcomed, valued, respected, accepted and heard. Read how we're helping build this future in our 2019 #CSR report. https://t.co/v7b8iQqzil @CiscoCSR",en,Cisco
Thu Dec 19 04:08:02 +0000 2019,"🎶O #Switchmas tree, O #Switchmas tree. 🎶 This full stack-mas tree showcases all our @Meraki products. Can you point out what equipment is there? (📸: @aslater_meraki) #ciscomeraki https://t.co/YbQRApwqkt",en,Cisco
Thu Dec 19 00:54:01 +0000 2019,RT @ciscoDC: Thank you to @CRN for awarding Cisco #HyperFlex the Overall Winner for #Hyperconverged #Infrastructure in their 2019 Products…,en,Cisco
Thu Dec 19 00:08:00 +0000 2019,What's Cisco's #InternetForTheFuture? SVP @jonathandavidsn discusses with @ConnectedWMag's Peggy Smedley in an exclusive interview: https://t.co/DD9SeVCqfj,en,Cisco
Wed Dec 18 21:08:30 +0000 2019,What event gathered 646 Cisco employees across 13 U.S. cities for 1 great cause? https://t.co/NLuNypchRg @CovenantHouse #EndingHomelessness https://t.co/ufqqxrRwGJ,en,Cisco
Wed Dec 18 20:08:00 +0000 2019,5 hot #networking trends for 2020 https://t.co/EqeCFRAimP via @NetworkWorld #SDWAN #5G #WIFI6 @aoswal1234,en,Cisco
Wed Dec 18 19:28:04 +0000 2019,@REDZMANG 😂🤣😅 https://t.co/gjxwOKIYfF,und,Cisco
Wed Dec 18 18:08:23 +0000 2019,What’s the inside story on Cisco Silicon One? @DavidGoeckeler chats with the two architects about what's behind our latest product. https://t.co/Hjl7WCpP0g #InternetForTheFuture https://t.co/AoUTiGtyTA,en,Cisco
Wed Dec 18 17:08:00 +0000 2019,.@duo_labs just released its 2019 State of the Auth report to take a pulse of people’s understanding of security and 2FA in America and the U.K. Read more here: https://t.co/APDgWo6O1l #Cybersecurity,en,Cisco
Wed Dec 18 15:08:00 +0000 2019,"This #WirelessWednesday, learn more about our new Catalyst 9130 and Embedded #Wireless Controllers. https://t.co/dI3nOJq6Mm",en,Cisco
Tue Dec 17 23:07:52 +0000 2019,What are the best ways to identify a #phishing email? #TriviaTuesday #TechTuesday,en,Cisco
Tue Dec 17 21:08:00 +0000 2019,Struggling to find the perfect gift for your network pro pal? We've got you covered. https://t.co/rWtpmxLyHk #networking,en,Cisco
Tue Dec 17 19:43:09 +0000 2019,"We don't just talk the talk, we walk the walk. Find out how we're working to create the #InternetForTheFuture. https://t.co/lhXghsJeRA https://t.co/CSPRbZndyN",en,Cisco
Tue Dec 17 16:08:00 +0000 2019,We're excited to share that Cisco HyperFlex was named a leader for the second consecutive year in the 2019 Gartner Magic Quadrant for Hyperconverged Infrastructure. Read more about it here. https://t.co/LQ7jF7Bp55,en,Cisco
Tue Dec 17 15:08:01 +0000 2019,Ready to hear more about our new Silicon One? Join Cisco’s @wgartner as he dives in with @ConnectedWMag. https://t.co/mhgKlVFwUh #InternetForTheFuture. https://t.co/PIWB8yJLNz,en,Cisco
Mon Dec 16 23:46:00 +0000 2019,"“My dream is that the daughters in my community match stride for stride, and walk shoulder to shoulder, with the rest of the world.” With India’s #5G-ready network, Pabiben Rabari’s dream is becoming a reality.  #InclusiveFuture https://t.co/gxaesp9H14",en,Cisco
Mon Dec 16 23:08:00 +0000 2019,"Our 2019 Threats of the Year report is out. In preparation for the year ahead, take a look back at the tools and tactics that cyber criminals exploited over the past year. https://t.co/t0JXIcZehi #cybersecurity",en,Cisco
Mon Dec 16 22:08:44 +0000 2019,Read more about our efforts on #EndingHomelessness: https://t.co/blRebUMr66 https://t.co/2qVpBJOSZN,en,Cisco
Mon Dec 16 21:08:00 +0000 2019,Cisco’s @jonathandavidsn sat down with @ConnectedWMag to talk about the #InternetForTheFuture. Listen in here: https://t.co/bG9dnmFURd,en,Cisco
Mon Dec 16 18:29:19 +0000 2019,RT @Light_Reading: Cisco: Service Providers Are Getting Squeezed &amp; We've Got the Cure https://t.co/10fibmgRBo,en,Cisco
Mon Dec 16 18:08:00 +0000 2019,Can you say innovation?! We're excited to celebrate the 2019 Cisco Pioneer Award winners who are changing the future of tech. 🏆 https://t.co/iCsTjWf8Gd,en,Cisco
Mon Dec 16 17:08:10 +0000 2019,The cyber grinch that DIDN'T steal your Christmas 😉. Find out how to stay safe online during the holiday shopping season. https://t.co/99oOSCb9ai #cybersecurity https://t.co/sCExOWRhHs,en,Cisco
