created_at,full_text,lang,user_name
Thu Dec 19 22:35:05 +0000 2019,"Local high school students visited our Dublin, CA office where they learned about communications infrastructure and careers in tech. We’re proud to partner with @itsCodeNation—providing skills and experiences to develop our future tech leaders. #ConnectedbyGood https://t.co/u2Uq5rOlFC",en,Crown Castle
Wed Dec 18 21:15:05 +0000 2019,@houstonlibrary’s mobile library and technology lab gives children across Houston the opportunity to learn and grow through books and other programs. We’re proud to be a partner of this organization that promotes a lifetime of learning. #ConnectedbyGood https://t.co/nCwEZGr8OL https://t.co/1NW2Bna7OZ,en,Crown Castle
Tue Dec 17 22:45:04 +0000 2019,Our team members in the south had a great time listening to @Johnson4Dallas at the @DRC State 2019 State of the City last week. #DRCSOTC19 https://t.co/PYSvQ6xF06,en,Crown Castle
Mon Dec 16 22:00:36 +0000 2019,"“Higher education institutions are significant targets because of the massive volume of data they maintain, especially student records.” @securityblvd details how cyberattacks affect students, employees, and applicants each year in the US. https://t.co/FOMp2r4QZs https://t.co/UZrkjZUy3G",en,Crown Castle
Mon Dec 16 14:05:10 +0000 2019,"Our Atlanta team attended the first of several Experiential Learning and Career Mentoring Days with @atlpolicefdn, teaching students about towers, #smallcells, fiber, and drones. Thanks to @WestmorelandATL, @Andre4Atlanta, and @AirMapIO for joining us. #ConnectedbyGood https://t.co/bfbu3KyYAX",en,Crown Castle
Sun Dec 15 21:00:32 +0000 2019,"Our central area Public Affairs Manager, Renee Morales, caught up with Allegheny County Executive Rich Fitzgerald at Greater Pittsburgh Chamber of Commerce’s Annual Pittsburgh Reception this week. #GPghCCReception https://t.co/Wj3uT3ybmc",en,Crown Castle
Sun Dec 15 21:00:29 +0000 2019,"Our central area Public Affairs Manager, Renee Morales, caught up with Allegheny County Executive Rich Fitzgerald at @GPghCC’s Annual Pittsburgh Reception this week. #GPghCCReception https://t.co/zYcX72ALxB",en,Crown Castle
Sun Dec 15 15:01:13 +0000 2019,This smart gym is using #AI to allow everyone from body builders to beginners to get a killer workout in 20 minutes. Learn how: https://t.co/qM7hvFXKYC https://t.co/ZRI1aGSlbg,en,Crown Castle
Sat Dec 14 21:00:26 +0000 2019,"#5G will lead to a &gt;10X increase in data speed, low latency, and be able to support billions of connected devices, but first, @Forbes says, “In order for all our connected devices to work harmoniously, we need to build out the infrastructure.” https://t.co/8XqZBQ6C7y https://t.co/kipmGocLxk",en,Crown Castle
Sat Dec 14 16:00:51 +0000 2019,"We’re proud to partner with @UCScienceCenter’s @firsthandphilly program, helping to create a telecommunications curriculum for local high school students. #ConnectedbyGood https://t.co/yqybcwuNkJ https://t.co/araJ2rQUcs",en,Crown Castle
Fri Dec 13 12:52:20 +0000 2019,What's driving your current enterprise #bandwidth needs? #poll,en,Crown Castle
Thu Dec 12 19:37:55 +0000 2019,"RT @BayAreaCouncil: Very excited to welcome new member @CrownCastle, helping shape the future of the Bay Area by connecting business, peopl…",en,Crown Castle
Thu Dec 12 13:01:41 +0000 2019,There are many community benefits to microtrenching. Did you know it’s 80% faster than traditional methods—meaning less disruption. https://t.co/ZCdSnn6WYq,en,Crown Castle
Wed Dec 11 20:27:57 +0000 2019,RT @CommishEileen: Thank you @CrownCastle for the demo on #Microtrenching. Glad to see innovative techniques coming to #OurCounty which wil…,en,Crown Castle
Wed Dec 11 20:10:06 +0000 2019,"As part of our partnership with @DiscoveryCubeLA, this past weekend we sponsored “The Science of Gingerbread.” Here, among other projects, kids practiced engineering design by inventing and designing their own food model with yummy treats. #ConnectedbyGood https://t.co/kS0b0cF1Rs",en,Crown Castle
Wed Dec 11 14:02:37 +0000 2019,#DYK: There were 194B app downloads last year. And that's a whole lot of data. #NationalAppDay https://t.co/DgNsFgrLT2,en,Crown Castle
Tue Dec 10 22:05:06 +0000 2019,"Last week, @DHFBaltimore students presented their #smallcell networks in a case study where they explained why they have the best solution. Congrats to everyone who completed the course, learning how small cells and fiber networks bring connectivity to the world. #ConnectedbyGood https://t.co/A2k3M7Pna3",en,Crown Castle
Tue Dec 10 14:02:16 +0000 2019,Our infrastructure transforms everything around us—helping cities keep up with data demand. Learn how #smallcells can enhance Charlotte's business district and historic neighborhoods by enabling #smartcity innovations. #TransformationTuesday https://t.co/L1OsKRMwvH https://t.co/tObSZ4JnJQ,en,Crown Castle
Mon Dec 09 16:44:54 +0000 2019,"RT @atlpolicefdn: Thanks to @crowncastle for working with our At Promise youth, mentoring them on the opportunities of wireless communicati…",en,Crown Castle
Mon Dec 09 15:02:20 +0000 2019,"Our #fiberoptic footprint spans across the country—and is closer to your business than you may think. With 3,300+ route miles of fiber and &gt;1,900 on-net buildings, we're right at the doorstep of your Massachusetts business. https://t.co/Ju50gUtbvF",en,Crown Castle
Sun Dec 08 14:00:55 +0000 2019,"From enhanced 3D printing to #edgecomputing and new wearable devices, there’s a lot of new tech to look forward to in 2020. What are you most excited for? https://t.co/pzgw2u3hQv https://t.co/AIvZGvyyH5",en,Crown Castle
Sat Dec 07 14:01:25 +0000 2019,"Our new Managed SD-WAN solution allows you to connect multiple locations with a software-defined overlay network. The result is a fully managed, white glove solution that helps support your digital transformation. https://t.co/tmvMkMRwlY https://t.co/wu62TFTetL",en,Crown Castle
Fri Dec 06 13:01:43 +0000 2019,"#5G will impact nearly every person and business and nearly every community and industry. But, the biggest impact might just be on how it will revolutionize manufacturing. #5GFriday https://t.co/0oopntmtQ9 https://t.co/bQOn4Yw7sV",en,Crown Castle
Thu Dec 05 23:10:04 +0000 2019,"Congratulations Commissioner Jessica Tisch, newly appointed @NYCDoITT commissioner. We look forward to seeing how NYC’s technology programs will benefit. https://t.co/QHmRd3W4Sr",en,Crown Castle
Thu Dec 05 16:30:17 +0000 2019,We’re here at #ITPalooza2019 today. Stop by booth 33 to talk to our dedicated team about how our #fiberoptic solutions help keep businesses like yours secure while providing the flexibility and scalability you need. https://t.co/V4tqOJVplC,en,Crown Castle
Thu Dec 05 13:01:11 +0000 2019,Learn how university programs are using simulations to teach students how to stop real hackers in the future. https://t.co/vCvlzCJUpI https://t.co/mgk8480W6W,en,Crown Castle
Wed Dec 04 23:30:07 +0000 2019,"We’re proud to be a member of @AustinChamber,which helps drive economic progress in Austin. https://t.co/zxeOpnhRRn https://t.co/ndeLorP7CF",en,Crown Castle
Wed Dec 04 17:15:06 +0000 2019,Increasing rural #broadband is critical to support small regional farmers. That's just one of the ways #WISPs are essential to rural communities. #WISPWednesday https://t.co/cS4sTdHyoi https://t.co/1nSRnlQuA9,en,Crown Castle
Tue Dec 03 22:56:24 +0000 2019,"We’re here @AWSreInvent talking about the connections our infrastructure brings to people, businesses, and communities. Stop by booth 3031 to explore our in-building solutions, #smallcells, #fiberoptic networks and more in our interactive experience. #reInvent https://t.co/gkI5vliYMl",en,Crown Castle
Mon Dec 02 19:00:36 +0000 2019,"#DYK: Last year, from Thanksgiving to #CyberMonday, 66% of e-commerce traffic was from mobile devices. https://t.co/4tQMgwUNF7",en,Crown Castle
Mon Dec 02 15:20:06 +0000 2019,"Meet Jim, our local fiber expert in Boston. Jim defines his career by helping clients and coworkers reach their goals and leveraging his experiences to provide solutions for local businesses in his community. Ready to take the next step? Contact him: https://t.co/RiX0cWSmuY https://t.co/yAed9Be2N5",en,Crown Castle
Sun Dec 01 14:01:12 +0000 2019,"#Smartcity tech is bringing efficiencies and innovations to communities around the country, so we're installing communications infrastructure to keep up with the demand. See how your community is getting ready. https://t.co/FWAHKp27hA https://t.co/Iei8Icb078",en,Crown Castle
Sat Nov 30 13:01:14 +0000 2019,#DYK: It costs $4.6M for an organization valued &gt;$1B to recover from a cyberattack. Is your network secure? #ComputerSecurityDay https://t.co/T42LE9xTtA,en,Crown Castle
Fri Nov 29 14:01:52 +0000 2019,"Attending @awscloud #reInvent next week? We’re talking about how our communications infrastructure enables a more connected world. Stop by Booth 3031 where we’re debuting our interactive booth experience. Use your mobile device to explore #cloudcomputing, #smartcities and more. https://t.co/o9EejVm9Vs",en,Crown Castle
Thu Nov 28 12:30:27 +0000 2019,"Whether you're sharing dinner at the same table or across the country, make sure you connect with your loved ones and tell them why you're #thankful this #Thanksgiving. https://t.co/0y9fPgUIiJ",en,Crown Castle
Wed Nov 27 22:30:07 +0000 2019,"We had a great time with @bigthought at this elementary school, teaching students about radios, antennas, and #fiberoptic networks. #ThisIsBigThought #ConnectedbyGood https://t.co/luJQmwYE0N",en,Crown Castle
Wed Nov 27 20:00:59 +0000 2019,"Last week, the students at @DHFBaltimore used maps of local neighborhoods, population data, and knowledge of high traffic areas to build a #smallcell network. We’re excited for next Friday when they’ll present their case solutions. #ConnectedbyGood https://t.co/LFkWj3DPRY",en,Crown Castle
Wed Nov 27 17:02:01 +0000 2019,"Power and utility sectors are realizing the benefits advanced tech can provide—improving efficiency and allowing them to better serve their customers, communities, and the greater world. https://t.co/9EDqNTFZx5 https://t.co/6erCgh2LEe",en,Crown Castle
Wed Nov 27 16:37:35 +0000 2019,"RT @ATCouncil: In this first Tech Bites Podcast, ATC speaks with @CrownCastle's Malcolm Eve. Planning on binge-watching your favorite shows…",en,Crown Castle
Tue Nov 26 14:30:18 +0000 2019,"Our infrastructure transforms everything around us—allowing smarter, faster technology and increased network coverage and capacity. Learn how we help support San Diego residents with reliable access to mobile connectivity. #TransformationTuesday https://t.co/0FGofL4ymO https://t.co/eO8nrPeBql",en,Crown Castle
Mon Nov 25 14:30:27 +0000 2019,#Cybersecurity is a growing concern with manufacturers—with half of them falling victim to at least one data breach during the past 12 months. https://t.co/ePhx7nVUx5 https://t.co/sbWXow1o1E,en,Crown Castle
Sat Nov 23 13:00:52 +0000 2019,"Media and entertainment providers need high-bandwidth, scalable solutions that can move large video and media files—delivering content safely and securely. #3ThingsYouDidntKnow https://t.co/ap9XhSNmk7 https://t.co/b8MR17iQtZ",en,Crown Castle
Fri Nov 22 21:58:27 +0000 2019,"Last week, Gov’t Affairs Mgr Phillip Brown collaborated with Technology Association of Louisville KY to speak at the “What 5G Will Bring You” session, followed by a Q&amp;A with attendees. #StartupWeekLou https://t.co/x2pbvcYmFC",en,Crown Castle
Fri Nov 22 17:01:20 +0000 2019,#5G is literally 'changing the game'. Learn how next-gen tech is upgrading how we watch sports. #5GFriday https://t.co/eOS7UMtRED https://t.co/SkWbiAgain,en,Crown Castle
Fri Nov 22 13:14:21 +0000 2019,"The FCC has authorized an additional &gt;$13M in rural broadband funding for companies that won CAF II funding, which will help deploy broadband in areas where it’s currently not available. Learn more: https://t.co/aCvuGd35Sx https://t.co/e5ItqXTEvF",en,Crown Castle
Thu Nov 21 20:30:10 +0000 2019,"Our fully managed, private, point-to-point wavelength solutions provide dedicated #bandwidth to guarantee performance when you need it. https://t.co/xusEdfgSwa https://t.co/t7ivdMmjoR",en,Crown Castle
Thu Nov 21 16:03:51 +0000 2019,RT @AirMapIO: We teamed up with @CrownCastle and @bigthought to teach elementary school kids all about what drones do. It was a blast and t…,en,Crown Castle
Thu Nov 21 15:35:03 +0000 2019,This year’s #MacysParade is getting a #5G upgrade—including #AR and holograms—thanks to @verizon. https://t.co/ECnGF24NRa https://t.co/Yfrpt58KCr,en,Crown Castle
Wed Nov 20 22:35:48 +0000 2019,"Meet Courtney, our Market Sales Manager in the south. Helping businesses flourish is Courtney's passion, and she is able to do that every day working with WISPs. #WISPWednesday https://t.co/FkpuriSjCM https://t.co/2yltsf84Ck",en,Crown Castle
Wed Nov 20 20:35:04 +0000 2019,"This week our team attended the MA Digital Government Summit to discuss how our 75K+ route miles of fiber provides high-speed, scalable #fiberoptic networks for local and state gov'ts. Didn’t have a chance to stop by? Contact our local team: https://t.co/xR4sF5XKYB. #gotechlive https://t.co/luHVnureo2",en,Crown Castle
