created_at,full_text,lang,user_name
Fri Dec 20 16:00:25 +0000 2019,It's FriYaY on board Norwegian Sky! #CruiseNorwegian https://t.co/aYCV3UnsJ7,en,Cruise Norwegian
Thu Dec 19 22:30:15 +0000 2019,"You'll be merry &amp; we'll shine bright! #CruiseNorwegian
📸: Jota S. https://t.co/Mb0xscZvAd",en,Cruise Norwegian
Thu Dec 19 21:06:03 +0000 2019,@RunMDP @choirofman We're glad you enjoyed it! 😀,en,Cruise Norwegian
Thu Dec 19 21:05:31 +0000 2019,RT @Listen2Lena: I'm sharing highlights from my recent sailing on #NorwegianEncore! Check out today's @morninglive segment with my cruise-e…,en,Cruise Norwegian
Wed Dec 18 16:01:10 +0000 2019,"Feel Free to send warm wishes! #CruiseNorwegian

Up to $1,000 Off Cruises: https://t.co/VQ2qUjULPT https://t.co/q45BB0tIWx",en,Cruise Norwegian
Tue Dec 17 22:00:15 +0000 2019,"Fa la la la la, la la la vacay! #CruiseNorwegian
📸: Philippe D. https://t.co/sp2SJ4wjZy",es,Cruise Norwegian
Tue Dec 17 18:23:51 +0000 2019,@CruiseXaddicts Thanks for cruising with us! We hope to see you all again soon! 😃,en,Cruise Norwegian
Tue Dec 17 15:43:57 +0000 2019,@meekofigaro We hope you are having a great time! 👋😃,en,Cruise Norwegian
Tue Dec 17 02:22:34 +0000 2019,RT @Foodiechats: As this decade comes to an end todays #MondayMemories goes to @CruiseNorwegian on #norwegianencore 🤩#foodiechats https://t…,en,Cruise Norwegian
Mon Dec 16 22:33:24 +0000 2019,"@ashishagarwal_ Hi Ashish, please check your DMs. Thanks!",en,Cruise Norwegian
Mon Dec 16 22:31:30 +0000 2019,@BoletoV Thank YOU! It was a pleasure to have you join us! 😊,en,Cruise Norwegian
Mon Dec 16 22:14:59 +0000 2019,"@ashishagarwal_ Hi Ashish, we just replied to your DM.",en,Cruise Norwegian
Mon Dec 16 21:34:05 +0000 2019,@robbieo625 @choirofman Definitely a must-see! 👏👏👏,en,Cruise Norwegian
Mon Dec 16 21:19:55 +0000 2019,"@mtnmann2 Thank you both for joining us! and once again, congratulations! 😃",en,Cruise Norwegian
