created_at,full_text,lang,user_name
Thu Dec 19 21:22:23 +0000 2019,@JWES_Wildcats Hope you guys have a wonderful holiday!,en,Cummins Inc.
Mon Dec 16 23:45:02 +0000 2019,Does business have an obligation beyond the bottom line? @Cummins Chairman and CEO Tom Linebarger believes it does. Check out his message to other business leaders earlier this month - https://t.co/QNO83IIEKH,en,Cummins Inc.
Fri Dec 13 16:22:00 +0000 2019,@CNHSBullDogs We're loving that truck! Thank you !,en,Cummins Inc.
Thu Dec 12 16:49:15 +0000 2019,@Divyans90411649 @amarjeet4u Hi Divyanish! Thank you for considering us for your employment needs. All of our internships are posted in our careers website. I attaching the link for your convenience - https://t.co/HTl7lvmusn . On this website you can fill out an application! - Natalia,en,Cummins Inc.
Thu Dec 12 15:31:33 +0000 2019,"In just three decades, the world will need 50% more electricity than we generate today. @Cummins, we’re committed to developing the energy solutions that will help get us there sustainably. Learn how: https://t.co/e9z2pWVvHV  #Cummins #Energy https://t.co/mp0rWWzlEp",en,Cummins Inc.
Thu Dec 12 00:11:19 +0000 2019,Are you interested in a more sustainable method for purchasing electricity? Learn how Distributed Energy Resources (DERs) are putting the power in the hands of business owners. https://t.co/6i28DdvqcE #Cummins #Energy https://t.co/NRMbAWGSCc,en,Cummins Inc.
Wed Dec 11 21:55:36 +0000 2019,"Diversity and inclusion is a @Cummins core value, and guardsmen, reservists and veterans are cornerstones of our workforce. We're proud to sign a statement of support for the Employer Support of the Guard &amp; Reserve (@ESGR) program. https://t.co/BiJM9rp97j #InclusionAtCummins",en,Cummins Inc.
Tue Dec 10 19:56:51 +0000 2019,"RT @BizRoundtable: ""BRT appreciates the hard work of the U.S. Trade Representative and the House Democratic USMCA Working Group to reach an…",en,Cummins Inc.
Sat Dec 07 19:23:00 +0000 2019,"Although ratings and rankings don't influence Cummins' continuous drive to be a leader in sustainability, to have received high regards from five independent groups is quite a humbling honor. https://t.co/7gVSo6EAyT",en,Cummins Inc.
Fri Dec 06 20:04:00 +0000 2019,@Cummins is serious about using and promoting renewable energy. Check out what we’re doing to use more energy from the sun ☀️  https://t.co/tuyn3EE4Hh,en,Cummins Inc.
Fri Dec 06 14:23:05 +0000 2019,The @Cummins Powers Women program has already touched thousands of lives since it was launched on @womensday in 2018. Here are just a few examples: https://t.co/wc3KkRHb47 #EngageIndiana #Cummins https://t.co/Ki1CY9ycdQ,en,Cummins Inc.
Fri Dec 06 14:09:17 +0000 2019,Couldn't make the @IBJNews Engage Indiana event? Follow @Cummins Chairman and CEO Tom Linebarger's remarks and join the conversation at #EngageIndiana. #Cummins https://t.co/8pLeCUOfJk,en,Cummins Inc.
Fri Dec 06 14:02:41 +0000 2019,Nobody thinks about ratings and rankings when @Cummins works to be a more #sustainable company. But finishing No. 17 on @Newsweek's new list of America’s Most Responsible Companies is a truly humbling honor. https://t.co/OVTOiGdDWl #Cummins,en,Cummins Inc.
Fri Dec 06 13:31:22 +0000 2019,RT @CumminsEurope: One power outage could damage a greenhouse grower’s yearly crop production. See how a greenhouse grower in Belgium manag…,en,Cummins Inc.
Thu Dec 05 15:23:24 +0000 2019,@bademikky Thanks so much! Have you visited our careers website? You can search for all the job openings in your country.  -Natalia,en,Cummins Inc.
Wed Dec 04 14:30:45 +0000 2019,"We celebrate the life and mourn the passing of former @Cummins Board of Directors member and first head of @EPA, William Ruckelshaus. He will be remembered as a terrific person, excellent director and important public servant. https://t.co/NaWAnYyQFY",en,Cummins Inc.
Tue Dec 03 21:01:46 +0000 2019,"@CChirputkar Hi Chinmay, we take these issues very seriously and will be escalating this internally. Thank you for bringing this to out attention.  -Natalia",en,Cummins Inc.
Tue Dec 03 20:15:26 +0000 2019,@moamnMd @m Hello! Thank you for your consideration in our company for your employment. All of our open positions are listed in https://t.co/5VqDXigSJ8. I encourage you to apply! -Natalia,en,Cummins Inc.
Tue Dec 03 19:07:01 +0000 2019,"Say it with us: “Anodes and cathodes and ions, oh my!” Electrochemistry might sound intimidating, but from smartphones to electric vehicles, you’ll be shocked to learn how present it is in our everyday lives. Learn more: https://t.co/HTEauHt82W
#Cummins #EV",en,Cummins Inc.
Tue Nov 26 16:17:14 +0000 2019,"@EmptyGreenPants @CobraElDiablo We have many office buildings in Columbus, Indiana.",en,Cummins Inc.
Tue Nov 26 15:57:54 +0000 2019,"@FredButt6 @PeterbiltMotors @MachineryPete @wrenchd_ This is so NICE! Have you considered joining our High Mileage Club for owners of Cummins engines with 100,000 miles or more? You should! 

-Natalia",en,Cummins Inc.
Mon Nov 25 16:01:02 +0000 2019,The future of power requires new thinking and technologies. Learn how @Cummins is helping build the bridge to an all renewable future (via @FastCompany). ☀️ 🍃  https://t.co/e9z2pWVvHV #Cummins #Energy,en,Cummins Inc.
Fri Nov 22 13:43:12 +0000 2019,.@Cummins is helping to transform the public transportation industry. Learn how we’ve partnered with the City of Santa Monica in the recent issue of @FastCompany. https://t.co/z4WbLH73BQ #Cummins #Transportation,en,Cummins Inc.
Tue Nov 19 21:47:46 +0000 2019,Take a closer look at PLANET 2050: Our next-generation environmental sustainability strategy. 🌎 🌱 https://t.co/GtJZolZUXB #Cummins #ClimateChange https://t.co/NLGOsq62OV,en,Cummins Inc.
Tue Nov 19 19:13:24 +0000 2019,"RT @CumminsCareers: For the second video in our 19 Questions series, we're talking to Teejay, a Global Systems Engineer. Between meetings i…",en,Cummins Inc.
Fri Nov 15 18:43:28 +0000 2019,Big change requires bold action. @Cummins announces PLANET 2050 strategy to drive change for a healthy planet. 🌎 🌱 https://t.co/7ofNKyFlYm #Cummins #ClimateChange,en,Cummins Inc.
Thu Nov 14 00:49:29 +0000 2019,What's a collaborative robot and how are they helping @Cummins lead the way in Industry 4.0? We answer your questions with a bit of show and tell: https://t.co/4iQyAzIn8w #industry40 #Manufacturing https://t.co/3apdcLLtBe,en,Cummins Inc.
Wed Nov 13 14:41:18 +0000 2019,"From artificial intelligence to autonomous vehicles, the future of transportation was a hot topic @FastCompany's Innovation Festival, where @Cummins CIO, Sherry Aaholm, laid out a vision for the industry. https://t.co/XMaKkgLv8l #Cummins #FCFestival https://t.co/qtH5Qo4F6x",en,Cummins Inc.
Tue Nov 12 19:13:28 +0000 2019,"At Cummins, we don't look back very often. But we thought it was a good time to look at the progress that’s been made since we announced our 2020 environmental sustainability goals back in 2014. 🌏 🍃 https://t.co/fu3xdj5yz8 #Cummins #sustainability",en,Cummins Inc.
Tue Nov 12 18:00:28 +0000 2019,"Dreamers are our friends, neighbors and colleagues who contribute to the success of U.S. companies and our communities. @Cummins is proud to join more than 140 companies and associations in an amicus brief to the #SCOTUS to stand with Dreamers. https://t.co/oiYFFEUFuc #DACA",en,Cummins Inc.
Mon Nov 11 17:57:06 +0000 2019,"On this Veteran's Day and Remembrance Day, we share our gratitude for the veterans who have dedicated their time, and many their lives, to serving the communities we call home. https://t.co/lGHuM60wJ7 #VeteransDay #RemembranceDay",en,Cummins Inc.
Sun Nov 10 18:49:33 +0000 2019,"To celebrate @AGRITECHNICA kicking off this week, take a bite out of this article about our 100-year history of powering agriculture. 🌽  https://t.co/7QeUHJcHkh #Cummins #Agritechnica",en,Cummins Inc.
Fri Nov 08 18:28:37 +0000 2019,"@SpiderAuthor @GiftAndHobbyIND Here’s to crushing the week, Kimberly! https://t.co/B0NtNYYZ25",en,Cummins Inc.
Fri Nov 08 01:48:44 +0000 2019,"RT @FiatChrysler_NA: NEW BLOG: https://t.co/LvVWOBGHJN 

An Arkansas farmer walked into a @RamTrucks dealership and a history-making celebr…",en,Cummins Inc.
Thu Nov 07 20:40:28 +0000 2019,@FiatChrysler_NA @RamTrucks The 3 millionth engine is a special one! Take good care of it folks 😊,en,Cummins Inc.
Wed Nov 06 17:38:07 +0000 2019,"RT @FastCompany: Transportation is rapidly changing by 2025. Luckily, the major players are thinking beyond the technology. #FCFestival Spo…",en,Cummins Inc.
Tue Nov 05 22:34:45 +0000 2019,@OfficialMOPAR This is how we feel right now. https://t.co/g9tq6OUvDX,en,Cummins Inc.
Tue Nov 05 20:05:57 +0000 2019,"In just over a week, @IEA will release the much-anticipated World Energy Outlook 2019. Raise your energy IQ prior to the release of the publication with the latest on the @Cummins / @esteco_mF Microgrid Design Competition.  https://t.co/TWNoiYDMve #WEO19 #Renewables",en,Cummins Inc.
Tue Nov 05 14:56:01 +0000 2019,"@astro_adara @FastCompany We hope you enjoyed the panel discussion, Adara. Enjoy the rest of the festival! 🚀 🌎 #FCFestival",en,Cummins Inc.
Tue Nov 05 14:13:17 +0000 2019,"From electric vehicles to space tourism, Sherry Aaholm, VP and CIO of @Cummins, is getting ready to discuss the future of transportation with reps from @hondajet and @Amtrak! Follow the conversation and share your favorite moments from the @FastCompany panel at #FCFestival. https://t.co/0tbrIsSstG",en,Cummins Inc.
Tue Nov 05 13:19:18 +0000 2019,"RT @CumminsEurope: On the stand at #Europort is the @Cummins X15 marine engine designed to withstand high hour, continuous duty operation w…",en,Cummins Inc.
Fri Nov 01 16:24:21 +0000 2019,"The @FastCompany Innovation Festival kicks off next week with keynotes, panels and workshops. Join featured speaker Sherry Aaholm, VP and CIO of @Cummins, on Nov. 5 in NYC as she discusses the future of transportation in a connected world. https://t.co/JP9CydSn1M #FCFestival https://t.co/vjwClPQeVv",en,Cummins Inc.
Fri Nov 01 14:11:01 +0000 2019,RT @HydrogenCouncil: The latest innovation of @HydrogenCouncil member @Cummins makes you rethink the transport industry: discover the new z…,en,Cummins Inc.
Thu Oct 31 20:22:16 +0000 2019,Everything you need to know about the latest development in the powertrain of choice: #Hydrogen fuel cell power from @Cummins. https://t.co/Zwriid6OAA #Cummins #NACVShow2019 https://t.co/8mj7x7yLEi,en,Cummins Inc.
Thu Oct 31 16:06:25 +0000 2019,@MeaganSmyers @DearOldNorthern @NorthernYorkSD We hope you and the students enjoyed the tour!,en,Cummins Inc.
Thu Oct 31 16:05:15 +0000 2019,"@AboutHydrogen You know it! The truck is currently on display @NorthAmericanCV in Atlanta, Georgia.",en,Cummins Inc.
Thu Oct 31 14:29:01 +0000 2019,"For 100 years, @Cummins engines and generators have been powering vessels large and small. Whether you're attending @flibsofficial this week or not, check out these tips on what to consider as you shop for your next boat. https://t.co/9PLueSQiiH #Cummins #FLIBS2019",en,Cummins Inc.
Wed Oct 30 17:54:42 +0000 2019,"Maybe you couldn't make it to this year's @NorthAmericanCV Show, or maybe you just want to get up to speed on the latest diverse power solutions @Cummins is poised to bring to market. Either way, we have you covered. https://t.co/0AZDtu7N0I #NACVShow2019 #Cummins",en,Cummins Inc.
Tue Oct 29 22:10:55 +0000 2019,"@By_Jason_Cannon Thank you, Jason! Cheers! 🥂",en,Cummins Inc.
Tue Oct 29 20:45:27 +0000 2019,"Tune in to hear Kristopher Ptasznik, Heavy-Duty Product Manager @Cummins, as he talks about the X15 expansion series LIVE from the floor of @NorthAmericanCV. 🎙️#NACVShow2019 https://t.co/a04rPp1RXG",en,Cummins Inc.
Tue Oct 29 17:12:40 +0000 2019,Think your daily routine doesn't rely heavily on data centers? Think again. Join @Cummins in celebrating International Data Center Day and share your story on how data centers help keep you connected. https://t.co/ASeiy4wBPB #Cummins #intldatacenterday,en,Cummins Inc.
