created_at,full_text,lang,user_name
Thu Dec 19 14:49:38 +0000 2019,An amazing year it was. Looking forward to an even brighter future we are! 😊✨ #dentsplysirona #brightfuture https://t.co/qrA2wNItDT,en,Dentsply Sirona
Mon Dec 16 15:45:22 +0000 2019,"Dentsply Sirona hosted a group of media members on a tour of the company’s booth at the Javits Center in New York, followed by a trip to a high-tech practice in Manhattan and finally a tour of the company’s Long Island City sensor manufacturing facility. https://t.co/bIecfuagGD https://t.co/yHhHEQu1ry",en,Dentsply Sirona
Wed Dec 11 12:25:50 +0000 2019,The winners of the Smart Integration Award as well as other experts in dentistry from 11 countries have participated in an exclusive education program. We are looking forward to future collaboration! #expertdevelopmentprogram https://t.co/SqnXkT1p4P,en,Dentsply Sirona
Fri Dec 06 12:05:34 +0000 2019,"In an unparalleled and innovative 24-hour livestream event Dentsply Sirona engaged with more than 13,000 employees worldwide to discuss the company culture and its purpose “to make people smile”. #ds24hours #dentsplysirona https://t.co/WRuikYveQm",en,Dentsply Sirona
Thu Dec 05 10:05:27 +0000 2019,"Congratulations to the Smart Integration Award Winners! 24 female dentists from 7 countries impressed an international jury of experts with innovative ideas, success stories and visions. Thank you for joining our Expert Network! https://t.co/Y5aW2PX0VE",en,Dentsply Sirona
Thu Dec 05 09:46:54 +0000 2019,"Innovative ideas, success concepts and visions related to the networked treatment centers were the focus of the Smart Integration Award. Find out more: https://t.co/vnrvoE9WzT https://t.co/9RnAagIqeR",en,Dentsply Sirona
Thu Nov 21 12:25:56 +0000 2019,"We’ve never done anything like DS24hours before! CEO Don Casey and members of the leadership team are speaking with colleagues from over 90 locations around the world, reaching more than 12,000 employees in total. Stay tuned for highlights! https://t.co/wOjHHn2pub",en,Dentsply Sirona
Wed Nov 20 14:52:32 +0000 2019,"The development of zirconia-reinforced lithium silicate, or ZLS, opened up an entirely new perspective in 2013. For more information on ZLS and the key benefits visit our new blog post: https://t.co/lxBcTZKcAr #dentsplysirona #blogpost https://t.co/8bcydujZoP",en,Dentsply Sirona
Tue Nov 19 14:33:43 +0000 2019,"During the opening ceremony at the University of Missouri-Kansas City students and teachers got to try the brand new and advanced Dentsply Sirona simulator units to take dentistry to a new level. For more Information: https://t.co/ESocTQFp5M
#dentsplysirona https://t.co/0EuGEgO9EV",en,Dentsply Sirona
Tue Nov 19 09:11:49 +0000 2019,"CEREC is not a money machine, neither a machine only for those with money. CEREC is a style of treatment and work – for EVERYBODY. Watch our Video on YouTube: https://t.co/ceyImk4jSw",en,Dentsply Sirona
Fri Nov 15 13:02:15 +0000 2019,ADDA (Association of Digital Dentistry Academies) is launching its new certified dental education program with the first module taking place in February 2020. Check it out and receive international training in digital dentistry! https://t.co/1OtUIA3h3o,en,Dentsply Sirona
Wed Nov 13 13:12:22 +0000 2019,The Faculty of Dentistry at the National University of Singapore (NUS) officially opened its new facility with 265 Sinius treatment centers installed by Dentsply Sirona on the Kent Ridge Campus. https://t.co/CRnJBc77rP https://t.co/YbheUu5iCE,en,Dentsply Sirona
