created_at,full_text,lang,user_name
Thu Dec 19 22:39:41 +0000 2019,RT @CalRipkenSrFdn: Every student should be awarded the same opportunities. That’s why @DevonEnergy partnered with @OKCPS to help place a S…,en,Devon Energy
Wed Dec 18 02:35:58 +0000 2019,Devon announces the sale of its Barnett Shale assets for $770 million and a new $1 billion share-repurchase program. Learn more: https://t.co/uwTnctYgfW https://t.co/T7kvrjKEVX,en,Devon Energy
Thu Dec 12 22:29:14 +0000 2019,Sonny and Mercedis are exemplary examples of Hometown Heroes — who should we highlight next? Nominate a deserving emergency responder at https://t.co/Nn8NVYELwT. https://t.co/tfTaRzyGqC,en,Devon Energy
Thu Dec 12 22:29:12 +0000 2019,"Mercedis King is a Hobbs native who strived to become an officer with @HobbsPolice so she could help establish positive relationships with youth who get caught up in bad situations. She is humble, kind and welcoming. The world needs more people like Mercedis! 🚔 https://t.co/KHqY7yT3AM",en,Devon Energy
Thu Dec 12 22:29:09 +0000 2019,"Sonny Hope is a legend in Eddy County. Over the last 50 years, Sonny has served with several emergency responder organizations and has mentored numerous men and women. He is actively serving as the Assistant Chief of the Loco Hills Fire Department. 🚒 https://t.co/HYA73YjziF",en,Devon Energy
Thu Dec 12 22:29:06 +0000 2019,"SE New Mexico should always feel safe knowing these two emergency responders are watching over their communities… Please join us in congratulating Sonny Hope and Mercedis King, Devon’s newest Hometown Heroes! https://t.co/mRO9VO3lAb",en,Devon Energy
Thu Dec 12 22:04:15 +0000 2019,"It’s great to see so many families enjoy our Weekend with Santa! Not only did Jolly Old Saint Nick bring his typical holiday cheer but a cast of characters were spotted dancing throughout the @myriadgardens. ☃️✨

Thank you to Santa and all the volunteers! https://t.co/i7LNG3oCK9",en,Devon Energy
Thu Dec 12 21:49:10 +0000 2019,"RT @ArtsDistrictOKC: Have you taken part in this magical holiday tradition? ❄️ 

@DevonEnergy presents the @okcballet’s performance of The…",en,Devon Energy
Thu Dec 12 17:09:30 +0000 2019,Devon employees are wrapping up another season of partnering with Citizens Caring for Children's Joy 4 Kids program and fulfilling foster children’s wishes while also volunteering their time to support a GREAT Oklahoma City-based community organization.🎄 https://t.co/qFxm3TFv2P,en,Devon Energy
Wed Dec 11 20:16:00 +0000 2019,RT @saeverley: Another reminder of how the fracking revolution is directly linked to new investments in American manufacturing https://t.co…,en,Devon Energy
Tue Dec 10 19:32:23 +0000 2019,RT @sciencemuseumok: SMO is proud to partner with the @okcthunder and @DevonEnergy for the Devon Thunder Explorers Program to provide baske…,en,Devon Energy
Tue Dec 10 14:37:34 +0000 2019,Devon announces agreement with Dow to develop STACK acreage in Oklahoma: https://t.co/SuYJnabTiy https://t.co/OVNxJKvIhe,en,Devon Energy
Sat Dec 07 19:52:22 +0000 2019,"RT @DowntownOKC: So much to do at @DevonEnergy’s #SaturdayswithSanta! 

Open until 4pm today and 10am-4pm on Sunday. https://t.co/sOfuViWx52",en,Devon Energy
Sat Dec 07 14:01:58 +0000 2019,RT @myriadgardens: Here's your activity guide for this weekend's Saturdays with Santa sponsored by @DevonEnergy. We have so much happening…,en,Devon Energy
Sat Dec 07 14:01:07 +0000 2019,"RT @DowntownOKC: The @okcballet’s performance of The Nutcracker presented by @DevonEnergy is a family favorite. It opens next Saturday, Dec…",en,Devon Energy
Fri Dec 06 16:24:10 +0000 2019,RT @APIenergy: The Environmental Partnership marks its second anniversary today! The program represents more than one-third of U.S. natural…,en,Devon Energy
Thu Dec 05 14:57:22 +0000 2019,"RT @DowntownOKC: Santa will be making a very special stop at the @myriadgardens for Devon’s #SaturdayswithSanta this weekend, December 7-8.…",en,Devon Energy
Mon Dec 02 20:56:45 +0000 2019,RT @myriadgardens: @DevonEnergy &amp; @DowntownOKC presents Saturdays with Santa is this weekend at the Gardens! December 7 and 8. Here's the m…,en,Devon Energy
Mon Dec 02 20:18:32 +0000 2019,"The entire @myriadgardens will be transformed into a winter wonderland filled your holiday favorites including:

✅ Polar Express 🚂
✅ 🎅 pics
✅ Kids 🎠
✅ ⛄️ Fun Factory
✅ North Pole 📬
✅ 🍪 decorating 
✅ Food 🚚
✅ 📗 w/Mrs. Claus
➕ Devon ⛸ Rink 

See you this weekend! https://t.co/VTjp2dqRQc",en,Devon Energy
Mon Dec 02 20:18:29 +0000 2019,Join us at the @myriadgardens for a Weekend with Santa this Saturday and Sunday in downtown Oklahoma City. https://t.co/OwGpK10b9A,en,Devon Energy
Mon Dec 02 15:09:45 +0000 2019,"RT @rfbo: Once again, @LyricTheatre is raising money for the Regional Food Bank during their run of ""A Christmas Carol,"" presented by @Devo…",en,Devon Energy
Tue Nov 26 15:27:32 +0000 2019,Devon is proud to partner with the @rfbo and @WeatherfordFRC to bring Thanksgiving Day meals to families throughout western Oklahoma. Thank you to our employees who helped distribute these special meals + other nonperishable food items to help families get through the holidays.♥️ https://t.co/bfPpoqMlXd,en,Devon Energy
Tue Nov 26 04:05:54 +0000 2019,RT @LeaCountySO: #heyleacounty ! Devon Energy is lookin' for some Hometown Heroes! Get involved and nominate your favorite Hometown Hero! T…,en,Devon Energy
