created_at,full_text,lang,user_name
Thu Dec 19 19:00:12 +0000 2019,".@DiscoveryID’s ‘Mind of a Monster’ continues with a new season focusing on America’s most famous female serial killer, Aileen Wuornos. Each episode will explore chilling insights into her motive for killing 7 men in cold blood - premiering New Year’s Day! https://t.co/GYGdrpUWcx https://t.co/BaqWHeeckA",en,Discovery Inc
Thu Dec 19 17:00:06 +0000 2019,Fan-favorite series Food Network challenge is back! @IanZiering  hosts the hit series reboot as a fresh roster of elite cake artists go head-to-head in pop culture-themed battles to create delicious works of art. Premiering Dec. 23 on @FoodNetwork! https://t.co/Nv4GMm2uXB https://t.co/UUW7MXBj0K,en,Discovery Inc
Thu Dec 19 15:30:20 +0000 2019,.@hgtv is ringing in the New Year with a slate full of new episodes of returning fan-favorite series! My Lottery Dream Home and Property Brothers: Forever Home return in Dec. followed by Christina on the Coast and Home Town in 2020! https://t.co/AjDFyfGbYX https://t.co/L0XdSLMin6,en,Discovery Inc
Thu Dec 19 15:26:28 +0000 2019,"RT @FoodNetwork: We need one more look at this amazing pie! This is TOO darn cute, @ThePieous! Watch the finale of #SantasBakingBlizzard &gt;…",en,Discovery Inc
Wed Dec 18 19:00:17 +0000 2019,"‘Delicious Miss Brown’ is returning for season 2 on @FoodNetwork with a brand-new menu of southern dishes and family traditions! Shot in her hometown of Charleston, SC, @kardea_brown invites you into her world full of Sea Island culture – coming in Jan! https://t.co/Wndk5LYTCu https://t.co/JMC74NZfs2",en,Discovery Inc
Wed Dec 18 18:00:08 +0000 2019,"In 2017, Adam Ellis shared the chilling story of his home's haunting in the viral Twitter thread #DearDavid. Now he's on a mission to help others escape their own paranormal nightmares in the new @travelchannel series “Trending Fear” – premiering Dec 20! https://t.co/FlN2NKVHME https://t.co/S30AESg38y",en,Discovery Inc
Wed Dec 18 16:00:16 +0000 2019,Buddy and Duff are at it again! @FoodNetwork is bringing you season 2 of ‘Buddy vs. Duff’ – the network’s top-rated series of 2019 with over 14M viewers! Get ready for more epic battles to see who will be named the king of cake! @CakeBossBuddy @duffgoldman https://t.co/f6v373W0oz https://t.co/bUczeF6IJ4,en,Discovery Inc
Wed Dec 18 11:45:18 +0000 2019,RT @Eurosport: Eurosport confirms @Bridgestone as first Presenting Partner for Olympic Games @Tokyo2020 https://t.co/EBPKff3NFl https://t.c…,en,Discovery Inc
Tue Dec 17 17:00:22 +0000 2019,This holiday season Discovery is working with @nokidhungry to #TurnUpFightHunger and provide up to 10 MILLION meals for kids living with hunger in the U.S. Visit https://t.co/sq6M0wRGNJ to donate today and connect kids with the meals they need to succeed. #10MillionPossibilities https://t.co/W0sm4WO9fn,en,Discovery Inc
Tue Dec 17 15:29:01 +0000 2019,"Discovery acquires Golf Channel Latin America.

Read the full announcement here: https://t.co/OHKavuUZWa https://t.co/PcBU6BKG8r",en,Discovery Inc
