created_at,full_text,lang,user_name
Thu Dec 19 13:01:40 +0000 2019,ATTENTION: All cards on @GreenDotBank Network can now be reloaded at Dollar Tree for $1 (up to $75). Pick yours up today! https://t.co/cqsAEotEXq https://t.co/HoEVzPGT1R,en,Dollar Tree
Tue Dec 17 13:01:52 +0000 2019,Sweeten up your Christmas with rich &amp; decadent $1 chocolates – perfect for stocking stuffers and holiday parties! https://t.co/MpEqgqe8x1 https://t.co/7nYl04BGxh,en,Dollar Tree
Sun Dec 15 13:01:42 +0000 2019,Give your home a joyous glow for the holidays with sleek &amp; stylish candleholders – just $1 each! https://t.co/3uWDKFTG3a https://t.co/7zlMsG1uP5,en,Dollar Tree
Sat Dec 14 17:02:30 +0000 2019,"Enjoy discounted shipping and get your last-minute finds in time for Christmas!

†Restrictions apply. See website for details.

https://t.co/OQO5Pv2Dkn https://t.co/RmM6FoxawK",en,Dollar Tree
Sat Dec 14 13:01:14 +0000 2019,"There are only 2 Saturdays left until Christmas! Time to wrap up your list...

https://t.co/UjtG34AJRN https://t.co/TZxq95j203",en,Dollar Tree
Fri Dec 13 13:01:40 +0000 2019,Spruce up your fireplace or mantel this holiday season with these DIY faux birch log craft! https://t.co/wdN4LuhcbX https://t.co/kSsTed6LVG,en,Dollar Tree
Thu Dec 12 13:01:34 +0000 2019,Make sure you’ve got all the ingredients you need for an unforgettable holiday feast! https://t.co/VrMLvtDEDZ https://t.co/FrgfUdq4qB,en,Dollar Tree
Wed Dec 11 13:01:45 +0000 2019,Try out this sweet potato recipe for a classic holiday dish that’s sure to dazzle your guests! https://t.co/Cpj1vRBXhO https://t.co/n2TSgScm51,en,Dollar Tree
Tue Dec 10 13:01:32 +0000 2019,Do you fancy yourself a peppermint pro? Show us your best peppermint recipe for a chance to be featured on our blog! https://t.co/qdoDXTUaOm https://t.co/H4VJMgA0OA,en,Dollar Tree
Mon Dec 09 20:53:43 +0000 2019,Need a Christmas miracle to help pull off the perfect holiday party? We’ve got all the essentials and more at prices even the Grinch couldn’t resist! https://t.co/rx8PjPDL2F,en,Dollar Tree
Mon Dec 09 13:01:31 +0000 2019,"Chase away the winter chills with warm &amp; cozy Snugadoo socks &amp; gloves in a variety of festive styles!

https://t.co/LfVJ5pRYor https://t.co/NVrVNUJ8BD",en,Dollar Tree
Sun Dec 08 21:01:22 +0000 2019,"Make the holidays oh-so-sweet with $1 Christmas foil candy favorites! 

https://t.co/7a6er5vvKO https://t.co/yuvmLkq86l",en,Dollar Tree
Sun Dec 08 13:01:12 +0000 2019,"Don't miss our jam-packed holiday ad for last-minute gifts, décor, party supplies &amp; more! 

https://t.co/1IfkQHSzqj https://t.co/UxxHL6v9bW",en,Dollar Tree
Sat Dec 07 13:01:10 +0000 2019,"Not to scare you, but there are only 3 Saturdays until Christmas! How’s your list looking?

https://t.co/G2SiQ1l9uc https://t.co/VDLuR1rDel",en,Dollar Tree
Fri Dec 06 15:01:29 +0000 2019,"Looking to add the perfect finishing touch to your holiday table setting? Try these simple &amp; festive napkin ring ideas!

https://t.co/xmRNZMSHCK https://t.co/oflEObPFmQ",en,Dollar Tree
Thu Dec 05 13:01:23 +0000 2019,"Hook your friends up with some holiday sweetness!

https://t.co/V6hdC7Ut8y https://t.co/0XjI7WwGOJ",en,Dollar Tree
Wed Dec 04 13:01:47 +0000 2019,"TINS the Season!

https://t.co/Fmg5jQcSGO https://t.co/glckd5ottT",en,Dollar Tree
Tue Dec 03 13:01:40 +0000 2019,"Oh, what fun... Stop in today and get your Christmas crafting supplies!

https://t.co/tXX3zoglPg https://t.co/CRC883sHt7",en,Dollar Tree
Mon Dec 02 13:01:33 +0000 2019,"Enjoy our Cyber Week shipping special and get your order shipped for $4.95† ALL WEEK LONG!

†Restrictions apply. See website for details.

https://t.co/KLWsE2oDXb https://t.co/wC0Aw982mn",en,Dollar Tree
Sun Dec 01 13:01:07 +0000 2019,"Show us the purr-fect gift you’re planning on gifting to your pet this holiday season for a chance to win* a $100 Dollar Tree shopping spree!

*Restrictions apply. See the link in our bio for details &amp; to enter now!

https://t.co/d44UYqajGW https://t.co/S8vJvnFQoP",en,Dollar Tree
Sat Nov 30 13:01:31 +0000 2019,There are only 4 SATURDAYS left until Christmas! Have you started shopping yet? https://t.co/ynod9u9XUT https://t.co/h86fYSbltq,en,Dollar Tree
Fri Nov 29 13:01:43 +0000 2019,"Create a tailored hobby-themed gift for your friend, coworker or loved one this holiday season! https://t.co/yUOqibJqBL https://t.co/IHB6lp2lpu",en,Dollar Tree
