created_at,full_text,lang,user_name
Tue Dec 17 23:24:57 +0000 2019,Edwards is proud to be among ‘The 4 Most Game-Changing Medical Advances of the Past Decade’ @FortuneMagazine https://t.co/66819Lu8sj,en,Edwards Lifesciences
Mon Dec 16 18:59:08 +0000 2019,"We are committed to #givingback and being involved in our local communities. This year, we had the opportunity to host a Make-a-Wish celebration in Draper, Utah. Little McKinley wished for a ""Nightmare Before Christmas"" themed playhouse. #EdwardsGivesBack https://t.co/EVoVYQjJ3x",en,Edwards Lifesciences
Mon Dec 09 16:35:07 +0000 2019,@MedTechDive names Edwards 'Company of the Year' in 2019 #DiveAwards https://t.co/lrUCnRegyf,en,Edwards Lifesciences
Fri Dec 06 19:49:13 +0000 2019,"RT @justcapital_: ""What's useful about @justcapital_ is that they put the measurement in place. We've got a competitive bunch at @EdwardsLi…",en,Edwards Lifesciences
Thu Nov 28 13:01:04 +0000 2019,"From the Edwards family to yours, we wish you a #HappyThanksgiving https://t.co/5CEU0YOAFK",en,Edwards Lifesciences
Fri Nov 22 19:52:05 +0000 2019,"Honored to be #25 overall among the 2019 @WSJ #ManagementTop250, as measured by @DruckerInst Edwards among the ""all stars"" w/ top scores across 5 dimensions: customer satisfaction, employee engagement &amp; dev, innovation, social resp &amp; financial strength https://t.co/dGhyyKgomN",en,Edwards Lifesciences
Wed Nov 20 16:23:21 +0000 2019,"IBD’s Best ESG Companies list recognizes 50 companies w/superior Environmental, Social &amp; Governance ratings plus strong fundamental &amp; technical performance. Edwards is proudly ranked #1. https://t.co/BF6WKa3mMu",en,Edwards Lifesciences
Tue Nov 19 22:24:50 +0000 2019,"RT @justcapital_: .@EdwardsLifeSci created“Every Heartbeat Matters”, which is educating, screening, and treating 1.5 million underserved pe…",en,Edwards Lifesciences
Mon Nov 18 16:44:29 +0000 2019,Aortic stenosis is a common public health problem affecting more than 2.5 million people in the U.S. We are excited to collaborate w/ @American_Heart on a new structural #heartdisease quality improvement initiative aimed at extending &amp; improving the lives of AS patients. https://t.co/TgnQAehjef,en,Edwards Lifesciences
Tue Nov 12 16:52:06 +0000 2019,We are honored to be recognized as No. 1 in our industry by @justcapital_ and @Forbes in their 2020 ranking of #AmericasMostJUST Companies: https://t.co/ZvliCNx5eD https://t.co/WKe478vhgR,en,Edwards Lifesciences
Mon Nov 11 20:12:23 +0000 2019,"With pride, today we honor and recognize the service of our U.S. veterans  #VeteransDay https://t.co/rYWMQ1nATG",en,Edwards Lifesciences
