created_at,full_text,lang,user_name
Fri Dec 20 02:33:43 +0000 2019,"@blaggot Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit  https://t.co/EVlbzHwHQo
All media inquiries should be directed to mediainquiries@equifax.com. -Jason B.",en,Equifax Inc.
Fri Dec 20 02:29:51 +0000 2019,"@Always_Ballen Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit  https://t.co/EVlbzHwHQo
All media inquiries should be directed to mediainquiries@equifax.com. -Jason B.",en,Equifax Inc.
Fri Dec 20 02:26:18 +0000 2019,"@Peaceful_Rule Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit  https://t.co/EVlbzHwHQo
All media inquiries should be directed to mediainquiries@equifax.com. -Jason B.",en,Equifax Inc.
Fri Dec 20 02:23:22 +0000 2019,"@sofakinged Thank you for contacting Equifax, I apologize for any inconvenience you may have experienced thus far. Could you please provide me with some additional information in regards to your concern so I may provide the best resolution? - Jason B.",en,Equifax Inc.
Fri Dec 20 02:18:51 +0000 2019,@Always_Ballen I appreciate the opportunity to assist you today. Do you have any questions or concerns in regards to an Equifax product or service? -Jason B.,en,Equifax Inc.
Fri Dec 20 02:15:54 +0000 2019,@djcdubb205 I apologize for any inconvenience you may have experienced. Could you please provide me with some additional information in regards to your concern so I may provide the best resolution? - Jason B.,en,Equifax Inc.
Fri Dec 20 01:45:30 +0000 2019,"@BionicBombshell Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit  https://t.co/EVlbzHwHQo
All media inquiries should be directed to mediainquiries@equifax.com. -Jason B.",en,Equifax Inc.
Fri Dec 20 01:41:13 +0000 2019,"@Disinformation1 Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit  https://t.co/EVlbzHwHQo
All media inquiries should be directed to mediainquiries@equifax.com. -Jason B.",en,Equifax Inc.
Fri Dec 20 01:38:42 +0000 2019,"@__aarum Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit  https://t.co/EVlbzHwHQo
All media inquiries should be directed to mediainquiries@equifax.com. -Jason B.",en,Equifax Inc.
Fri Dec 20 00:17:16 +0000 2019,@cehddy I apologize for any inconvenience you have experienced. Could you please send us a DM so I may assist you further? -Jason B.,en,Equifax Inc.
Fri Dec 20 00:04:30 +0000 2019,"@erisinaries Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit  https://t.co/EVlbzHwHQo
All media inquiries should be directed to mediainquiries@equifax.com. -Jason B.",en,Equifax Inc.
Thu Dec 19 23:29:30 +0000 2019,"@cehddy Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit  https://t.co/EVlbzHwHQo
All media inquiries should be directed to mediainquiries@equifax.com. -Jason B.",en,Equifax Inc.
Thu Dec 19 23:22:29 +0000 2019,"@QwertyKardashi1 Thank you for contacting Equifax, I apologize for any inconvenience you may have experienced thus far. Could you please provide me with some additional information in regards to your concern so I may provide the best resolution? - Jason B.",en,Equifax Inc.
Thu Dec 19 22:47:58 +0000 2019,"@_lashomme Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit  https://t.co/EVlbzHwHQo
All media inquiries should be directed to mediainquiries@equifax.com. -Jason B.",en,Equifax Inc.
Thu Dec 19 17:03:48 +0000 2019,"@saiivion Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit: https://t.co/dUJVqVgReD -Nakhya M.",en,Equifax Inc.
Thu Dec 19 15:18:59 +0000 2019,@MB28446466 I would love to help you resolve your concern. Please send us a Private Message alongside with your legal name and zip code/postal code for further assistance. -Roberto,en,Equifax Inc.
Thu Dec 19 14:33:59 +0000 2019,"@ElDepraVillegas Nos gustaría ayudar a resolver su caso. Envíenos un DM y más detalles de sus dudas, asi como su nombre completo, dirección de correo electrónico, número de teléfono y país de residencia para que nuestro equipo investigue su caso. -Roberto",es,Equifax Inc.
Thu Dec 19 13:27:13 +0000 2019,"@kohkeni I apologize for the delay in response to your concern.  Please follow us and send a DM so that I may assist you with your Equifax credit report, product, or service.  - Nancy F.",en,Equifax Inc.
Thu Dec 19 13:16:27 +0000 2019,"@xoxoxokris Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit: https://t.co/dUJVqVgReD -Nakhya M.",en,Equifax Inc.
Thu Dec 19 13:14:08 +0000 2019,"@RealWhiskeyPete Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit  https://t.co/EVlbzHwHQo  - Nancy F.",en,Equifax Inc.
Thu Dec 19 13:12:18 +0000 2019,"@Moraphiend Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit: https://t.co/dUJVqVgReD -Nakhya M.",en,Equifax Inc.
Thu Dec 19 13:10:07 +0000 2019,"@aliciaaguayo Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit https://t.co/EVlbzHwHQo -Nakhya M.",en,Equifax Inc.
Thu Dec 19 13:08:45 +0000 2019,"@kitana_ash I apologize for the delay in response to your concern.  Please follow us and send a DM so that I may assist you with any issues you have with your Equifax credit report, product, or service.  - Nancy F.",en,Equifax Inc.
Thu Dec 19 04:56:40 +0000 2019,"@Theo_Moneypoops Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit  https://t.co/EVlbzHwHQo
All media inquiries should be directed to mediainquiries@equifax.com. -Jason B.",en,Equifax Inc.
Thu Dec 19 04:50:24 +0000 2019,"@MizToyah Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit  https://t.co/EVlbzHwHQo
All media inquiries should be directed to mediainquiries@equifax.com. -Jason B.",en,Equifax Inc.
Thu Dec 19 04:46:43 +0000 2019,"@brimarie423 Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit  https://t.co/EVlbzHwHQo
All media inquiries should be directed to mediainquiries@equifax.com. -Jason B.",en,Equifax Inc.
Thu Dec 19 04:31:19 +0000 2019,"@DGHaskell Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit  https://t.co/EVlbzHwHQo
All media inquiries should be directed to mediainquiries@equifax.com. -Jason B.",en,Equifax Inc.
Thu Dec 19 04:27:58 +0000 2019,"@eddiesosexy Thank you for contacting Equifax. If you have a question about the 2017 data breach settlement, please visit  https://t.co/EVlbzHwHQo
All media inquiries should be directed to mediainquiries@equifax.com. -Jason B.",en,Equifax Inc.
Thu Dec 19 02:49:09 +0000 2019,@TheTam_Era I appreciate the opportunity to assist you today. Do you have any questions or concerns in regards to an Equifax product or service? -Jason B.,en,Equifax Inc.
