created_at,full_text,lang,user_name
Fri Dec 20 02:15:06 +0000 2019,"The multi-vendor network environment supported by Network Edge allows architects to select and deploy best-of-breed network services to optimize performance and security. 

https://t.co/jOZoT2GH8Q https://t.co/TLxoiGBbf6",en,"Equinix, Inc."
Thu Dec 19 18:06:20 +0000 2019,"Network Edge supports the multi-vendor networking environment that enterprises need to optimize performance, security and interconnectivity. 

https://t.co/jOZoT2GH8Q https://t.co/hOFX36AvLx",en,"Equinix, Inc."
Thu Dec 19 18:02:05 +0000 2019,@mrchristiankoch Here's a couple trivia questions: Why is there an accent above the letter E?  And who designed this logo?,en,"Equinix, Inc."
Thu Dec 19 16:30:29 +0000 2019,Looking to learn more about ECX Fabric™? Visit our documentation center today to get all the information you need to get started. https://t.co/LggLPe50Bi https://t.co/JyIeEiR5hM,en,"Equinix, Inc."
Thu Dec 19 10:07:54 +0000 2019,RT @EquinixAPAC: How is #interconnection speeding up the development of digital payments? Mary McHale explains all on the @officialHKIBC: h…,en,"Equinix, Inc."
Wed Dec 18 16:30:36 +0000 2019,Get unified and uniform #HSM/Key Management Service (KMS) with cloud-like agility with #Equinix SmartKey™. Learn more today! https://t.co/dHujluzXxI https://t.co/SAUIFDspRs,en,"Equinix, Inc."
Wed Dec 18 03:57:50 +0000 2019,RT @EquinixAPAC: [Blog] Growing from Strength to Strength in Asia-Pacific by Jeremy Deutsch: https://t.co/h4Qi741ybT https://t.co/7cAx7eDclV,en,"Equinix, Inc."
Tue Dec 17 16:30:27 +0000 2019,"ECX Fabric™ directly, securely and dynamically connects distributed infrastructure and digital ecosystems on Platform Equinix®. Get the data sheet today. https://t.co/XaaZGjEXwl https://t.co/8y7SKaK30G",en,"Equinix, Inc."
Tue Dec 17 10:12:16 +0000 2019,RT @EquinixAPAC: What are the differences between virtual and physical connections? Why is #interconnection important for digitization? Lis…,en,"Equinix, Inc."
Tue Dec 17 09:50:04 +0000 2019,"ECX Fabric is perfectly positioned to enable the consumption of “as-a-service” precision time synchronization for the highly distributed and IoT-centric infrastructure of the future. 

https://t.co/YWVhtf9ci0 https://t.co/zY5WiSqeK4",en,"Equinix, Inc."
Tue Dec 17 03:57:31 +0000 2019,RT @EquinixAPAC: [Blog] Growing from Strength to Strength in Asia-Pacific by Jeremy Deutsch: https://t.co/qVrPTgTikM https://t.co/KPQxQeuP6u,en,"Equinix, Inc."
Tue Dec 17 02:50:03 +0000 2019,"Time-as-a-Service addresses the need to deliver precise, reliable time synchronization for the highly distributed and IoT-centric infrastructure of the future. 

https://t.co/YWVhtf9ci0 https://t.co/4gVCSpgaDA",en,"Equinix, Inc."
Mon Dec 16 18:15:08 +0000 2019,.@OracleExadata is the best place to run @Oracle databases. #Equinix is the best place to run Oracle Exadata. Join Equinix and @OraclePartners for a webinar tomorrow to learn how we're working to meet today's IT needs. https://t.co/UbQXbDsbEt https://t.co/tIZUzYCNuL,en,"Equinix, Inc."
Mon Dec 16 17:43:21 +0000 2019,"Globally distributed systems require streamlined tools for delivering precise, reliable time synchronization. ECX Fabric is perfectly positioned to deliver Time-as-a-Service for the highly distributed and IoT-centric infrastructure of the future. 

https://t.co/YWVhtf9ci0 https://t.co/mf40uuxZzr",en,"Equinix, Inc."
Mon Dec 16 16:30:27 +0000 2019,"#Equinix SmartKey™ creates a control layer between the data controller and the data processors to help meet GDPR requirements for data auditing, control and erasure. Get this report to learn more. https://t.co/8vO6iESbfB https://t.co/LV2qHHoM5q",en,"Equinix, Inc."
Sun Dec 15 18:15:08 +0000 2019,"#Equinix datacenters are the best place to operate an @OracleExadata with world-class reliability, physical security and &gt;99.9999+% uptime. Register for our webinar with @OraclePartners on 12/17 to hear more. https://t.co/UbQXbDsbEt https://t.co/QIzPoLb6eC",en,"Equinix, Inc."
Sat Dec 14 18:15:11 +0000 2019,"Are you looking to migrate workloads from on-premise to the cloud? Cloud adjacent @OracleExadata in #Equinix data centers can help exceed requirements for performance, latency, security, and availability. Register for our 12/17 webinar to learn more. https://t.co/UbQXbDsbEt https://t.co/RyvCIrSnu9",en,"Equinix, Inc."
Fri Dec 13 18:15:10 +0000 2019,#Equinix is uniquely positioned to connect your applications in public clouds to your database running in Equinix. Join us with @OraclePartners on December 17th to learn how we enable cloud adjacency mission critical databases running on @OracleExadata. https://t.co/UbQXbDsbEt https://t.co/VMg9OQN2Hy,en,"Equinix, Inc."
Fri Dec 13 16:30:31 +0000 2019,"Download our webinar on Equinix Cloud Exchange Fabric™ to learn how reach anyone on demand, locally or across metros. https://t.co/wE8zPvb7AO https://t.co/oVGY4Dp4fk",en,"Equinix, Inc."
Fri Dec 13 10:15:04 +0000 2019,"Learn how #transportation &amp; #logistics organizations are streamlining their #supplychain by re-architecting their IT infrastructures for the digital edge via private #interconnection. 

https://t.co/cvdcldOqY9 https://t.co/XRLrmDJswA",en,"Equinix, Inc."
Fri Dec 13 09:54:57 +0000 2019,RT @EquinixAPAC: Nicholas Hollings shares how #interconnection can help shape the future of digital payments at the Australian Payments Net…,en,"Equinix, Inc."
Fri Dec 13 07:15:04 +0000 2019,"Network Edge offers a vendor-neutral approach to deploying network services without the delays associated with hardware provisioning. 

https://t.co/0on3RzxuQj https://t.co/eXXguIC7ZL",en,"Equinix, Inc."
Fri Dec 13 06:14:12 +0000 2019,RT @EquinixAPAC: We are excited to deepen our partnership with FPT to support the global expansions of Vietnamese companies! Find out how b…,en,"Equinix, Inc."
Fri Dec 13 03:15:04 +0000 2019,"Interconnected #transportation &amp; #logistics services can better leverage a high-performance, scalable, pay-as-you-go model that enables new digital platforms &amp; information exchanges.

https://t.co/cvdcldOqY9 https://t.co/uSNfwY53Va",en,"Equinix, Inc."
Thu Dec 12 18:51:19 +0000 2019,"Want to know how holiday packages get where they are going, faster? Learn how to transform your transportation logistics supply chain.  

https://t.co/cvdcldOqY9 https://t.co/lHYzNgCXQl",en,"Equinix, Inc."
Thu Dec 12 18:15:09 +0000 2019,"Join #Equinix and @OraclePartners Tuesday, December 17th, to learn how #OracleExadata and #Equinix can help you reduce your on-premise datacenter footprint. https://t.co/UbQXbDsbEt https://t.co/3uc5ausXGa",en,"Equinix, Inc."
Thu Dec 12 16:30:31 +0000 2019,"Gain predictable consumption with #HSM-grade security in an easy-to-use cloud service, #Equinix SmartKey™. Get the data sheet today. https://t.co/RHZu4Eyi0W https://t.co/yMkCggy8Vv",en,"Equinix, Inc."
Thu Dec 12 13:15:07 +0000 2019,"Why is the adoption of network virtualization growing in scale? It’s because there’s a growing need for easier methods of deploying and managing network services. Network Edge offers a vendor-neutral approach to deploying network services in minutes. 

https://t.co/0on3RzxuQj https://t.co/eIfoYawleb",en,"Equinix, Inc."
Thu Dec 12 10:02:36 +0000 2019,RT @EquinixAPAC: We are excited to announce our strategic partnership with Vietnamese telco provider FPT! See how Platform Equinix® is help…,en,"Equinix, Inc."
Thu Dec 12 06:05:39 +0000 2019,"What’s driving the adoption of network virtualization? The need for easier methods of deploying and managing network services. Network Edge offers a vendor-neutral approach to deploying network services in minutes. 

https://t.co/0on3RzxuQj https://t.co/vB2cswHSIq",en,"Equinix, Inc."
Thu Dec 12 01:34:45 +0000 2019,RT @EquinixAPAC: Thank you FPT and MTX for putting their trust in Platform Equinix®. We look forward to helping more Vietnamese companies t…,en,"Equinix, Inc."
Wed Dec 11 18:15:11 +0000 2019,Looking to meet your corporate cloud mandates? Join us for an informative webinar on December 17th with @OraclePartners to learn how with @OracleExadata and #Equinix. https://t.co/UbQXbDsbEt https://t.co/BeYgChlv3i,en,"Equinix, Inc."
Wed Dec 11 17:45:09 +0000 2019,Join #Equinix and @oraclepartners tomorrow with guest @lleung to learn how you can create a comprehensive hybrid cloud strategy to address today's cloud challenges with #Equinix and @OracleCloud. Register today! https://t.co/LVsZpV8LhW https://t.co/sKUM6dPcO3,en,"Equinix, Inc."
Wed Dec 11 16:30:35 +0000 2019,Download and read this IDC Market Note that highlights the offerings of Equinix Cloud Exchange Fabric™ and its related solutions. Get the paper here: https://t.co/MBwdla11wB https://t.co/376SjRUJE3,en,"Equinix, Inc."
Wed Dec 11 10:15:08 +0000 2019,"An expanding @OracleCloud footprint on Platform Equinix = more ways for enterprises to address #DigitalTransformation needs. Check out these 5 examples. 

https://t.co/UGqLTEnqMe https://t.co/auHvHtqLEK",en,"Equinix, Inc."
Wed Dec 11 06:27:21 +0000 2019,RT @EquinixAPAC: [Press Release] Strategic Partnership between Equinix and FPT Enables Vietnamese Companies to Go Global: https://t.co/lzdg…,en,"Equinix, Inc."
Wed Dec 11 02:41:38 +0000 2019,Equinix Senior Solutions Architect Josh Sordelet shows how to solve critical workloads with a digital-ready infrastructure. #GartnerICOS https://t.co/8JCI1G0HFT,en,"Equinix, Inc."
