created_at,full_text,lang,user_name
Thu Dec 19 20:25:14 +0000 2019,A new federal rule threatens progress made by states to combat #ClimateChange and reduce air pollution. How? By artificially inflating the cost of clean energy in 13 states &amp; D.C. and requiring customers to pay billions more in higher electricity bills. https://t.co/EE5HiaYhjZ,en,Exelon Corporation
Thu Dec 19 18:03:30 +0000 2019,"What are you passionate about? Our employees are deeply involved in their communities. Shanna, an @ExelonGen systems engineer, spends her time educating others on the benefits of #nuclear energy. https://t.co/u3ljDVQIdd",en,Exelon Corporation
Wed Dec 18 16:02:23 +0000 2019,"We need the earth and today, it needs us. We are grateful for employees dedicated to causes that combat #climatechange. Siobhan, an @ExelonGen chemistry manager, has been a passionate advocate throughout her career. #Nuclear https://t.co/VIrj3hHIl2",en,Exelon Corporation
Tue Dec 17 20:32:10 +0000 2019,"From high school valedictorian, to college graduate, to a career as an @ExelonGen chemistry manager. Meet Amber and see how her academic background helps power the future. #Nuclear https://t.co/pZVR0HTwP6",en,Exelon Corporation
Mon Dec 16 14:18:13 +0000 2019,"RT @PepcoConnect: Let it glow with Pepco!🌟Enjoy tasty winter treats, bright lights, and more during #DCZooLights at @NationalZoo. Make memo…",en,Exelon Corporation
Fri Dec 13 15:31:52 +0000 2019,"RT @NEI: At Calvert Cliffs Nuclear Power Plant in Maryland, a new risk-informed program ensures plant workers can prioritize both safety an…",en,Exelon Corporation
Thu Dec 12 18:52:03 +0000 2019,Thank you to Melissa and everyone else who helped make #ExelonSTEMyouth possible in 2019. These academies are developing tomorrow's leaders! https://t.co/Qhlx9aTA9j,en,Exelon Corporation
Wed Dec 11 22:14:04 +0000 2019,Way to go @MyBGE. We couldn't be prouder! https://t.co/ATjCtNiR2G,en,Exelon Corporation
Wed Dec 11 19:55:08 +0000 2019,RT @ThirdWayEnergy: Broad agreement from @UCSUSA @The_UWUA and @Exelon that we need to use every zero carbon resource to eliminate climate…,en,Exelon Corporation
Wed Dec 11 16:37:16 +0000 2019,"Congratulations to @TIME’s Person of the Year, @GretaThunberg. Her fight against #ClimateChange sends a powerful message about the importance of pushing for meaningful change to protect our planet. https://t.co/K5G9XjaaRG",en,Exelon Corporation
Wed Dec 11 15:34:30 +0000 2019,"RT @ExelonGen: #Nuclear energy helps to power our communities with reliable zero-carbon electricity, even in extreme weather conditions. ht…",en,Exelon Corporation
Fri Dec 06 21:00:50 +0000 2019,"Our #Exelon customers inspire us every day, and thanks to the collaboration with ""smart community"" Bronzeville, IL, we’re moving to a greener, cleaner future. Watch our story, via @nowthisnews . #PowerForward https://t.co/auRIUa8PbR",en,Exelon Corporation
Fri Dec 06 15:27:16 +0000 2019,"Congratulations to Maggie FitzPatrick; @Exelon Senior Vice President for Corporate Affairs, Philanthropy and Customer Engagement; on being named to the 2019 @WBJonline’s C-Suite Award Class and to @PRNews’ 2019 Top Women in PR honoree list. https://t.co/6mUDuDbjKf https://t.co/pICtFZdR2X",en,Exelon Corporation
Thu Dec 05 18:00:19 +0000 2019,"Congrats to Erica Tsypin, an entrepreneur named in the energy category of the @Forbes Under 30 List for 2020. Erika is a cofounder of Steer, an Exelon venture that is accelerating the adoption of electric vehicles through month-to-month subscriptions. https://t.co/CSKQbrALTG",en,Exelon Corporation
Wed Dec 04 21:44:04 +0000 2019,"We're pleased to announce that Calvin G. Butler Jr. has been appointed senior executive vice president of @Exelon &amp; CEO of Exelon Utilities. Carim Khouzami will replace Butler as CEO of @MyBGE . Learn more about Calvin, Carim and their new roles here: https://t.co/I8Eot8eaMU https://t.co/eauH0bgIsQ",en,Exelon Corporation
Tue Dec 03 19:35:11 +0000 2019,Share some of the ways you contribute on #GivingTuesday ~ here's how our employees made a difference in others' lives this past November. https://t.co/KlqYC2O2Lh,en,Exelon Corporation
Tue Dec 03 15:16:09 +0000 2019,You don't want to miss #PepcoZooLights at the @NationalZoo! https://t.co/Ll4IT0rVBB,en,Exelon Corporation
Mon Dec 02 16:53:16 +0000 2019,RT @ComEd: Come visit us at @lincolnparkzoo and get festive under the glow of over 2.5 million #HolidayLights! https://t.co/2hGgMEjywt,en,Exelon Corporation
Thu Nov 28 15:30:10 +0000 2019,What are you thankful for? We're thankful for the customers and communities we serve and for our employees who work all year long to power a brighter and cleaner future. #HappyThanksgiving from all of us at Exelon! https://t.co/MkrBud7EII,en,Exelon Corporation
Tue Nov 26 17:28:49 +0000 2019,@ladydi1279 It sure was! And the moderation was on point! :),en,Exelon Corporation
Tue Nov 26 16:38:22 +0000 2019,This sale will help preserve NJ's largest concentration of endangered species and reduce the harmful effects of climate change. https://t.co/nyBmd0cPEs,en,Exelon Corporation
Mon Nov 25 19:28:01 +0000 2019,"RT @cleanjobspa: Do you know where America’s clean carbon-free energy comes from?  

Nuclear️ 55%  
Hydro 20%  
Wind 19%  
Solar and Geothe…",en,Exelon Corporation
Mon Nov 25 18:24:01 +0000 2019,"RT @ACElecConnect: As a part of our commitment to our communities &amp; to protecting and preserving the environment, today we agreed to sell o…",en,Exelon Corporation
Mon Nov 25 16:05:16 +0000 2019,"Neena Hemmady, VP Enterprise Risk Mgmt, Susan Korn, @ExelonGen VP Nuclear Project Mgmt, Mike Koehler, SVP CIO &amp; moderator Diana Sharpe, @ComEd VP Economic Dev, emphasize, ""Know what success looks like when you take on that next challenge,"" to Network of Exelon Women participants. https://t.co/aC9YuByPCD",en,Exelon Corporation
Fri Nov 22 16:00:29 +0000 2019,RT @ConstellationEG: Giving back to the communities where we work and live is ingrained in our culture. Look no further than our annual bui…,en,Exelon Corporation
Thu Nov 21 19:45:07 +0000 2019,"As cities work to reduce air pollution and greenhouse gas #emissions, electric transportation is increasingly viewed as a key part of the solution. Read how Steer is making it easy for consumers switch to an #electricvehicle or hybrid: https://t.co/G5Tym3GhQy #EV #steerwithus https://t.co/eEf7VbHaUH",en,Exelon Corporation
Thu Nov 21 18:11:09 +0000 2019,"RT @DelmarvaConnect: Today, we are launching the Sustainable Communities Grant Program to fund open space, #environmental, and #resiliency…",en,Exelon Corporation
Thu Nov 21 15:11:37 +0000 2019,"#TBT 5,500+ employees attended the Innovation Expo in person or through viewing parties &amp; 93% learned something they could apply to their role. Innovation enables us to embrace change to build a better tomorrow. It's who we are and the foundation of everything we do. #ExelonIdeas https://t.co/cWzs1NMov6",en,Exelon Corporation
Wed Nov 20 20:54:59 +0000 2019,@AaronKoos @MyBGE Wise words!,en,Exelon Corporation
Tue Nov 19 21:29:47 +0000 2019,@ConstellationEG @ExelonGen Tomorrow's leaders!,en,Exelon Corporation
Tue Nov 19 21:29:10 +0000 2019,"RT @ConstellationEG: We’re awarding $460,000 in Energy to Educate grants to support 18 hands-on STEM projects reaching 19,000+ students gra…",en,Exelon Corporation
Mon Nov 18 21:08:35 +0000 2019,Watch the full discussion on consumers pushing companies to address #ClimateChange and the importance of innovative solutions on #GettingToZero with Kenneth W. Cornew of @ExelonGen and @BobPerch  of@C2ES_org https://t.co/gFvHPEWA93,en,Exelon Corporation
Mon Nov 18 21:06:34 +0000 2019,"Exelon is acting to advance clean energy. “93% of our customers acknowledge that climate change is a real problem. 60% said we need to do something now &amp; you as our energy provider need to take action,” @ExelonGen CEO Ken Cornew recently at #GettingToZero by @C2ES_org https://t.co/5AcHAec22N",en,Exelon Corporation
Fri Nov 15 19:40:51 +0000 2019,"We’re honored to be #27 in @Forbes #Just100 list, “Companies doing right by America.” We couldn’t agree more that ‘shareholder returns mean nothing if a company's workers, customers, communities and environments aren't considered, too.’ https://t.co/jDbYMpBxEW",en,Exelon Corporation
Thu Nov 14 18:41:50 +0000 2019,@GenePark https://t.co/fQb3YjhjfG,und,Exelon Corporation
Thu Nov 14 14:00:05 +0000 2019,RT @ExelonGen: Not ready for the super cold weather yet? Our Illinois #nuclear plants are! Ten of our 11 reactors operated at full power ea…,en,Exelon Corporation
Thu Nov 14 00:56:02 +0000 2019,"RT @ComEd: Congratulations to Erica Borggren, our VP of customer solutions, for being named as one of Chicago’s ‘40 Under 40!’
https://t.co…",en,Exelon Corporation
Tue Nov 12 22:19:56 +0000 2019,"Tomorrow morning at 9:30 am EST, tune-in for a discussion at @C2ES_org about how we can reduce carbon emissions with @ExelonGen’s Kenneth Cornew &amp; @BobPerch at https://t.co/scVOVzRERn #ClimateChange #GettingToZero https://t.co/DKNO5JpNcQ",en,Exelon Corporation
Tue Nov 12 20:34:26 +0000 2019,"Our core values are built on a foundation of trust, and that’s why we support all Exelon employees regardless of gender, race or sexual orientation. When our employees can be their authentic selves, we thrive. https://t.co/4SeFzQ5oZT",en,Exelon Corporation
Tue Nov 12 15:15:55 +0000 2019,"RT @DelmarvaConnect: Our natural gas storage tank has been repainted with an inspiring new mural by John Dickinson High School student, Sam…",en,Exelon Corporation
Mon Nov 11 18:28:10 +0000 2019,"Those who serve in the military embody the leadership, teamwork, integrity &amp; commitment to excellence we seek. We are proud that almost 3,500 employees (more than 10% of our workforce) have served or are currently serving in the armed forces. #VeteransDay https://t.co/LAanmwXcdC",en,Exelon Corporation
Mon Nov 11 17:15:23 +0000 2019,"RT @MyBGE: BGE salutes America’s veterans, including more than 600 vets who work with us. To honor your service, BGE sponsors the training…",en,Exelon Corporation
Mon Nov 11 16:30:30 +0000 2019,RT @ExelonGen: About 1/3 of our workforce are veterans. We’re proud to support them and all who have served. Joe Enman served 8 years in th…,en,Exelon Corporation
Mon Nov 11 15:36:19 +0000 2019,"Amy Best, Exelon SVP / Chief HR Officer, &amp; Ann Randazzo, CEWD Executive Director @GetIntoEnergy share in Electric Light&amp;Power that those who serve in the military exemplify the leadership &amp;integrity the energy industry needs. Read more from @powergridintl: https://t.co/u6c8eZcPfH",en,Exelon Corporation
Fri Nov 08 19:50:03 +0000 2019,"As part of the @chicagobiennial, @Exelon sponsored the “Confronting Climate Change"" forum earlier this week. Panelists discussed a multi-disciplinary approach to addressing #ClimateChange through architecture, urban planning, engineering and avenues to engage communities. https://t.co/zfPwylSUAz",en,Exelon Corporation
Fri Nov 08 15:37:52 +0000 2019,"RT @PECOconnect: “I always tell young women, if you have a dream, go after it. You can do things just as good as men, sometimes even better…",en,Exelon Corporation
Fri Nov 08 15:29:30 +0000 2019,A trailblazer for today's working women and living legend. #RosietheRiveter https://t.co/B6fksZ7xzZ,en,Exelon Corporation
Fri Nov 08 15:25:52 +0000 2019,@PECOconnect So amazing. Mae Krier is a living legend!,en,Exelon Corporation
Thu Nov 07 22:04:27 +0000 2019,Learn more about the new @Exelon &amp; Exelon Foundation philanthropic initiative to stem the impact of #ClimateChange. #PowerForward https://t.co/98lErz3Qve,en,Exelon Corporation
Thu Nov 07 15:25:03 +0000 2019,RT @PECOconnect: See how we're working with @Exelon and @EPRINews on an innovative pilot project to test the use of drones to help protect…,en,Exelon Corporation
