created_at,full_text,lang,user_name
Fri Dec 20 02:45:07 +0000 2019,"""F5 Networks To Buy @ShapeSecurity For $1B To Safeguard Applications"": https://t.co/RCCO9rxM8q #AppSec https://t.co/tClkcYOXCe",en,F5 Networks
Thu Dec 19 23:22:22 +0000 2019,@jsoverson @ShapeSecurity Very exciting news!,en,F5 Networks
Thu Dec 19 22:24:15 +0000 2019,F5 CEO François Locoh-Donou shares details on the @ShapeSecurity acquisition. https://t.co/nkbjR5MTep https://t.co/2TDLxnhEvm,fr,F5 Networks
Thu Dec 19 22:18:56 +0000 2019,"[Press Release] F5 to Acquire @ShapeSecurity, Transforming Application Security. https://t.co/Y1Zsigj1Zh https://t.co/oqpZhH4sOc",en,F5 Networks
Thu Dec 19 19:37:05 +0000 2019,RT @F5Labs: Phishers take advantage of new vulnerabilities to get their #malware installed. Read our 2019 #Phishing and #Fraud Report for details: https://t.co/4FNtpIdDDl #phishing https://t.co/cMdMpktKPM,en,F5 Networks
Thu Dec 19 17:16:04 +0000 2019,“A good way to think about how #DX and #DevOps practices are influencing app deployment is to picture an application factory.” F5’s Teri Patrick sets the scene in her new blog: https://t.co/hfEPGIEnP5 https://t.co/73XxEhDjye,en,F5 Networks
Thu Dec 19 03:05:04 +0000 2019,"""The state of #ServiceMesh: How to right-size a deployment based on your #microservices maturity"" by @rwhiteley0: https://t.co/YuM1aDYvg4 via @ITProPortal",en,F5 Networks
Thu Dec 19 01:10:04 +0000 2019,Join our 1/14 webinar with @ansible to see how automating #AppSec with the right tools allows you to respond to threats quicker and manage policy consistently across hybrid #cloud. https://t.co/sqzCM7brLA https://t.co/TXLBLoeMMH,en,F5 Networks
Wed Dec 18 23:10:05 +0000 2019,Interested in speaking at #F5Agility20? We are accepting presentation proposals and would love to hear from you! Learn more: https://t.co/LVNMiIKu9n https://t.co/1SIAsmVpyV,en,F5 Networks
Wed Dec 18 21:05:05 +0000 2019,"“The emphasis behind the recent #NSA advisory is to do #TLS decryption and inspection well, and do it once.” Learn how from @JayJKelley: https://t.co/BoEV1TQCL0 #security https://t.co/qT6MuyR5L5",en,F5 Networks
Wed Dec 18 19:00:14 +0000 2019,RT @F5Labs: The majority of malicious sites use HTTPS to hide their nefarious activities. https://t.co/US1BBhCrEq #phishing https://t.co/PKNCaRrLFf,en,F5 Networks
Wed Dec 18 17:10:05 +0000 2019,"For app developers, working alongside a large infrastructure-platform team can be a blessing or a curse. F5’s Zach Westall explains in a recent blog: https://t.co/LQOstsZE9e #DevOps https://t.co/TxqwtQGLuP",en,F5 Networks
Wed Dec 18 16:52:53 +0000 2019,"RT @ansible: Have you register for our webinar with @F5Networks yet? There is still time, go register here: https://t.co/YKBgLibopz",en,F5 Networks
Wed Dec 18 03:15:04 +0000 2019,"""Buying Tech Gifts for Kids This Year? Here’s How to Keep Children Safe Online"": https://t.co/cD8A3FfXaK via @IBMSecurity #privacy",en,F5 Networks
Wed Dec 18 01:31:04 +0000 2019,"""The Most Important Agile Trends to Follow in 2020"": https://t.co/oCbOOrmREh via @InformationWeek",en,F5 Networks
Tue Dec 17 21:37:05 +0000 2019,.@lmacvittie explores container #security basics in today’s F5 Newsroom blog: https://t.co/prKiv3a4Xs #containers https://t.co/GPGp0U0AuH,en,F5 Networks
Tue Dec 17 19:05:06 +0000 2019,[Blog] “Why application delivery should look more like a factory (and less like an artisan’s shop)” by F5’s Teri Patrick: https://t.co/6AbX4t9LVv #AppServices https://t.co/1RyiB4zGcn,en,F5 Networks
Tue Dec 17 17:00:17 +0000 2019,"RT @F5Labs: Stale anti-virus signatures = #malware infections, especially during the peak #phishing season. Stay up-to-speed with our recent report: https://t.co/OpFU2S8fGv https://t.co/TxwrjVRjfF",en,F5 Networks
Tue Dec 17 16:44:26 +0000 2019,“3 signs you have a #cloud culture problem”: https://t.co/49JqswKirp via @InfoWorld,en,F5 Networks
Tue Dec 17 03:26:03 +0000 2019,"""The Top Six Cloud Computing Trends of 2019"": https://t.co/8mBkyCywao via @DevOpsDotCom",en,F5 Networks
