created_at,full_text,lang,user_name
Thu Dec 19 14:01:13 +0000 2019,#SaaS is becoming the standard way to consume software; here are 8 reasons to consider it for your business. Learn more: https://t.co/GmpAjgo5Pr https://t.co/neuycpc85Z,en,FIS
Wed Dec 18 15:01:52 +0000 2019,"Business Process Improvement delivers the insight required for banks to execute more efficiently, create value for customers and enhance revenue. 
https://t.co/h54MfAeiPI https://t.co/4EQPiAIgDV",en,FIS
Wed Dec 18 14:30:11 +0000 2019,"RT @BruceLowthers: Great day with my colleagues from @FISGlobal Mumbai, appreciate the hospitality and discussion today. https://t.co/gxQcM…",en,FIS
Tue Dec 17 17:15:14 +0000 2019,VyStar – one of the nation’s largest credit unions – will be moving its credit card production and processing services to FIS. Read more about how FIS will help VyStar as it grows its business and enhances payment solutions for members. Read more: https://t.co/3QcxGigtsE,en,FIS
Tue Dec 17 16:00:24 +0000 2019,"With smaller investments than rebuilding, #financial institutions can gain great insights into working with faster #payments. Find out more information about real-time payments by reading our latest article. https://t.co/rbwCZdsiAq",en,FIS
Tue Dec 17 15:01:17 +0000 2019,"In the age of digital, treasurers and finance managers have unprecedented opportunities to modernize corporate payments. Learn more: https://t.co/7KqsHW7suS https://t.co/ahOBnY8oTT",en,FIS
Mon Dec 16 16:35:01 +0000 2019,"In his newest @Forbes article, @Bob_Legters shares 7 realistic predictions for the fintech world, and how it will impact consumers in the year ahead. Read more here:  https://t.co/djh5xoIEw3 #banking",en,FIS
Sat Dec 14 00:45:03 +0000 2019,FIS in APAC celebrated the end of a great year with SGX by striking the #SGXMarketOpen gong on 12 Dec. Tune in to see the highlights : https://t.co/9NdWU9fxG9 #nextgentrading https://t.co/LbJ1VffwbU,en,FIS
Thu Dec 12 20:43:02 +0000 2019,Congratulations to FIS CEO @Gary_Norcross for receiving the 2019 Rector Award! Fifty for the Future recognized Norcross for his vision and leadership in establishing the @VentureCenter’s FIS FinTech Accelerator. Read more: https://t.co/1iwJ1sf9AR https://t.co/YwajnPXUbY,en,FIS
Thu Dec 12 15:00:47 +0000 2019,ISO 20022 cross border #payments messaging deadlines start in 2021. It’s time to choose your strategic migration path. Learn more on RISE: https://t.co/h856Alc5Wc https://t.co/A9Ma9p6vcs,en,FIS
Thu Dec 12 03:23:04 +0000 2019,"FIS celebrated a fantastic 2019 in APAC by striking the #SGXMarketOpen gong this morning! Cheers to many more years of partnership with @SGX! #nextgentrading

In the second picture: Ng Kin Yee, Howard Wallis, Ashish Rai, Daniel Kennedy, Tinku Gupta, and Rama Pillai. https://t.co/DDg6T5kHY9",en,FIS
Wed Dec 11 21:30:04 +0000 2019,Bankers should expect these six key attributes from core banking partners. #FISmore4core Read more: https://t.co/JYxMSoAWmD https://t.co/9T902RnsbU,en,FIS
Tue Dec 10 20:00:12 +0000 2019,Should financial institutions adopt real-time #payments? Read our latest article to find out – Spoiler Alert – Yes! https://t.co/5d3B9HKj4j,en,FIS
Tue Dec 10 16:00:56 +0000 2019,"FIS’ Loyalty General Manager, Mladen Vladic, explains that loyal #millennials are seeking instant engagement from the brands they interact with. Check out the recent PYMNTS article discussing the state of #loyalty: https://t.co/9GyBTNZbeM",en,FIS
Tue Dec 10 14:30:36 +0000 2019,Find out how the Sheltered Harbor program works to protect #banks and your customers from crippling #cyberattacks. Watch now or read more on RISE: https://t.co/ZBIsBucc84 https://t.co/86NbFuo7Ws,en,FIS
Mon Dec 09 13:15:02 +0000 2019,"P2P payments – now retailers are accepting real-time, digital payments. If you don’t have P2P like Zelle, you could be leaving consumers behind. Learn more on Dec. 10: https://t.co/4OsU51uA9v https://t.co/7SgpBsoU1X",en,FIS
Fri Dec 06 16:30:15 +0000 2019,Join us for a live webcast on Dec. 10 at 1:00 PM ET on person-to-person (P2P) payments and the risks and rewards of using Zelle: https://t.co/M7PuFSIqnP https://t.co/SjpZbNDzdA,en,FIS
Fri Dec 06 13:30:06 +0000 2019,FIS Memento uses #machinelearning and #AI to predict #financialcrime threats in every channel. Register for our webinar and discover how: https://t.co/o9v4mHHqXa https://t.co/nocGyVu4FA,en,FIS
Thu Dec 05 15:00:29 +0000 2019,#Digitalassets are in the headlines but not in the mainstream. FIS’ Andrew Bateman explains what the market needs to mature. Watch below and learn more: https://t.co/zGBjCxVZTK https://t.co/JAzUkEGWIc,en,FIS
Wed Dec 04 20:30:04 +0000 2019,Don’t have Zelle yet? Want to learn more? Join us for a live discussion Dec. 10 on P2P payments and the risks and rewards of using Zelle. https://t.co/zfcToOAQlU https://t.co/wbdivB34ZT,en,FIS
Wed Dec 04 13:15:03 +0000 2019,What if you could reward your customers for the total value of their bank relationship – not just their purchasing activity for specific accounts? First Horizon Bank is doing that after selecting FIS Relationship Rewards. Read more: https://t.co/uH0iB3UYrT,en,FIS
Tue Dec 03 16:00:38 +0000 2019,"FIS’ Loyalty General Manager, Mladen Vladic, offers an insight why retailers and financial institutions need to work together to adopt real-time redemptions at the POS in a recent PYMNTS article: https://t.co/7Oeb0gVQ2v #loyalty",en,FIS
Tue Dec 03 14:30:17 +0000 2019,Community banks can differentiate with strategic technology investments—but not all innovations are a fit. Learn more: https://t.co/NywJNd8mKx https://t.co/9lHstmgBpI,en,FIS
Mon Dec 02 15:01:16 +0000 2019,Financial institutions must stay abreast of changes to their customers’ data on a near real-time basis. Learn more: https://t.co/cvlLgA8uGr https://t.co/D83o0xbmhD,en,FIS
Mon Dec 02 13:05:05 +0000 2019,Fraudsters are getting faster and smarter. Learn how FIS Memento can turn your bank into a #financialcrime fighting machine. Visit our #fraudmanagement microsite to learn more: https://t.co/NwWeFjV7wu https://t.co/A63t6wW7O0,en,FIS
Wed Nov 27 15:01:12 +0000 2019,"False positives make for lousy experiences. But fraud is on the rise. Do you have a recovery strategy for false positives and fraud? Listen in as Melissa Kopp, FIS Director of Business Development, and Sundeep Kapur chat about money movement: https://t.co/IMm8Uyp1eO",en,FIS
Tue Nov 26 16:00:30 +0000 2019,"Check out the latest PYMNTS article that features FIS’ Loyalty General Manager, Mladen Vladic, as he discusses what retailers must do to bridge the gap between a satisfied customer and a loyal one: https://t.co/yh5waJxz3F #loyalty",en,FIS
Tue Nov 26 13:45:58 +0000 2019,"FIS’ Dan Travers explains how #microservices and open source allow #banks to quickly update their tech and create new products. Watch our FinTech Minute video or learn more on RISE:
https://t.co/Wf0kN5q8Aw https://t.co/uYBeASCXCh",en,FIS
