created_at,full_text,lang,user_name
Mon Dec 02 18:25:40 +0000 2019,Let's meet at ICSC New York! 🌇 - https://t.co/TzFarRX1aR,en,Federal Realty
Mon Dec 02 18:25:28 +0000 2019,Let's meet at ICSC New York! 🌇 - https://t.co/SylzjqJOM0,en,Federal Realty
Wed Nov 27 18:04:51 +0000 2019,"RT @BLDUP: Construction is ongoing at 455 Grand Union Blvd in Somerville. The project by @FederalRealty will include 237,600 square feet of…",en,Federal Realty
Wed Nov 27 18:04:27 +0000 2019,RT @GoldenDuskPhoto: One Cocowalk Construction Photos #onecocowalk #cocowalk #coconutgrove #miami @CocoWalkMiami @CoconutGroveBID @ComrasCo…,en,Federal Realty
Wed Nov 27 18:04:15 +0000 2019,"RT @NYREJ: @FederalRealty strives to create identifiable, amenity-rich environments https://t.co/WIzMh5UOI2 #NYREJ #CRE #ICSC #Retail https…",en,Federal Realty
Tue Nov 12 18:11:25 +0000 2019,RT @emranally: New and improved CocoWalk underway! #Miami #CRE 🔨 @FederalRealty @ComrasCompany https://t.co/ChTNrKNXXf,en,Federal Realty
Fri Nov 08 14:59:29 +0000 2019,Let's meet at ICSC New York! 🌇 - https://t.co/xihotsykfu,en,Federal Realty
Fri Nov 08 14:59:29 +0000 2019,Let's meet at ICSC New York! 🌇 - https://t.co/WCkbawiugD,en,Federal Realty
Thu Nov 07 16:03:54 +0000 2019,"RT @ArlingtonMag: @Cheesetique opens its new, expanded wine bistro and storefront in @VlgShirlington today at 11 a.m. Time to get your chee…",en,Federal Realty
Fri Nov 01 17:21:19 +0000 2019,"RT @jess2non: ""Placemaking is an evolving process. The narrative starts and never really ends."" ~ @FederalRealty #Georgetownplp @GUGlobalCi…",en,Federal Realty
Fri Oct 25 19:25:42 +0000 2019,"RT @dcPriya: Hello, Gorgeous! @BNBuzz @FederalRealty #amreading https://t.co/chwX3RV86p",en,Federal Realty
Fri Oct 25 19:25:40 +0000 2019,"RT @SafariEnergyLLC: As @SEIA members, we’re looking forward to #SolarGoesCorporate on 11/7. @SafariEnergyLLC will share #solar lessons lea…",en,Federal Realty
Fri Oct 25 19:25:38 +0000 2019,"RT @TysonsChamber: Deirdre Johnson of @FederalRealty: ""We own about 1.8 million square feet in Fairfax County worth over $800 million... We…",en,Federal Realty
Fri Oct 25 19:25:36 +0000 2019,"RT @SEIA: Interested in lessons learned from bringing #solar to the #RealEstate community? 

@UrbanLandInst, @FederalRealty, @SustainableBX…",en,Federal Realty
Wed Oct 23 19:45:34 +0000 2019,"RT @TysonsChamber: Deirdre Johnson, a VP in @FederalRealty's Core Shipping Division, joins the roster of expert business panelists at #Tyso…",en,Federal Realty
Wed Oct 23 13:43:37 +0000 2019,RT @swellesley: Thanks to @LindenSqWell for their longtime #swellesley support https://t.co/cpekGj0Glr #wellesley @FederalRealty https://t.…,en,Federal Realty
Mon Oct 21 18:09:03 +0000 2019,RT @CocoWalkMiami: Say hello to our new Class A office building - One Cocowalk #CoconutGrove @FederalRealty @ComrasCompany https://t.co/hhA…,en,Federal Realty
Mon Oct 21 18:08:57 +0000 2019,RT @SchwartzMedia: The Grove is making a run at the lucrative prime #officespace market w/ @CocoWalkMiami's Class A office building One Coc…,en,Federal Realty
