created_at,full_text,lang,user_name
Thu Dec 19 21:58:57 +0000 2019,"@Slider7285 Hey Paul, I'm very sorry to hear you're unhappy with your experience. If you would like to discuss, please call us at (877) 833-9973.",en,Fifth Third Bank
Thu Dec 19 18:00:23 +0000 2019,@LeighMcNabb Thank you for following up with us. We value your business!,en,Fifth Third Bank
Thu Dec 19 17:39:31 +0000 2019,@AdamMorganRV You’re welcome! Thank you for your business and have a great day!,en,Fifth Third Bank
Thu Dec 19 16:30:48 +0000 2019,@jords2094 J - How may I help you? https://t.co/XK2yMBgks0,en,Fifth Third Bank
Thu Dec 19 16:05:17 +0000 2019,@LeighMcNabb Leigh - Thanks for reaching out. I understand you're frustrated. Please DM your phone number so we can call to help you. https://t.co/XK2yMBgks0,en,Fifth Third Bank
Thu Dec 19 15:34:21 +0000 2019,"@AdamMorganRV Hi Adam - Thanks for your interest. If an application is filled out and submitted, it will result in a hard credit pull. If you are just asking about our rates, that will not result in any credit inquiry. Have a great day!",en,Fifth Third Bank
Thu Dec 19 14:00:01 +0000 2019,"Holiday #TBT: Caroline Williams was a popular sketch artist in Cincinnati. In the 1950s-1970s, her etchings served as Fifth Third’s holiday cards. Prints like this were coveted by employees and customers alike. Shown here: Cincinnati's Main Street steps from decades ago. https://t.co/pTQ9IZ7cAG",en,Fifth Third Bank
Wed Dec 18 18:19:19 +0000 2019,Zelle® makes splitting gifts easier this holiday season. Pay friends quickly and securely through the Fifth Third Mobile app. https://t.co/actd5fVDxY,en,Fifth Third Bank
Wed Dec 18 17:26:24 +0000 2019,"@LisaMLas Lisa - We're sorry to hear this, and would like to better understand your experience to see if we can help. Please call us at (877) 833-9973 to speak to us or DM your name and phone number so we can call you. https://t.co/XK2yMBgks0",en,Fifth Third Bank
Wed Dec 18 16:57:00 +0000 2019,Start fresh in the new year-- simplify payments with these #debt consolidation options.   https://t.co/vxlfnaYHE7,en,Fifth Third Bank
Wed Dec 18 15:10:00 +0000 2019,"Set your #business up for financial success by following these cash flow management strategies. Here's how to plan, organize and negotiate cash flow terms.  https://t.co/jNf0THozQX",en,Fifth Third Bank
Wed Dec 18 14:46:45 +0000 2019,@realJeffJordan Jeff - Sorry to hear about the unauthorized transaction(s). Please call our Fraud Department at 866-442-0251. Let us know if we can further assist.,en,Fifth Third Bank
Tue Dec 17 23:30:01 +0000 2019,"The New Year is the perfect time to set new goals. When it comes to your finances, evaluating your budget can help you find new and better ways to manage your finances in 2020. #TipTuesday https://t.co/rzeyuk8vHp",en,Fifth Third Bank
Tue Dec 17 21:23:39 +0000 2019,@ntoptsidis2016 We’re sorry to hear you’ve been experiencing difficulty logging in. Please call us at 877-833-9973 so we can help.,en,Fifth Third Bank
Tue Dec 17 19:11:30 +0000 2019,@writergiri_prag Thank you for giving us the opportunity to help today. You’re important to us!,en,Fifth Third Bank
Tue Dec 17 18:16:00 +0000 2019,"@denying_myself I'm happy to help with this. Can you please DM your name, phone number and best time to reach you? We'll call you. Thank you!",en,Fifth Third Bank
Tue Dec 17 18:14:51 +0000 2019,"@Jeph47302276 Hi there, I'm sorry you were troubled by your experience. If there's anything I can do to help, please DM your name, phone number, and best time to call so we can assist. Your business is important to us. Thank you.",en,Fifth Third Bank
Tue Dec 17 14:00:02 +0000 2019,"@taingram Hi there, I'm so sorry for the delay. There are no known issues with the site. If you're still experiencing problems, please DM your name/phone number so we can look into this.",en,Fifth Third Bank
Tue Dec 17 13:54:13 +0000 2019,"@RobinAikens4 Robin - I understand you're frustrated. I'd like to help. Please DM us your name, phone number, and the best time to reach you. We'll call you ASAP. Thank you for your business. https://t.co/XK2yMBgks0",en,Fifth Third Bank
Tue Dec 17 11:51:13 +0000 2019,@MSJoyce516248 Thanks for reporting this. We will share this with our staff in order to address this issue. We very much appreciate your feedback. Please reach out if there is anything else we can do to assist you.,en,Fifth Third Bank
Mon Dec 16 23:30:22 +0000 2019,"There’s one less thing to worry about this holiday season, thanks to Fifth Third Account Alerts. https://t.co/v8PBxsn4Hm https://t.co/Az0SN43Nqz",en,Fifth Third Bank
Mon Dec 16 23:26:00 +0000 2019,"@BlvkBree Hi there, I would like to better understand your experience and see if I can help. Please call 877-833-9973 to speak with us directly.",en,Fifth Third Bank
