created_at,full_text,lang,user_name
Fri Dec 20 00:21:01 +0000 2019,Read our #FortiGate Secure #SDWAN on GCP Reference Architecture to find out how customers who prefer to use the #GCP native cloud VPN service can take advantage of FortiGate Secure SD-WAN features. https://t.co/oc0lzDvxvC https://t.co/58uSZupkiV,en,Fortinet
Thu Dec 19 23:00:00 +0000 2019,"RT @FierceTelecom: @Fortinet fires an SD-WAN shot across Cisco's bow by claiming to have 1,000 more customers. With security top of mind th…",en,Fortinet
Thu Dec 19 22:00:00 +0000 2019,RT @packetpushers: New Podcast: Tech Bytes: Fortinet Taps ASICs To Accelerate SD-WAN (Sponsored) - https://t.co/z9rSnjFqsS,en,Fortinet
Thu Dec 19 21:01:02 +0000 2019,"Europe’s largest marina group required a security solution that would provide clear visibility of its entire IT infrastructure, while being mindful of cost and resources. Explore how #Fortinet helped MDL Marinas meet its #IT and security objectives: https://t.co/v56CKcPyAf https://t.co/KxzfdUl4pb",en,Fortinet
Thu Dec 19 19:30:00 +0000 2019,"RT @MPSecured: As consumers prepare for the biggest shopping season of the year, there is one thing that often falls to the wayside: cybers…",en,Fortinet
Thu Dec 19 18:30:01 +0000 2019,"""Customers continue to recognize the importance of integrated security and #SDWAN as they select Fortinet’s Secure SD-WAN solution to reduce complexity and enhance their organization’s security posture."" More from @sdxcentral: https://t.co/x3Dpf6DYqE https://t.co/pUuDzzf44v",en,Fortinet
Thu Dec 19 15:00:02 +0000 2019,"As many begin to prepare for their holiday vacations, it is important to not overlook the cyber risks associated with travel. Explore eight #traveltips for having a safe and secure vacation, as explained by #Fortinet’s Derek Manky: https://t.co/aWpCR1jHZW https://t.co/mQiTKEYBkN",en,Fortinet
Wed Dec 18 23:39:35 +0000 2019,"With 80 locations and 3,000 employees throughout the Northeast, The Paper Store leverages #Fortinet Secure #SDWAN to protect their expanding network edge without compromising performance or security. Find out more: https://t.co/J3c5U3KPzV https://t.co/4VcjTZcSnY",en,Fortinet
Wed Dec 18 22:22:05 +0000 2019,"As businesses prepare their online stores for the influx of traffic the holiday season brings, there may be one vital preparation that goes overlooked: preventing #cybercrime. Discover why a #WAF solution is necessary to protect private information: https://t.co/DMECjWHcmA https://t.co/rD101GxWhb",en,Fortinet
Wed Dec 18 22:00:03 +0000 2019,"RT @xieCTO: The combination of #Fortinet and #CyberSponse technologies will equip cybersecurity teams with a powerful, patented solution th…",en,Fortinet
Wed Dec 18 20:57:25 +0000 2019,Join Fortinet’s Derek Manky for a look back at some of the #cybersecurity threat trends revealed in 2019 and discover how organizations have adapted to combat these risks. https://t.co/naMIBzBvWO https://t.co/7rM00ZhWHC,en,Fortinet
Wed Dec 18 18:38:01 +0000 2019,RT @MaddisonJohn: Customers continue to recognize the importance of integrated security and #SDWAN as they select Fortinet’s Secure SD-WAN…,en,Fortinet
Wed Dec 18 18:00:01 +0000 2019,RT @CybersecuritySF: Ask @PNCBank's @DebbieGuild #CSO any question. Sponsored by @Fortinet https://t.co/V1KW6TYo7R via Cybercrime Magazine,en,Fortinet
Wed Dec 18 17:22:29 +0000 2019,"RT @sdxcentral: Fortinet Leapfrogs Cisco With 21,000 SD-WAN Customers https://t.co/Zi1JKNX21m",en,Fortinet
Wed Dec 18 15:00:01 +0000 2019,Our experts joined @packetpushers to talk Secure SD-WAN. Find out what differentiates #Fortinet from other vendors and how we address common challenges customers face in the SD-WAN market. https://t.co/6VMIPWv7v3,en,Fortinet
Tue Dec 17 23:21:01 +0000 2019,Growing adoption of #IoT devices drastically expands the number of deployed #endpoints to the point where traditional #cybersecurity solutions can't keep up. Learn how #CISOs can implement an SD-Branch for increased security by leveraging 3 key elements: https://t.co/Hj770A3BfE https://t.co/g3PEJTFBk7,en,Fortinet
Tue Dec 17 22:32:03 +0000 2019,".@Ph0wn 2019 was a blast! “Hacking” and testing antennas in the anechoic chamber of the Côte d'Azur University, helping Donkey Kong save the princess are just some IT #security challenges of the #CTF. Congrats to all 150 participants! https://t.co/BZiQKXEAnC #FortinetLife https://t.co/uJJMNRKiqs",en,Fortinet
Tue Dec 17 20:00:01 +0000 2019,RT @KenXieFortinet: Welcome to the Fortinet team! https://t.co/9IhGTWnNtc,en,Fortinet
Tue Dec 17 19:30:02 +0000 2019,"#Fortinet attended the @googlecloud Security Forum in Sunnyvale, CA following the announcement of its expanded integration with the Google Cloud Platform. Learn more about this collaboration and how it will further benefit customers in the cloud: https://t.co/mrkIVya3R5 https://t.co/kNy3mO9WK8",en,Fortinet
Tue Dec 17 19:27:28 +0000 2019,"RT @FortiGuardLabs: As a key player in the #IoT #security, #Fortinet is supporting @ph0wn for the 3rd year in a row. “Hacking” and testing…",en,Fortinet
Tue Dec 17 18:45:01 +0000 2019,The best defense against #cybercrime is to start with a security-driven development. Explore this list of 7 things your organization should be doing to build and maintain a secure cyber presence with #Fortinet’s @MaddisonJohn: https://t.co/cd4DtX9B0P via @SecurityWeek https://t.co/KhdCk8tfaO,en,Fortinet
Tue Dec 17 15:14:01 +0000 2019,"Over 21,000 customers across different industries and verticals leverage #Fortinet Secure #SDWAN to simplify operations, reduce costs, and enable a cloud-ready branch. Discover why our customers choose Fortinet to achieve their digital innovation goals: https://t.co/YlQJnm1Hml https://t.co/DfRCtIpShu",en,Fortinet
Tue Dec 17 00:00:00 +0000 2019,RT @FortinetPartner: We’re excited to accept @Tech_Data’s Security Vendor of the Year award for 2019! https://t.co/MJPHdt66ok,en,Fortinet
Mon Dec 16 23:00:01 +0000 2019,"In the #AsktheCISO series sponsored by #Fortinet, Nasrin Rezai, EVP and Global #CISO at @generalelectric, talks about the business need for women in #cybersecurity. Hear more from this discussion with @CybersecuritySF: https://t.co/6Q96aqV0Zy",en,Fortinet
